Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,68.78,131.62,16.87,46.19,38.28,16.55,32.10,0.82,3.30,1.83,9.96,0.96,NA,2.99,3.99,NA,78.44,0.86,258.36,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,51.91,98.59,4.41,31.41,20.30,11.04,9.92,0.64,10.07,1.83,9.99,0.96,NA,2.99,3.99,NA,73.31,1.56,273.02,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,45.22,85.46,3.74,23.65,15.62,9.58,4.19,0.57,15.08,1.83,9.98,0.96,NA,2.99,3.98,NA,74.66,1.63,273.68,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,42.76,81.52,3.57,21.98,14.59,9.26,5.20,0.54,17.75,1.81,9.98,0.95,NA,3.00,3.97,NA,75.95,1.70,271.90,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,52.21,96.46,4.17,25.23,16.81,9.84,1.15,0.66,13.16,1.82,9.99,0.96,NA,3.00,4.01,NA,77.62,1.42,272.81,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,55.55,103.20,4.00,22.87,15.42,9.48,7.59,0.52,11.15,1.81,9.96,0.96,NA,3.00,3.98,NA,79.13,1.58,276.70,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,44.05,81.55,4.38,23.94,16.29,9.77,4.32,0.64,8.26,1.83,9.97,0.95,NA,3.00,3.91,NA,80.00,1.60,272.24,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,51.60,94.15,5.26,27.01,18.64,10.46,5.92,0.68,8.79,1.78,9.82,0.94,NA,2.85,3.82,NA,79.22,1.65,273.72,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,48.38,89.52,5.63,26.35,18.59,10.48,6.88,0.62,15.39,1.52,8.51,0.93,NA,2.36,3.46,NA,74.59,1.75,275.03,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,52.46,98.10,5.25,27.73,19.02,10.54,15.79,0.46,24.86,1.51,8.36,0.95,NA,2.39,3.54,NA,69.00,2.14,277.34,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,58.28,112.72,4.85,26.06,17.80,10.26,20.82,0.63,40.37,1.34,7.24,0.78,NA,2.24,3.30,NA,63.35,2.02,283.67,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,66.19,125.74,4.16,27.24,17.87,10.24,15.53,0.58,52.87,1.29,6.99,0.75,NA,2.18,3.18,NA,58.82,1.81,278.42,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,55.66,103.98,3.56,20.93,14.02,9.00,19.40,0.48,66.28,1.09,6.24,0.66,NA,2.08,3.04,NA,54.44,1.37,287.66,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,45.73,87.15,3.29,17.71,12.09,8.44,16.54,0.43,76.32,1.02,6.24,0.66,NA,2.11,3.05,NA,50.73,1.35,289.44,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,38.38,73.09,3.16,18.78,12.56,8.63,8.92,0.53,81.50,1.02,6.23,0.66,NA,2.09,3.01,NA,47.61,1.24,275.49,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,30.99,62.31,3.09,17.26,11.69,8.40,15.94,0.46,83.88,1.03,6.24,0.66,NA,2.11,3.07,NA,44.32,1.52,278.40,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,33.01,67.35,2.99,18.68,12.36,8.51,13.39,0.47,66.95,1.04,6.24,0.66,NA,2.10,3.05,NA,46.07,1.13,272.56,NA,0.00,NA,NA,NA
2025-01-01 17:00:00,40.28,83.48,3.42,28.12,17.74,10.12,16.99,0.52,44.98,1.03,6.24,0.66,NA,2.10,3.02,NA,51.27,0.64,281.42,NA,0.00,NA,NA,NA
2025-01-01 18:00:00,53.66,106.04,5.52,38.80,25.13,12.49,16.01,0.76,14.14,1.03,6.24,0.66,NA,2.08,3.05,NA,61.56,0.21,201.12,NA,0.00,NA,NA,NA
2025-01-01 19:00:00,57.76,109.51,12.81,38.53,30.91,14.27,17.29,1.00,3.34,1.02,6.23,0.66,NA,2.11,3.07,NA,75.33,0.06,157.02,NA,0.00,NA,NA,NA
2025-01-01 20:00:00,55.86,105.08,20.60,50.06,43.38,18.13,26.11,1.28,3.10,1.01,6.22,0.65,NA,2.09,3.06,NA,69.74,0.11,222.38,NA,0.00,NA,NA,NA
2025-01-01 21:00:00,64.55,123.45,7.81,54.02,35.08,15.46,15.25,0.97,7.80,1.26,8.34,0.89,NA,2.79,3.06,NA,56.26,0.82,273.10,NA,0.00,NA,NA,NA
2025-01-01 22:00:00,49.51,96.70,3.92,47.25,28.32,13.42,25.04,0.66,18.49,1.32,8.99,0.96,NA,3.01,3.07,NA,48.71,1.13,275.58,NA,0.00,NA,NA,NA
2025-01-01 23:00:00,47.48,93.54,3.61,39.22,23.80,16.92,9.21,0.83,32.86,1.32,8.99,0.96,NA,3.02,3.02,NA,48.39,1.86,273.86,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,59.59,116.69,3.82,32.42,20.35,11.04,14.85,0.62,33.04,1.31,9.00,0.96,NA,3.00,3.04,NA,52.80,1.90,273.70,NA,0.00,NA,NA,NA
2025-01-02 01:00:00,58.55,110.97,4.64,35.33,22.57,11.75,29.57,0.80,23.33,1.32,8.99,0.97,NA,2.99,3.06,NA,57.76,1.38,283.89,NA,0.00,NA,NA,NA
2025-01-02 02:00:00,66.33,122.34,4.93,35.60,22.94,11.64,24.18,0.69,15.21,1.32,9.00,0.96,NA,2.99,3.06,NA,63.23,1.80,274.69,NA,0.00,NA,NA,NA
