Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,42.5,67.0,5.58,8.8,9.23,2.3,5.2,0.59,10.78,,,,,,,20.3,90.0,,153.75,,,,723.0,
2024-01-01 01:00:00,55.0,69.0,6.6,7.55,9.35,2.2,4.68,0.61,11.5,,,,,,,19.92,90.0,,144.25,,,,722.0,
2024-01-01 02:00:00,61.75,85.25,5.22,9.18,9.15,2.15,4.45,0.66,10.85,,,,,,,19.6,90.0,,118.5,,,,722.0,
2024-01-01 03:00:00,62.0,85.25,5.82,8.52,9.28,2.22,4.68,0.58,11.28,,,,,,,19.12,90.0,,112.25,,,,722.0,
2024-01-01 04:00:00,55.25,74.75,6.08,7.9,9.15,2.33,4.65,0.54,10.75,,,,,,,18.53,90.0,,112.75,,,,722.0,
2024-01-01 05:00:00,54.25,79.75,6.98,8.5,10.22,2.17,4.75,0.55,11.15,,,,,,,18.3,90.0,,113.75,,,,722.0,
2024-01-01 06:00:00,61.5,93.25,6.95,8.1,9.98,2.08,4.82,0.67,11.32,,,,,,,18.23,90.0,,127.25,,,,722.75,
2024-01-01 07:00:00,72.5,113.5,5.6,9.15,9.45,1.82,4.9,0.86,10.78,,,,,,,18.1,90.0,,125.5,,,,723.0,
2024-01-01 08:00:00,73.5,124.25,5.58,8.82,9.2,2.25,5.12,0.86,11.32,,0.75,,,,,18.95,89.5,,128.25,,,,724.0,
2024-01-01 09:00:00,69.25,116.75,5.9,9.0,9.6,1.9,5.15,0.99,11.9,,,,,,,21.2,88.75,,124.25,,,,724.75,
2024-01-01 10:00:00,61.25,117.0,6.18,8.85,9.72,2.1,5.15,1.06,10.88,,,,,,,23.65,88.0,,129.0,,,,724.5,
2024-01-01 11:00:00,61.25,110.75,5.1,8.95,8.93,2.05,4.97,0.95,11.5,,,,,,,25.95,88.0,,148.75,,,,723.5,
2024-01-01 12:00:00,57.25,106.5,6.68,8.05,9.72,2.05,4.65,0.87,11.15,,,,,,,27.42,87.0,,143.25,,,,722.25,
2024-01-01 13:00:00,50.25,94.75,6.02,8.52,9.45,1.9,4.62,0.86,11.6,0.1,,,,,,28.8,87.0,,158.5,,,,721.0,
2024-01-01 14:00:00,45.0,87.25,6.0,8.82,9.6,2.02,4.32,0.81,11.02,,,,,,,29.33,87.0,,146.0,,,,719.75,
2024-01-01 15:00:00,49.75,73.75,5.95,9.2,9.7,2.05,4.2,0.64,11.52,0.1,,,,,,30.1,87.0,,166.25,,,,719.0,
2024-01-01 16:00:00,64.0,67.0,6.65,8.35,9.88,2.25,4.05,0.71,11.88,0.1,,,,,,29.92,87.75,,146.25,,,,719.5,
2024-01-01 17:00:00,,,5.6,9.52,9.6,1.92,4.03,0.79,10.88,,,,,,,28.1,88.0,,145.5,,,,720.0,
2024-01-01 18:00:00,63.0,95.0,6.3,8.82,9.8,2.1,4.02,0.98,10.78,,,,,,,26.48,88.75,,149.75,,,,720.75,
2024-01-01 19:00:00,63.25,98.0,5.85,7.48,8.72,2.35,4.2,1.24,10.68,0.1,,,,,,25.0,89.0,,143.0,,,,722.0,
2024-01-01 20:00:00,64.0,104.5,6.52,8.8,9.98,2.08,4.42,1.05,11.05,0.1,,,,,,24.2,89.0,,153.0,,,,722.75,
2024-01-01 21:00:00,61.75,96.0,6.0,8.7,9.5,2.25,4.47,0.97,10.9,0.1,,,,,,23.35,89.0,,130.25,,,,723.0,
2024-01-01 22:00:00,55.25,93.75,5.4,8.6,8.98,2.17,4.47,0.86,11.05,,,,,,,22.42,89.0,,141.75,,,,723.0,
2024-01-01 23:00:00,53.25,92.0,5.28,9.15,9.15,2.28,4.55,0.76,11.28,,,,,,,21.75,89.75,,131.5,,,,722.5,
2024-01-02 00:00:00,48.0,81.25,5.85,9.0,9.57,1.98,4.63,0.72,10.8,,,,,,,21.12,90.0,,121.0,,,,722.0,
2024-01-02 01:00:00,58.5,85.5,5.7,8.5,9.12,2.02,5.12,0.63,10.8,,,,,,,20.42,90.0,,125.25,,,,721.75,
2024-01-02 02:00:00,60.5,85.75,5.95,8.3,9.22,2.12,5.1,0.5,11.02,,,,,,,19.88,90.0,,128.5,,,,720.75,
2024-01-02 03:00:00,54.5,82.0,6.15,8.45,9.45,2.08,5.12,0.51,10.88,,,,,,,19.77,90.0,,116.5,,,,720.0,
2024-01-02 04:00:00,60.25,86.5,7.05,8.43,10.25,1.92,5.22,0.52,11.88,,0.53,,,,,19.68,90.0,,119.0,,,,720.75,
2024-01-02 05:00:00,63.75,98.25,5.65,9.02,9.4,2.05,5.12,0.56,11.25,,1.2,,,,,19.58,90.0,,121.5,,,,721.0,
2024-01-02 06:00:00,63.25,96.75,6.35,9.15,10.0,2.2,5.25,0.61,11.02,,,,,,,19.48,90.0,,127.25,,,,722.0,
2024-01-02 07:00:00,66.25,114.5,7.57,8.9,10.85,2.22,5.32,0.84,11.08,,,,,,,19.47,90.0,,114.25,,,,722.25,
2024-01-02 08:00:00,73.0,134.0,3.3,7.23,6.5,2.07,5.4,2.17,15.27,0.1,0.6,,,,,20.0,90.0,,129.67,,,,723.33,
2024-01-02 09:00:00,70.0,130.0,6.12,8.4,9.45,2.15,5.9,2.7,11.22,,,,,,,20.95,89.0,,122.0,,,,724.0,
2024-01-02 10:00:00,70.0,130.25,6.48,8.48,9.78,2.02,6.25,2.1,11.55,,,,,,,22.3,88.75,,130.5,,,,723.5,
2024-01-02 11:00:00,72.25,125.5,6.35,7.85,9.32,2.15,6.1,0.92,11.92,,,,,,,23.82,88.0,,160.75,,,,722.5,
2024-01-02 12:00:00,82.0,116.0,6.75,10.0,10.8,1.85,6.1,0.4,11.05,,,,,,,26.08,88.0,,129.75,,,,721.25,
2024-01-02 13:00:00,90.75,135.75,7.7,8.52,10.8,1.9,5.82,0.64,11.05,,,,,,,27.4,87.25,,129.75,,,,720.0,
2024-01-02 14:00:00,88.5,127.75,5.88,8.8,9.45,2.38,5.65,0.45,11.32,,,,,,,28.35,87.0,,139.0,,,,719.0,
2024-01-02 15:00:00,84.0,114.0,6.2,8.25,9.45,2.17,5.45,0.39,11.15,,,,,,,29.38,87.0,,147.0,,,,718.5,
2024-01-02 16:00:00,77.0,105.75,6.05,8.1,9.22,2.12,5.3,0.52,11.38,,,,,,,29.15,87.5,,141.25,,,,719.0,
2024-01-02 17:00:00,60.5,88.0,5.52,8.28,8.9,1.95,5.25,0.54,10.98,,,,,,,28.18,88.25,,134.0,,,,719.5,
2024-01-02 18:00:00,50.25,84.5,6.32,8.28,9.55,2.3,5.22,0.96,10.92,,,,,,,26.15,89.0,,146.25,,,,720.25,
2024-01-02 19:00:00,47.33,93.0,6.3,8.15,9.45,2.25,5.42,0.94,10.1,,,,,,,24.57,89.0,,146.75,,,,721.5,
2024-01-02 20:00:00,56.75,95.75,7.12,7.45,9.77,2.33,5.45,0.9,11.35,,,,,,,23.85,89.0,,124.0,,,,722.0,
2024-01-02 21:00:00,51.75,97.25,6.98,7.62,9.72,2.33,5.55,0.79,11.12,,,,,,,22.88,89.25,,140.0,,,,722.0,
2024-01-02 22:00:00,47.75,94.0,6.7,9.6,10.58,1.95,5.7,0.77,11.28,,,,,,,22.02,90.0,,132.75,,,,722.0,
2024-01-02 23:00:00,49.0,92.75,5.75,8.08,8.95,2.25,5.75,0.62,11.05,,,,,,,21.35,90.0,,129.75,,,,722.0,
2024-01-03 00:00:00,53.75,94.5,5.45,7.6,8.5,2.22,5.67,0.36,11.05,,,,,,,20.75,90.0,,127.0,,,,721.75,
2024-01-03 01:00:00,49.5,82.5,6.0,8.3,9.32,2.02,4.92,0.32,10.72,,,,,,,20.23,90.0,,121.5,,,,721.0,
2024-01-03 02:00:00,50.25,80.25,5.68,8.65,9.2,2.1,4.72,0.47,11.05,,,,,,,19.98,90.0,,117.75,,,,720.25,
2024-01-03 03:00:00,59.33,87.33,6.9,8.0,9.82,2.05,4.72,0.19,11.2,,0.7,,,,,19.87,90.0,,120.25,,,,720.0,
2024-01-03 04:00:00,70.5,91.5,5.68,8.68,9.25,2.02,4.68,0.09,10.98,,,,,,,19.73,90.0,,117.25,,,,720.0,
2024-01-03 05:00:00,84.25,102.25,6.48,8.52,9.85,1.85,4.82,0.52,11.6,,0.65,,,,,19.45,90.0,,124.75,,,,720.5,
2024-01-03 06:00:00,68.5,112.67,6.12,8.3,9.38,2.15,4.95,0.37,10.98,,0.65,,,,,19.27,90.0,,128.25,,,,721.25,
2024-01-03 07:00:00,73.5,132.75,6.7,8.5,10.0,2.02,4.85,0.31,11.02,,0.7,,,,,19.27,90.0,,118.75,,,,722.0,
2024-01-03 08:00:00,71.5,126.0,6.1,7.6,9.02,2.28,5.05,0.17,11.48,,0.9,,,,,19.75,89.75,,142.75,,,,723.0,
2024-01-03 09:00:00,61.25,104.75,5.98,8.7,9.5,2.2,4.97,1.04,11.02,,,,,,,20.92,89.0,,129.0,,,,723.5,
2024-01-03 10:00:00,63.33,116.5,6.85,7.65,9.65,2.2,5.1,0.84,11.52,,,,,,,22.78,88.25,,136.5,,,,723.5,
2024-01-03 11:00:00,65.0,102.75,6.22,7.82,9.22,2.22,4.88,0.52,11.88,,,,,,,24.88,88.0,,162.0,,,,722.5,
