Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
01-01-2020 00:00,35,57,6.2,28.05,19.92,1.4,8.2,0.5,78.83,1.88,167.9,NA,NA,NA,NA,22.15,80.75,NA,274.75,NA,NA,NA,724,NA,18.8,94,17.8,0.00,913.0,96,18.1,103,0.0
01-01-2020 01:00,46,69,3.78,28.85,18.38,1.75,8.17,0.52,74.26,1.7,168.25,NA,NA,NA,NA,21.92,82,NA,276.75,NA,NA,NA,723.75,NA,18.8,92,17.5,0.00,912.6,98,16.9,102,0.0
01-01-2020 02:00,37,67,5.45,24.78,17.6,2.17,8.3,0.39,73.19,2.03,168.32,NA,NA,NA,NA,21.98,81.75,NA,277.5,NA,NA,NA,723,NA,18.3,94,17.4,0.00,911.9,93,15.7,101,0.0
01-01-2020 03:00,31,58,7.4,25.8,19.75,1.98,8.38,0.36,70.34,1.82,156.7,NA,NA,NA,NA,21.85,81.75,NA,277.75,NA,NA,NA,723,NA,18.2,95,17.4,0.00,911.5,98,14.2,99,0.0
01-01-2020 04:00,28,48,5,22.02,15.78,1.48,8.45,0.26,71.35,1.65,157.55,NA,NA,NA,NA,21.67,81.5,NA,274.5,NA,NA,NA,723,NA,18.1,95,17.4,0.00,911.8,100,14.2,99,0.0
01-01-2020 05:00,26,40,6.52,28.28,20.35,1.1,8,0.33,58.86,1.75,167.85,NA,NA,NA,NA,21.7,81.25,NA,274.5,NA,NA,NA,723,NA,18.2,97,17.8,0.00,912.0,31,14.2,99,0.0
01-01-2020 06:00,34,51,16.45,37.2,33.2,4.35,8.22,0.58,35.28,2.22,174.02,NA,NA,NA,NA,21.58,82,NA,271.5,NA,NA,NA,724,NA,18.4,97,17.8,0.00,912.5,66,13.4,98,0.0
01-01-2020 07:00,43,71,37.05,42.2,52.3,3.02,8.35,0.96,27.81,3.05,170.15,NA,NA,NA,NA,21.8,81,NA,272.5,NA,NA,NA,724.75,NA,19.2,92,17.8,0.00,913.5,58,16.4,99,35.0
01-01-2020 08:00,59,92,33.95,42.08,49.98,3.55,8.35,0.9,35.2,3.38,163.62,NA,NA,NA,NA,23.1,74.75,NA,267.25,NA,NA,NA,725.5,NA,21.3,78,17.4,0.00,915.1,65,18.5,103,195.0
01-01-2020 09:00,52,100,11.05,29.28,24.52,3.02,8.3,0.39,57.88,2.72,172.62,NA,NA,NA,NA,23.28,73,NA,276.25,NA,NA,NA,726,NA,23.2,67,16.7,0.00,916.0,84,18.2,108,345.0
01-01-2020 10:00,39,67,30.62,44.12,48.4,2.6,8.35,0.84,41.56,2.78,174.18,NA,NA,NA,NA,24.15,69.25,NA,259.5,NA,NA,NA,726.75,NA,24.2,62,16.4,0.20,916.2,83,16.6,112,487.0
01-01-2020 11:00,41,81,24.45,40.4,41.35,2.88,8.33,0.51,49.02,3.18,179.77,NA,NA,NA,NA,24.95,65.25,NA,256,NA,NA,NA,726,NA,25.4,57,16.2,0.40,915.9,85,15.1,118,621.0
01-01-2020 12:00,24,56,21.48,44.42,41.08,1.75,8.3,0.56,48.19,2.75,184.75,NA,NA,NA,NA,24.78,66.25,NA,266,NA,NA,NA,725.75,NA,25.7,59,17.1,0.40,915.1,85,15.7,110,735.0
01-01-2020 13:00,21,51,31.9,50.68,52.9,2.2,8.4,0.87,42.4,2.82,184.4,NA,NA,NA,NA,24.85,65.75,NA,255.25,NA,NA,NA,724.5,NA,26.4,57,17.3,0.10,914.2,79,13.0,109,589.0
01-01-2020 14:00,23,79,21.42,38.35,37.8,1.35,8.32,0.56,60.38,3.25,183.08,NA,NA,NA,NA,25.8,60.75,NA,263,NA,NA,NA,723.5,NA,26.9,55,17.0,0.00,913.4,88,12.3,111,626.0
01-01-2020 15:00,15,51,13.05,32.67,28,1.05,8.25,0.42,59.7,2.22,191.85,NA,NA,NA,NA,25.58,61,NA,262,NA,NA,NA,723,NA,24.9,63,17.4,0.20,912.7,84,15.0,132,366.0
01-01-2020 16:00,9,47,22.35,43.55,41.35,1,8.2,0.63,48.59,1.92,178.45,NA,NA,NA,NA,25.32,63.25,NA,266.75,NA,NA,NA,723,NA,24.6,67,18.1,0.50,912.7,74,8.2,119,254.0
01-01-2020 17:00,16,58,26.72,52.75,49.8,4.42,8.2,0.96,29.38,3.02,175.58,NA,NA,NA,NA,25.22,63.5,NA,278.25,NA,NA,NA,723.25,NA,23.5,70,17.7,0.10,912.9,76,10.7,130,141.0
01-01-2020 18:00,18,66,36.22,56.1,59.3,3.42,8.15,1.28,16.12,5.92,178.35,NA,NA,NA,NA,24.2,68.5,NA,279,NA,NA,NA,724,NA,22.3,79,18.4,0.00,913.3,61,8.4,110,11.0
01-01-2020 19:00,26,69,42.4,57.92,65.3,5.15,8.28,1.54,8.28,5.15,176.3,NA,NA,NA,NA,23.6,74.25,NA,275.5,NA,NA,NA,725,NA,21.8,81,18.4,0.00,914.1,31,9.1,108,0.0
01-01-2020 20:00,35,79,44.28,57.85,66.78,2.4,8.45,1.36,8.75,8.4,176.77,NA,NA,NA,NA,23.28,76,NA,268.25,NA,NA,NA,725.5,NA,21.3,83,18.2,0.00,915.0,30,10.9,99,0.0
01-01-2020 21:00,30,76,42.62,54.15,63.42,1.75,8.5,0.83,10.26,4.5,174.7,NA,NA,NA,NA,22.8,78.75,NA,260.25,NA,NA,NA,726,NA,20.6,87,18.3,0.00,915.4,24,11.7,101,0.0
01-01-2020 22:00,23,63,22.48,42.4,40.83,0.9,8.68,0.6,14.11,3.4,171.3,NA,NA,NA,NA,22.3,81.25,NA,274.5,NA,NA,NA,726,NA,19.9,91,18.5,0.00,915.7,26,12.0,99,0.0
01-01-2020 23:00,15,46,15.72,37.17,32.52,1.98,8.28,0.3,20.82,2.33,166.38,NA,NA,NA,NA,21.88,83.5,NA,265.5,NA,NA,NA,726,NA,19.3,97,18.8,0.00,915.5,100,11.0,101,0.0
02-01-2020 00:00,9,34,12.78,26.83,24.65,0.38,8.33,0.24,30.51,1.65,161.22,NA,NA,NA,NA,21.48,85.5,NA,267.25,NA,NA,NA,725,NA,19.9,92,18.6,0.00,915.2,98,13.5,106,0.0
