Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2020 00:00,72.5,99.5,2.15,36.1,20.92,21.62,4.0,0.66,58.9,,,,,,,14.1,83.5,0.8,140.0,0.0,0.0,29.25,707.0,
01-01-2020 01:00,51.75,84.5,1.88,31.33,18.15,21.0,3.8,0.56,62.65,,,,,,,13.8,85.25,0.92,145.75,0.0,0.0,28.25,706.75,
01-01-2020 02:00,49.5,79.25,1.8,30.95,17.92,20.52,2.52,0.54,55.28,,,,,,,13.48,86.5,0.65,147.25,0.0,0.0,28.75,706.0,
01-01-2020 03:00,54.25,77.25,1.8,34.8,19.95,20.48,1.48,0.53,45.78,,,,,,,13.02,88.5,0.48,139.0,0.0,0.0,29.25,705.75,
01-01-2020 04:00,55.75,78.25,1.48,29.88,17.1,21.35,1.4,0.53,50.92,,,,,,,13.52,87.75,0.62,134.0,0.0,0.0,27.25,706.0,
01-01-2020 05:00,58.5,82.0,1.48,25.85,14.95,21.45,3.9,0.56,47.95,,,,,,,13.45,87.5,0.57,102.25,0.0,0.0,29.0,706.0,
01-01-2020 06:00,69.5,102.0,2.35,29.08,17.38,23.42,2.2,0.79,27.85,,,,,,,13.25,87.25,0.75,114.0,0.0,0.0,27.0,706.75,
01-01-2020 07:00,108.5,156.5,6.12,34.25,23.18,27.12,1.4,1.14,16.38,,,,,,,12.75,86.5,0.95,136.25,0.0,0.0,34.5,707.5,
01-01-2020 08:00,144.5,217.25,8.65,38.65,27.62,28.52,0.7,1.3,15.62,,,,,,,13.08,85.0,0.9,139.0,0.0,0.0,139.0,708.75,
01-01-2020 09:00,156.0,205.75,9.0,39.15,28.15,29.45,1.9,1.29,33.9,,,,,,,14.72,79.25,0.95,127.25,0.0,0.0,233.25,709.75,
01-01-2020 10:00,140.5,193.0,6.18,37.5,24.98,27.88,2.58,1.03,41.32,,,,,,,16.45,74.75,1.02,147.25,0.0,0.0,260.25,710.0,
01-01-2020 11:00,108.25,152.25,5.98,38.55,25.35,24.4,4.95,1.04,52.45,,,,,,,18.3,69.0,1.08,137.25,0.0,0.0,424.25,709.5,
01-01-2020 12:00,96.75,140.0,16.55,41.88,38.02,31.58,5.3,1.12,60.05,,,,,,,19.75,65.5,0.95,149.75,0.0,0.0,395.75,708.5,
01-01-2020 13:00,94.0,145.75,5.32,41.58,26.48,24.33,6.8,1.22,65.6,,,,,,,20.92,63.75,0.9,161.0,0.0,0.0,392.5,707.25,
01-01-2020 14:00,87.0,139.0,5.22,42.4,26.82,22.92,8.32,1.27,57.98,,,,,,,21.28,64.75,0.78,152.0,0.0,0.0,238.75,706.75,
01-01-2020 15:00,83.5,122.5,4.82,45.22,27.95,22.2,8.43,1.1,57.5,,,,,,,21.12,66.0,0.92,130.75,0.0,0.0,272.25,706.25,
01-01-2020 16:00,81.25,126.5,5.78,47.3,29.85,21.35,7.82,1.15,52.0,,,,,,,20.9,68.5,0.92,125.25,0.0,0.0,129.75,706.25,
01-01-2020 17:00,82.5,131.0,13.78,63.9,45.35,20.25,5.98,1.72,31.42,,,,,,,19.9,73.75,0.98,136.5,0.0,0.0,31.25,707.0,
01-01-2020 18:00,102.5,157.75,19.15,63.75,49.48,28.18,4.2,1.86,17.2,,,,,,,18.5,78.5,1.68,141.75,0.0,0.0,30.75,707.75,
01-01-2020 19:00,136.0,195.0,23.52,65.4,53.9,28.3,3.28,1.99,12.2,,,,,,,17.1,82.0,1.65,137.0,0.0,0.0,29.25,708.5,
01-01-2020 20:00,153.75,228.0,21.2,59.38,48.8,32.4,2.78,1.93,11.6,,,,,,,16.38,84.25,1.45,154.0,0.0,0.0,28.5,709.0,
01-01-2020 21:00,160.5,223.5,12.42,51.8,37.67,30.82,2.42,1.7,12.5,,,,,,,15.68,86.75,0.7,151.25,0.0,0.0,30.75,709.5,
01-01-2020 22:00,149.0,203.0,6.93,44.38,29.25,28.3,1.72,1.32,18.27,,,,,,,15.4,89.75,0.57,146.0,0.0,0.0,29.0,709.25,
01-01-2020 23:00,121.5,178.75,4.57,40.45,25.2,26.45,1.17,1.13,21.18,,,,,,,15.28,90.0,0.7,141.75,0.0,0.0,29.5,708.75,
02-01-2020 00:00,98.25,160.25,2.9,37.17,22.12,25.72,4.05,0.91,22.7,,,,,,,14.88,90.75,0.62,157.0,0.0,0.0,25.0,708.0,
02-01-2020 01:00,84.75,129.75,2.05,30.55,17.95,24.82,4.47,0.78,24.82,,,,,,,14.62,91.25,0.62,124.5,0.0,0.0,29.0,708.0,
02-01-2020 02:00,76.5,113.25,1.62,25.5,14.88,24.2,3.72,0.72,28.55,,,,,,,14.42,91.75,0.62,150.0,0.0,0.0,27.0,708.0,
02-01-2020 03:00,68.75,97.75,1.02,21.12,12.05,22.45,4.02,0.58,32.35,,,,,,,14.52,92.0,0.62,144.5,0.0,0.0,27.5,708.0,
02-01-2020 04:00,60.25,86.0,1.27,20.38,11.85,21.92,3.6,0.59,31.72,,,,,,,14.55,92.0,0.77,119.25,0.0,0.0,27.75,707.25,
02-01-2020 05:00,65.75,91.0,1.9,22.62,13.58,21.95,4.68,0.6,29.48,,,,,,,14.68,92.0,0.98,149.0,0.0,0.0,27.75,708.0,
02-01-2020 06:00,68.75,94.0,1.45,21.62,12.7,21.42,4.47,0.59,30.4,,,,,,,14.58,92.0,0.68,121.25,0.0,0.0,26.75,708.5,
