latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,
23.233742,77.452835,495,19800,Asia/Kolkata,GMT+5:30,,,,
,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),shortwave_radiation (W/m²),dew_point_2m (°C),precipitation (mm),cloud_cover (%)
2020-01-01T00:00,14.9,76,13.4,84,959,0,10.7,0,12
2020-01-01T01:00,13.4,83,10.9,82,958.6,0,10.5,0,8
2020-01-01T02:00,12.6,86,9.9,80,958.1,0,10.4,0,10
2020-01-01T03:00,12.2,88,9.3,74,957.9,0,10.3,0,12
2020-01-01T04:00,12,89,9.6,70,957.9,0,10.3,0,16
2020-01-01T05:00,12,88,9.1,83,957.9,0,10,0,14
2020-01-01T06:00,12.2,87,9.3,74,958.5,0,10.2,0,37
2020-01-01T07:00,12.2,89,10.2,72,959.4,6,10.4,0,18
2020-01-01T08:00,13.9,81,10.6,80,960.6,107,10.7,0,44
2020-01-01T09:00,15.7,75,10.8,92,961.6,220,11.3,0.2,62
2020-01-01T10:00,16.8,75,10.1,86,962.1,311,12.4,0.7,58
2020-01-01T11:00,17.8,75,8.5,78,961.5,354,13.3,0.9,44
2020-01-01T12:00,19.2,71,8.7,85,960.3,472,13.8,0,42
2020-01-01T13:00,19.6,71,8.3,95,959.4,439,14.2,0.3,78
2020-01-01T14:00,19.6,71,8.3,92,958.8,327,14.2,0.1,100
2020-01-01T15:00,19.3,72,7.7,79,958.6,146,14.1,0,100
2020-01-01T16:00,19.2,73,8.9,47,958.6,93,14.1,0,39
2020-01-01T17:00,17.5,88,6.5,71,959.2,60,15.6,0,37
2020-01-01T18:00,16.8,94,8,72,960,1,15.7,0.2,65
2020-01-01T19:00,16.1,95,9.2,69,960.6,0,15.3,0,55
2020-01-01T20:00,15.6,96,8.7,66,961.2,0,15,0,39
2020-01-01T21:00,15.3,97,9,74,961.4,0,14.9,0,39
2020-01-01T22:00,15.1,97,8.8,81,961.6,0,14.7,0,63
2020-01-01T23:00,14.9,96,8,72,961.3,0,14.3,0,100
2020-01-02T00:00,15,93,9,74,960.8,0,13.9,0,100
2020-01-02T01:00,15,93,9.5,81,960.6,0,13.9,0,97
2020-01-02T02:00,14.9,94,10.1,88,960,0,14,0,69
2020-01-02T03:00,14.5,97,8.3,92,959.5,0,14,0,100
2020-01-02T04:00,14.4,98,7.2,96,959.4,0,14.1,0,99
2020-01-02T05:00,13.4,98,5.9,76,959.7,0,13.1,0,100
2020-01-02T06:00,12.7,99,5.4,98,960.2,0,12.5,0,29
2020-01-02T07:00,13.6,98,6.5,87,960.8,6,13.3,0,8
2020-01-02T08:00,15.2,93,6,115,962,111,14.1,0,21
2020-01-02T09:00,17.2,86,6.3,121,963,259,14.8,0,52
2020-01-02T10:00,18.7,80,8.2,128,963.2,344,15.2,0,62
2020-01-02T11:00,20.4,71,10.6,152,962,445,15,0,79
2020-01-02T12:00,21.6,67,9,157,960.7,452,15.3,0.1,46
2020-01-02T13:00,22.1,67,6.5,186,959.6,482,15.6,0.2,48
2020-01-02T14:00,22.4,65,3.9,214,958.8,411,15.5,0.1,100
2020-01-02T15:00,20.8,70,7.7,229,958.3,170,15.2,0.5,73
2020-01-02T16:00,20.7,71,3.5,24,958.2,144,15.2,0.1,49
2020-01-02T17:00,18.7,79,5.8,338,959.3,65,14.9,0,39
2020-01-02T18:00,17.6,84,5.9,346,959.7,1,14.9,0,33
2020-01-02T19:00,16.9,87,7.4,321,960.5,0,14.8,0.1,35
2020-01-02T20:00,16.1,92,6.1,357,960.8,0,14.9,0,35
2020-01-02T21:00,15.5,96,7,35,960.8,0,14.8,0,26
2020-01-02T22:00,14.8,97,5.7,35,960.8,0,14.4,0.1,35
2020-01-02T23:00,14.6,97,5.6,15,960.6,0,14.2,0.1,34
2020-01-03T00:00,14.4,97,5.1,8,960,0,14,0.2,37
2020-01-03T01:00,13.7,98,4.7,360,959.6,0,13.4,0,24
2020-01-03T02:00,13,99,5.9,346,959.2,0,12.9,0,45
2020-01-03T03:00,13.2,100,4.2,340,958.9,0,13.2,0,94
2020-01-03T04:00,13.9,100,5.8,338,958.8,0,13.9,0,100
2020-01-03T05:00,14.6,99,6.2,339,959.4,0,14.4,0,100
2020-01-03T06:00,14.6,99,6.8,335,959.7,0,14.5,0,100
