Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,111.8775,179.2025,90.0275,,72.975,256.3975,2.2199999999999998,2.1675,1.0025,3.5275,0.3875,0.3375,,0.41000000000000003,0.645,7.484999999999999,99.64,0.11499999999999999,17.884999999999998,0.0,0.0,5.2,,
2023-01-01 01:00:00,106.305,168.455,70.135,0.445,57.2725,218.285,2.4075,1.755,1.0275,3.5774999999999997,0.3925,0.3475,,0.4125,0.685,7.225,99.6325,0.1525,142.2325,0.0,0.0,5.15,,
2023-01-01 02:00:00,103.56,158.2675,51.37,3.205,43.36,182.1475,1.31,1.405,1.01,3.5125,0.385,0.345,,0.41500000000000004,0.6675,8.192499999999999,99.6325,0.1625,76.47749999999999,0.0,0.0,5.275,,
2023-01-01 03:00:00,97.9425,147.305,30.9375,9.934999999999999,30.39,151.3475,2.585,1.0425,1.025,3.6574999999999998,0.3875,0.3575,,0.42500000000000004,0.6625,9.3775,99.6225,0.2275,330.68,0.0,0.0,6.025,,
2023-01-01 04:00:00,91.725,139.5525,21.3975,13.7825,23.75,129.53,4.1000000000000005,0.895,1.3175,3.6875,0.40249999999999997,0.2775,,0.4,0.6525,8.98,99.6275,0.3075,183.685,0.0,0.0,6.6,,
2023-01-01 05:00:00,89.085,133.545,17.2975,13.0225,20.052500000000002,110.8325,4.6,0.845,1.305,3.6125,0.42000000000000004,0.3175,,0.3975,0.6749999999999999,8.5825,99.6375,0.3175,41.5075,0.0,0.0,6.6,,
2023-01-01 06:00:00,80.9875,114.3075,15.295,12.1275,17.5975,96.805,3.3925,0.795,1.0750000000000002,3.5925,0.4,0.355,,0.40249999999999997,0.6925,7.88,99.6375,0.19,126.28999999999999,0.0,0.0,6.425,,
2023-01-01 07:00:00,72.365,95.3775,19.052500000000002,12.2825,19.872500000000002,94.125,3.4375,0.81,1.0,3.5425,0.375,0.3025,,0.4825,0.6675,8.01,99.6375,0.2975,167.845,0.0,0.0,16.0,,
2023-01-01 08:00:00,70.4925,96.48,23.677500000000002,15.205,25.335,104.16999999999999,4.08,0.865,1.0825,3.69,0.39,0.33999999999999997,,0.3925,0.665,8.6275,99.63499999999999,0.51,181.305,0.0,0.0,137.875,,
2023-01-01 09:00:00,73.905,99.1725,21.565,21.185,27.302500000000002,114.7375,5.085,0.87,1.4275,3.465,0.3875,0.3175,,0.435,0.6775,9.55,99.6225,0.5900000000000001,161.2,0.0,0.0,191.7,,
2023-01-01 10:00:00,86.3725,111.7775,20.2725,27.2025,29.6375,120.83,5.41,0.88,1.3250000000000002,3.5525,0.40249999999999997,0.3425,,0.4375,0.6725,10.18,99.6225,0.8574999999999999,184.5825,0.0,0.0,237.85,,
2023-01-01 11:00:00,97.865,137.9875,21.7675,24.98,29.095,116.0325,6.205,0.9,1.75,3.6575,0.39,0.325,,0.445,0.74,11.095,99.62,0.7474999999999999,132.2725,0.0,0.0,221.875,,
2023-01-01 12:00:00,116.38250000000001,192.275,18.0475,25.23,27.2275,112.9075,6.725,0.9624999999999999,2.56,3.52,0.4,0.32,,0.375,0.7225,13.1675,99.6125,0.49,173.405,0.0,0.0,360.325,,
2023-01-01 13:00:00,134.58666666666667,237.15,12.366666666666667,31.09,25.099999999999998,110.63333333333333,7.8500000000000005,0.9833333333333334,5.373333333333332,3.51,0.3766666666666667,0.32666666666666666,,0.4166666666666667,0.68,14.219999999999999,99.59333333333332,0.7766666666666667,204.86,0.0,0.0,335.3,,
2023-01-01 14:00:00,142.3475,234.66750000000002,9.613333333333333,38.00666666666667,24.41,105.605,169.84,0.9775,34.847500000000004,3.4124999999999996,0.43,0.335,,0.38,0.6525,15.510000000000002,99.4025,0.775,208.3675,0.0,0.0,307.7,,
2023-01-01 15:00:00,154.0,243.325,11.205,49.7025,34.2675,131.5475,,1.0325,7.815,3.5324999999999998,0.395,0.375,,0.435,0.6525,15.182500000000001,99.44,0.58,191.22,0.0,0.0,156.5,,
2023-01-01 16:00:00,155.9925,254.2025,7.5725,39.78,26.0925,112.85249999999999,23.866666666666664,1.01,7.0825000000000005,3.7725,0.3925,0.31,,0.455,0.675,14.035,99.575,0.425,235.60000000000002,0.0,0.0,65.35,,
2023-01-01 17:00:00,159.6375,258.2075,23.1225,37.105000000000004,35.9675,127.6575,6.8675,1.17,1.51,3.4375,0.4,0.325,,0.3875,0.6875,12.33,99.6175,0.2275,178.305,0.0,0.0,13.275,,
