Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,28.11,59.48,NA,NA,NA,NA,13.07,0.49,6.48,NA,NA,NA,NA,NA,NA,NA,NA,0.80,352.81,NA,NA,NA,NA,NA
2025-01-01 01:00:00,28.17,59.60,NA,NA,NA,NA,13.56,0.50,6.13,NA,NA,NA,NA,NA,NA,NA,NA,0.78,351.29,NA,NA,NA,NA,NA
2025-01-01 02:00:00,29.24,61.88,NA,NA,NA,NA,13.75,0.44,5.88,NA,NA,NA,NA,NA,NA,NA,NA,0.63,340.50,NA,NA,NA,NA,NA
2025-01-01 03:00:00,28.62,60.58,NA,NA,NA,NA,13.53,0.42,6.06,NA,NA,NA,NA,NA,NA,NA,NA,0.82,344.24,NA,NA,NA,NA,NA
2025-01-01 04:00:00,27.86,58.96,NA,NA,NA,NA,13.57,0.41,5.98,NA,NA,NA,NA,NA,NA,NA,NA,0.71,334.20,NA,NA,NA,NA,NA
2025-01-01 05:00:00,28.95,61.25,NA,NA,NA,NA,13.43,0.49,6.31,NA,NA,NA,NA,NA,NA,NA,NA,0.77,260.78,NA,NA,NA,NA,NA
2025-01-01 06:00:00,28.90,61.16,NA,NA,NA,NA,13.67,0.64,5.97,NA,NA,NA,NA,NA,NA,NA,NA,0.68,343.45,NA,NA,NA,NA,NA
2025-01-01 07:00:00,28.80,60.94,NA,NA,NA,NA,13.94,0.74,6.25,NA,NA,NA,NA,NA,NA,NA,NA,0.60,351.43,NA,NA,NA,NA,NA
2025-01-01 08:00:00,27.02,57.17,NA,NA,NA,NA,12.05,0.70,7.96,NA,NA,NA,NA,NA,NA,NA,NA,0.95,94.24,NA,NA,NA,NA,NA
2025-01-01 09:00:00,28.84,61.01,NA,NA,NA,NA,12.23,0.61,18.88,NA,NA,NA,NA,NA,NA,NA,NA,1.44,14.27,NA,NA,NA,NA,NA
2025-01-01 10:00:00,30.61,64.75,NA,NA,NA,NA,12.23,0.59,26.21,NA,NA,NA,NA,NA,NA,NA,NA,1.41,15.15,NA,NA,NA,NA,NA
2025-01-01 11:00:00,31.32,66.28,NA,NA,NA,NA,12.23,0.45,31.84,NA,NA,NA,NA,NA,NA,NA,NA,1.66,18.51,NA,NA,NA,NA,NA
2025-01-01 12:00:00,28.41,60.12,NA,NA,NA,NA,12.23,0.40,29.19,NA,NA,NA,NA,NA,NA,NA,NA,1.36,17.70,NA,NA,NA,NA,NA
2025-01-01 13:00:00,26.20,55.44,NA,NA,NA,NA,12.70,0.43,32.04,NA,NA,NA,NA,NA,NA,NA,NA,1.63,17.80,NA,NA,NA,NA,NA
2025-01-01 14:00:00,25.19,53.30,NA,NA,NA,NA,12.23,0.45,31.98,NA,NA,NA,NA,NA,NA,NA,NA,1.58,20.55,NA,NA,NA,NA,NA
2025-01-01 15:00:00,25.47,53.89,NA,NA,NA,NA,12.23,0.42,25.25,NA,NA,NA,NA,NA,NA,NA,NA,1.88,11.68,NA,NA,NA,NA,NA
2025-01-01 16:00:00,24.16,51.12,NA,NA,NA,NA,12.23,0.46,34.36,NA,NA,NA,NA,NA,NA,NA,NA,1.52,14.50,NA,NA,NA,NA,NA
2025-01-01 17:00:00,24.83,52.54,NA,NA,NA,NA,12.23,0.78,18.19,NA,NA,NA,NA,NA,NA,NA,NA,1.20,102.09,NA,NA,NA,NA,NA
2025-01-01 18:00:00,26.85,56.81,NA,NA,NA,NA,12.23,0.62,12.14,NA,NA,NA,NA,NA,NA,NA,NA,1.24,91.42,NA,NA,NA,NA,NA
2025-01-01 19:00:00,26.95,57.03,NA,NA,NA,NA,12.23,0.72,13.44,NA,NA,NA,NA,NA,NA,NA,NA,1.14,180.51,NA,NA,NA,NA,NA
2025-01-01 20:00:00,25.58,54.11,NA,NA,NA,NA,12.23,0.74,12.89,NA,NA,NA,NA,NA,NA,NA,NA,1.10,263.23,NA,NA,NA,NA,NA
2025-01-01 21:00:00,25.26,53.44,NA,NA,NA,NA,12.23,0.72,11.35,NA,NA,NA,NA,NA,NA,NA,NA,1.16,351.99,NA,NA,NA,NA,NA
2025-01-01 22:00:00,24.49,51.82,NA,NA,NA,NA,12.23,0.69,11.02,NA,NA,NA,NA,NA,NA,NA,NA,1.02,269.27,NA,NA,NA,NA,NA
2025-01-01 23:00:00,26.19,55.42,NA,NA,NA,NA,12.23,0.60,10.64,NA,NA,NA,NA,NA,NA,NA,NA,0.92,117.86,NA,NA,NA,NA,NA
2025-01-02 00:00:00,25.67,54.31,NA,NA,NA,NA,12.23,0.57,10.26,NA,NA,NA,NA,NA,NA,NA,NA,0.70,353.23,NA,NA,NA,NA,NA
2025-01-02 01:00:00,25.61,54.20,NA,NA,NA,NA,12.23,0.51,9.06,NA,NA,NA,NA,NA,NA,NA,NA,0.62,261.74,NA,NA,NA,NA,NA
2025-01-02 02:00:00,24.48,51.80,NA,NA,NA,NA,12.23,0.54,6.78,NA,NA,NA,NA,NA,NA,NA,NA,0.38,306.32,NA,NA,NA,NA,NA
2025-01-02 03:00:00,25.66,54.30,NA,NA,NA,NA,12.23,0.58,6.73,NA,NA,NA,NA,NA,NA,NA,NA,0.38,324.48,NA,NA,NA,NA,NA
