Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,29.16,,9.52,0.46,6.58,,3.88,0.43,7.78,0.0,0.0,,,,,,76.4,1.36,60.68,,,0.5,,
2020-01-01 01:00:00,29.02,,7.05,1.86,8.09,,4.52,0.42,6.37,5.87,0.0,,,,,,80.01,1.38,67.33,,,0.18,,
2020-01-01 02:00:00,17.88,,9.15,1.01,7.11,,4.92,0.43,7.08,10.67,0.0,,,,,,80.78,1.12,51.24,,,0.5,,
2020-01-01 03:00:00,18.39,,9.54,1.24,7.44,,5.36,0.43,7.26,4.34,0.0,,,,,,80.53,1.11,38.96,,,0.27,,
2020-01-01 04:00:00,10.57,,6.25,1.1,5.19,,6.14,0.42,6.42,0.0,0.0,,,,,,85.93,0.91,126.54,,,0.4,,
2020-01-01 05:00:00,6.35,,11.02,1.37,11.21,,7.15,0.43,5.53,15.24,0.0,,,,,,87.2,1.15,241.81,,,0.37,,
2020-01-01 06:00:00,17.87,,10.02,0.7,8.41,,3.62,0.44,5.8,19.42,0.0,,,,,,89.91,1.33,193.28,,,1.14,,
2020-01-01 07:00:00,15.95,,10.6,0.86,9.11,,4.04,0.43,5.15,13.87,0.0,,,,,,91.24,0.69,205.9,,,18.55,,
2020-01-01 08:00:00,12.44,,9.28,5.08,13.83,,6.36,0.42,13.9,13.87,0.0,,,,,,91.24,0.87,153.34,,,55.27,,
2020-01-01 09:00:00,25.44,,14.27,2.07,15.08,,4.66,0.42,32.36,7.7,0.0,,,,,,91.24,1.0,65.45,,,256.92,,
2020-01-01 10:00:00,16.06,,9.54,1.58,9.28,,3.9,0.43,30.0,17.5,0.0,,,,,,90.47,1.22,28.12,,,243.83,,
2020-01-01 11:00:00,9.63,,9.12,3.04,11.77,,0.94,0.43,27.03,18.2,0.0,,,,,,88.8,1.21,82.6,,,145.57,,
2020-01-01 12:00:00,6.72,,7.59,2.73,9.15,,2.24,0.43,32.9,9.23,4.4,,,,,,85.27,1.14,63.44,,,209.05,,
2020-01-01 13:00:00,5.63,,9.89,1.07,9.56,,2.17,0.41,27.42,10.8,0.0,,,,,,84.2,1.19,78.1,,,292.22,,
2020-01-01 14:00:00,4.51,,4.91,3.24,7.66,,1.42,0.42,31.4,3.94,0.0,,,,,,80.72,1.52,27.08,,,248.68,,
2020-01-01 15:00:00,3.06,,8.44,2.04,9.22,,3.72,0.43,33.03,6.83,0.0,,,,,,77.98,1.5,31.68,,,218.11,,
2020-01-01 16:00:00,2.71,,6.97,1.32,6.29,,5.44,0.42,28.44,0.0,0.0,,,,,,78.68,1.3,38.83,,,108.04,,
