Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,84.50,184.50,1.48,50.12,27.85,23.18,2.82,0.75,23.35,0.20,1.70,0.10,NA,NA,NA,23.35,78.50,1.38,137.75,NA,0.00,14.75,712.25,NA
2021-01-01 01:00:00,77.50,174.50,1.52,43.08,24.15,23.35,2.58,0.74,21.92,0.20,1.70,0.10,NA,NA,NA,23.05,80.50,0.80,154.75,NA,0.00,14.25,712.00,NA
2021-01-01 02:00:00,78.25,174.50,1.50,38.78,21.88,23.83,2.90,0.69,20.15,0.20,1.70,0.10,NA,NA,NA,22.88,82.25,1.05,123.75,NA,0.00,15.00,712.00,NA
2021-01-01 03:00:00,78.50,174.50,1.62,25.20,14.70,27.15,2.90,0.58,30.68,0.20,1.70,0.10,NA,NA,NA,22.70,83.00,1.38,127.25,NA,0.00,15.00,712.00,NA
2021-01-01 04:00:00,85.75,184.25,1.58,18.55,11.15,25.28,2.12,0.51,27.78,0.20,1.70,0.10,NA,NA,NA,22.52,84.25,1.65,130.75,NA,0.00,15.00,712.00,NA
2021-01-01 05:00:00,83.50,173.25,1.12,19.23,11.15,24.72,2.40,0.56,26.22,0.20,1.70,0.10,NA,NA,NA,22.38,86.25,1.42,141.25,NA,0.00,15.00,712.00,NA
2021-01-01 06:00:00,80.00,173.25,0.82,19.05,10.80,24.83,3.95,0.58,25.85,0.20,1.70,0.10,NA,NA,NA,22.30,87.75,1.90,117.75,NA,0.00,15.00,712.50,NA
2021-01-01 07:00:00,82.00,167.50,1.48,14.80,8.75,23.38,3.95,0.47,31.02,0.20,1.70,0.10,NA,NA,NA,22.42,87.00,2.45,129.25,NA,0.00,31.50,713.00,NA
2021-01-01 08:00:00,79.00,157.00,1.78,14.70,9.25,22.05,4.15,0.41,32.95,0.20,1.70,0.10,NA,NA,NA,22.98,83.25,2.88,116.25,NA,0.00,102.50,713.75,NA
2021-01-01 09:00:00,80.00,157.00,1.68,14.92,9.30,22.35,5.30,0.42,36.70,0.20,1.70,0.10,NA,NA,NA,24.38,73.25,2.52,110.50,NA,0.00,200.25,714.00,NA
