Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,86.75,115.75,2.6,36.8,21.7,3.02,0.15,1.45,17.23,5.1,23.2,4.38,,,,26.6,77.25,0.48,113.0,0.0,0.0,56.0,711.75,-2.7
2024-01-01 01:00:00,86.25,105.5,2.88,33.52,20.15,3.45,0.15,1.35,19.15,4.9,22.58,4.1,,,,25.88,79.75,0.48,123.75,0.0,0.0,56.0,711.25,-2.7
2024-01-01 02:00:00,85.0,106.5,2.95,32.8,19.85,3.15,0.28,1.24,18.65,4.65,22.4,3.25,,,,26.55,79.75,0.57,125.5,0.0,0.0,56.0,711.0,-2.7
2024-01-01 03:00:00,80.75,112.0,2.88,32.6,19.7,3.58,0.7,1.14,18.37,4.3,23.15,2.78,,,,26.58,79.25,0.75,166.75,0.0,0.0,56.0,711.0,-2.7
2024-01-01 04:00:00,82.5,100.25,2.55,32.33,19.27,3.65,0.6,1.03,17.25,3.88,21.12,2.25,,,,25.9,81.0,0.52,185.5,0.0,0.0,56.0,711.0,-2.7
2024-01-01 05:00:00,70.5,81.75,2.33,30.02,17.85,3.82,0.88,0.95,15.95,3.52,15.45,1.88,,,,26.42,85.0,0.35,202.5,0.0,0.0,56.0,711.0,-2.7
2024-01-01 06:00:00,63.5,76.0,2.72,28.08,17.15,3.88,0.65,0.93,16.9,3.1,11.92,1.52,,,,26.68,86.5,0.38,216.0,0.0,0.0,56.0,711.75,-2.7
2024-01-01 07:00:00,57.75,74.0,2.68,26.92,16.48,3.8,0.72,0.93,17.18,2.9,9.0,1.3,,,,26.58,85.25,0.62,269.0,0.0,0.0,56.0,712.0,-2.7
2024-01-01 08:00:00,67.0,98.5,2.55,29.38,17.7,3.2,0.6,0.92,19.12,3.0,7.88,1.35,,,,26.45,75.5,1.1,195.5,0.0,0.0,56.0,713.0,-2.7
2024-01-01 09:00:00,76.75,128.5,2.38,31.1,18.48,3.72,0.3,0.7,18.18,3.38,7.52,1.45,,,,26.35,65.0,1.27,191.25,0.0,0.0,56.0,713.5,-2.7
2024-01-01 10:00:00,69.0,99.5,2.35,32.7,19.27,3.42,0.25,1.12,20.25,3.12,6.85,1.42,,,,26.48,57.0,1.45,152.0,0.0,0.0,69.5,714.0,-2.7
2024-01-01 11:00:00,63.0,81.75,3.0,31.7,19.3,3.4,0.3,1.06,21.55,3.02,7.28,1.55,,,,26.4,50.25,1.32,168.5,0.0,0.0,131.0,714.0,-2.7
2024-01-01 12:00:00,53.25,86.0,2.3,31.07,16.03,2.45,1.38,0.98,23.22,2.82,6.9,1.52,,,,26.72,45.75,1.25,163.0,0.0,0.0,138.25,713.0,-2.7
2024-01-01 13:00:00,50.5,85.25,2.52,32.08,19.1,2.05,1.98,0.98,23.38,2.9,7.32,1.7,,,,26.55,43.5,1.27,122.75,0.0,0.0,106.25,713.0,-2.7
2024-01-01 14:00:00,49.25,89.75,2.12,32.5,19.02,2.0,1.78,0.96,23.58,2.85,7.85,1.8,,,,26.38,42.0,1.4,85.25,0.0,0.0,56.5,712.0,-2.7
2024-01-01 15:00:00,50.0,85.25,2.22,30.9,18.23,2.08,1.98,0.92,24.02,2.88,8.75,2.02,,,,26.52,45.75,1.78,93.5,0.0,0.0,56.0,712.0,-2.7
2024-01-01 16:00:00,51.0,90.0,2.48,28.67,17.25,2.25,1.92,1.03,23.35,2.72,8.88,2.48,,,,26.35,48.5,1.65,90.0,0.0,0.0,56.0,711.75,-2.7
2024-01-01 17:00:00,54.25,85.5,2.38,31.52,18.68,2.3,1.32,1.16,22.18,2.88,9.98,2.4,,,,26.32,50.5,1.5,106.75,0.0,0.0,56.0,711.0,-2.7
2024-01-01 18:00:00,57.25,93.0,2.6,37.35,21.98,1.38,1.78,1.37,19.2,3.72,13.65,3.78,,,,26.25,54.25,1.02,115.0,0.0,0.0,56.0,711.0,-2.7
2024-01-01 19:00:00,65.0,99.5,2.9,38.8,23.0,2.08,2.28,1.56,18.12,5.18,18.52,4.9,,,,26.62,55.75,1.05,143.5,0.0,0.0,56.0,712.0,-2.7
2024-01-01 20:00:00,68.25,95.5,2.72,38.08,22.48,2.17,1.98,1.54,17.45,5.43,18.67,4.03,,,,26.5,59.5,1.05,152.0,0.0,0.0,56.0,712.0,-2.7
2024-01-01 21:00:00,68.75,103.75,2.62,38.35,22.52,2.38,1.18,1.51,19.27,5.82,19.23,5.0,,,,26.4,64.0,1.25,182.25,0.0,0.0,56.0,712.0,-2.7
2024-01-01 22:00:00,68.75,93.75,2.4,37.85,22.08,2.88,0.9,1.39,19.38,5.42,17.48,4.78,,,,26.3,68.5,1.25,144.0,0.0,0.0,56.0,712.0,-2.7
2024-01-01 23:00:00,71.25,82.75,2.55,37.98,22.25,2.9,0.78,1.33,19.68,5.0,15.6,4.25,,,,26.42,71.25,1.05,130.5,0.0,0.0,56.0,712.0,-2.7
2024-01-02 00:00:00,72.0,80.0,2.52,37.78,22.12,2.58,1.45,1.24,18.75,4.47,13.38,3.5,,,,26.45,73.5,0.9,127.75,0.0,0.0,56.0,712.0,-2.7
2024-01-02 01:00:00,71.0,81.25,2.78,36.38,21.6,2.98,2.05,1.16,18.48,4.02,11.6,2.98,,,,25.88,75.0,0.7,118.0,0.0,0.0,56.0,711.25,-2.7
2024-01-02 02:00:00,68.25,74.75,2.68,34.05,20.3,3.38,1.95,1.04,19.95,3.48,9.4,2.38,,,,26.05,77.75,0.5,123.5,0.0,0.0,56.0,711.0,-2.7
2024-01-02 03:00:00,69.25,72.75,2.55,32.95,19.62,3.25,2.12,0.96,18.53,3.25,7.78,1.98,,,,26.65,79.25,0.62,126.75,0.0,0.0,56.0,711.0,-2.7
2024-01-02 04:00:00,69.25,77.0,2.75,33.02,19.77,3.32,1.6,0.9,19.48,2.95,6.32,1.6,,,,26.4,81.5,0.78,152.25,0.0,0.0,56.0,711.0,-2.7
2024-01-02 05:00:00,67.25,76.75,3.02,32.92,19.98,3.2,,0.88,17.85,2.75,5.25,1.2,,,,26.25,83.5,0.68,159.75,0.0,0.0,56.0,711.0,-2.7
2024-01-02 06:00:00,68.5,83.5,2.4,32.4,19.2,3.22,,0.91,17.5,2.5,4.55,1.2,,,,26.55,85.75,0.68,134.0,0.0,0.0,56.0,711.0,-2.7
2024-01-02 07:00:00,69.0,80.25,2.42,31.45,18.73,3.18,0.1,0.94,17.2,2.52,4.47,1.25,,,,26.6,86.5,0.68,143.0,0.0,0.0,56.0,711.75,-2.7
2024-01-02 08:00:00,68.5,87.5,2.25,32.52,19.15,2.88,0.42,0.94,18.22,2.92,4.68,1.23,,,,26.5,82.5,1.05,158.25,0.0,0.0,56.0,712.0,-2.7
2024-01-02 09:00:00,77.75,99.25,2.42,33.52,19.8,3.35,0.6,0.78,19.98,3.35,6.58,1.75,,,,26.38,73.25,1.42,151.75,0.0,0.0,56.0,713.0,-2.7
2024-01-02 10:00:00,84.0,106.75,2.35,34.3,20.15,3.3,0.45,1.28,21.9,3.62,8.85,1.5,,,,26.3,68.75,1.7,114.75,0.0,0.0,59.75,713.0,-2.7
2024-01-02 11:00:00,84.75,116.75,2.05,34.75,20.15,4.2,0.4,1.29,22.25,4.3,13.65,2.33,,,,26.5,61.5,1.42,148.0,0.0,0.0,82.75,713.0,-2.7
2024-01-02 12:00:00,77.5,110.75,2.7,29.3,15.17,4.63,1.75,1.14,30.8,4.08,13.25,2.5,,,,26.6,54.0,1.55,130.5,0.0,0.0,103.0,712.75,-2.7
2024-01-02 13:00:00,72.75,103.75,2.38,32.75,19.38,3.92,2.85,1.12,31.6,3.68,11.02,2.2,,,,27.02,49.5,1.58,123.75,0.0,0.0,94.25,712.0,-2.7
2024-01-02 14:00:00,61.5,101.75,2.35,28.6,17.12,4.32,2.55,1.07,46.53,3.82,11.55,2.62,,,,27.02,49.5,1.48,102.5,0.0,0.0,57.0,712.0,-2.7
2024-01-02 15:00:00,58.0,99.25,2.55,27.7,16.8,4.03,2.52,1.11,29.78,4.0,16.2,3.2,,,,27.35,50.75,1.75,98.75,0.0,0.0,56.0,711.0,-2.7
2024-01-02 16:00:00,62.0,104.25,2.5,31.2,18.68,2.78,1.92,1.21,26.12,4.25,18.58,3.72,,,,26.92,51.5,1.55,101.5,0.0,0.0,56.0,711.0,-2.7
