Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,17.9,83.26,3.87,6.94,10.96,5.47,10.61,0.57,7.6,0.98,2.53,0.74,,0.86,0.78,16.83,91.87,0.26,67.07,0.0,0.0,11.24,,
2024-01-01 01:00:00,18.54,73.12,3.95,6.9,10.79,5.5,10.61,1.26,7.72,1.02,2.49,0.72,,0.85,0.79,15.98,95.59,0.27,88.02,0.0,0.0,11.48,,
2024-01-01 02:00:00,15.3,76.82,3.82,6.9,10.84,5.64,10.61,0.54,7.54,0.96,2.5,0.72,,0.85,0.81,15.74,98.21,0.42,213.24,0.0,0.0,11.35,,
2024-01-01 03:00:00,19.88,76.88,3.9,6.87,10.85,5.54,10.61,0.46,7.66,1.0,2.5,0.71,,0.85,0.8,15.24,99.04,0.16,177.2,0.0,0.0,11.41,,
2024-01-01 04:00:00,18.26,95.66,3.91,6.88,10.81,5.52,10.61,1.24,7.66,1.0,2.49,0.72,,0.84,0.79,14.98,99.24,0.33,174.28,0.0,0.0,11.5,,
2024-01-01 05:00:00,13.41,90.99,3.86,6.84,10.69,5.46,10.63,0.86,7.58,0.98,2.46,0.72,,0.84,0.78,14.84,99.25,0.22,133.18,0.0,0.0,11.54,,
2024-01-01 06:00:00,15.63,89.5,3.83,6.9,11.04,5.48,10.63,0.34,7.54,0.97,2.55,0.71,,0.85,0.79,15.0,99.25,0.29,182.81,0.0,0.0,12.38,,
2024-01-01 07:00:00,26.24,90.3,3.93,7.01,10.77,5.54,10.61,0.4,7.69,1.01,2.48,0.72,,0.87,0.8,15.21,99.25,0.51,163.95,0.0,0.0,49.22,,
2024-01-01 08:00:00,22.94,79.44,3.84,6.93,10.76,5.43,10.65,1.3,7.56,0.97,2.48,0.74,,0.86,0.78,18.29,90.66,0.95,136.45,0.0,0.0,144.89,,
2024-01-01 09:00:00,17.23,75.47,3.85,6.91,10.94,5.49,10.66,0.49,7.57,0.98,2.53,0.71,,0.85,0.79,21.76,67.83,1.34,124.19,0.0,0.0,332.74,,
2024-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 12:00:00,14.51,78.03,3.82,7.09,,5.52,10.7,0.27,7.53,0.96,2.32,0.72,,0.89,0.79,27.94,40.54,0.78,92.18,0.0,0.0,579.95,,
2024-01-01 13:00:00,16.65,73.6,3.88,6.93,10.56,5.74,10.69,0.24,7.62,0.99,2.45,0.72,,0.86,0.82,28.3,36.49,0.67,69.45,0.0,0.0,547.55,,
2024-01-01 14:00:00,23.66,74.69,5.32,8.57,12.96,7.43,10.7,0.25,25.54,2.0,4.3,0.75,,0.86,0.79,29.83,32.22,0.49,96.41,0.0,0.0,468.84,,
2024-01-01 15:00:00,20.39,81.2,5.42,8.7,12.71,7.42,10.69,0.92,25.94,1.98,4.26,0.74,,0.86,0.82,29.16,32.92,0.67,88.11,0.0,0.0,338.06,,
2024-01-01 16:00:00,14.96,89.02,5.3,8.63,12.97,7.41,10.65,0.01,25.67,1.94,4.3,0.72,,0.86,0.82,28.19,35.13,0.7,73.21,0.0,0.0,168.54,,
2024-01-01 17:00:00,15.92,94.88,5.33,8.64,13.33,7.42,10.66,0.01,25.91,1.97,4.25,0.74,,0.87,0.81,26.08,42.02,0.52,73.75,0.0,0.0,42.75,,
2024-01-01 18:00:00,23.15,81.32,5.31,8.8,13.0,7.38,10.66,0.04,25.62,2.0,4.22,0.71,,0.86,0.76,23.55,51.51,0.6,67.07,0.0,0.0,11.18,,
2024-01-01 19:00:00,20.89,72.05,5.25,8.74,13.06,7.38,10.66,0.41,25.96,1.94,4.26,0.73,,0.84,0.81,22.24,57.51,0.42,87.05,0.0,0.0,11.29,,
2024-01-01 20:00:00,14.99,69.77,5.32,8.58,12.88,7.37,10.67,0.01,15.1,1.97,4.25,0.7,,0.84,0.81,21.2,63.1,0.52,102.73,0.0,0.0,11.06,,
2024-01-01 21:00:00,12.97,79.08,5.22,8.79,12.86,7.42,10.68,0.01,8.16,1.93,4.24,0.72,,0.88,0.81,20.28,68.38,0.45,107.66,0.0,0.0,11.32,,
2024-01-01 22:00:00,17.48,86.18,5.29,8.61,12.9,7.33,10.68,0.33,8.26,1.95,4.24,0.74,,0.84,0.78,19.47,70.75,0.76,124.41,0.0,0.0,11.07,,
2024-01-01 23:00:00,12.23,79.96,5.22,8.81,13.03,7.44,10.67,0.2,8.16,1.93,4.27,0.72,,0.88,0.82,18.74,75.66,0.48,107.06,0.0,0.0,11.36,,
2024-01-02 00:00:00,11.31,77.67,5.28,8.75,13.12,7.4,10.67,0.34,8.25,1.95,4.29,0.74,,0.86,0.8,18.17,81.04,0.47,110.66,0.0,0.0,11.18,,
