Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,129.29,183.45,122.72,88.82,211.54,143.80,12.07,1.49,14.74,11.76,NA,NA,NA,1.78,7.39,12.19,NA,1.08,117.76,0.00,0.00,NA,740.42,NA
2022-01-01 01:00:00,136.20,201.98,97.10,80.43,177.53,120.75,10.78,1.38,13.65,8.94,NA,NA,NA,NA,4.00,11.89,NA,1.35,127.96,0.00,0.00,NA,740.20,NA
2022-01-01 02:00:00,138.13,190.78,24.95,76.62,101.57,69.09,9.16,0.74,15.42,6.64,NA,NA,NA,NA,3.04,11.66,NA,1.30,112.64,0.00,0.00,NA,739.78,NA
2022-01-01 03:00:00,107.59,155.69,19.12,81.89,101.00,68.66,8.71,0.75,14.29,3.60,NA,NA,NA,NA,0.98,11.44,NA,1.30,31.10,0.00,0.00,NA,739.56,NA
2022-01-01 04:00:00,99.02,142.25,12.17,76.66,88.83,60.94,7.37,0.61,18.52,4.20,NA,NA,NA,NA,0.94,11.53,NA,1.72,40.84,0.00,0.00,NA,739.36,NA
2022-01-01 05:00:00,71.99,126.84,14.70,76.40,91.10,62.15,5.99,0.64,13.38,3.49,NA,NA,NA,NA,0.50,10.87,NA,0.77,94.02,0.00,0.00,NA,739.49,NA
2022-01-01 06:00:00,96.51,135.92,8.16,64.73,72.88,49.87,5.35,0.72,23.54,2.80,NA,NA,NA,NA,0.40,10.69,NA,1.26,80.14,0.00,0.00,NA,739.71,NA
2022-01-01 07:00:00,84.10,129.30,13.79,84.44,98.23,66.88,5.61,1.12,17.30,6.20,NA,NA,NA,NA,0.43,10.77,NA,1.02,117.17,0.00,0.00,NA,740.43,NA
2022-01-01 08:00:00,119.91,147.20,6.35,43.02,49.37,34.71,12.64,0.51,47.33,9.50,NA,NA,NA,NA,0.78,12.69,NA,1.21,82.56,0.00,0.00,NA,740.86,NA
2022-01-01 09:00:00,83.64,135.21,2.34,24.92,27.26,20.04,12.33,0.40,64.50,1.76,NA,NA,NA,NA,0.26,14.80,NA,1.34,72.08,0.00,0.00,NA,741.13,NA
2022-01-01 10:00:00,72.75,108.44,2.22,26.99,28.03,21.16,11.80,0.46,71.48,1.71,NA,NA,NA,NA,0.15,15.26,NA,1.40,78.07,0.00,0.00,NA,741.30,NA
2022-01-01 11:00:00,71.33,88.68,2.29,26.03,28.32,20.52,11.50,0.51,73.64,1.60,NA,NA,NA,NA,0.12,16.54,NA,1.00,119.60,0.00,0.00,NA,740.93,NA
2022-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 18:00:00,65.40,107.51,NA,89.24,92.30,63.68,9.15,0.00,22.82,6.16,NA,NA,NA,NA,1.36,15.55,NA,1.39,165.60,0.00,0.00,NA,738.65,NA
2022-01-01 19:00:00,95.71,130.24,4.93,86.62,90.87,62.06,7.78,0.46,21.89,10.26,NA,NA,NA,NA,2.10,15.49,NA,1.44,164.01,0.00,0.00,NA,738.91,NA
2022-01-01 20:00:00,102.26,154.68,6.34,91.41,97.75,66.92,10.48,1.64,17.48,8.36,NA,NA,NA,NA,1.31,14.88,NA,1.15,148.22,0.00,0.00,NA,739.43,NA
2022-01-01 21:00:00,129.21,169.00,91.60,115.15,206.75,142.12,12.73,4.42,16.97,30.08,NA,NA,NA,NA,2.16,13.78,NA,1.12,107.46,0.00,0.00,NA,739.63,NA
2022-01-01 22:00:00,256.38,320.32,18.54,95.77,114.30,77.90,13.26,1.34,11.98,29.64,NA,NA,NA,1.71,7.70,13.44,NA,0.83,166.13,0.00,0.00,NA,739.49,NA
2022-01-01 23:00:00,178.80,232.99,9.71,82.04,91.76,62.52,10.39,0.84,12.57,10.43,NA,NA,NA,NA,1.46,12.98,NA,0.89,117.36,0.00,0.00,NA,739.44,NA
2022-01-02 00:00:00,134.04,181.56,53.38,86.78,140.16,95.43,8.78,1.04,11.15,9.95,NA,NA,NA,NA,2.24,12.30,NA,1.33,108.51,0.00,0.00,NA,738.98,NA
