Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,48.49,141.02,3.05,19.91,22.96,15.88,10.82,0.73,53.11,2.49,,,0.22,0.19,0.48,,,2.46,53.14,,0.0,,736.88,
2020-01-01 01:00:00,38.75,123.43,3.21,19.09,22.3,15.94,11.24,0.73,57.25,2.26,,,0.16,0.13,0.23,,,2.24,55.11,,0.0,,736.71,
2020-01-01 02:00:00,53.44,106.35,3.86,21.8,25.65,17.56,11.35,0.76,54.61,2.36,,,0.13,0.14,0.2,,,1.5,116.03,,0.0,,736.8,
2020-01-01 03:00:00,40.3,122.82,4.64,31.65,36.29,22.21,10.97,0.77,44.38,2.6,,,0.14,0.1,0.29,,,1.35,35.44,,0.0,,736.83,
2020-01-01 04:00:00,49.18,133.03,3.39,16.91,20.3,15.0,11.28,0.95,62.08,2.68,,,0.14,0.14,0.28,,,1.41,58.82,,0.0,,736.82,
2020-01-01 05:00:00,53.7,128.54,2.52,13.9,16.43,13.79,11.17,1.0,64.15,2.88,,,0.12,0.14,0.18,,,2.0,58.86,,0.0,,736.94,
2020-01-01 06:00:00,51.46,123.98,3.08,20.24,23.32,17.25,11.9,0.92,59.48,3.07,,,0.07,0.1,0.16,,,2.62,45.4,,0.0,,737.32,
2020-01-01 07:00:00,38.53,133.7,4.69,29.42,34.11,22.02,11.05,1.12,49.76,3.36,,,0.15,0.16,0.21,,,2.46,28.78,,0.0,,737.99,
2020-01-01 08:00:00,64.11,151.44,9.12,47.69,56.82,32.61,11.26,1.32,35.31,4.83,,,0.34,0.27,0.68,,,2.48,30.36,,0.0,,738.9,
2020-01-01 09:00:00,71.52,172.13,8.17,38.61,46.78,28.26,12.34,1.26,50.32,4.94,,,0.83,0.41,1.62,,,2.5,42.89,,0.0,,739.68,
2020-01-01 10:00:00,55.65,156.87,4.16,24.72,28.88,20.15,12.92,1.25,60.57,4.61,,,0.86,0.43,1.87,,,1.49,64.65,,0.0,,740.19,
2020-01-01 11:00:00,61.9,157.23,2.96,17.76,20.72,16.53,12.93,1.22,75.76,5.08,,,0.43,0.3,0.95,,,1.58,81.65,,0.0,,739.77,
2020-01-01 12:00:00,55.94,148.2,3.17,19.4,22.58,17.12,13.01,1.0,79.22,4.11,,,0.29,0.19,0.46,,,1.81,76.58,,0.0,,739.12,
2020-01-01 13:00:00,57.84,144.05,3.49,20.61,24.09,18.22,15.6,0.99,93.32,3.92,,,0.37,0.23,0.68,,,2.59,56.51,,0.0,,738.2,
2020-01-01 14:00:00,56.35,131.52,3.11,19.69,22.8,18.05,22.71,0.92,99.48,2.88,,,0.38,0.23,0.73,,,2.72,56.88,,0.0,,737.55,
2020-01-01 15:00:00,36.59,132.22,2.55,17.7,20.25,16.46,24.78,0.8,105.05,2.19,,,0.34,0.21,0.67,,,2.72,58.67,,0.0,,737.3,
2020-01-01 16:00:00,33.31,131.77,3.26,19.28,22.55,16.78,26.52,0.62,105.29,1.82,,,0.22,0.16,0.5,,,2.3,62.58,,0.0,,737.29,
2020-01-01 17:00:00,54.69,120.27,2.6,22.8,25.4,18.35,20.38,0.76,94.94,1.98,,,0.25,0.13,0.51,,,2.6,55.44,,0.0,,737.67,
2020-01-01 18:00:00,42.38,139.09,2.94,32.5,33.46,24.26,15.38,0.94,78.24,2.67,,,0.39,0.42,0.97,,,2.31,58.82,,0.0,,738.18,
2020-01-01 19:00:00,63.09,134.6,2.69,26.88,29.57,21.36,,0.98,76.18,3.08,,,0.49,0.49,1.22,,,2.2,59.19,,0.0,,738.76,
2020-01-01 20:00:00,50.34,131.67,2.77,26.0,28.76,20.24,9.99,0.8,75.55,3.3,,,0.46,0.32,1.01,,,2.01,61.67,,0.0,,739.33,
