Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,102.30,127.90,21.18,29.77,50.95,42.03,15.85,1.29,35.91,4.59,0.41,NA,NA,0.19,0.13,NA,98.11,0.52,268.62,0.00,0.00,127.42,738.02,NA
2025-01-01 01:00:00,85.45,105.78,13.31,33.92,47.24,37.79,16.02,1.21,38.64,4.12,1.11,NA,NA,0.34,0.54,NA,98.07,0.39,288.60,0.00,0.00,141.65,737.98,NA
2025-01-01 02:00:00,51.28,77.70,14.44,30.08,44.53,35.25,18.61,0.96,29.79,3.14,2.94,NA,NA,1.63,0.28,NA,98.19,0.49,249.25,0.00,0.00,142.33,737.88,NA
2025-01-01 03:00:00,44.50,67.95,20.71,31.54,52.25,42.02,20.37,0.94,25.44,2.35,1.99,NA,NA,0.22,0.66,NA,98.24,0.36,293.04,0.00,0.00,141.88,737.50,NA
2025-01-01 04:00:00,57.80,68.00,15.74,30.14,45.88,37.26,18.66,0.96,35.72,2.54,4.52,NA,NA,2.17,0.30,NA,98.10,0.74,316.86,0.00,0.00,141.78,737.22,NA
2025-01-01 05:00:00,50.70,63.10,10.27,25.58,33.48,26.52,14.50,0.90,39.41,1.58,1.42,NA,NA,0.34,0.36,NA,98.12,0.61,308.53,0.00,0.00,139.95,737.28,NA
2025-01-01 06:00:00,36.35,66.07,9.83,25.32,35.15,27.48,15.71,0.99,42.63,1.35,3.18,NA,NA,3.20,0.29,NA,98.26,0.76,296.67,0.00,0.00,139.34,737.58,NA
2025-01-01 07:00:00,37.20,52.63,2.24,23.71,24.20,18.54,13.32,0.96,38.23,1.27,2.70,NA,NA,0.30,0.56,NA,98.25,0.94,295.75,0.00,0.00,147.38,738.03,NA
2025-01-01 08:00:00,42.92,49.80,11.35,22.06,33.40,26.77,21.01,0.86,33.87,2.22,2.86,NA,NA,0.36,0.37,NA,98.12,0.74,311.41,0.00,0.00,191.94,738.58,NA
2025-01-01 09:00:00,NA,95.40,21.28,29.87,51.14,41.32,23.91,0.78,30.59,1.35,2.01,NA,NA,2.61,0.65,NA,98.13,0.66,295.36,0.00,0.00,243.60,739.15,NA
