Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,38.62,95.82,2.8,22.23,25.02,26.42,19.2,0.7,44.06,3.24,25.9,,0.06,0.44,1.14,,33.49,0.98,78.78,0.0,0.0,91.97,735.08,
2020-01-01 01:00:00,30.58,75.75,4.21,18.5,22.7,23.8,31.52,1.21,48.6,3.04,28.4,,0.05,0.42,1.08,,34.3,1.04,79.56,0.0,0.0,92.88,734.9,
2020-01-01 02:00:00,33.3,70.82,4.58,18.45,23.03,24.52,33.06,1.39,38.68,2.84,27.91,,0.04,0.36,0.86,,37.33,0.53,156.83,0.0,0.0,85.81,735.05,
2020-01-01 03:00:00,37.5,79.95,4.07,17.26,21.32,22.6,22.91,1.32,38.3,3.26,33.32,,0.06,0.46,1.06,,49.56,0.62,97.49,0.0,0.0,89.66,735.2,
2020-01-01 04:00:00,45.08,86.98,4.1,18.04,22.08,23.45,17.05,0.54,39.39,3.66,32.2,,0.04,0.42,0.84,,56.8,1.0,93.03,0.0,0.0,93.3,735.15,
2020-01-01 05:00:00,46.82,94.12,3.5,18.84,22.33,23.5,30.78,0.89,42.59,3.76,31.14,,0.04,0.41,0.8,,61.24,0.72,66.89,0.0,0.0,88.43,735.22,
2020-01-01 06:00:00,52.05,101.38,1.98,20.58,22.56,24.15,39.17,1.65,43.06,4.14,26.31,,0.04,0.38,0.74,,65.65,0.65,97.48,0.0,0.0,86.73,735.6,
2020-01-01 07:00:00,54.15,106.58,4.27,28.55,32.82,34.43,37.2,1.99,28.08,4.34,19.39,,0.02,0.32,0.5,,65.79,0.66,333.07,0.0,0.0,102.9,736.15,
2020-01-01 08:00:00,58.5,122.2,1.5,34.49,35.92,37.45,5.8,0.64,44.65,2.44,9.79,,0.02,0.18,0.34,,57.99,0.41,154.13,0.0,0.0,238.95,736.8,
2020-01-01 09:00:00,66.1,140.98,,,,,1.84,,44.24,4.32,21.62,,0.08,0.46,1.17,,52.17,0.7,127.1,0.0,0.0,373.46,737.42,
2020-01-01 10:00:00,61.62,141.2,3.97,47.32,51.28,52.97,12.74,1.22,50.17,5.62,21.82,,0.12,0.66,1.8,,53.64,1.08,68.13,0.0,0.0,446.59,737.92,
2020-01-01 11:00:00,54.95,139.2,7.02,46.62,53.52,56.32,17.57,1.39,54.72,6.57,8.16,,0.17,0.75,1.99,,54.9,1.55,99.67,0.0,0.0,448.64,737.65,
2020-01-01 12:00:00,56.0,143.3,5.64,44.27,49.92,52.7,16.18,1.46,57.45,6.26,11.37,,0.26,0.91,2.33,,52.46,1.56,92.31,0.0,0.0,489.46,737.05,
2020-01-01 13:00:00,57.1,149.0,6.38,37.06,43.44,45.75,9.13,1.26,68.19,6.01,13.97,,0.29,0.95,2.31,,48.75,1.38,85.33,0.0,0.0,445.66,736.28,
2020-01-01 14:00:00,59.45,133.68,5.12,39.14,44.24,46.85,9.72,0.71,72.46,5.56,15.68,,0.31,1.03,2.41,,44.6,1.41,82.18,0.0,0.0,364.75,735.75,
2020-01-01 15:00:00,51.82,127.88,4.86,36.72,41.57,43.9,23.47,0.9,67.01,4.56,17.06,,0.18,0.86,2.08,,42.98,1.59,86.6,0.0,0.0,254.26,735.48,
2020-01-01 16:00:00,51.65,132.15,4.53,40.75,45.12,47.22,18.52,1.06,59.92,4.64,21.84,,0.18,0.94,2.24,,43.23,1.34,75.29,0.0,0.0,145.33,735.48,
2020-01-01 17:00:00,55.3,126.48,4.18,43.74,47.8,50.32,12.68,1.17,63.02,4.89,24.82,,0.25,1.14,2.6,,46.93,1.68,81.01,0.0,0.0,90.47,735.8,
2020-01-01 18:00:00,62.7,131.4,5.38,49.85,55.23,58.08,0.03,0.87,47.93,5.94,24.17,,0.31,1.34,2.92,,53.98,1.13,70.66,0.0,0.0,76.5,736.25,
2020-01-01 19:00:00,62.88,131.93,6.54,48.46,55.0,58.05,6.34,0.92,53.25,6.71,27.13,,0.39,1.45,3.31,,57.46,1.14,65.51,0.0,0.0,76.36,736.72,
2020-01-01 20:00:00,56.25,123.32,4.78,41.47,46.25,48.75,11.1,1.33,53.39,5.77,27.18,,0.26,1.09,2.64,,58.57,1.0,68.5,0.0,0.0,77.65,737.28,
2020-01-01 21:00:00,54.15,120.68,3.51,37.04,40.55,42.68,11.68,1.35,52.34,5.5,29.38,,0.22,0.98,2.4,,58.99,1.14,76.74,0.0,0.0,83.26,737.45,
2020-01-01 22:00:00,56.6,119.75,4.55,26.4,30.96,32.5,6.89,1.05,61.42,4.78,27.71,,0.14,0.66,1.66,,60.58,1.82,79.88,0.0,0.0,86.85,737.4,
2020-01-01 23:00:00,57.0,125.7,2.52,21.32,23.85,24.85,,0.26,57.92,4.33,25.63,,0.05,0.48,0.95,,60.74,1.7,75.93,0.0,0.0,85.06,737.28,
