latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.889278,75.83149,445.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,6.4,94,5.6,9.7,63,0.00,966.3,51,0.0
2020-01-01T01:00,6.8,92,5.6,11.0,58,0.00,965.9,12,0.0
2020-01-01T02:00,6.7,92,5.5,10.9,56,0.00,965.5,10,0.0
2020-01-01T03:00,6.5,92,5.4,10.0,60,0.00,965.4,13,0.0
2020-01-01T04:00,6.4,93,5.3,9.3,62,0.00,965.6,16,0.0
2020-01-01T05:00,6.9,86,4.7,10.9,63,0.00,965.5,21,0.0
2020-01-01T06:00,6.8,86,4.6,10.8,60,0.00,966.1,21,0.0
2020-01-01T07:00,6.9,86,4.6,11.9,65,0.00,966.8,9,1.0
2020-01-01T08:00,8.7,77,4.8,14.0,72,0.00,968.2,11,76.0
2020-01-01T09:00,11.0,66,5.0,15.5,78,0.00,969.3,31,241.0
2020-01-01T10:00,13.1,59,5.3,16.6,86,0.00,969.8,37,398.0
2020-01-01T11:00,15.0,54,5.8,16.9,91,0.00,969.4,15,538.0
2020-01-01T12:00,16.6,50,6.2,17.0,94,0.00,968.4,0,608.0
2020-01-01T13:00,17.6,48,6.5,17.3,91,0.00,967.4,0,608.0
2020-01-01T14:00,18.1,47,6.7,16.9,88,0.00,966.9,0,542.0
2020-01-01T15:00,18.1,48,6.9,17.1,83,0.00,966.4,5,416.0
2020-01-01T16:00,17.4,51,7.2,16.5,80,0.00,966.3,0,249.0
2020-01-01T17:00,15.2,61,7.7,10.1,73,0.00,966.5,0,79.0
2020-01-01T18:00,13.5,69,7.9,11.9,65,0.00,967.0,0,1.0
2020-01-01T19:00,12.7,74,8.1,13.9,69,0.00,967.5,0,0.0
2020-01-01T20:00,11.8,78,8.1,13.4,63,0.00,968.3,0,0.0
2020-01-01T21:00,11.2,81,8.1,13.2,61,0.00,968.7,6,0.0
2020-01-01T22:00,10.8,84,8.1,13.0,62,0.00,968.9,10,0.0
2020-01-01T23:00,10.3,87,8.2,12.6,63,0.00,968.7,5,0.0
2020-01-02T00:00,9.9,88,8.0,12.6,66,0.00,968.2,1,0.0
2020-01-02T01:00,9.5,89,7.9,12.9,67,0.00,968.0,0,0.0
2020-01-02T02:00,9.2,90,7.7,12.2,66,0.00,967.6,0,0.0
2020-01-02T03:00,8.9,91,7.5,12.1,60,0.00,967.1,0,0.0
2020-01-02T04:00,8.7,91,7.3,11.7,56,0.00,966.8,0,0.0
2020-01-02T05:00,8.6,88,6.8,11.3,53,0.00,966.6,0,0.0
2020-01-02T06:00,8.6,88,6.7,10.5,52,0.00,967.2,0,0.0
2020-01-02T07:00,8.6,88,6.7,10.8,53,0.00,967.8,1,1.0
2020-01-02T08:00,10.9,77,7.0,13.3,57,0.00,969.2,7,79.0
2020-01-02T09:00,13.6,67,7.7,13.0,66,0.00,970.2,13,238.0
2020-01-02T10:00,15.9,59,7.8,12.7,75,0.00,970.5,17,394.0
2020-01-02T11:00,17.4,54,7.9,12.6,88,0.00,969.8,22,487.0
2020-01-02T12:00,18.5,54,9.0,12.2,90,0.00,968.7,26,547.0
2020-01-02T13:00,19.2,53,9.5,13.3,87,0.00,967.5,29,523.0
2020-01-02T14:00,19.3,55,10.0,13.3,87,0.00,966.5,34,448.0
2020-01-02T15:00,19.0,57,10.2,13.7,92,0.00,966.0,67,332.0
2020-01-02T16:00,18.1,62,10.8,12.4,98,0.00,966.0,50,174.0
2020-01-02T17:00,16.7,66,10.4,5.9,104,0.00,966.2,55,57.0
2020-01-02T18:00,15.4,73,10.5,8.1,103,0.00,966.3,25,1.0
2020-01-02T19:00,14.7,77,10.6,9.0,85,0.00,966.7,20,0.0
2020-01-02T20:00,13.8,82,10.7,8.8,71,0.00,967.3,18,0.0
2020-01-02T21:00,13.0,86,10.6,7.8,56,0.00,967.6,23,0.0
2020-01-02T22:00,12.4,88,10.5,7.1,41,0.00,967.6,24,0.0
2020-01-02T23:00,12.0,90,10.5,7.1,30,0.00,967.2,25,0.0
2020-01-03T00:00,11.9,91,10.5,7.8,22,0.00,967.0,24,0.0
