latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.959578,75.81576,475.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,6.4,94,5.5,10.4,70,0.00,962.7,52,0.0
2020-01-01T01:00,6.6,92,5.5,11.0,67,0.00,962.3,19,0.0
2020-01-01T02:00,6.5,92,5.3,11.1,61,0.00,961.9,8,0.0
2020-01-01T03:00,6.5,91,5.2,10.8,64,0.00,961.8,9,0.0
2020-01-01T04:00,6.4,91,5.1,10.5,68,0.00,962.0,12,0.0
2020-01-01T05:00,6.8,84,4.4,11.8,67,0.00,962.0,16,0.0
2020-01-01T06:00,6.8,84,4.3,11.4,66,0.00,962.6,29,0.0
2020-01-01T07:00,7.0,84,4.4,12.6,70,0.00,963.3,16,1.0
2020-01-01T08:00,8.8,74,4.5,14.8,76,0.00,964.7,8,75.0
2020-01-01T09:00,11.0,65,4.7,16.0,81,0.00,965.9,28,240.0
2020-01-01T10:00,13.1,58,5.1,16.9,89,0.00,966.3,38,397.0
2020-01-01T11:00,15.0,53,5.5,17.3,95,0.00,965.9,21,537.0
2020-01-01T12:00,16.6,49,5.9,17.4,96,0.00,964.9,0,609.0
2020-01-01T13:00,17.5,47,6.1,17.7,96,0.00,964.0,0,609.0
2020-01-01T14:00,18.0,46,6.3,17.3,92,0.00,963.5,0,543.0
2020-01-01T15:00,18.0,47,6.5,16.9,88,0.00,963.1,5,418.0
2020-01-01T16:00,17.2,50,6.8,16.3,84,0.00,963.0,0,251.0
2020-01-01T17:00,15.1,59,7.3,10.5,74,0.00,963.2,0,80.0
2020-01-01T18:00,13.5,67,7.5,13.0,71,0.00,963.7,0,1.0
2020-01-01T19:00,12.6,73,7.9,14.0,72,0.00,964.1,0,0.0
2020-01-01T20:00,11.6,78,7.9,13.5,65,0.00,964.9,0,0.0
2020-01-01T21:00,11.0,81,7.9,13.5,65,0.00,965.3,9,0.0
2020-01-01T22:00,10.6,83,7.9,13.4,66,0.00,965.5,9,0.0
2020-01-01T23:00,10.2,86,7.9,12.9,67,0.00,965.2,5,0.0
2020-01-02T00:00,9.8,87,7.8,13.0,71,0.00,964.8,1,0.0
2020-01-02T01:00,9.5,88,7.6,13.3,71,0.00,964.5,0,0.0
2020-01-02T02:00,9.2,90,7.6,12.9,67,0.00,964.1,0,0.0
2020-01-02T03:00,8.9,90,7.4,12.4,64,0.00,963.6,0,0.0
2020-01-02T04:00,8.7,90,7.1,12.1,60,0.00,963.3,0,0.0
2020-01-02T05:00,8.6,88,6.6,11.6,54,0.00,963.1,0,0.0
2020-01-02T06:00,8.6,86,6.5,10.9,56,0.00,963.7,0,0.0
2020-01-02T07:00,8.5,87,6.4,10.7,57,0.00,964.3,0,1.0
2020-01-02T08:00,10.9,76,6.8,13.7,60,0.00,965.7,2,79.0
2020-01-02T09:00,13.6,67,7.5,13.2,68,0.00,966.8,9,243.0
2020-01-02T10:00,15.8,58,7.5,12.9,77,0.00,967.1,15,403.0
2020-01-02T11:00,17.4,51,7.2,13.0,92,0.00,966.4,17,500.0
2020-01-02T12:00,18.5,52,8.4,13.0,92,0.00,965.5,23,559.0
2020-01-02T13:00,19.1,52,8.9,14.0,89,0.00,964.1,26,530.0
2020-01-02T14:00,19.3,53,9.5,14.0,89,0.00,963.1,30,457.0
2020-01-02T15:00,19.1,55,9.8,14.4,91,0.00,962.6,65,335.0
2020-01-02T16:00,18.2,60,10.4,13.3,103,0.00,962.6,53,172.0
2020-01-02T17:00,16.6,64,9.8,6.1,90,0.00,962.8,87,62.0
2020-01-02T18:00,15.3,72,10.2,8.3,108,0.00,963.0,23,1.0
2020-01-02T19:00,14.3,78,10.5,8.3,90,0.00,963.4,19,0.0
2020-01-02T20:00,13.3,83,10.5,7.6,71,0.00,963.9,17,0.0
2020-01-02T21:00,12.6,86,10.4,7.3,57,0.00,964.1,21,0.0
2020-01-02T22:00,12.2,88,10.2,7.1,45,0.00,964.1,25,0.0
2020-01-02T23:00,12.0,90,10.3,7.3,33,0.00,963.8,29,0.0
2020-01-03T00:00,11.8,91,10.4,8.4,25,0.00,963.5,24,0.0
2020-01-03T01:00,11.7,91,10.3,8.9,21,0.00,963.3,22,0.0
2020-01-03T02:00,11.4,92,10.1,9.9,19,0.00,962.9,22,0.0
2020-01-03T03:00,11.0,93,9.9,9.4,23,0.00,962.3,25,0.0
2020-01-03T04:00,10.8,93,9.6,9.4,23,0.00,962.1,13,0.0
2020-01-03T05:00,12.1,84,9.4,8.0,27,0.00,962.0,2,0.0
2020-01-03T06:00,11.0,89,9.3,7.6,19,0.00,962.3,6,0.0
2020-01-03T07:00,10.3,92,9.1,9.5,25,0.00,962.8,2,1.0
2020-01-03T08:00,12.0,83,9.3,10.8,30,0.00,964.0,1,77.0
2020-01-03T09:00,14.8,72,9.7,9.2,42,0.00,965.1,0,244.0
2020-01-03T10:00,17.1,64,10.2,7.4,47,0.00,965.3,0,411.0
2020-01-03T11:00,18.9,56,9.9,5.7,35,0.00,964.6,0,537.0
2020-01-03T12:00,20.2,47,8.5,5.9,43,0.00,963.6,24,606.0
2020-01-03T13:00,20.9,42,7.4,6.1,45,0.00,962.5,32,574.0
2020-01-03T14:00,21.2,38,6.4,6.6,45,0.00,961.7,55,473.0
2020-01-03T15:00,21.2,37,5.7,6.7,54,0.00,961.5,88,350.0
2020-01-03T16:00,20.6,38,6.0,9.0,67,0.00,961.4,79,208.0
2020-01-03T17:00,18.4,51,8.2,7.5,107,0.00,961.1,77,67.0
2020-01-03T18:00,16.4,61,8.8,5.7,108,0.00,961.7,37,1.0
2020-01-03T19:00,15.0,68,9.1,6.1,90,0.00,961.9,23,0.0
2020-01-03T20:00,14.4,71,9.3,6.7,74,0.00,962.3,8,0.0
2020-01-03T21:00,13.4,77,9.4,6.8,58,0.00,962.6,13,0.0
2020-01-03T22:00,12.7,81,9.6,6.3,59,0.00,962.8,30,0.0
2020-01-03T23:00,12.7,84,10.2,7.1,60,0.00,962.8,33,0.0
2020-01-04T00:00,12.3,89,10.6,6.5,56,0.00,962.5,36,0.0
2020-01-04T01:00,12.4,91,10.9,6.2,54,0.00,962.0,54,0.0
2020-01-04T02:00,12.5,90,11.0,6.1,50,0.00,961.7,62,0.0
2020-01-04T03:00,11.8,94,10.9,5.9,47,0.00,961.3,62,0.0
2020-01-04T04:00,11.3,94,10.4,5.9,52,0.00,960.8,20,0.0
2020-01-04T05:00,10.6,94,9.7,5.6,45,0.00,961.0,13,0.0
2020-01-04T06:00,10.5,94,9.6,5.1,51,0.00,961.3,33,0.0
2020-01-04T07:00,10.3,94,9.5,5.2,56,0.00,961.7,25,1.0
2020-01-04T08:00,12.6,86,10.4,7.5,73,0.00,962.8,13,74.0
2020-01-04T09:00,15.2,76,11.0,6.2,100,0.00,964.3,0,237.0
2020-01-04T10:00,17.2,65,10.6,6.6,131,0.00,964.5,1,407.0
2020-01-04T11:00,18.5,53,8.8,4.0,153,0.10,963.7,52,514.0
2020-01-04T12:00,19.1,47,7.4,2.8,220,0.00,963.0,27,487.0
2020-01-04T13:00,19.6,44,6.9,3.9,236,0.00,961.9,21,493.0
2020-01-04T14:00,20.0,41,6.4,4.6,231,0.00,961.2,18,479.0
2020-01-04T15:00,20.0,40,6.1,6.6,229,0.00,960.9,30,369.0
2020-01-04T16:00,19.5,41,6.0,8.7,225,0.00,960.8,21,207.0
2020-01-04T17:00,17.3,54,7.9,5.5,212,0.00,960.9,58,75.0
2020-01-04T18:00,15.1,66,8.7,6.2,201,0.00,960.9,31,1.0
2020-01-04T19:00,13.3,77,9.3,8.8,215,0.00,961.3,6,0.0
2020-01-04T20:00,12.9,79,9.4,7.2,264,0.00,962.1,1,0.0
2020-01-04T21:00,12.6,81,9.4,8.6,237,0.00,962.2,0,0.0
2020-01-04T22:00,12.7,80,9.2,7.7,233,0.00,962.6,0,0.0
2020-01-04T23:00,11.4,84,8.9,4.2,329,0.00,962.4,0,0.0
2020-01-05T00:00,10.2,89,8.4,6.2,324,0.00,962.2,0,0.0
2020-01-05T01:00,10.5,85,8.2,7.3,279,0.00,961.8,0,0.0
2020-01-05T02:00,10.3,85,7.9,6.1,310,0.00,961.4,0,0.0
2020-01-05T03:00,9.2,89,7.4,5.2,348,0.00,960.9,0,0.0
2020-01-05T04:00,8.6,90,7.0,4.3,5,0.00,960.5,0,0.0
2020-01-05T05:00,8.7,90,7.1,6.7,16,0.00,960.9,0,0.0
2020-01-05T06:00,8.7,88,6.9,6.4,27,0.00,961.3,0,0.0
2020-01-05T07:00,8.6,88,6.7,6.1,28,0.00,961.8,0,1.0
2020-01-05T08:00,11.7,73,7.0,7.2,53,0.00,963.3,0,78.0
2020-01-05T09:00,15.0,60,7.2,5.2,115,0.00,964.6,0,248.0
2020-01-05T10:00,17.3,53,7.6,5.9,166,0.00,965.1,0,417.0
2020-01-05T11:00,19.0,46,7.3,6.4,196,0.00,964.5,0,544.0
2020-01-05T12:00,20.1,41,6.5,6.3,204,0.00,963.4,0,611.0
2020-01-05T13:00,20.7,39,6.2,6.2,201,0.00,962.1,0,614.0
2020-01-05T14:00,21.0,38,6.0,6.5,183,0.00,961.3,0,550.0
2020-01-05T15:00,20.8,38,6.1,6.1,177,0.00,961.0,0,426.0
2020-01-05T16:00,20.3,40,6.3,7.6,175,0.00,961.1,0,258.0
2020-01-05T17:00,17.6,53,7.8,7.2,177,0.00,961.9,1,86.0
2020-01-05T18:00,15.9,61,8.5,7.6,188,0.00,962.4,5,2.0
2020-01-05T19:00,15.0,67,8.9,8.0,190,0.00,962.6,1,0.0
2020-01-05T20:00,14.0,72,9.1,7.2,186,0.00,962.9,0,0.0
2020-01-05T21:00,13.5,74,9.0,7.6,180,0.00,963.3,0,0.0
2020-01-05T22:00,13.0,77,9.0,8.0,172,0.00,963.3,16,0.0
2020-01-05T23:00,12.2,82,9.3,7.2,177,0.00,963.3,16,0.0
2020-01-06T00:00,11.5,86,9.3,7.6,180,0.00,962.9,2,0.0
2020-01-06T01:00,11.1,88,9.2,7.0,168,0.00,962.2,0,0.0
2020-01-06T02:00,10.0,90,8.5,9.7,176,0.00,961.9,4,0.0
2020-01-06T03:00,12.2,81,9.0,7.4,141,0.00,962.2,4,0.0
2020-01-06T04:00,9.7,90,8.1,7.7,101,0.00,961.4,5,0.0
2020-01-06T05:00,9.7,92,8.4,9.2,129,0.00,961.4,7,0.0
2020-01-06T06:00,9.2,93,8.0,7.4,119,0.00,961.6,58,0.0
2020-01-06T07:00,9.3,93,8.2,6.4,128,0.00,962.3,69,1.0
2020-01-06T08:00,12.0,84,9.4,8.9,133,0.00,963.6,1,66.0
2020-01-06T09:00,14.8,73,10.0,8.6,147,0.00,964.9,26,240.0
2020-01-06T10:00,17.3,61,9.6,10.2,170,0.00,965.5,67,403.0
2020-01-06T11:00,19.0,54,9.3,11.2,176,0.00,964.8,49,503.0
2020-01-06T12:00,20.3,49,9.1,13.1,188,0.00,963.6,45,559.0
2020-01-06T13:00,21.2,45,8.8,13.0,194,0.00,962.7,47,602.0
2020-01-06T14:00,21.7,41,7.9,11.6,206,0.00,962.5,94,538.0
2020-01-06T15:00,21.4,42,7.8,11.1,209,0.00,962.5,93,319.0
2020-01-06T16:00,20.7,45,8.4,10.0,201,0.00,962.4,97,195.0
2020-01-06T17:00,18.2,63,10.9,6.6,167,0.00,962.3,100,39.0
2020-01-06T18:00,17.3,63,10.3,6.2,126,0.00,962.3,96,1.0
2020-01-06T19:00,17.0,65,10.3,6.0,107,0.00,962.4,96,0.0
2020-01-06T20:00,16.6,68,10.6,8.3,124,0.00,962.8,88,0.0
2020-01-06T21:00,15.7,74,11.1,6.1,135,0.00,963.2,88,0.0
2020-01-06T22:00,15.3,77,11.2,6.9,133,0.00,963.0,95,0.0
2020-01-06T23:00,14.6,78,10.9,6.7,126,0.00,962.6,90,0.0
2020-01-07T00:00,14.3,79,10.7,7.2,108,0.00,961.8,60,0.0
2020-01-07T01:00,14.0,80,10.5,9.1,99,0.00,961.6,40,0.0
2020-01-07T02:00,12.9,86,10.6,8.3,85,0.00,960.9,14,0.0
2020-01-07T03:00,12.3,90,10.6,9.1,83,0.00,960.4,12,0.0
2020-01-07T04:00,11.9,91,10.5,9.1,81,0.00,959.9,18,0.0
2020-01-07T05:00,12.4,89,10.7,10.5,86,0.00,960.3,9,0.0
2020-01-07T06:00,11.9,93,10.8,9.7,90,0.00,960.4,32,0.0
2020-01-07T07:00,11.6,94,10.7,9.7,92,0.00,960.8,34,1.0
2020-01-07T08:00,13.2,85,10.7,11.4,103,0.00,961.6,25,58.0
2020-01-07T09:00,15.4,73,10.5,11.1,115,0.00,962.1,21,208.0
2020-01-07T10:00,17.6,62,10.3,10.7,130,0.00,962.6,22,379.0
2020-01-07T11:00,19.4,55,10.1,10.5,142,0.00,961.8,17,494.0
2020-01-07T12:00,20.9,50,10.1,10.3,144,0.00,960.6,25,579.0
2020-01-07T13:00,21.6,48,10.1,9.3,152,0.00,959.5,54,539.0
2020-01-07T14:00,21.4,49,10.1,7.3,160,0.00,959.0,43,366.0
2020-01-07T15:00,21.3,49,10.1,6.3,149,0.00,958.7,38,286.0
2020-01-07T16:00,20.8,51,10.2,7.2,174,0.00,958.7,39,168.0
2020-01-07T17:00,19.3,58,10.9,4.8,132,0.00,958.2,31,61.0
2020-01-07T18:00,18.4,62,11.0,8.7,97,0.00,958.4,47,2.0
2020-01-07T19:00,17.4,67,11.3,6.8,90,0.00,958.6,41,0.0
2020-01-07T20:00,15.6,78,11.8,7.6,71,0.00,958.9,51,0.0
2020-01-07T21:00,15.4,80,12.0,5.9,38,0.00,959.0,65,0.0
2020-01-07T22:00,15.1,81,12.0,4.1,15,0.00,958.9,83,0.0
2020-01-07T23:00,15.0,82,12.0,5.2,16,0.00,958.5,89,0.0
2020-01-08T00:00,14.9,83,11.9,7.2,3,0.00,958.2,37,0.0
2020-01-08T01:00,14.2,85,11.8,9.4,7,0.00,957.8,40,0.0
2020-01-08T02:00,13.6,90,12.0,11.0,11,0.00,957.2,31,0.0
2020-01-08T03:00,12.7,97,12.3,13.2,11,0.00,956.6,31,0.0
2020-01-08T04:00,12.3,98,12.1,12.4,17,0.00,956.7,100,0.0
2020-01-08T05:00,12.4,96,11.8,11.1,13,0.00,956.8,100,0.0
2020-01-08T06:00,12.1,96,11.5,10.7,14,0.00,957.0,15,0.0
2020-01-08T07:00,11.7,97,11.2,9.2,21,0.00,957.2,19,1.0
2020-01-08T08:00,12.8,91,11.3,10.1,4,0.00,958.6,29,71.0
2020-01-08T09:00,14.6,81,11.4,9.0,360,0.00,959.4,4,213.0
