Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,177.25,301.05,146.38,57.6,204.3,57.7,7.86,1.65,5.47,20.65,23.19,8.83,,4.48,30.97,14.54,78.5,0.15,113.98,,0.0,24.99,,
2020-01-01 01:00:00,160.7,286.05,117.18,57.95,175.82,49.76,8.93,1.2,4.91,18.17,18.87,6.39,,3.86,23.1,14.26,78.09,0.21,215.06,,0.0,26.03,,
2020-01-01 02:00:00,156.6,268.67,138.88,54.47,193.62,60.04,3.56,1.59,4.92,20.58,19.9,6.14,,4.21,22.24,13.65,82.77,0.1,218.17,,0.0,24.46,,
2020-01-01 03:00:00,146.1,269.02,89.75,49.2,139.23,55.65,4.75,1.1,4.06,23.88,23.33,7.8,,4.41,27.33,14.44,77.23,0.45,311.91,,0.0,30.66,,
2020-01-01 04:00:00,125.78,244.88,38.83,43.22,82.38,46.26,5.21,0.54,7.33,15.56,14.85,4.32,,2.1,15.02,14.86,72.72,0.42,331.85,,0.0,31.1,,
2020-01-01 05:00:00,105.82,205.35,32.9,36.58,69.82,38.89,1.82,0.58,8.28,15.3,12.85,3.14,,1.44,10.44,13.74,78.81,0.19,259.61,,0.0,27.88,,
2020-01-01 06:00:00,93.25,173.5,37.5,40.22,78.0,47.08,6.04,1.17,8.24,17.4,14.67,2.94,,1.42,9.86,13.86,78.98,0.34,317.34,,0.0,37.14,,
2020-01-01 07:00:00,97.15,211.9,46.45,41.3,88.07,45.96,16.68,1.45,7.58,16.17,13.5,3.07,,1.32,9.7,15.29,75.85,0.41,330.08,,0.0,70.33,,
2020-01-01 08:00:00,103.05,229.45,39.38,47.0,86.68,42.78,45.44,1.34,11.89,16.22,12.76,2.99,,1.3,9.98,18.3,65.36,0.21,182.06,,0.0,115.74,,
2020-01-01 09:00:00,110.95,243.98,19.58,33.03,53.18,34.44,24.41,1.01,40.41,14.08,10.88,2.45,,1.09,8.47,20.43,58.25,0.29,234.2,,0.0,143.58,,
2020-01-01 10:00:00,110.25,212.05,16.4,36.42,53.1,40.08,17.55,0.93,58.71,15.17,11.38,2.08,,1.06,7.24,22.21,51.85,0.36,214.0,,0.0,150.35,,
2020-01-01 11:00:00,87.78,213.68,12.8,28.5,41.6,39.22,21.33,0.79,79.85,14.38,12.0,2.6,,1.14,8.26,23.22,46.23,0.64,334.72,,0.0,167.17,,
2020-01-01 12:00:00,84.5,192.9,9.65,23.22,33.17,37.01,12.88,0.76,92.76,14.66,11.28,2.97,,1.4,9.81,23.96,46.44,0.61,334.62,,0.0,175.27,,
2020-01-01 13:00:00,77.35,179.73,8.68,21.72,30.8,31.66,13.46,0.82,99.61,16.75,9.83,2.5,,1.48,8.66,24.19,45.77,0.67,315.4,,0.0,151.76,,
2020-01-01 14:00:00,74.1,154.5,7.42,21.68,29.4,35.82,13.26,0.86,98.72,13.86,9.77,2.53,,1.64,8.54,24.28,46.64,0.43,323.13,,0.0,105.33,,
2020-01-01 15:00:00,69.32,152.95,7.28,27.02,34.6,37.06,15.41,0.89,91.96,25.73,14.53,3.26,,2.93,11.35,23.63,48.52,0.4,331.64,,0.0,57.14,,
2020-01-01 16:00:00,68.35,150.93,7.45,38.58,46.32,36.51,11.42,0.98,56.07,21.7,13.83,5.42,,4.52,18.29,22.14,55.38,0.2,305.7,,0.0,34.85,,
2020-01-01 17:00:00,67.6,157.93,8.2,62.45,70.92,33.48,10.1,1.21,26.71,22.14,16.26,5.2,,4.64,18.95,20.39,63.32,0.18,274.86,,0.0,26.91,,
2020-01-01 18:00:00,76.6,167.8,26.78,82.18,109.25,43.38,5.58,2.02,6.1,22.16,19.74,5.7,,4.51,20.34,18.82,73.12,0.12,205.52,,0.0,24.51,,
2020-01-01 19:00:00,88.4,201.73,102.95,77.62,180.88,51.8,6.38,3.58,7.12,30.02,24.0,7.09,,4.31,25.25,18.02,78.68,0.09,257.72,,0.0,25.3,,
2020-01-01 20:00:00,146.95,401.42,197.42,81.72,279.45,58.82,7.79,4.96,11.33,35.99,27.96,10.4,,5.51,35.73,17.77,80.82,0.1,265.22,,0.0,26.9,,
2020-01-01 21:00:00,187.48,422.02,144.62,76.82,222.45,52.74,10.23,4.02,7.95,33.33,32.44,12.72,,5.74,43.17,17.96,78.65,0.14,231.04,,0.0,25.92,,
2020-01-01 22:00:00,199.88,369.28,67.2,64.72,137.2,54.81,13.02,2.15,5.3,28.09,29.02,10.08,,4.24,35.31,18.44,74.3,0.32,326.95,,0.0,29.88,,
