Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,152.60,402.90,20.10,73.05,93.15,39.78,12.53,1.25,17.50,16.13,16.09,8.52,NA,4.38,18.76,17.42,58.20,0.24,174.00,NA,0.00,21.88,NA,NA
2021-01-01 01:00:00,151.15,328.40,16.27,52.22,68.50,37.27,10.36,0.93,27.89,10.23,12.51,7.40,NA,4.14,16.55,17.10,57.15,0.33,186.64,NA,0.00,22.18,NA,NA
2021-01-01 02:00:00,140.72,199.80,17.45,38.30,55.78,37.41,10.88,0.60,44.81,6.99,9.79,5.90,NA,3.19,12.14,16.96,58.13,0.43,180.65,NA,0.00,21.60,NA,NA
2021-01-01 03:00:00,124.57,178.05,16.10,35.47,51.58,37.64,9.85,0.53,45.98,5.78,7.67,4.26,NA,1.98,8.48,16.39,63.17,0.29,353.84,NA,0.00,21.65,NA,NA
2021-01-01 04:00:00,104.65,181.55,15.45,32.80,48.28,35.49,8.43,0.49,51.55,5.45,6.60,3.62,NA,1.61,7.15,16.01,64.16,0.34,179.03,NA,0.00,22.25,NA,NA
2021-01-01 05:00:00,109.57,182.75,15.10,39.33,54.45,35.17,20.26,0.53,49.06,5.31,5.54,3.09,NA,1.37,6.17,15.88,62.42,0.67,177.35,NA,0.00,22.12,NA,NA
2021-01-01 06:00:00,120.00,207.48,19.33,39.08,58.38,38.01,18.77,0.68,56.61,5.51,5.20,2.86,NA,1.30,5.78,15.69,63.26,0.64,342.20,NA,0.00,25.42,NA,NA
2021-01-01 07:00:00,126.00,233.73,20.20,44.45,64.65,39.31,24.80,0.89,55.15,6.32,5.44,2.69,NA,1.23,5.52,16.48,60.55,0.72,178.33,NA,0.00,41.82,NA,NA
2021-01-01 08:00:00,131.05,271.68,20.35,39.88,60.20,37.55,20.48,0.79,69.44,6.27,6.81,2.82,NA,1.43,5.52,18.09,54.30,0.77,94.54,NA,0.00,88.40,NA,NA
2021-01-01 09:00:00,131.43,245.18,19.82,35.85,55.65,36.54,13.50,0.77,82.26,6.27,6.28,2.45,NA,1.14,5.01,19.96,47.68,0.90,267.79,NA,0.00,79.95,NA,NA
2021-01-01 10:00:00,130.72,233.23,19.10,31.65,50.80,36.97,10.80,0.67,95.59,7.44,6.41,2.66,NA,1.22,5.35,21.60,43.68,0.81,182.71,NA,0.00,63.32,NA,NA
2021-01-01 11:00:00,127.85,252.82,18.88,30.45,49.35,38.06,12.98,0.64,100.21,6.49,6.46,2.92,NA,1.69,5.74,22.81,42.34,0.60,184.57,NA,0.00,89.43,NA,NA
2021-01-01 12:00:00,112.78,227.82,18.65,25.50,44.18,35.99,12.60,0.54,106.02,10.01,9.80,4.03,NA,2.12,6.88,23.42,41.57,0.66,178.53,NA,0.00,186.12,NA,NA
2021-01-01 13:00:00,101.18,171.65,18.55,24.40,42.92,34.82,13.54,0.57,109.76,8.27,8.56,5.01,NA,3.23,9.00,23.88,38.83,0.91,262.73,NA,0.00,163.10,NA,NA
