Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,196.02,349.58,145.75,82.38,228.4,97.85,62.12,3.58,3.57,,,,,,,15.69,84.32,0.3,242.23,0.0,0.0,30.72,,
2020-01-01 01:00:00,236.52,346.1,100.4,72.92,173.35,77.35,61.0,2.52,2.52,,,,,,,15.32,82.4,0.3,207.13,0.0,0.0,31.4,,
2020-01-01 02:00:00,224.68,302.25,77.12,59.97,137.25,61.1,52.48,1.94,1.32,,,,,,,14.25,90.22,0.25,160.63,0.0,0.0,32.97,,
2020-01-01 03:00:00,186.3,253.1,66.1,57.48,123.62,61.32,49.02,1.44,1.44,,,,,,,14.49,88.09,0.41,245.82,0.0,0.0,32.75,,
2020-01-01 04:00:00,148.77,192.2,52.25,51.85,104.18,56.28,51.2,1.06,1.15,,,,,,,14.36,86.55,0.31,257.64,0.0,0.0,32.72,,
2020-01-01 05:00:00,131.1,157.55,37.83,50.2,88.02,48.7,56.42,0.8,0.97,,,,,,,14.24,85.24,0.33,198.74,0.0,0.0,32.83,,
2020-01-01 06:00:00,110.38,121.55,41.72,48.92,90.7,45.15,65.52,1.18,1.23,,,,,,,13.94,87.91,0.33,249.42,0.0,0.0,39.77,,
2020-01-01 07:00:00,109.95,118.32,37.6,48.45,86.08,46.25,67.3,1.12,1.52,,,,,,,15.43,83.74,0.09,194.48,0.0,0.0,86.92,,
2020-01-01 08:00:00,106.68,132.93,22.4,47.95,70.38,42.98,73.12,1.02,6.85,,,,,,,18.7,69.69,0.26,102.46,0.0,0.0,160.84,,
2020-01-01 09:00:00,108.48,153.72,12.1,38.92,51.02,38.62,58.9,0.71,33.16,,,,,,,20.35,63.82,0.39,55.3,0.0,0.0,123.04,,
2020-01-01 10:00:00,97.3,156.5,6.98,30.8,37.8,31.25,55.5,0.65,71.2,,,,,,,21.2,60.32,0.42,161.57,0.0,0.0,103.92,,
2020-01-01 11:00:00,87.12,144.28,5.57,29.9,35.45,30.2,65.75,0.62,91.8,,,,,,,22.42,53.86,0.15,237.75,0.0,0.0,109.64,,
2020-01-01 12:00:00,79.3,134.38,5.0,27.32,32.35,29.55,62.18,0.56,104.65,,,,,,,23.37,52.21,0.27,51.38,0.0,0.0,166.36,,
2020-01-01 13:00:00,71.97,133.33,4.3,24.62,28.98,31.52,63.6,0.44,118.19,,,,,,,24.23,50.02,0.35,103.8,0.0,0.0,115.44,,
2020-01-01 14:00:00,68.57,124.62,4.43,21.9,26.35,29.52,56.95,0.44,123.98,,,,,,,24.49,50.16,0.24,172.22,0.0,0.0,96.08,,
2020-01-01 15:00:00,65.8,126.3,4.32,22.58,26.92,28.52,61.08,0.46,114.87,,,,,,,23.75,53.43,0.19,162.35,0.0,0.0,61.7,,
2020-01-01 16:00:00,60.28,137.4,4.32,29.42,33.78,28.2,58.32,0.51,87.79,,,,,,,22.67,58.06,0.27,207.48,0.0,0.0,38.61,,
2020-01-01 17:00:00,64.78,148.12,4.68,45.65,50.25,36.92,55.42,0.78,33.61,,,,,,,20.68,70.12,0.15,182.28,0.0,0.0,29.19,,
2020-01-01 18:00:00,73.9,148.05,7.45,57.3,64.85,40.22,51.25,1.04,3.58,,,,,,,18.82,82.9,0.18,195.4,0.0,0.0,30.1,,
2020-01-01 19:00:00,77.95,156.55,54.58,74.7,129.25,61.15,50.82,2.25,2.0,,,,,,,18.2,89.22,0.19,206.7,0.0,0.0,31.69,,
2020-01-01 20:00:00,88.5,176.72,87.65,79.5,167.38,69.57,50.6,2.75,2.07,,,,,,,18.04,91.04,0.14,239.94,0.0,0.0,31.88,,
2020-01-01 21:00:00,113.52,228.48,73.2,74.65,147.85,69.0,50.18,2.55,1.8,,,,,,,18.09,89.15,0.16,240.45,0.0,0.0,30.42,,
2020-01-01 22:00:00,128.1,253.88,26.35,59.53,85.02,50.25,54.6,1.54,1.97,,,,,,,18.38,82.92,0.22,9.72,0.0,0.0,32.64,,
2020-01-01 23:00:00,127.4,251.95,13.88,47.85,61.68,45.92,53.45,1.22,4.78,,,,,,,17.98,85.28,0.17,188.43,0.0,0.0,31.95,,
2020-01-02 00:00:00,119.0,235.15,12.3,34.9,47.25,35.75,55.08,0.9,4.89,,,,,,,17.43,87.66,0.16,134.86,0.0,0.0,32.91,,
2020-01-02 01:00:00,118.68,225.75,10.72,35.65,46.38,36.28,53.02,0.87,3.02,,,,,,,17.07,90.09,0.22,262.4,0.0,0.0,34.2,,
2020-01-02 02:00:00,107.28,204.15,9.77,33.4,43.22,34.67,51.7,0.92,3.73,,,,,,,16.89,91.31,0.32,257.57,0.0,0.0,36.93,,
2020-01-02 03:00:00,108.12,200.62,8.65,32.85,41.55,39.22,48.55,0.88,1.67,,,,,,,16.99,91.95,0.42,262.59,0.0,0.0,37.99,,
2020-01-02 04:00:00,103.82,198.62,13.52,34.08,47.58,37.65,54.25,0.9,0.47,,,,,,,16.62,93.26,0.12,216.67,0.0,0.0,35.22,,
2020-01-02 05:00:00,102.0,197.2,11.92,31.22,43.15,35.08,55.62,0.78,0.1,,,,,,,16.21,93.64,0.29,110.67,0.0,0.0,36.21,,
2020-01-02 06:00:00,99.42,194.82,9.82,30.42,40.25,32.28,57.82,0.74,1.55,,,,,,,16.53,90.78,0.56,22.45,0.0,0.0,41.88,,
2020-01-02 07:00:00,94.65,181.6,8.88,28.95,37.8,36.58,57.2,0.7,4.89,,,,,,,17.07,87.62,0.75,26.28,0.0,0.0,67.56,,
2020-01-02 08:00:00,94.98,174.38,8.3,28.62,36.97,34.9,54.1,0.72,7.69,,,,,,,17.97,83.7,0.3,73.54,0.0,0.0,95.46,,
2020-01-02 09:00:00,102.72,175.08,7.6,30.55,38.15,34.08,58.15,0.7,16.39,,,,,,,19.41,78.26,0.57,107.56,0.0,0.0,133.09,,
2020-01-02 10:00:00,90.7,176.9,6.02,31.17,37.2,30.65,56.02,0.68,39.78,,,,,,,21.38,71.16,0.55,87.73,0.0,0.0,114.7,,
2020-01-02 11:00:00,91.55,173.48,5.2,30.08,35.3,33.2,58.18,0.64,65.66,,,,,,,22.6,68.82,0.21,195.6,0.0,0.0,138.92,,
2020-01-02 12:00:00,85.7,171.85,4.58,23.4,28.0,31.22,54.42,0.54,102.04,,,,,,,23.58,60.93,0.48,159.33,0.0,0.0,140.55,,
2020-01-02 13:00:00,81.35,169.38,4.45,22.08,26.52,31.8,58.12,0.45,118.15,,,,,,,24.93,52.04,0.32,124.99,0.0,0.0,114.2,,
2020-01-02 14:00:00,76.15,156.12,4.43,22.38,26.8,28.2,56.8,0.51,116.48,,,,,,,25.22,46.28,0.37,116.5,0.0,0.0,93.46,,
2020-01-02 15:00:00,72.4,136.25,4.4,23.32,27.7,28.38,57.82,0.52,103.47,,,,,,,24.39,45.51,0.46,143.11,0.0,0.0,60.14,,
2020-01-02 16:00:00,70.35,132.5,4.9,41.78,46.68,34.7,53.82,0.8,47.42,,,,,,,23.1,57.94,0.15,187.18,0.0,0.0,42.51,,
2020-01-02 17:00:00,76.15,148.08,4.62,41.1,45.72,36.58,53.03,0.82,44.06,,,,,,,22.53,64.98,0.42,106.4,0.0,0.0,36.79,,
2020-01-02 18:00:00,76.53,150.6,5.78,54.52,60.35,35.9,49.2,0.96,14.66,,,,,,,21.64,70.66,0.26,185.04,0.0,0.0,36.23,,
2020-01-02 19:00:00,77.6,154.98,16.73,60.85,77.6,41.8,50.15,1.33,2.3,,,,,,,20.82,75.25,0.21,190.52,0.0,0.0,35.05,,
2020-01-02 20:00:00,86.72,166.72,32.78,59.62,92.48,46.68,50.42,1.61,1.18,,,,,,,19.51,83.99,0.31,221.56,0.0,0.0,31.27,,
2020-01-02 21:00:00,92.78,177.8,66.38,68.78,135.15,66.45,48.0,2.16,1.97,,,,,,,19.22,86.65,0.34,185.35,0.0,0.0,32.64,,
2020-01-02 22:00:00,99.55,197.02,66.3,67.1,133.38,64.35,51.25,2.0,1.36,,,,,,,19.58,86.04,0.38,82.74,0.0,0.0,34.92,,
2020-01-02 23:00:00,105.1,206.15,13.45,43.08,56.53,40.25,50.58,0.98,5.07,,,,,,,19.87,85.62,0.38,52.75,0.0,0.0,35.42,,
2020-01-03 00:00:00,98.08,200.18,9.8,31.8,41.62,33.7,46.35,0.72,10.75,,,,,,,19.48,87.13,0.46,15.57,0.0,0.0,35.86,,
2020-01-03 01:00:00,92.98,190.42,9.45,27.9,37.38,37.08,47.0,0.6,14.96,,,,,,,19.38,86.53,0.42,33.46,0.0,0.0,37.07,,
2020-01-03 02:00:00,77.65,169.02,8.32,25.8,34.1,34.8,51.4,0.58,15.94,,,,,,,19.22,85.44,0.42,22.73,0.0,0.0,37.94,,
2020-01-03 03:00:00,73.38,153.0,6.75,23.42,30.15,33.15,52.15,0.45,18.75,,,,,,,19.1,85.91,0.5,43.33,0.0,0.0,39.31,,
2020-01-03 04:00:00,61.3,135.0,5.68,20.45,26.15,28.4,45.3,0.34,22.64,,,,,,,17.76,97.2,0.5,87.12,0.0,0.0,36.09,,
2020-01-03 05:00:00,53.45,126.65,5.22,17.55,22.78,29.58,45.35,0.26,27.87,,,,,,,17.24,98.84,0.39,37.2,0.0,0.0,35.82,,
2020-01-03 06:00:00,45.65,100.35,4.95,17.95,22.9,31.88,46.6,0.29,26.61,,,,,,,16.7,98.87,0.7,21.58,0.0,0.0,41.28,,
2020-01-03 07:00:00,37.88,90.4,4.8,18.15,22.9,32.65,46.9,0.23,29.64,,,,,,,16.5,98.88,0.78,36.68,0.15,0.6,41.65,,
2020-01-03 08:00:00,35.83,77.9,4.82,17.7,22.52,27.95,48.32,0.15,37.36,,,,,,,16.56,98.84,1.26,113.94,0.0,0.0,70.05,,
2020-01-03 09:00:00,32.08,77.95,4.57,16.15,20.7,27.28,49.8,0.11,44.5,,,,,,,17.4,97.98,2.06,117.93,0.1,0.4,84.53,,
2020-01-03 10:00:00,24.32,61.65,4.85,19.0,23.85,28.8,48.38,0.21,40.66,,,,,,,17.34,97.94,1.92,115.73,0.0,0.0,84.15,,
2020-01-03 11:00:00,19.0,53.6,4.62,19.52,24.15,32.48,48.0,0.24,39.47,,,,,,,17.57,97.77,1.06,111.94,0.0,0.0,56.04,,
2020-01-03 12:00:00,,,4.45,19.3,23.72,29.45,12.92,0.06,17.68,,,,,,,16.69,98.86,1.09,117.02,0.6,2.4,46.5,,
2020-01-03 13:00:00,31.95,122.38,4.65,20.55,25.2,28.62,21.2,0.26,9.86,,,,,,,16.73,98.86,0.89,113.7,0.1,0.4,77.96,,
2020-01-03 14:00:00,30.83,96.6,4.57,21.2,25.78,27.32,30.75,0.28,3.8,,,,,,,17.07,98.86,1.07,115.88,0.0,0.0,55.31,,
2020-01-03 15:00:00,25.98,71.3,4.55,19.18,23.72,31.38,31.75,0.28,3.89,,,,,,,17.14,98.87,0.64,94.44,0.0,0.0,53.11,,
2020-01-03 16:00:00,30.17,65.45,4.6,20.95,25.52,31.28,31.75,0.32,0.02,,,,,,,17.1,98.87,0.33,109.17,0.05,0.2,42.77,,
2020-01-03 17:00:00,29.42,73.7,4.57,22.2,26.8,30.15,33.05,0.35,0.01,,,,,,,16.97,98.86,0.36,104.03,0.0,0.0,39.54,,
2020-01-03 18:00:00,25.35,63.35,5.55,25.02,30.58,28.6,32.33,0.46,,,,,,,,16.96,98.83,0.14,233.68,0.05,0.2,39.32,,
2020-01-03 19:00:00,26.42,61.42,7.95,32.85,40.8,33.02,31.58,0.59,,,,,,,,16.97,98.83,0.19,138.78,0.0,0.0,39.91,,
2020-01-03 20:00:00,27.05,60.78,9.05,33.17,42.3,34.12,30.75,0.62,,,,,,,,16.99,98.84,0.34,106.53,0.1,0.4,40.22,,
2020-01-03 21:00:00,31.18,65.05,7.55,30.82,38.33,34.6,29.88,0.57,,,,,,,,17.03,98.84,0.22,122.5,0.0,0.0,40.02,,
2020-01-03 22:00:00,32.1,61.35,6.15,22.15,28.38,28.4,31.52,0.42,,,,,,,,17.03,98.87,0.18,96.43,0.05,0.2,40.03,,
2020-01-03 23:00:00,28.5,63.1,6.08,23.7,29.72,29.32,32.05,0.46,,,,,,,,16.96,98.87,0.09,197.7,0.0,0.0,39.39,,
2020-01-04 00:00:00,27.12,63.9,8.8,29.78,38.55,32.12,29.85,0.54,,,,,,,,17.04,98.87,0.24,101.82,0.0,0.0,40.01,,
2020-01-04 01:00:00,28.88,69.7,9.12,30.92,40.05,34.55,28.72,0.52,,,,,,,,16.98,98.87,0.29,110.84,0.0,0.0,40.0,,
2020-01-04 02:00:00,30.92,59.95,7.9,27.55,35.5,30.5,27.72,0.44,,,,,,,,16.88,98.87,0.15,96.62,0.0,0.0,38.98,,
2020-01-04 03:00:00,35.15,60.8,8.2,24.58,32.8,29.8,28.22,0.46,,,,,,,,16.74,98.87,0.13,147.27,0.0,0.0,38.1,,
2020-01-04 04:00:00,33.85,55.22,8.2,21.02,29.22,28.98,31.33,0.48,,,,,,,,16.63,98.87,0.06,208.33,0.0,0.0,40.07,,
2020-01-04 05:00:00,37.55,65.68,7.8,22.6,30.38,32.33,31.58,0.46,,,,,,,,16.67,98.87,0.12,254.47,0.0,0.0,40.06,,
2020-01-04 06:00:00,37.05,63.15,7.75,21.98,29.78,29.95,33.33,0.48,,,,,,,,16.75,98.87,0.17,168.95,0.0,0.0,42.24,,
2020-01-04 07:00:00,43.05,67.38,10.2,25.85,36.05,30.12,36.8,0.53,,,,,,,,16.8,98.87,0.14,228.18,0.0,0.0,50.96,,
2020-01-04 08:00:00,52.18,75.8,7.25,21.95,29.2,26.82,35.17,0.49,,,,,,,,17.06,98.86,0.37,60.39,0.0,0.0,62.72,,
2020-01-04 09:00:00,52.85,83.92,6.52,17.83,24.35,29.45,32.6,0.35,,,,,,,,17.13,98.86,0.45,100.34,0.0,0.0,79.03,,
2020-01-04 10:00:00,42.38,75.45,6.38,19.95,26.35,28.55,32.4,0.4,,,,,,,,17.55,98.83,0.4,79.0,0.0,0.0,94.24,,
2020-01-04 11:00:00,36.83,69.35,5.58,18.9,24.48,26.95,34.1,0.34,0.19,,,,,,,17.7,98.68,0.64,110.7,0.0,0.0,101.93,,
2020-01-04 12:00:00,35.17,64.85,5.32,17.58,22.95,25.2,33.62,0.29,0.61,,,,,,,18.74,93.78,0.46,105.51,0.0,0.0,127.26,,
2020-01-04 13:00:00,36.7,76.55,5.15,22.72,27.88,27.0,34.88,0.28,14.56,,,,,,,18.96,92.76,0.24,155.54,0.0,0.0,80.79,,
2020-01-04 14:00:00,33.28,73.73,5.1,25.78,30.88,27.88,30.25,0.32,31.7,,,,,,,19.03,92.63,0.3,194.83,0.0,0.0,68.0,,
2020-01-04 15:00:00,29.68,65.07,5.2,23.75,28.98,28.68,30.22,0.37,29.38,,,,,,,19.42,90.23,0.18,215.62,0.0,0.0,74.08,,
2020-01-04 16:00:00,26.95,65.9,6.02,29.78,35.83,27.5,33.95,0.49,11.77,,,,,,,19.08,93.05,0.2,237.57,0.0,0.0,45.84,,
