Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,88.74,207.38,18.12,36.62,54.74,11.63,19.13,1.28,11.16,5.01,32.78,NA,NA,NA,1.74,NA,99.60,0.88,37.43,NA,0.00,11.53,NA,-0.32
2022-01-01 01:00:00,92.47,210.17,15.55,25.59,41.14,12.01,18.28,1.06,16.30,4.84,30.29,NA,NA,NA,1.58,NA,99.60,0.59,38.52,NA,0.00,10.84,NA,-0.37
2022-01-01 02:00:00,90.25,188.67,13.91,21.78,35.70,12.23,17.29,0.92,21.61,4.56,28.16,NA,NA,NA,1.43,NA,99.61,0.62,39.79,NA,0.00,11.09,NA,-0.40
2022-01-01 03:00:00,83.85,161.26,12.61,21.34,33.94,12.46,19.82,0.82,23.40,3.74,26.23,NA,NA,NA,1.27,NA,99.61,0.80,39.90,NA,0.00,11.26,NA,-0.38
2022-01-01 04:00:00,69.47,138.89,11.99,20.70,32.69,12.06,23.28,0.78,17.45,3.33,24.35,NA,NA,NA,1.08,NA,99.61,0.73,39.89,NA,0.00,10.88,NA,-0.30
2022-01-01 05:00:00,70.43,141.40,11.95,23.82,35.77,11.80,23.28,0.76,12.10,2.14,15.99,NA,NA,NA,0.61,NA,99.62,0.51,39.58,NA,0.00,10.96,NA,-0.36
2022-01-01 06:00:00,70.66,138.29,12.01,23.54,35.54,11.78,23.78,0.76,11.98,0.00,0.00,NA,NA,NA,NA,NA,99.62,0.68,38.72,NA,0.00,25.46,NA,-0.31
2022-01-01 07:00:00,70.60,145.05,11.79,20.24,32.03,12.62,22.16,0.77,17.84,0.00,0.00,NA,NA,NA,NA,NA,99.61,0.44,54.56,NA,0.00,72.62,NA,-0.38
2022-01-01 08:00:00,66.13,150.58,11.07,20.32,31.39,12.57,24.16,0.75,27.94,1.14,9.23,NA,NA,NA,0.30,NA,99.59,0.70,46.50,NA,0.00,120.93,NA,-0.24
2022-01-01 09:00:00,66.36,151.87,10.46,19.41,29.87,12.30,22.68,0.76,39.48,2.30,18.83,NA,NA,NA,0.59,NA,99.39,0.67,47.65,NA,0.00,174.90,NA,-0.25
2022-01-01 10:00:00,70.07,143.40,10.19,18.34,28.53,12.10,22.12,0.78,50.54,2.25,18.48,NA,NA,NA,0.52,NA,98.14,0.39,130.12,NA,0.00,142.45,NA,-0.25
2022-01-01 11:00:00,80.13,157.23,10.39,18.42,28.82,12.06,22.34,0.80,50.46,2.76,19.76,NA,NA,NA,0.66,NA,84.83,1.06,47.05,NA,0.00,119.42,NA,-0.28
2022-01-01 12:00:00,69.61,134.96,9.79,14.47,24.26,12.32,23.05,0.68,71.90,2.19,18.86,NA,NA,NA,0.53,NA,64.08,0.62,169.13,NA,0.00,172.06,NA,-0.19
2022-01-01 13:00:00,67.62,123.00,9.70,14.05,23.74,12.18,22.16,0.65,77.36,2.09,17.97,NA,NA,NA,0.50,NA,55.00,0.60,168.06,NA,0.00,189.07,NA,-0.16
2022-01-01 14:00:00,61.03,115.15,9.75,12.97,22.72,11.68,22.34,0.62,79.56,1.23,10.94,NA,NA,NA,0.28,NA,49.82,0.88,54.24,NA,0.00,178.02,NA,-0.17
2022-01-01 15:00:00,58.20,109.68,9.74,13.78,23.52,11.67,22.79,0.61,72.06,0.00,0.00,NA,NA,NA,NA,NA,49.12,0.73,144.38,NA,0.00,95.81,NA,-0.16
2022-01-01 16:00:00,52.89,98.56,9.77,17.81,27.58,12.16,21.17,0.66,56.90,0.07,0.74,NA,NA,NA,0.02,NA,53.01,1.01,65.41,NA,0.00,24.49,NA,-0.32
2022-01-01 17:00:00,52.65,90.77,10.07,28.17,38.25,11.81,19.94,0.80,32.52,1.70,18.04,NA,NA,NA,0.45,NA,60.01,1.07,70.58,NA,0.00,9.46,NA,-0.26
2022-01-01 18:00:00,52.25,99.48,10.95,43.71,54.66,11.02,18.54,0.98,12.73,1.86,19.18,NA,NA,NA,0.52,NA,72.36,0.92,146.24,NA,0.00,11.03,NA,-0.38
2022-01-01 19:00:00,54.48,113.24,11.41,45.04,56.46,10.64,19.52,0.98,10.90,1.98,20.07,NA,NA,NA,0.63,NA,77.11,3.77,204.64,NA,0.00,12.39,NA,-0.30
2022-01-01 20:00:00,57.93,123.12,14.69,45.82,60.50,10.85,17.20,1.09,5.59,2.32,20.54,NA,NA,NA,0.67,NA,98.43,3.26,285.50,NA,0.00,12.04,NA,-0.36
2022-01-01 21:00:00,65.53,148.09,28.09,50.18,78.27,10.89,19.80,1.55,5.64,2.48,21.31,NA,NA,NA,0.71,NA,99.01,2.75,257.58,NA,0.00,13.60,NA,-0.39
2022-01-01 22:00:00,80.78,165.20,25.40,47.73,73.13,11.59,22.66,1.38,7.55,3.74,23.08,NA,NA,NA,0.93,NA,98.89,2.04,145.88,NA,0.00,12.20,NA,-0.38
2022-01-01 23:00:00,97.71,207.26,12.68,31.54,44.22,12.06,20.51,1.06,15.62,4.52,23.48,NA,NA,NA,1.00,NA,98.90,2.84,24.89,NA,0.00,12.04,NA,-0.31
2022-01-02 00:00:00,89.65,182.32,11.32,19.70,31.02,12.33,17.12,0.87,23.62,2.41,12.79,NA,NA,NA,0.49,NA,99.04,2.82,34.65,NA,0.00,10.45,NA,-0.36
2022-01-02 01:00:00,79.35,167.99,10.88,17.48,28.36,12.87,15.87,0.84,23.67,0.00,0.00,NA,NA,NA,NA,NA,99.41,2.56,39.98,NA,0.00,10.51,NA,-0.40
2022-01-02 02:00:00,78.81,152.49,10.67,16.88,27.56,12.94,15.48,0.82,20.81,3.20,19.31,NA,NA,NA,0.66,NA,99.61,4.41,35.48,NA,0.00,10.36,NA,-0.36
2022-01-02 03:00:00,75.51,144.04,10.42,15.10,25.52,13.05,15.39,0.80,23.05,3.01,19.18,NA,NA,NA,0.58,NA,99.62,4.85,38.54,NA,0.00,10.46,NA,-0.43
2022-01-02 04:00:00,73.71,134.36,10.30,14.04,24.34,12.62,15.89,0.81,20.00,2.76,18.18,NA,NA,NA,0.50,NA,99.62,4.45,46.96,NA,0.00,10.03,NA,-0.38
2022-01-02 05:00:00,75.81,134.32,10.32,14.85,25.16,12.38,16.07,0.89,18.70,2.58,17.61,NA,NA,NA,0.45,NA,99.62,4.59,45.96,NA,0.00,10.20,NA,-0.38
2022-01-02 06:00:00,72.07,129.43,10.43,16.34,26.78,12.80,16.33,0.80,14.55,2.38,17.02,NA,NA,NA,0.42,NA,99.62,1.74,96.96,NA,0.00,26.57,NA,-0.40
2022-01-02 07:00:00,65.24,132.16,10.90,16.68,27.58,12.72,17.25,0.79,16.07,2.23,16.63,NA,NA,NA,0.39,NA,99.62,1.01,123.81,NA,0.00,88.31,NA,-0.36
2022-01-02 08:00:00,70.46,130.28,11.41,17.15,28.56,12.18,18.87,0.78,18.75,2.14,16.38,NA,NA,NA,0.36,NA,99.60,1.94,124.85,NA,0.00,130.02,NA,-0.29
2022-01-02 09:00:00,75.76,133.40,11.30,17.64,28.94,11.94,19.09,0.79,23.74,1.35,10.56,NA,NA,NA,0.22,NA,99.59,1.42,132.45,NA,0.00,171.31,NA,-0.26
2022-01-02 10:00:00,72.72,137.31,10.66,17.27,27.92,12.31,20.92,0.82,36.59,1.01,8.44,NA,NA,NA,0.16,NA,99.40,0.98,180.81,NA,0.00,142.09,NA,-0.30
2022-01-02 11:00:00,83.00,166.62,11.08,20.89,31.98,12.64,20.11,0.91,38.20,2.55,19.85,NA,NA,NA,0.54,NA,99.28,0.95,111.38,NA,0.00,113.32,NA,-0.30
2022-01-02 12:00:00,73.89,143.90,9.95,16.88,26.83,12.63,19.82,0.81,60.35,2.15,18.13,NA,NA,NA,0.36,NA,92.92,1.31,141.46,NA,0.00,153.07,NA,-0.25
2022-01-02 13:00:00,71.42,140.92,9.82,15.92,25.74,12.51,20.80,0.79,67.38,2.19,18.25,NA,NA,NA,0.37,NA,75.08,0.90,112.26,NA,0.00,172.80,NA,-0.20
2022-01-02 14:00:00,68.40,131.21,9.78,15.80,25.58,12.59,21.50,0.78,68.17,2.19,18.12,NA,NA,NA,0.34,NA,71.08,0.49,154.56,NA,0.00,171.73,NA,-0.20
2022-01-02 15:00:00,69.53,135.88,9.75,16.56,26.31,12.79,22.60,0.76,64.08,2.14,17.84,NA,NA,NA,0.31,NA,70.48,1.68,44.50,NA,0.00,86.57,NA,-0.27
2022-01-02 16:00:00,66.42,121.46,9.80,19.02,28.81,12.54,22.17,0.79,52.89,2.06,17.58,NA,NA,NA,0.34,NA,75.46,1.14,46.06,NA,0.00,24.66,NA,-0.25
2022-01-02 17:00:00,67.53,127.77,9.82,23.08,32.90,12.09,19.99,0.81,42.33,1.29,11.24,NA,NA,NA,0.24,NA,85.38,1.00,283.64,NA,0.00,8.75,NA,-0.33
2022-01-02 18:00:00,63.40,127.07,10.32,34.26,44.59,11.64,18.50,0.98,16.74,1.39,12.56,NA,NA,NA,0.30,NA,99.24,2.46,209.84,NA,0.00,10.42,NA,-0.35
2022-01-02 19:00:00,67.90,142.88,14.22,45.73,59.94,11.28,17.99,1.20,5.77,0.34,3.04,NA,NA,NA,0.08,NA,99.61,2.03,296.40,NA,0.00,11.50,NA,-0.40
2022-01-02 20:00:00,83.30,165.62,25.66,46.18,71.84,11.14,16.84,1.40,4.21,0.28,2.28,NA,NA,NA,0.09,NA,99.61,2.33,226.15,NA,0.00,12.31,NA,-0.37
2022-01-02 21:00:00,94.59,200.86,39.54,49.17,88.71,11.12,17.25,1.76,4.40,3.08,24.90,NA,NA,NA,1.06,NA,99.61,2.08,254.86,NA,0.00,12.06,NA,-0.32
2022-01-02 22:00:00,109.18,244.45,40.66,50.30,90.96,11.00,17.44,1.80,4.62,3.71,26.94,NA,NA,NA,1.20,NA,99.61,1.22,234.00,NA,0.00,11.92,NA,-0.35
2022-01-02 23:00:00,117.91,258.03,23.59,45.72,69.31,11.63,19.82,1.40,8.00,4.18,27.47,NA,NA,NA,1.28,NA,99.61,3.04,29.12,NA,0.00,11.51,NA,-0.44
2022-01-03 00:00:00,113.51,243.42,12.34,23.14,35.48,12.74,18.52,1.03,23.60,4.17,25.40,NA,NA,NA,1.10,NA,99.59,1.98,41.14,NA,0.00,10.20,NA,-0.41
2022-01-03 01:00:00,111.95,218.83,11.71,20.22,31.93,12.77,17.47,0.94,21.70,3.87,23.60,NA,NA,NA,0.92,NA,99.57,2.25,44.32,NA,0.00,10.61,NA,-0.34
2022-01-03 02:00:00,101.92,194.41,10.91,17.86,28.76,12.43,17.19,0.88,23.31,3.51,21.78,NA,NA,NA,0.77,NA,99.57,2.15,40.61,NA,0.00,10.55,NA,-0.34
2022-01-03 03:00:00,91.62,178.55,10.58,16.21,26.80,12.15,16.81,0.86,24.57,3.17,20.15,NA,NA,NA,0.65,NA,99.58,2.24,47.56,NA,0.00,10.72,NA,-0.38
2022-01-03 04:00:00,83.89,161.66,10.48,16.36,26.84,12.22,16.41,0.85,20.93,0.79,5.24,NA,NA,NA,0.16,NA,99.59,2.56,41.34,NA,0.00,10.52,NA,-0.36
2022-01-03 05:00:00,77.80,161.38,10.64,18.24,28.88,12.83,16.32,0.89,15.54,0.00,0.00,NA,NA,NA,NA,NA,99.60,1.81,47.30,NA,0.00,10.49,NA,-0.45
2022-01-03 06:00:00,78.35,155.59,10.86,18.10,28.97,12.72,15.68,0.95,13.59,0.00,0.00,NA,NA,NA,NA,NA,99.62,2.72,168.98,NA,0.00,24.08,NA,-0.41
2022-01-03 07:00:00,79.24,149.85,12.31,22.12,34.43,12.14,17.08,0.97,12.98,1.09,7.98,NA,NA,NA,0.20,NA,99.62,3.43,210.53,NA,0.00,69.90,NA,-0.30
