Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,155.45,293.1,103.88,114.88,219.08,11.52,10.15,2.58,3.59,44.27,49.23,,,9.73,19.01,14.37,87.65,0.06,256.82,0.0,0.0,7.18,,
2020-01-01 01:00:00,183.0,337.95,137.25,135.05,272.4,14.15,13.22,2.5,3.66,38.28,55.52,,,10.84,19.62,14.07,88.92,0.06,207.46,0.0,0.0,7.12,,
2020-01-01 02:00:00,201.55,369.85,144.52,138.1,283.08,16.9,11.12,1.99,2.49,33.49,55.28,,,12.12,19.38,13.48,91.63,0.08,202.78,0.0,0.0,7.62,,
2020-01-01 03:00:00,188.18,332.72,100.22,108.32,208.65,13.48,9.18,0.92,2.84,30.45,47.32,,,11.58,16.84,13.64,87.25,0.08,189.48,0.0,0.0,7.5,,
2020-01-01 04:00:00,171.88,291.32,73.72,90.8,164.65,11.82,7.98,0.4,3.27,21.74,41.44,,,9.11,11.37,13.9,85.71,0.11,228.82,0.0,0.0,7.0,,
2020-01-01 05:00:00,160.15,276.05,53.28,76.1,129.45,9.93,7.7,0.81,10.28,20.29,37.2,,,7.32,9.01,14.08,83.31,0.06,175.76,0.0,0.0,7.3,,
2020-01-01 06:00:00,146.05,252.58,48.42,71.85,120.4,11.9,7.45,0.59,4.74,16.58,33.2,,,5.82,7.34,13.68,84.81,0.05,231.48,0.0,0.0,23.38,,
2020-01-01 07:00:00,127.25,229.28,49.12,70.35,119.55,13.42,14.1,0.45,2.86,15.23,27.57,,,4.7,6.08,15.99,76.27,0.08,230.18,0.0,0.0,114.7,,
2020-01-01 08:00:00,118.45,217.85,59.62,76.62,136.35,14.28,34.75,1.0,3.83,15.79,22.52,,,2.32,4.57,19.3,65.38,0.17,271.18,0.0,0.0,292.1,,
2020-01-01 09:00:00,125.38,226.08,54.53,70.07,124.75,12.42,42.08,0.85,12.44,19.3,24.21,,,2.5,5.45,21.87,56.9,0.17,205.02,0.0,0.0,390.4,,
2020-01-01 10:00:00,121.78,232.08,33.25,53.32,86.7,12.52,25.58,0.44,36.04,13.01,18.41,,,1.51,3.12,23.91,49.37,0.15,242.36,0.0,0.0,475.35,,
2020-01-01 11:00:00,101.05,211.2,30.7,48.68,79.47,15.08,31.4,0.26,58.02,11.58,14.91,,,1.78,2.94,24.9,45.93,0.19,214.42,0.0,0.0,473.88,,
2020-01-01 12:00:00,86.07,188.73,26.1,38.98,65.15,15.08,23.38,0.24,76.52,9.79,14.24,,,2.5,2.87,24.91,47.13,0.23,278.37,0.0,0.0,475.75,,
2020-01-01 13:00:00,79.32,175.0,28.02,40.33,68.45,13.98,17.25,0.45,79.22,8.17,10.78,,,1.68,2.2,25.15,46.57,0.31,259.6,0.0,0.0,398.82,,
2020-01-01 14:00:00,74.0,162.55,28.65,41.88,70.62,13.58,17.72,0.47,80.07,7.57,9.74,,,1.82,2.44,25.33,47.6,0.22,235.7,0.0,0.0,261.92,,
2020-01-01 15:00:00,68.62,154.12,30.25,43.12,73.45,14.12,16.65,0.54,70.65,7.17,9.61,,,1.35,2.33,24.33,51.01,0.17,250.57,0.0,0.0,83.07,,
2020-01-01 16:00:00,68.42,143.52,57.55,64.65,122.3,18.15,13.65,1.2,22.03,11.08,14.17,,,1.98,4.7,22.25,60.78,0.07,214.14,0.0,0.0,20.88,,
2020-01-01 17:00:00,70.8,149.1,83.57,83.02,166.68,19.27,9.6,1.78,3.24,24.93,27.82,,,8.84,15.34,20.21,70.03,0.06,274.19,0.0,0.0,5.55,,
2020-01-01 18:00:00,74.08,176.32,112.05,106.43,218.78,19.32,10.17,2.54,3.31,22.3,30.9,,,17.86,17.92,19.0,77.29,0.08,212.94,0.0,0.0,6.62,,
2020-01-01 19:00:00,86.9,208.92,180.18,143.48,323.73,20.58,10.02,4.09,3.6,32.02,44.54,,,13.67,23.37,18.38,81.65,0.09,274.09,0.0,0.0,7.2,,
2020-01-01 20:00:00,101.43,248.05,188.15,148.58,337.3,21.75,11.18,4.58,4.69,40.89,55.47,,,13.82,28.46,18.18,81.73,0.06,247.07,0.0,0.0,7.82,,
2020-01-01 21:00:00,128.15,296.42,182.62,144.5,327.25,20.0,12.82,4.18,4.08,41.03,60.08,,,12.82,26.04,17.69,84.19,0.08,147.56,0.0,0.0,7.38,,
2020-01-01 22:00:00,151.0,328.55,136.52,123.0,259.6,16.85,15.63,2.73,3.26,44.47,71.65,,,11.72,24.79,17.5,84.54,0.11,218.75,0.0,0.0,8.15,,
2020-01-01 23:00:00,149.38,321.05,84.68,91.0,175.78,10.73,14.08,1.27,2.64,34.46,53.24,,,6.91,13.29,17.5,83.33,0.1,236.26,0.0,0.0,8.05,,
2020-01-02 00:00:00,136.6,271.08,49.65,69.08,118.85,9.6,13.8,0.67,2.47,23.96,27.72,,,3.41,6.95,16.94,84.67,0.11,220.05,0.0,0.0,8.35,,
2020-01-02 01:00:00,134.18,232.15,34.67,56.12,90.9,10.77,12.88,0.39,2.26,17.23,22.73,,,2.08,4.38,16.76,85.39,0.07,189.08,0.0,0.0,8.07,,
2020-01-02 02:00:00,125.65,216.65,37.15,53.2,90.48,12.48,12.98,0.27,1.78,12.46,39.99,,,5.08,4.77,16.6,87.1,0.14,218.44,0.0,0.0,9.52,,
2020-01-02 03:00:00,113.22,197.48,38.2,52.05,90.35,11.88,10.92,0.22,1.84,12.0,19.69,,,2.37,3.56,16.66,86.67,0.05,295.93,0.0,0.0,8.0,,
2020-01-02 04:00:00,105.72,181.3,35.38,51.82,87.25,11.72,8.6,0.25,1.85,13.12,21.8,,,2.04,3.65,16.04,89.5,0.06,216.86,0.0,0.0,7.45,,
2020-01-02 05:00:00,104.15,180.52,36.02,53.28,89.4,11.75,8.75,0.47,1.63,12.05,25.81,,,3.22,4.08,16.08,87.77,0.07,194.26,0.0,0.0,9.18,,
2020-01-02 06:00:00,103.4,179.73,36.58,52.15,88.82,14.18,12.18,0.54,1.92,10.5,20.02,,,1.4,2.6,16.56,84.84,0.08,71.08,0.0,0.0,15.27,,
2020-01-02 07:00:00,98.88,176.1,38.33,51.5,89.9,14.3,16.8,0.66,2.38,11.77,17.07,,,1.44,2.7,17.69,80.44,0.13,82.31,0.0,0.0,54.82,,
2020-01-02 08:00:00,94.95,174.9,38.52,52.72,91.35,12.95,18.65,0.66,3.65,11.05,15.91,,,1.65,2.79,18.8,76.53,0.11,79.81,0.0,0.0,124.7,,
2020-01-02 09:00:00,96.15,181.62,42.22,53.82,96.12,11.78,20.48,0.79,10.66,12.38,16.85,,,1.9,3.04,20.68,69.6,0.32,91.9,0.0,0.0,253.55,,
2020-01-02 10:00:00,100.3,186.58,32.08,46.58,78.72,13.65,21.75,0.6,30.6,16.08,17.84,,,1.68,3.14,23.01,61.02,0.46,108.65,0.0,0.0,453.95,,
2020-01-02 11:00:00,,,,,,,,0.51,54.61,11.49,13.51,,,1.18,2.12,23.84,58.38,0.32,91.54,0.0,0.0,279.52,,
2020-01-02 12:00:00,,,17.0,36.0,53.2,15.65,13.1,0.27,63.17,9.44,7.76,,,0.89,1.6,24.95,51.99,0.23,120.52,0.0,0.0,429.12,,
2020-01-02 13:00:00,143.9,234.1,34.67,43.2,77.92,10.0,15.58,0.65,80.09,9.24,5.88,,,0.8,1.39,26.06,45.92,0.19,79.37,0.0,0.0,388.2,,
2020-01-02 14:00:00,125.25,210.5,21.52,40.95,62.5,11.1,18.1,0.48,84.62,13.02,7.58,,,1.06,1.71,26.38,39.53,0.21,85.29,0.0,0.0,245.58,,
2020-01-02 15:00:00,94.75,175.4,20.7,42.92,63.72,10.0,14.02,0.47,78.48,12.16,9.14,,,1.34,1.94,25.21,43.3,0.11,164.58,0.0,0.0,67.0,,
2020-01-02 16:00:00,76.08,145.7,46.75,63.28,110.08,13.02,12.15,1.1,28.26,9.83,8.16,,,1.08,2.67,23.07,54.65,0.08,251.39,0.0,0.0,16.38,,
2020-01-02 17:00:00,74.53,143.45,56.55,70.53,127.18,12.9,8.78,1.09,15.2,31.07,16.49,,,3.23,8.14,22.23,55.3,0.08,189.76,0.0,0.0,7.48,,
2020-01-02 18:00:00,71.95,145.28,67.85,78.95,146.9,14.65,8.0,1.41,5.18,17.96,16.47,,,2.8,7.54,21.15,56.7,0.04,249.07,0.0,0.0,7.65,,
2020-01-02 19:00:00,73.12,142.88,108.55,106.48,215.12,15.7,8.1,2.06,3.63,23.26,26.24,,,4.41,11.8,20.43,64.08,0.06,229.11,0.0,0.0,7.1,,
2020-01-02 20:00:00,77.03,155.38,126.5,121.78,248.53,16.7,9.2,2.96,4.09,34.16,37.88,,,6.34,14.96,19.56,71.34,0.04,313.6,0.0,0.0,7.52,,
2020-01-02 21:00:00,92.42,189.68,162.05,143.38,305.45,16.8,8.7,3.01,4.03,52.42,52.03,,,9.03,22.9,18.84,79.25,0.08,208.92,0.0,0.0,7.02,,
2020-01-02 22:00:00,107.18,215.82,210.7,170.48,381.7,19.82,11.35,4.14,3.6,57.5,67.78,,,11.23,27.65,19.34,79.17,0.05,234.06,0.0,0.0,9.3,,
2020-01-02 23:00:00,117.58,233.62,80.9,88.0,168.92,11.62,9.9,1.64,1.16,54.13,73.93,,,11.43,21.08,19.34,82.18,0.08,211.6,0.0,0.0,7.93,,
2020-01-03 00:00:00,110.4,212.02,42.78,61.35,104.22,10.02,7.32,0.84,2.52,25.68,40.88,,,7.04,10.26,19.16,83.28,0.06,164.63,0.0,0.0,9.93,,
2020-01-03 01:00:00,103.57,186.6,31.38,51.85,83.3,9.95,8.95,0.26,5.32,13.11,19.64,,,3.3,5.28,19.46,81.08,0.04,196.11,0.0,0.0,8.52,,
2020-01-03 02:00:00,96.98,166.0,30.35,48.58,79.03,11.62,12.7,0.2,4.81,14.6,16.93,,,2.62,3.96,19.14,82.25,0.08,167.33,0.0,0.0,9.62,,
2020-01-03 03:00:00,88.55,151.12,24.08,39.83,63.98,11.75,11.18,0.2,14.87,9.12,12.26,,,1.39,2.36,19.39,79.74,0.1,86.15,0.0,0.0,9.18,,
2020-01-03 04:00:00,76.25,126.5,22.2,36.72,58.95,12.6,9.48,0.2,18.4,6.36,10.06,,,0.96,1.64,17.86,92.77,0.15,120.15,0.25,1.0,7.62,,
2020-01-03 05:00:00,60.58,96.22,22.52,37.28,59.88,12.18,7.82,0.2,19.81,5.62,11.24,,,0.61,1.29,17.47,93.54,0.21,107.93,0.25,1.0,8.4,,
2020-01-03 06:00:00,48.18,77.08,22.95,36.68,59.68,13.23,7.5,0.2,18.01,4.48,9.9,,,0.49,1.06,16.83,97.34,0.24,103.4,0.6,2.4,16.42,,
2020-01-03 07:00:00,39.9,67.38,24.15,36.5,60.75,13.82,7.92,0.2,17.48,4.29,9.88,,,0.44,1.01,16.64,97.7,0.22,61.05,0.8,3.2,14.78,,
2020-01-03 08:00:00,34.58,55.4,23.52,35.4,59.0,14.15,7.95,0.2,26.3,3.32,9.77,,,0.46,1.01,16.86,96.24,0.46,62.22,0.1,0.4,123.88,,
2020-01-03 09:00:00,30.98,46.62,24.78,34.65,59.48,13.6,6.57,0.2,30.34,3.54,9.58,,,0.46,0.97,17.76,91.64,0.57,70.04,1.1,4.4,90.92,,
2020-01-03 10:00:00,25.05,38.25,23.6,35.67,59.35,13.5,6.58,0.2,32.55,2.93,9.3,,,0.44,1.03,16.93,96.3,0.67,67.36,0.3,1.2,82.32,,
2020-01-03 11:00:00,22.52,32.62,28.45,38.72,67.28,13.28,6.95,0.29,25.17,4.49,10.66,,,0.91,1.86,17.29,94.84,0.3,46.78,0.25,1.0,43.85,,
2020-01-03 12:00:00,22.75,32.8,31.02,42.42,73.57,14.15,6.68,0.35,17.84,15.08,20.47,,,2.61,4.56,16.83,98.73,0.27,116.24,2.35,9.4,20.78,,
2020-01-03 13:00:00,22.78,27.15,25.02,33.7,58.82,13.38,6.45,0.24,30.92,4.81,11.7,,,0.8,1.56,16.83,98.99,0.41,63.61,0.4,1.6,100.0,,
2020-01-03 14:00:00,20.17,26.48,22.98,35.52,58.58,12.92,7.02,0.27,28.74,3.96,11.12,,,0.39,0.94,16.97,98.98,0.31,85.51,0.3,1.2,38.92,,
2020-01-03 15:00:00,20.55,27.28,26.5,37.85,64.45,12.2,7.43,0.34,20.59,6.1,13.02,,,0.65,1.36,17.2,98.99,0.19,82.74,0.0,0.0,31.4,,
2020-01-03 16:00:00,20.8,25.35,27.92,40.12,68.1,13.9,7.3,0.32,18.41,7.24,12.84,,,0.69,1.35,17.15,98.99,0.22,80.4,0.1,0.4,17.02,,
2020-01-03 17:00:00,20.75,24.9,24.95,37.12,62.15,13.18,4.62,0.34,13.09,9.6,13.77,,,0.96,1.55,17.1,99.0,0.09,87.24,0.1,0.4,9.35,,
2020-01-03 18:00:00,23.55,33.22,22.48,40.38,62.92,13.98,4.18,0.48,4.96,8.88,7.06,,,0.9,1.88,17.06,99.02,0.06,210.88,0.1,0.4,9.25,,
2020-01-03 19:00:00,20.17,32.88,33.17,50.5,83.75,13.7,4.18,0.83,1.93,12.3,9.0,,,1.25,3.14,17.21,99.02,0.1,143.39,0.2,0.8,9.57,,
2020-01-03 20:00:00,20.08,40.7,34.17,50.03,84.3,13.8,3.95,0.82,2.24,21.5,33.2,,,2.79,5.53,17.23,99.02,0.09,122.43,0.3,1.2,9.22,,
2020-01-03 21:00:00,30.95,55.05,28.22,43.53,71.88,13.15,4.82,0.56,5.11,11.64,20.45,,,1.75,4.02,17.16,99.02,0.08,195.7,0.0,0.0,9.25,,
2020-01-03 22:00:00,28.08,55.62,26.1,40.3,66.48,14.15,4.7,0.5,6.14,9.24,13.9,,,1.36,3.04,17.17,99.02,0.08,209.02,0.05,0.2,9.33,,
