Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,139.28,324.08,52.38,108.22,160.57,32.03,12.40,1.57,NA,37.30,99.48,NA,NA,40.58,24.62,17.24,99.43,0.09,192.20,0.00,0.00,7.05,NA,0.01
2022-01-01 01:00:00,132.72,296.58,21.02,67.75,88.78,28.70,11.05,0.61,NA,21.92,55.42,NA,NA,20.65,10.80,17.39,99.40,0.16,89.94,0.00,0.00,5.40,NA,0.00
2022-01-01 02:00:00,119.78,247.90,16.58,59.78,76.32,28.55,11.45,0.36,NA,12.30,26.08,NA,NA,10.62,5.14,17.02,99.40,0.12,262.40,0.00,0.00,6.15,NA,0.02
2022-01-01 03:00:00,93.00,207.98,13.58,54.85,68.43,27.98,12.10,0.19,NA,9.75,19.14,NA,NA,7.30,2.97,16.67,99.43,0.07,256.15,0.00,0.00,7.05,NA,0.01
2022-01-01 04:00:00,77.12,157.83,14.48,56.28,70.75,27.95,20.05,0.09,NA,7.12,12.00,NA,NA,5.18,1.81,16.45,99.43,0.33,121.10,0.00,0.00,7.20,NA,0.02
2022-01-01 05:00:00,70.43,142.82,15.52,57.70,73.25,28.78,24.70,0.05,NA,6.26,11.06,NA,NA,3.77,1.12,16.22,99.45,0.16,87.94,0.00,0.00,6.85,NA,0.02
2022-01-01 06:00:00,69.97,137.18,16.98,60.78,77.75,29.35,20.08,0.16,NA,6.34,9.91,NA,NA,3.10,0.90,15.84,99.48,0.12,276.76,0.00,0.00,27.72,NA,0.02
2022-01-01 07:00:00,63.70,138.85,16.52,61.95,78.48,28.40,24.67,0.22,NA,8.19,9.54,NA,NA,3.22,0.94,16.68,99.43,0.25,288.35,0.00,0.00,122.30,NA,0.02
2022-01-01 08:00:00,64.22,139.25,15.77,60.42,76.20,27.68,36.52,0.22,NA,9.07,11.12,NA,NA,3.26,0.94,18.32,99.35,0.23,153.10,0.00,0.00,299.60,NA,0.02
2022-01-01 09:00:00,63.40,141.07,14.12,56.68,70.80,27.85,31.72,0.19,NA,8.54,11.47,NA,NA,2.94,0.86,19.83,99.27,0.27,136.27,0.00,0.00,464.98,NA,0.03
2022-01-01 10:00:00,66.98,147.80,11.15,50.00,61.15,27.62,21.40,0.19,NA,8.13,10.52,NA,NA,2.39,0.68,21.14,99.13,0.72,255.05,0.00,0.00,589.45,NA,0.03
2022-01-01 11:00:00,61.05,131.10,10.60,49.60,60.18,27.18,16.52,0.11,NA,7.05,9.46,NA,NA,2.27,0.68,22.53,86.33,0.35,296.88,0.00,0.00,599.90,NA,0.02
2022-01-01 12:00:00,53.50,127.62,12.22,52.72,64.95,27.60,16.27,0.03,NA,6.30,10.25,NA,NA,2.39,0.89,23.29,65.28,0.39,316.86,0.00,0.00,565.67,NA,0.03
2022-01-01 13:00:00,48.80,119.80,9.80,45.15,54.95,27.88,15.82,NA,NA,7.52,21.86,NA,NA,3.94,1.55,23.64,53.92,0.39,155.61,0.00,0.00,495.35,NA,0.03
2022-01-01 14:00:00,49.55,107.80,8.98,43.65,52.60,28.40,16.18,NA,NA,8.06,27.22,NA,NA,4.57,1.83,23.78,49.45,0.44,269.48,0.00,0.00,323.48,NA,0.03
2022-01-01 15:00:00,45.95,105.65,9.20,43.92,53.12,28.67,14.98,NA,NA,7.40,26.36,NA,NA,4.26,1.66,22.70,47.95,0.71,239.97,0.00,0.00,97.57,NA,0.02
2022-01-01 16:00:00,43.05,99.22,11.60,49.15,60.78,28.55,16.90,NA,NA,6.93,25.56,NA,NA,4.04,1.53,21.43,53.25,0.26,156.02,0.00,0.00,26.58,NA,0.02
