Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,75.0,124.0,1.1,24.12,13.72,29.58,18.17,0.75,4.9,0.18,0.25,0.0,,0.1,0.1,11.4,85.5,0.3,190.75,0.0,0.0,15.0,733.0,
2024-01-01 01:00:00,79.33,130.75,1.02,27.18,15.28,30.05,20.7,0.78,5.0,0.1,0.2,0.0,,,0.1,11.28,84.75,0.3,153.5,0.0,0.0,15.0,733.0,
2024-01-01 02:00:00,78.75,127.75,0.9,22.5,12.68,28.45,18.65,0.63,8.07,0.1,0.2,0.02,,,,11.18,83.25,0.3,167.25,0.0,0.0,15.0,733.0,
2024-01-01 03:00:00,67.5,109.0,0.57,18.85,10.5,26.95,17.2,0.56,11.3,0.1,0.2,0.0,,,,11.2,82.0,0.3,150.0,0.0,0.0,15.0,733.0,
2024-01-01 04:00:00,62.33,103.0,0.75,19.45,10.95,26.78,16.18,0.61,8.28,0.1,0.2,0.0,,,,11.2,81.75,0.32,120.25,0.0,0.0,15.0,733.0,
2024-01-01 05:00:00,62.0,111.5,0.85,21.35,12.02,27.82,15.3,0.66,7.5,0.1,0.2,0.0,,,0.1,11.05,81.0,0.38,142.75,0.0,0.0,15.0,733.0,
2024-01-01 06:00:00,67.5,111.5,0.68,23.1,12.85,28.58,14.85,0.71,5.98,0.1,0.2,0.0,,,,10.98,81.5,0.3,135.75,0.0,0.0,11.0,733.0,
2024-01-01 07:00:00,81.0,123.5,1.5,22.3,13.1,25.4,25.6,0.6,6.32,0.12,0.22,0.0,,,0.1,10.92,80.75,0.32,147.75,0.0,0.0,13.5,733.0,
2024-01-01 08:00:00,87.5,149.0,1.4,25.5,14.72,29.18,28.75,0.77,5.55,0.12,0.28,0.0,,,0.1,11.08,79.75,0.32,103.5,0.0,0.0,23.0,733.0,
2024-01-01 09:00:00,92.5,167.75,2.35,31.35,18.6,31.3,30.52,1.01,4.47,0.2,0.3,0.02,,0.1,0.1,11.42,78.25,0.35,139.25,0.0,0.0,37.0,733.0,
2024-01-01 10:00:00,109.0,204.5,3.85,34.6,21.52,33.42,32.17,1.13,4.78,0.2,0.32,0.02,,0.1,0.12,12.0,75.75,0.3,183.25,0.0,0.0,50.75,733.0,
2024-01-01 11:00:00,125.33,224.75,3.75,35.65,22.0,34.28,33.38,1.16,5.1,0.2,0.32,0.05,,0.1,0.1,12.85,72.25,0.32,205.75,0.0,0.0,92.5,733.0,
2024-01-01 12:00:00,121.5,217.5,3.08,30.68,18.82,34.25,32.35,1.05,3.82,0.2,0.38,0.02,,0.1,0.12,14.2,66.25,0.32,221.25,0.0,0.0,139.0,733.0,
2024-01-01 13:00:00,121.0,218.25,1.75,29.52,17.15,34.67,32.78,1.1,4.18,0.2,0.35,0.02,,0.1,0.12,15.62,60.25,0.32,205.25,0.0,0.0,140.0,733.0,
2024-01-01 14:00:00,119.5,219.75,1.15,28.9,16.3,33.38,31.98,0.96,2.85,0.2,0.42,0.08,,0.1,0.15,15.95,57.5,0.4,118.75,0.0,0.0,111.0,733.0,
2024-01-01 15:00:00,103.75,201.25,1.5,27.88,16.08,30.65,31.25,0.82,3.15,0.15,0.3,0.05,,0.1,0.1,16.02,58.25,0.4,117.5,0.0,0.0,68.5,733.0,
2024-01-01 16:00:00,100.5,194.25,0.95,27.65,15.52,31.9,31.85,0.86,3.02,0.12,0.28,0.08,,0.1,0.15,15.02,63.25,0.45,109.25,0.0,0.0,35.25,733.0,
2024-01-01 17:00:00,115.5,207.25,1.38,38.08,21.35,36.0,32.33,1.28,3.33,0.2,0.32,0.1,,0.1,0.22,13.62,70.75,0.48,116.75,0.0,0.0,14.75,733.0,
2024-01-01 18:00:00,126.0,230.25,2.05,41.92,23.95,35.58,33.2,1.47,2.05,0.2,0.43,0.1,,0.1,0.28,12.08,79.0,0.4,127.0,0.0,0.0,12.0,733.0,
2024-01-01 19:00:00,128.67,225.25,2.4,46.72,26.8,38.35,35.5,1.66,4.3,0.2,0.5,0.12,,0.1,0.3,11.42,81.5,0.32,126.0,0.0,0.0,12.0,733.0,
2024-01-01 20:00:00,138.33,237.5,1.88,42.15,23.95,35.83,34.75,1.46,5.32,0.2,0.5,0.2,,0.1,0.32,10.78,83.75,0.32,118.25,0.0,0.0,12.25,733.0,
2024-01-01 21:00:00,125.33,196.0,2.42,41.18,23.88,35.88,36.2,1.61,4.68,0.2,0.45,0.15,,0.1,0.3,10.07,86.25,0.3,109.75,0.0,0.0,12.75,733.0,
2024-01-01 22:00:00,127.5,207.0,2.98,41.12,24.3,34.92,36.08,1.6,4.75,0.2,0.4,0.12,,0.1,0.25,9.6,88.25,0.3,157.5,0.0,0.0,12.25,733.0,
2024-01-01 23:00:00,115.5,191.5,4.22,39.02,24.15,32.4,35.72,1.38,4.75,0.2,0.45,0.15,,0.1,0.28,9.33,89.5,0.3,120.25,0.0,0.0,12.5,733.0,
2024-01-02 00:00:00,97.25,170.75,1.7,32.52,18.68,30.55,19.47,0.82,4.95,0.2,0.32,0.05,,0.1,0.2,9.98,88.0,0.3,146.75,0.0,0.0,14.5,733.0,
2024-01-02 01:00:00,81.67,140.25,1.0,27.12,15.25,31.2,18.48,0.76,5.1,0.15,0.32,0.05,,0.1,0.15,10.48,84.0,0.3,176.5,0.0,0.0,15.0,733.0,
2024-01-02 02:00:00,81.5,142.25,0.5,22.52,12.35,28.58,15.75,0.79,4.05,0.1,0.3,0.0,,0.1,0.1,10.32,81.25,0.3,189.0,0.0,0.0,15.0,733.0,
2024-01-02 03:00:00,87.0,143.5,0.68,21.62,12.05,26.72,15.22,0.74,5.35,0.1,0.3,0.0,,0.1,0.1,10.07,80.25,0.3,178.5,0.0,0.0,15.0,733.0,
2024-01-02 04:00:00,78.75,130.5,0.82,20.7,11.7,25.92,14.23,0.71,3.75,0.1,0.22,0.0,,,0.1,9.9,80.0,0.35,176.25,0.0,0.0,15.0,733.0,
2024-01-02 05:00:00,72.25,114.5,0.55,19.68,10.92,24.72,12.85,0.68,3.18,0.1,0.2,0.0,,,0.1,9.8,79.75,0.4,119.5,0.0,0.0,14.25,733.0,
2024-01-02 06:00:00,74.25,118.0,0.57,20.85,11.55,25.22,11.72,0.72,3.82,0.1,0.2,0.0,,,0.1,9.9,81.5,0.38,128.75,0.0,0.0,12.0,733.0,
2024-01-02 07:00:00,80.25,129.25,1.3,20.6,12.0,23.5,10.5,0.62,7.62,0.1,0.2,0.0,,,0.1,10.05,82.0,0.32,137.0,0.0,0.0,14.0,733.0,
2024-01-02 08:00:00,90.25,149.5,1.42,25.98,15.0,27.58,12.98,0.88,5.82,0.1,0.2,0.0,,,0.1,10.58,80.0,0.3,250.75,0.0,0.0,24.5,733.0,
2024-01-02 09:00:00,99.5,164.0,2.42,26.52,16.08,30.08,12.92,0.98,5.1,0.12,0.35,0.02,,0.1,0.15,11.15,76.75,0.3,200.25,0.0,0.0,43.0,733.0,
2024-01-02 10:00:00,98.0,168.25,2.15,24.98,15.05,30.25,14.48,0.98,3.55,0.1,0.3,0.08,,0.1,0.1,11.75,73.5,0.3,201.0,0.0,0.0,71.0,733.0,
2024-01-02 11:00:00,97.67,172.0,1.48,25.3,14.62,29.28,13.8,0.96,1.85,0.1,0.3,0.12,,0.13,0.35,13.58,66.5,0.4,239.5,0.0,0.0,159.25,733.0,
2024-01-02 12:00:00,97.0,169.75,2.2,23.65,13.85,30.58,14.28,0.94,1.42,0.12,0.3,0.1,,0.1,0.25,14.68,62.25,0.38,218.75,0.0,0.0,173.75,733.0,
2024-01-02 13:00:00,96.5,163.0,1.2,22.62,12.98,29.6,14.45,0.87,1.08,0.1,0.2,0.02,,0.1,0.1,15.65,58.25,0.38,188.75,0.0,0.0,164.0,733.0,
2024-01-02 14:00:00,96.75,166.25,0.92,23.78,13.45,30.5,16.92,0.9,0.92,0.1,0.28,0.05,,0.1,0.18,16.35,56.25,0.4,156.75,0.0,0.0,128.0,733.0,
2024-01-02 15:00:00,103.0,181.25,0.85,27.82,15.48,32.9,23.85,0.94,1.58,0.1,0.2,0.0,,,0.1,16.82,55.5,0.35,130.0,0.0,0.0,73.5,733.0,
2024-01-02 16:00:00,103.75,198.5,0.78,32.2,17.75,33.02,20.75,1.04,1.18,0.1,0.2,0.05,,0.1,0.18,16.88,56.5,0.3,269.25,0.0,0.0,36.75,733.0,
2024-01-02 17:00:00,120.33,230.5,1.32,49.48,27.4,41.88,20.95,1.74,2.72,0.2,0.57,0.28,,0.2,0.62,15.05,66.0,0.3,313.75,0.0,0.0,15.0,733.0,
2024-01-02 18:00:00,192.75,353.0,3.35,76.08,43.22,58.75,28.75,3.12,3.48,0.45,1.1,0.48,,0.38,0.82,13.62,72.5,0.3,318.5,0.0,0.0,12.0,733.0,
2024-01-02 19:00:00,258.25,451.5,3.35,77.15,43.75,58.25,30.92,2.89,3.78,0.57,1.55,0.82,,0.55,1.23,12.28,78.25,0.3,271.75,0.0,0.0,12.25,733.0,
2024-01-02 20:00:00,202.5,352.5,2.75,56.28,32.2,43.18,27.8,2.0,5.0,0.4,1.12,0.57,,0.4,0.9,11.32,85.0,0.4,120.0,0.0,0.0,12.75,733.0,
2024-01-02 21:00:00,132.67,234.25,1.35,39.88,22.3,37.52,26.35,1.61,4.95,0.3,1.15,0.25,,0.18,0.38,10.58,87.75,0.48,110.25,0.0,0.0,12.0,733.0,
2024-01-02 22:00:00,110.75,183.0,1.23,32.8,18.45,33.38,23.42,1.43,4.9,0.22,1.03,0.15,,0.1,0.3,9.7,89.75,0.45,117.75,0.0,0.0,12.0,733.0,
2024-01-02 23:00:00,92.5,156.75,1.15,28.38,16.02,31.25,21.5,1.32,4.82,0.2,0.6,0.08,,0.1,0.2,9.07,91.5,0.4,118.0,0.0,0.0,12.0,733.0,
2024-01-03 00:00:00,83.25,141.75,0.62,27.98,15.38,30.5,17.63,0.86,5.43,0.2,0.48,0.08,,0.1,0.15,8.48,93.0,0.48,124.25,0.0,0.0,14.75,733.0,
2024-01-03 01:00:00,75.75,133.75,0.82,30.55,16.9,28.12,15.22,0.7,4.0,0.2,0.4,0.02,,0.1,0.1,8.15,95.0,0.5,121.0,0.0,0.0,15.0,733.0,
2024-01-03 02:00:00,64.33,102.5,0.62,28.85,15.82,24.75,13.58,0.69,4.1,0.1,0.3,0.0,,0.1,0.1,8.35,96.0,0.45,121.25,0.0,0.0,15.0,733.0,
2024-01-03 03:00:00,53.25,96.5,0.65,25.45,14.02,23.2,11.72,0.68,5.03,0.1,0.3,0.0,,,0.1,8.45,96.0,0.4,127.0,0.0,0.0,15.0,733.0,
2024-01-03 04:00:00,48.0,80.0,0.72,21.32,11.92,23.3,11.68,0.72,5.85,0.1,0.3,0.0,,0.1,0.1,8.4,96.0,0.4,120.75,0.0,0.0,15.0,733.0,
2024-01-03 05:00:00,48.5,71.75,0.48,20.5,11.3,23.4,11.68,0.87,5.5,0.12,0.35,0.0,,0.1,0.1,8.22,96.0,0.4,117.75,0.0,0.0,14.75,733.0,
2024-01-03 06:00:00,50.25,76.25,0.9,23.38,12.98,24.68,12.1,1.04,4.43,0.2,0.4,0.0,,0.1,0.1,8.25,96.0,0.35,114.75,0.12,0.12,13.0,733.0,
2024-01-03 07:00:00,51.5,82.75,2.1,24.9,14.9,23.5,10.9,0.97,4.95,0.2,0.4,0.0,,0.1,0.1,8.52,96.0,0.3,131.0,0.0,0.0,14.0,733.0,
2024-01-03 08:00:00,57.5,91.0,2.98,30.7,18.73,31.0,13.3,1.4,4.95,0.2,0.3,0.0,,0.1,0.1,8.93,96.0,0.3,187.5,0.0,0.0,21.5,733.0,
2024-01-03 09:00:00,71.75,123.0,3.8,32.33,20.3,34.58,14.82,1.52,4.97,0.2,0.35,0.08,,0.1,0.15,9.22,96.0,0.3,193.25,0.0,0.0,31.0,733.0,
2024-01-03 10:00:00,74.0,135.5,2.52,30.5,18.27,33.28,14.6,1.36,3.88,0.2,0.38,0.02,,0.1,0.15,9.5,96.0,0.3,169.25,0.0,0.0,43.5,733.0,
2024-01-03 11:00:00,81.5,146.0,1.5,26.98,15.55,34.02,14.35,1.22,2.72,0.2,0.38,0.02,,0.1,0.12,10.1,96.0,0.3,202.75,0.0,0.0,46.0,733.0,
2024-01-03 12:00:00,104.0,196.75,1.52,26.75,15.48,36.05,14.8,1.06,2.65,0.2,0.3,0.02,,0.1,0.12,10.82,96.0,0.3,141.0,0.0,0.0,53.0,733.0,
2024-01-03 13:00:00,125.25,193.5,2.1,33.05,19.25,39.4,17.6,1.14,2.55,0.2,0.5,0.05,,0.1,0.12,11.82,93.25,0.4,121.0,0.0,0.0,59.5,733.0,
2024-01-03 14:00:00,144.0,214.25,1.4,35.15,19.85,40.5,22.83,1.03,2.33,0.2,0.45,0.05,,0.1,0.1,12.9,83.0,0.35,116.25,0.0,0.0,55.75,733.0,
2024-01-03 15:00:00,149.0,223.25,1.48,34.65,19.62,41.4,21.18,1.05,0.7,0.2,0.5,0.05,,0.1,0.1,13.22,81.25,0.4,121.25,0.0,0.0,56.5,733.0,
2024-01-03 16:00:00,160.5,249.25,1.8,38.7,22.02,45.28,17.35,1.3,1.85,0.2,0.68,0.15,,0.15,0.45,13.4,81.0,0.4,105.5,0.0,0.0,31.25,733.0,
2024-01-03 17:00:00,160.25,270.5,2.8,50.25,29.0,41.08,15.9,1.34,2.88,0.2,0.65,0.18,,0.18,0.35,12.65,84.5,0.3,164.0,0.0,0.0,14.5,733.0,
2024-01-03 18:00:00,147.75,240.25,2.45,48.68,27.88,42.35,17.23,1.58,4.05,0.2,0.62,0.22,,0.12,0.38,11.7,89.25,0.3,158.25,0.0,0.0,12.25,733.0,
2024-01-03 19:00:00,154.75,243.0,2.58,50.15,28.75,43.8,19.05,1.82,3.92,0.28,0.68,0.25,,0.2,0.45,11.32,90.5,0.35,136.25,0.0,0.0,13.0,733.0,
2024-01-03 20:00:00,160.0,265.0,1.58,47.62,26.62,45.62,22.05,1.76,2.25,0.3,0.98,0.3,,0.18,0.5,11.2,89.25,0.35,107.0,0.0,0.0,13.0,733.0,
