Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,314.0,554.75,33.22,65.85,62.05,94.72,8.52,3.44,0.32,4.78,19.8,2.82,,2.15,7.92,8.58,86.75,0.35,158.25,0.0,0.0,17.0,743.0,
2020-01-01 01:00:00,307.75,534.25,24.6,57.05,50.35,88.12,7.05,2.8,0.28,3.95,15.88,1.95,,1.52,5.52,8.43,86.25,0.4,158.5,0.0,0.0,17.0,743.0,
2020-01-01 02:00:00,285.25,506.5,24.4,54.08,48.6,82.35,5.78,2.79,0.32,3.53,13.0,1.42,,1.82,4.18,7.75,88.75,0.48,161.25,0.0,0.0,17.0,743.0,
2020-01-01 03:00:00,268.25,483.75,19.35,56.97,46.02,75.78,4.8,2.54,0.3,3.15,11.2,1.02,,0.9,3.3,7.3,90.75,0.5,154.75,0.0,0.0,17.0,743.0,
2020-01-01 04:00:00,246.25,447.5,9.6,50.72,34.8,73.75,4.45,2.21,0.2,2.7,9.3,0.7,,0.62,2.38,6.9,91.75,0.5,183.5,0.0,0.0,17.0,743.0,
2020-01-01 05:00:00,243.25,435.5,6.6,52.08,33.08,70.47,4.8,1.99,0.28,2.55,8.3,0.45,,0.57,1.78,6.75,90.75,0.5,197.75,0.0,0.0,17.0,743.0,
2020-01-01 06:00:00,263.25,454.5,3.45,48.25,28.45,69.57,4.47,1.74,0.22,2.58,7.38,0.3,,0.45,1.32,6.48,90.25,0.52,195.5,0.0,0.0,17.0,743.0,
2020-01-01 07:00:00,233.75,405.0,34.3,57.7,63.1,66.3,196.8,0.01,0.22,2.35,6.75,0.25,,0.38,1.12,6.7,89.5,0.6,206.25,0.0,0.0,30.75,743.0,
2020-01-01 08:00:00,266.25,449.25,10.02,59.4,39.72,71.27,6.6,1.74,1.6,2.4,6.82,0.3,,0.57,1.33,7.75,87.5,0.5,206.25,0.0,0.0,95.25,743.0,
2020-01-01 09:00:00,258.0,447.0,6.4,61.7,38.03,94.1,7.78,1.6,4.5,2.5,7.05,0.3,,0.48,1.62,11.0,79.25,0.48,225.25,0.0,0.0,182.75,743.0,
2020-01-01 10:00:00,198.5,378.0,1.92,50.75,28.52,72.42,6.7,0.46,1.75,2.2,6.75,0.3,,0.55,1.23,15.25,67.25,0.5,234.5,0.0,0.0,249.0,743.0,
2020-01-01 11:00:00,116.5,254.5,1.05,32.98,18.4,67.47,5.92,0.4,14.42,1.5,5.62,0.2,,0.35,0.8,17.42,53.25,0.52,255.25,0.0,0.0,277.5,743.0,
2020-01-01 12:00:00,58.75,160.25,0.5,13.4,7.52,66.25,7.82,0.74,32.9,0.82,3.92,0.1,,0.22,0.42,18.45,48.25,0.52,277.0,0.0,0.0,236.75,743.0,
2020-01-01 13:00:00,44.75,125.0,0.4,15.92,8.8,58.4,10.42,0.81,38.58,0.52,2.7,0.08,,0.1,0.28,19.23,46.75,0.5,274.0,0.0,0.0,161.25,743.0,
2020-01-01 14:00:00,49.5,124.0,0.48,15.3,8.57,53.65,10.68,0.66,44.12,0.5,1.7,0.0,,0.08,0.2,19.88,45.25,0.5,266.5,0.0,0.0,167.0,743.0,
2020-01-01 15:00:00,47.75,123.0,0.62,15.95,8.95,50.28,11.02,0.86,45.7,0.5,2.05,0.08,,0.1,0.28,19.88,45.75,0.48,269.25,0.0,0.0,116.5,743.0,
2020-01-01 16:00:00,47.75,125.25,0.5,23.12,12.73,47.32,9.5,0.98,40.0,0.52,1.25,0.1,,0.1,0.22,19.17,50.0,0.32,269.25,0.0,0.0,55.5,743.0,
2020-01-01 17:00:00,59.25,152.5,0.57,45.58,24.72,50.28,6.68,1.0,23.1,0.8,2.98,0.38,,0.55,1.18,17.72,56.75,0.3,151.75,0.0,0.0,23.25,743.0,
2020-01-01 18:00:00,107.5,280.5,28.68,67.75,59.35,62.32,6.88,1.85,5.32,1.5,9.38,1.68,,2.45,4.12,16.33,61.75,0.3,132.25,0.0,0.0,17.0,743.0,
2020-01-01 19:00:00,172.25,351.0,164.4,106.28,190.15,63.62,11.85,4.7,0.8,3.65,23.82,5.07,,5.03,11.15,15.87,62.75,0.38,137.0,0.0,0.0,17.0,743.0,
2020-01-01 20:00:00,229.5,517.5,120.22,125.4,164.42,92.82,17.45,5.66,0.75,6.45,36.0,10.52,,8.18,21.42,14.55,71.5,0.5,151.5,0.0,0.0,17.0,743.0,
2020-01-01 21:00:00,332.25,638.5,21.15,93.8,67.05,77.07,9.32,2.11,0.35,5.65,30.52,8.48,,4.45,16.2,13.58,70.25,0.48,165.0,0.0,0.0,17.0,743.0,
2020-01-01 22:00:00,203.75,376.25,5.88,78.9,46.75,74.75,6.72,1.38,0.85,3.32,16.35,3.95,,3.08,7.72,13.5,66.75,0.45,159.75,0.0,0.0,17.0,743.0,
2020-01-01 23:00:00,168.75,311.5,4.4,66.85,39.12,68.65,5.45,1.24,1.12,2.68,12.08,2.12,,1.95,4.72,13.3,67.25,0.43,152.25,0.0,0.0,17.0,743.0,
2020-01-02 00:00:00,162.5,302.0,4.38,65.58,38.4,73.75,7.1,2.02,0.73,2.35,9.68,1.3,,1.35,3.52,12.52,71.0,0.48,153.0,0.0,0.0,17.0,743.0,
2020-01-02 01:00:00,200.75,363.0,2.3,66.03,36.97,73.9,8.0,2.12,0.75,2.32,9.28,0.92,,1.12,2.75,11.85,74.25,0.5,154.75,0.0,0.0,17.0,743.0,
2020-01-02 02:00:00,174.75,320.0,4.05,67.38,39.1,65.65,8.02,2.3,0.25,2.1,8.7,0.68,,0.9,2.17,11.2,78.25,0.55,157.25,0.0,0.0,17.0,743.0,
2020-01-02 03:00:00,173.75,320.5,7.62,66.85,41.75,63.2,9.68,2.22,0.15,2.08,8.45,0.52,,0.82,1.9,10.82,81.75,0.52,162.75,0.0,0.0,17.0,743.0,
2020-01-02 04:00:00,181.0,328.25,7.98,60.38,38.58,60.28,10.12,2.13,0.45,2.25,8.83,0.55,,0.98,1.9,10.28,86.25,0.5,163.5,0.0,0.0,17.0,743.0,
2020-01-02 05:00:00,176.25,317.5,8.15,56.65,36.78,56.72,8.88,2.03,0.1,2.3,8.68,0.5,,1.0,1.8,9.85,89.25,0.55,154.75,0.0,0.0,17.0,743.0,
2020-01-02 06:00:00,171.25,310.75,7.82,45.0,30.28,59.03,7.72,1.83,0.2,2.25,8.18,0.43,,0.85,1.58,9.68,90.75,0.5,169.75,0.0,0.0,17.0,743.0,
2020-01-02 07:00:00,181.75,329.0,39.3,43.7,59.7,69.5,198.6,0.01,0.32,2.53,6.68,0.35,,0.8,1.42,9.93,92.0,0.48,179.25,0.0,0.0,25.5,743.0,
2020-01-02 08:00:00,214.75,394.5,19.55,48.92,41.92,70.53,10.2,2.46,1.1,3.0,7.48,0.4,,0.98,1.9,11.12,88.75,0.43,176.0,0.0,0.0,68.25,743.0,
2020-01-02 09:00:00,216.25,434.25,13.95,47.2,36.42,78.3,12.3,2.17,4.07,3.1,8.82,0.55,,0.78,2.47,13.9,78.0,0.52,207.75,0.0,0.0,146.25,743.0,
2020-01-02 10:00:00,162.5,348.75,4.25,25.62,17.08,73.85,18.12,1.32,15.02,2.42,7.02,0.32,,0.57,1.72,18.58,62.0,0.43,242.25,0.0,0.0,251.25,743.0,
2020-01-02 11:00:00,78.25,183.5,1.58,16.82,10.2,66.97,16.48,1.0,24.52,1.3,4.7,0.2,,0.32,0.85,20.9,52.25,0.45,246.25,0.0,0.0,283.0,743.0,
2020-01-02 12:00:00,39.75,103.25,0.78,11.25,6.6,57.35,12.08,0.82,32.53,0.52,1.95,0.08,,0.08,0.35,21.78,47.25,0.52,265.0,0.0,0.0,274.25,743.0,
2020-01-02 13:00:00,22.0,77.75,0.5,12.25,6.93,49.92,9.72,0.83,34.88,0.38,1.78,0.0,,0.08,0.2,22.45,44.5,0.6,275.0,0.0,0.0,164.25,743.0,
2020-01-02 14:00:00,27.5,90.75,0.38,15.12,8.32,46.62,9.6,0.89,36.15,0.4,2.05,0.0,,0.08,0.22,22.68,44.0,0.6,264.25,0.0,0.0,177.0,743.0,
2020-01-02 15:00:00,31.75,92.75,0.18,11.85,6.45,42.75,7.8,0.88,38.53,0.32,1.8,0.0,,0.02,0.18,22.25,46.75,0.52,276.0,0.0,0.0,117.25,743.0,
2020-01-02 16:00:00,22.75,84.5,0.2,14.08,7.58,41.25,8.15,0.99,35.53,0.38,1.7,0.05,,0.52,0.18,21.5,49.75,0.35,271.25,0.0,0.0,50.25,743.0,
2020-01-02 17:00:00,29.0,113.25,26.33,61.02,53.85,39.03,9.58,1.89,14.12,0.62,2.65,0.48,,0.4,1.33,20.58,54.5,0.32,166.25,0.0,0.0,22.0,743.0,
2020-01-02 18:00:00,60.75,211.25,30.83,79.05,67.1,51.28,12.15,2.56,2.6,2.52,13.18,3.28,,2.68,7.55,19.02,60.75,0.35,147.25,0.0,0.0,17.0,743.0,
2020-01-02 19:00:00,141.0,328.0,38.17,91.52,79.7,69.4,14.72,3.52,0.48,4.05,17.5,4.68,,3.6,9.68,18.08,66.0,0.43,160.0,0.0,0.0,17.0,743.0,
2020-01-02 20:00:00,198.5,441.0,35.6,77.62,70.22,70.85,13.6,3.23,0.35,3.72,11.98,2.15,,2.5,6.1,17.45,67.5,0.38,143.75,0.0,0.0,17.0,743.0,
2020-01-02 21:00:00,186.0,396.5,15.35,65.7,47.45,67.48,11.45,2.59,0.4,3.52,11.75,2.95,,2.38,6.02,16.77,70.0,0.48,160.25,0.0,0.0,17.0,743.0,
2020-01-02 22:00:00,165.5,342.25,3.78,51.72,30.6,66.32,9.4,2.1,1.55,3.03,9.4,1.52,,1.55,4.0,16.08,72.5,0.45,163.25,0.0,0.0,17.0,743.0,
