Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,187.25,340.50,12.02,85.00,55.00,44.97,11.80,NA,4.96,1.10,3.10,NA,NA,NA,NA,14.78,68.00,0.35,168.75,NA,0.00,NA,743.00,NA
2022-01-01 01:00:00,203.75,358.25,6.00,70.40,42.30,47.55,11.30,NA,13.48,1.10,3.20,NA,NA,NA,NA,14.50,71.50,0.52,174.75,NA,0.00,NA,743.00,NA
2022-01-01 02:00:00,203.25,329.25,2.43,57.20,32.38,50.75,11.18,NA,22.83,1.10,3.05,NA,NA,NA,NA,14.20,74.50,0.48,161.25,NA,0.00,NA,743.00,NA
2022-01-01 03:00:00,193.50,314.00,3.95,63.90,37.20,51.90,10.65,NA,15.42,1.10,2.85,NA,NA,NA,NA,13.85,77.25,0.50,156.50,NA,0.00,NA,743.00,NA
2022-01-01 04:00:00,188.25,315.25,2.58,58.05,33.00,54.35,10.52,NA,24.38,1.10,2.70,NA,NA,NA,NA,13.48,77.75,0.72,155.00,NA,0.00,NA,743.00,NA
2022-01-01 05:00:00,185.75,302.00,1.75,55.18,30.75,56.20,9.83,NA,19.40,1.05,2.55,NA,NA,NA,NA,13.02,79.75,0.52,160.25,NA,0.00,NA,743.00,NA
2022-01-01 06:00:00,190.50,312.50,1.83,63.55,35.30,58.22,10.07,NA,13.18,1.00,2.50,NA,NA,NA,NA,12.85,81.75,0.55,158.25,NA,0.00,NA,743.00,NA
2022-01-01 07:00:00,219.75,351.00,4.60,64.92,38.28,64.62,10.85,0.86,11.00,1.00,2.43,NA,NA,NA,NA,12.52,83.50,0.38,186.25,NA,0.00,NA,743.00,NA
2022-01-01 08:00:00,269.50,414.25,8.00,67.68,42.50,74.32,13.15,0.62,14.68,1.10,2.40,NA,NA,NA,NA,13.00,83.00,0.52,182.00,NA,0.00,NA,743.25,NA
2022-01-01 09:00:00,298.00,455.75,7.58,69.75,43.25,81.00,15.10,0.90,29.72,1.10,2.50,NA,NA,NA,NA,14.88,75.75,0.60,176.00,NA,0.00,NA,744.00,NA
2022-01-01 10:00:00,282.50,447.00,5.85,66.97,40.38,90.50,18.20,0.46,53.98,1.10,2.55,NA,NA,NA,NA,16.83,66.50,0.58,156.00,NA,0.00,NA,744.00,NA
2022-01-01 11:00:00,290.00,459.00,5.10,64.40,38.30,93.70,20.20,0.54,75.73,1.10,2.60,NA,NA,NA,NA,18.10,59.00,0.60,137.00,NA,0.00,NA,744.00,NA
2022-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 14:00:00,126.67,211.50,0.70,22.10,12.05,49.55,19.05,NA,122.18,1.10,2.68,NA,NA,NA,NA,22.35,31.00,0.52,157.25,NA,0.00,NA,743.00,NA
2022-01-01 15:00:00,97.75,164.50,0.55,23.45,12.92,46.62,17.90,NA,128.58,1.10,2.58,NA,NA,NA,NA,22.68,31.25,0.40,119.25,NA,0.00,NA,743.00,NA
2022-01-01 16:00:00,96.50,178.00,0.98,32.30,17.98,42.28,17.75,0.16,110.34,1.05,2.50,NA,NA,NA,NA,21.95,35.25,0.45,95.25,NA,0.00,NA,743.00,NA
2022-01-01 17:00:00,106.75,219.50,1.03,56.35,30.80,44.05,18.30,0.26,74.02,1.00,2.80,NA,NA,NA,NA,20.72,39.00,0.52,91.50,NA,0.00,NA,743.00,NA
2022-01-01 18:00:00,163.50,324.00,3.88,108.90,61.10,50.55,21.48,0.94,31.44,1.10,4.45,NA,NA,NA,NA,19.80,43.25,0.52,119.25,NA,0.00,NA,743.00,NA
2022-01-01 19:00:00,235.25,446.75,16.33,130.57,82.78,64.95,25.70,1.94,9.04,1.15,4.70,NA,NA,NA,NA,18.82,48.75,0.55,145.25,NA,0.00,NA,743.00,NA
2022-01-01 20:00:00,259.25,502.00,14.18,118.18,74.40,62.42,22.52,2.11,7.38,1.30,4.95,NA,NA,NA,NA,17.60,54.25,0.42,187.25,NA,0.00,NA,743.00,NA
2022-01-01 21:00:00,266.00,481.00,4.87,81.63,47.43,66.50,21.33,1.36,13.67,1.40,4.97,NA,NA,NA,NA,17.10,54.67,0.50,181.67,NA,0.00,NA,743.00,NA
2022-01-01 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-01 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
