Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,303.75,628.75,22.35,77.08,59.78,111.7,15.15,2.88,,2.22,19.62,,,,,10.02,83.0,0.48,219.5,,0.0,,743.0,
2020-01-01 01:00:00,285.0,583.0,29.58,78.97,64.85,102.45,13.02,3.26,,2.05,19.08,,,,,9.82,84.5,0.4,218.25,,0.0,,743.0,
2020-01-01 02:00:00,260.75,537.75,28.85,86.95,66.18,110.45,12.23,3.04,,1.95,18.68,,,,,8.9,87.5,0.55,229.0,,0.0,,743.0,
2020-01-01 03:00:00,264.25,533.0,16.6,54.8,47.2,101.4,10.23,2.36,,1.85,18.27,,,,,8.25,88.75,0.57,228.75,,0.0,,743.0,
2020-01-01 04:00:00,244.0,508.0,13.0,48.2,,92.4,8.6,2.04,,1.72,17.75,,,,,8.05,89.5,0.5,251.25,,0.0,,743.0,
2020-01-01 05:00:00,223.75,461.75,,,,,6.88,1.51,,1.6,17.23,,,,,8.02,88.25,0.48,275.25,,0.0,,743.0,
2020-01-01 06:00:00,209.75,427.0,6.4,35.3,23.9,75.25,5.6,1.5,,1.4,16.6,,,,,7.82,87.0,0.48,274.0,,0.0,,743.0,
2020-01-01 07:00:00,189.75,389.0,,,28.4,,,0.01,,1.3,16.25,,,,,7.72,87.0,0.5,270.5,,0.0,,743.0,
2020-01-01 08:00:00,202.75,405.25,7.25,42.4,,75.1,12.58,1.74,,1.3,16.08,,,,,9.1,83.25,0.5,274.5,,0.0,,743.0,
2020-01-01 09:00:00,220.75,437.25,5.72,40.8,22.05,82.88,18.25,1.64,,1.27,16.08,,,,,12.08,77.0,0.5,277.0,,0.0,,743.0,
2020-01-01 10:00:00,184.5,379.0,3.68,20.45,13.88,76.58,14.55,0.97,,1.2,16.15,,,,,16.02,65.0,0.6,291.5,,0.0,,743.0,
2020-01-01 11:00:00,107.5,240.25,6.62,29.58,21.3,79.9,9.07,0.52,,1.1,16.4,,,,,18.42,53.25,0.68,286.25,,0.0,,743.0,
2020-01-01 12:00:00,55.75,129.25,5.5,28.0,19.3,153.1,7.88,0.36,,0.9,13.9,,,,,19.65,46.5,0.72,278.5,,0.0,,743.0,
2020-01-01 13:00:00,40.75,100.75,1.65,29.92,17.27,106.15,8.77,0.36,,0.65,11.95,,,,,20.32,45.5,0.75,236.25,,0.0,,743.0,
2020-01-01 14:00:00,43.0,106.25,1.2,26.3,15.0,80.25,9.52,0.37,,0.52,11.02,,,,,20.8,45.5,0.78,288.0,,0.0,,743.0,
2020-01-01 15:00:00,43.25,114.75,1.1,23.48,13.5,72.08,10.48,0.37,,0.48,10.82,,,,,20.92,45.25,0.6,292.25,,0.0,,743.0,
2020-01-01 16:00:00,43.25,110.75,1.38,27.25,15.58,66.57,13.55,0.35,,0.45,11.05,,,,,20.38,46.75,0.4,304.25,,0.0,,743.0,
2020-01-01 17:00:00,50.5,125.5,1.27,32.38,18.3,64.9,17.05,0.66,,0.48,12.2,,,,,19.52,49.5,0.38,270.75,,0.0,,743.0,
2020-01-01 18:00:00,192.25,172.0,19.32,139.52,89.95,177.9,58.52,6.76,,0.7,14.0,,,,,18.4,57.75,0.4,193.0,,0.0,,743.0,
2020-01-01 19:00:00,539.75,,37.1,139.35,104.55,194.6,55.95,5.02,,1.58,16.15,,,,,17.35,62.0,0.43,186.25,,0.0,,743.0,
