Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,59.0,75.5,1.95,14.08,9.05,12.5,12.48,0.67,14.95,0.1,0.32,0.02,,0.1,0.12,13.2,84.75,0.43,173.25,0.0,0.0,8.0,,
2024-01-01 01:00:00,59.25,67.75,1.58,12.1,7.75,13.0,9.15,0.68,14.15,0.1,0.3,0.0,,0.1,0.1,13.02,85.5,0.38,114.0,0.0,0.0,8.0,,
2024-01-01 02:00:00,59.75,68.75,1.58,14.92,9.2,12.98,8.62,0.7,15.5,0.1,0.32,0.02,,0.1,0.12,12.98,84.5,0.4,208.5,0.0,0.0,8.0,,
2024-01-01 03:00:00,58.25,73.0,1.62,15.8,9.75,12.8,10.0,0.69,14.15,0.1,0.3,0.0,,0.1,0.1,12.88,82.75,0.4,282.5,0.0,0.0,8.0,,
2024-01-01 04:00:00,56.25,70.75,1.38,15.58,9.4,12.95,8.45,0.69,14.75,0.1,0.32,0.02,,0.1,0.12,12.8,80.75,0.43,246.5,0.0,0.0,8.0,,
2024-01-01 05:00:00,58.5,76.25,1.6,14.38,8.93,12.48,8.52,0.66,15.65,0.1,0.3,0.0,,0.1,0.1,12.75,81.75,0.4,217.0,0.0,0.0,8.0,,
2024-01-01 06:00:00,64.0,89.75,1.95,14.08,9.05,12.08,9.25,0.68,14.62,0.1,0.3,0.0,,0.1,0.1,12.75,82.25,0.4,195.25,0.0,0.0,8.0,,
2024-01-01 07:00:00,67.25,99.5,1.68,15.55,9.65,11.78,10.1,0.68,14.9,0.1,0.32,0.0,,0.1,0.1,12.6,80.25,0.4,169.0,0.0,0.0,9.25,,
2024-01-01 08:00:00,67.5,95.25,2.45,15.2,10.05,11.28,10.8,0.68,15.4,0.1,0.35,0.02,,0.1,0.1,12.7,79.5,0.45,251.25,0.0,0.0,17.0,,
2024-01-01 09:00:00,68.5,97.75,2.5,15.42,10.28,11.28,10.02,0.72,15.5,0.1,0.4,0.08,,0.1,0.18,12.98,77.0,0.4,140.25,0.0,0.0,30.25,,
2024-01-01 10:00:00,78.25,107.0,2.92,15.3,10.5,11.85,11.0,0.74,15.18,0.1,0.5,0.05,,0.1,0.22,13.55,73.25,0.4,153.5,0.0,0.0,50.75,,
2024-01-01 11:00:00,86.0,118.5,3.65,15.52,11.2,11.78,9.72,0.76,16.62,0.15,0.55,0.1,,0.12,0.32,15.25,64.5,0.43,187.25,0.0,0.0,126.75,,
2024-01-01 12:00:00,88.0,116.5,3.28,15.78,11.05,11.98,11.62,0.74,17.58,0.12,0.52,0.12,,0.12,0.3,16.23,60.75,0.45,236.75,0.0,0.0,123.75,,
2024-01-01 13:00:00,84.25,112.25,2.45,15.2,10.07,11.72,13.02,0.72,17.9,0.2,1.3,0.38,,0.3,1.08,17.65,54.75,0.48,238.25,0.0,0.0,128.5,,
2024-01-01 14:00:00,82.0,104.0,2.55,14.72,9.88,11.55,8.45,0.68,19.0,0.1,0.48,0.1,,0.1,0.32,18.05,54.25,0.5,253.75,0.0,0.0,96.0,,
2024-01-01 15:00:00,83.0,109.0,1.52,13.88,8.65,11.85,9.32,0.71,20.72,0.1,0.38,0.02,,0.1,0.22,17.27,58.0,0.6,279.25,0.0,0.0,61.25,,
2024-01-01 16:00:00,86.5,109.0,2.0,17.92,11.18,12.18,10.45,0.73,14.6,0.1,0.32,0.05,,0.1,0.22,16.4,62.25,0.52,284.5,0.0,0.0,28.75,,
2024-01-01 17:00:00,87.75,111.5,3.05,21.32,13.88,12.32,11.3,0.8,21.6,0.12,0.42,0.08,,0.12,0.28,14.78,71.75,0.43,243.75,0.0,0.0,10.0,,
2024-01-01 18:00:00,91.25,125.25,7.08,23.4,18.2,12.88,10.38,0.85,16.98,0.1,0.65,0.22,,0.2,0.65,13.38,78.0,0.48,283.0,0.0,0.0,8.0,,
2024-01-01 19:00:00,103.0,142.0,10.32,21.72,19.98,13.72,3.7,0.86,21.67,0.2,0.62,0.2,,0.18,0.55,12.5,82.0,0.48,293.75,0.0,0.0,8.0,,
2024-01-01 20:00:00,98.75,133.25,9.75,21.42,19.38,12.8,9.85,0.88,18.83,0.18,0.5,0.1,,0.18,0.38,11.95,84.0,0.43,295.0,0.0,0.0,8.0,,
2024-01-01 21:00:00,94.75,123.5,8.43,20.68,17.82,12.82,10.2,0.89,14.98,0.2,0.55,0.18,,0.2,0.5,11.62,85.75,0.4,281.75,0.0,0.0,8.0,,
2024-01-01 22:00:00,93.5,115.75,6.38,20.02,15.82,12.45,9.38,0.86,14.55,0.2,0.45,0.08,,0.15,0.3,11.68,85.5,0.4,286.75,0.0,0.0,8.0,,
2024-01-01 23:00:00,89.75,102.75,5.8,18.32,14.5,11.8,5.32,0.76,14.32,0.1,0.4,0.08,,0.12,0.2,11.88,85.0,0.45,282.5,0.0,0.0,8.0,,
2024-01-02 00:00:00,80.5,90.5,3.12,15.05,10.55,11.28,9.88,0.7,13.35,0.1,0.35,0.02,,0.1,0.2,12.2,82.0,0.5,276.75,0.0,0.0,8.0,,
2024-01-02 01:00:00,72.75,81.75,1.95,13.18,8.62,10.9,7.68,0.66,14.38,0.1,0.45,0.1,,0.1,0.22,12.18,78.0,0.45,263.0,0.0,0.0,8.0,,
2024-01-02 02:00:00,71.5,78.75,1.6,14.12,8.8,10.62,10.18,0.67,15.78,0.1,0.32,0.02,,0.1,0.1,12.02,77.5,0.4,280.75,0.0,0.0,8.0,,
2024-01-02 03:00:00,68.25,79.25,0.98,13.38,7.93,10.6,7.68,0.63,14.75,0.1,0.38,0.05,,0.1,0.15,12.0,77.75,0.4,279.75,0.0,0.0,8.0,,
2024-01-02 04:00:00,62.25,73.5,1.6,11.82,7.58,10.1,6.95,0.6,15.68,0.1,0.3,0.0,,0.1,0.15,11.72,77.5,0.45,278.25,0.0,0.0,8.0,,
2024-01-02 05:00:00,60.25,72.5,1.68,11.58,7.55,10.2,7.02,0.61,16.67,0.1,0.3,0.02,,0.1,0.1,11.78,78.75,0.43,252.0,0.0,0.0,8.0,,
2024-01-02 06:00:00,60.5,75.0,1.58,11.5,7.4,10.28,5.5,0.62,14.68,0.1,0.3,0.0,,0.1,0.1,11.95,79.25,0.4,227.75,0.0,0.0,8.0,,
2024-01-02 07:00:00,61.75,80.25,0.88,12.55,7.4,10.2,8.38,0.64,15.7,0.1,0.3,0.0,,0.1,0.1,11.98,78.25,0.48,99.5,0.0,0.0,10.0,,
2024-01-02 08:00:00,72.25,89.25,1.78,12.98,8.38,10.8,5.92,0.68,15.6,0.1,0.38,0.02,,0.1,0.1,12.35,76.75,0.4,122.5,0.0,0.0,19.25,,
