latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.927942,77.73196,221.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,6.4,84,3.8,0.8,27,0.00,993.6,31,0.0
2020-01-01T01:00,5.8,85,3.5,2.8,40,0.00,993.3,47,0.0
2020-01-01T02:00,5.6,85,3.2,3.8,49,0.00,993.1,84,0.0
2020-01-01T03:00,3.3,90,1.9,6.1,45,0.00,992.7,83,0.0
2020-01-01T04:00,2.0,94,1.1,8.1,45,0.00,992.7,87,0.0
2020-01-01T05:00,1.8,96,1.2,8.0,36,0.00,992.8,88,0.0
2020-01-01T06:00,1.9,96,1.3,7.2,37,0.00,993.5,79,0.0
2020-01-01T07:00,2.7,95,2.0,6.4,38,0.00,994.4,69,2.0
2020-01-01T08:00,6.1,88,4.3,8.4,47,0.00,995.7,61,85.0
2020-01-01T09:00,10.1,78,6.4,6.1,62,0.00,996.7,74,248.0
2020-01-01T10:00,13.3,67,7.3,7.0,78,0.00,997.1,92,399.0
2020-01-01T11:00,15.7,58,7.5,8.8,102,0.00,996.7,92,511.0
2020-01-01T12:00,17.1,54,7.8,9.0,127,0.00,995.7,93,561.0
2020-01-01T13:00,17.9,53,8.1,7.4,129,0.00,994.9,95,546.0
2020-01-01T14:00,18.2,53,8.5,6.3,114,0.00,994.5,95,456.0
2020-01-01T15:00,18.2,54,8.8,5.8,97,0.00,994.1,94,349.0
2020-01-01T16:00,16.6,75,12.1,5.0,60,0.00,994.0,96,190.0
2020-01-01T17:00,14.0,73,9.2,7.3,33,0.00,994.0,95,46.0
2020-01-01T18:00,12.2,83,9.4,8.2,38,0.00,994.7,93,0.0
2020-01-01T19:00,10.6,88,8.6,10.5,38,0.00,994.9,96,0.0
2020-01-01T20:00,9.9,88,8.1,9.8,28,0.00,995.5,93,0.0
2020-01-01T21:00,9.8,88,7.8,7.8,22,0.00,995.4,87,0.0
2020-01-01T22:00,8.9,88,7.0,8.2,41,0.00,995.7,94,0.0
2020-01-01T23:00,8.6,88,6.7,7.9,43,0.00,995.6,93,0.0
2020-01-02T00:00,8.4,88,6.5,7.7,53,0.00,995.2,88,0.0
2020-01-02T01:00,8.8,86,6.6,8.2,61,0.00,995.1,87,0.0
2020-01-02T02:00,8.6,87,6.5,7.8,68,0.00,994.8,84,0.0
2020-01-02T03:00,8.2,89,6.5,7.5,73,0.00,994.3,78,0.0
2020-01-02T04:00,8.0,90,6.5,7.8,77,0.00,994.4,68,0.0
2020-01-02T05:00,7.3,91,5.8,8.1,69,0.00,994.0,67,0.0
2020-01-02T06:00,6.7,92,5.6,9.3,74,0.00,994.5,71,0.0
2020-01-02T07:00,7.1,92,5.9,8.4,80,0.00,995.2,78,2.0
2020-01-02T08:00,10.7,81,7.6,8.1,77,0.00,996.2,74,79.0
2020-01-02T09:00,13.9,73,9.1,5.2,78,0.00,997.1,54,240.0
2020-01-02T10:00,16.3,65,9.8,5.2,65,0.00,997.7,48,365.0
2020-01-02T11:00,17.8,60,10.0,7.5,73,0.00,997.0,58,429.0
2020-01-02T12:00,18.4,57,9.7,10.2,80,0.00,995.8,37,438.0
2020-01-02T13:00,19.0,56,10.2,10.9,82,0.00,994.6,18,477.0
2020-01-02T14:00,19.4,56,10.5,12.3,93,0.00,993.6,13,452.0
2020-01-02T15:00,19.4,57,10.6,13.6,102,0.00,993.1,17,343.0
2020-01-02T16:00,18.2,64,11.4,8.8,102,0.00,993.0,25,185.0
2020-01-02T17:00,15.6,76,11.4,9.1,56,0.00,992.8,33,46.0
2020-01-02T18:00,15.9,69,10.2,8.9,69,0.00,993.2,79,0.0
2020-01-02T19:00,14.6,73,9.8,8.6,75,0.00,993.6,41,0.0
2020-01-02T20:00,13.5,79,9.9,8.2,67,0.00,994.1,14,0.0
2020-01-02T21:00,13.0,77,9.1,10.8,75,0.00,994.7,11,0.0
2020-01-02T22:00,12.4,79,8.8,11.3,83,0.00,994.7,12,0.0
2020-01-02T23:00,11.9,82,8.9,10.2,82,0.00,994.5,19,0.0
2020-01-03T00:00,11.2,86,9.0,7.6,85,0.00,994.3,49,0.0
2020-01-03T01:00,10.4,91,8.9,6.2,80,0.00,993.6,59,0.0
2020-01-03T02:00,10.3,92,9.1,7.2,72,0.00,993.4,21,0.0
2020-01-03T03:00,9.7,93,8.7,7.5,73,0.00,992.5,11,0.0
2020-01-03T04:00,8.7,95,8.0,9.4,58,0.00,992.5,8,0.0
2020-01-03T05:00,8.9,97,8.4,8.4,47,0.00,992.3,10,0.0
2020-01-03T06:00,8.5,97,8.0,9.7,51,0.00,992.6,17,0.0
2020-01-03T07:00,8.5,97,8.0,8.7,17,0.00,992.9,13,2.0
2020-01-03T08:00,11.3,90,9.7,2.4,333,0.00,993.9,31,74.0
2020-01-03T09:00,13.8,80,10.3,3.8,49,0.00,995.0,15,211.0
2020-01-03T10:00,15.8,71,10.6,4.8,48,0.10,995.1,35,343.0
2020-01-03T11:00,17.4,64,10.5,6.6,41,0.00,994.0,15,442.0
2020-01-03T12:00,18.4,60,10.5,7.2,37,0.00,992.8,12,546.0
2020-01-03T13:00,19.0,57,10.4,6.6,22,0.00,991.8,24,540.0
2020-01-03T14:00,19.2,56,10.2,6.6,22,0.10,990.8,31,447.0
2020-01-03T15:00,19.0,57,10.3,4.6,18,0.00,990.6,26,301.0
2020-01-03T16:00,18.0,76,13.7,2.9,353,0.00,990.5,17,172.0
2020-01-03T17:00,16.4,72,11.4,5.5,203,0.00,990.3,11,47.0
2020-01-03T18:00,16.0,74,11.4,5.4,217,0.00,991.0,1,0.0
2020-01-03T19:00,15.7,75,11.3,1.4,360,0.00,991.5,1,0.0
2020-01-03T20:00,13.5,83,10.7,3.0,76,0.00,992.0,4,0.0
2020-01-03T21:00,11.1,92,9.8,7.8,103,0.00,992.3,9,0.0
2020-01-03T22:00,10.5,93,9.4,8.2,67,0.20,992.5,37,0.0
2020-01-03T23:00,12.1,87,10.0,6.1,118,0.00,992.4,24,0.0
2020-01-04T00:00,10.3,94,9.3,6.5,96,0.00,992.2,4,0.0
2020-01-04T01:00,10.0,96,9.3,6.1,62,0.00,992.0,31,0.0
2020-01-04T02:00,9.6,96,9.0,7.1,105,0.00,991.3,20,0.0
2020-01-04T03:00,8.7,98,8.4,8.1,122,0.00,991.0,11,0.0
2020-01-04T04:00,9.7,98,9.5,4.8,103,0.00,990.8,7,0.0
2020-01-04T05:00,8.6,98,8.3,1.8,37,0.00,990.8,6,0.0
2020-01-04T06:00,7.3,100,7.2,6.5,109,0.00,990.7,47,0.0
2020-01-04T07:00,7.9,100,7.9,5.6,117,0.10,991.3,36,2.0
2020-01-04T08:00,9.7,97,9.2,2.6,164,0.00,992.4,48,70.0
2020-01-04T09:00,12.3,89,10.6,2.7,203,0.00,993.5,48,205.0
2020-01-04T10:00,14.7,80,11.3,3.7,209,0.10,993.7,49,354.0
2020-01-04T11:00,16.4,73,11.5,3.4,238,0.10,992.7,37,471.0
2020-01-04T12:00,17.5,68,11.5,4.3,275,0.20,991.9,50,529.0
2020-01-04T13:00,18.1,66,11.7,5.9,281,0.00,990.7,14,521.0
2020-01-04T14:00,18.3,67,12.1,5.6,285,0.00,990.2,27,440.0
2020-01-04T15:00,18.1,68,12.1,6.6,311,0.00,989.9,40,321.0
2020-01-04T16:00,17.3,71,12.0,5.5,302,0.00,989.8,24,177.0
2020-01-04T17:00,15.8,72,10.8,5.4,318,0.00,989.7,5,52.0
2020-01-04T18:00,15.7,72,10.6,4.2,301,0.00,990.1,12,0.0
2020-01-04T19:00,14.8,76,10.6,4.4,305,0.00,990.6,16,0.0
2020-01-04T20:00,13.1,82,10.2,6.3,294,0.00,991.2,36,0.0
2020-01-04T21:00,10.7,91,9.3,8.6,303,0.00,991.7,47,0.0
2020-01-04T22:00,11.3,90,9.7,8.7,318,0.00,992.3,77,0.0
2020-01-04T23:00,11.0,87,9.0,8.4,335,0.00,992.2,1,0.0
2020-01-05T00:00,10.3,85,7.9,8.3,342,0.00,991.8,0,0.0
2020-01-05T01:00,9.3,88,7.4,7.4,346,0.00,991.2,1,0.0
2020-01-05T02:00,8.7,90,7.1,8.0,342,0.00,990.7,19,0.0
2020-01-05T03:00,8.3,91,6.8,8.5,324,0.00,990.2,2,0.0
2020-01-05T04:00,8.1,91,6.8,7.6,301,0.00,990.2,7,0.0
2020-01-05T05:00,7.6,94,6.8,6.8,295,0.00,990.3,0,0.0
2020-01-05T06:00,7.1,95,6.4,6.8,273,0.00,990.5,0,0.0
2020-01-05T07:00,7.3,95,6.5,6.9,276,0.00,991.2,0,2.0
2020-01-05T08:00,9.6,89,7.8,9.1,277,0.00,992.4,0,85.0
2020-01-05T09:00,12.2,80,8.9,7.9,273,0.00,993.4,0,251.0
2020-01-05T10:00,14.6,71,9.5,9.7,270,0.00,993.6,0,412.0
2020-01-05T11:00,16.8,62,9.5,13.7,268,0.00,993.0,0,530.0
2020-01-05T12:00,18.2,55,9.0,14.5,276,0.00,991.6,86,587.0
2020-01-05T13:00,18.6,53,8.7,13.4,290,0.00,990.3,44,464.0
2020-01-05T14:00,19.0,50,8.4,13.8,298,0.00,989.8,26,482.0
2020-01-05T15:00,18.7,50,8.2,13.6,302,0.00,989.9,96,382.0
