Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,109.64,246.42,100.97,40.95,141.94,27.7,8.42,1.61,2.67,1.24,,,,4.36,14.51,20.42,69.3,0.38,195.79,,0.0,,,
2020-01-01 01:00:00,126.88,258.86,120.38,49.53,169.86,26.24,7.96,1.64,2.8,1.28,,,,4.86,23.12,20.12,69.98,0.42,238.33,,0.0,,,
2020-01-01 02:00:00,127.0,256.04,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-01 03:00:00,139.51,264.9,92.03,30.24,122.28,28.08,7.21,1.7,2.78,1.5,,,,6.55,17.96,19.83,71.29,0.83,138.12,,0.0,,,
2020-01-01 04:00:00,147.0,260.07,124.77,28.13,152.9,26.88,8.41,1.8,2.76,1.67,,,,7.12,25.42,19.05,75.78,0.31,164.46,,0.0,,,
2020-01-01 05:00:00,147.06,286.7,133.02,27.1,160.13,27.49,8.34,1.77,2.87,1.79,,,,7.18,25.7,18.6,78.14,0.3,152.5,,0.0,,,
2020-01-01 06:00:00,140.16,282.07,147.52,20.84,168.3,27.64,8.47,2.08,3.16,1.86,,,,7.74,23.66,18.58,78.41,0.5,117.29,,0.0,,,
2020-01-01 07:00:00,169.56,329.33,146.12,17.87,164.09,24.4,7.97,1.98,2.78,2.02,,,,7.65,27.18,18.99,74.58,0.46,153.71,,0.0,,,
2020-01-01 08:00:00,168.22,300.42,96.42,35.53,131.94,26.72,9.31,1.6,5.36,2.07,,,,7.54,20.72,20.71,66.72,1.1,133.0,,0.0,,,
2020-01-01 09:00:00,142.73,250.7,87.32,40.31,127.64,29.13,16.62,1.48,10.4,2.01,,,,6.62,20.49,22.9,59.06,1.46,135.13,,0.0,,,
2020-01-01 10:00:00,123.22,229.23,63.15,42.42,105.57,25.62,22.48,1.36,29.79,1.94,,,,7.5,20.41,24.57,54.54,1.64,133.74,,0.0,,,
2020-01-01 11:00:00,122.68,209.22,47.98,43.48,91.46,29.86,24.64,1.19,44.44,1.85,,,,5.0,25.6,27.36,48.88,0.82,148.58,,0.0,,,
2020-01-01 12:00:00,117.38,197.17,41.04,47.47,88.51,28.84,21.49,1.2,56.68,1.79,,,,7.57,23.89,28.8,45.05,0.81,205.52,,0.0,,,
2020-01-01 13:00:00,113.06,200.94,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-01 14:00:00,74.0,156.6,30.94,57.49,88.44,27.84,14.96,0.87,44.36,1.49,,,,6.58,21.86,29.67,41.18,0.67,240.47,,0.0,,,
2020-01-01 15:00:00,65.17,111.5,,,,,14.34,,49.45,,,,,,,,,,,,0.0,,,
2020-01-01 16:00:00,84.36,135.67,,,,,13.2,,,,,,,,,,,,,,0.0,,,
2020-01-01 17:00:00,90.0,160.75,,,,,9.3,,,,,,,,,,,,,,0.0,,,
2020-01-01 18:00:00,99.4,175.8,19.27,78.99,98.25,26.0,6.86,0.99,37.67,1.07,,,,6.06,19.52,24.34,64.42,0.52,236.37,,0.0,,,
2020-01-01 19:00:00,107.62,188.82,46.02,86.44,132.46,28.62,7.79,1.33,13.3,1.06,,,,6.0,17.83,23.61,67.61,0.52,190.93,,0.0,,,
2020-01-01 20:00:00,133.56,248.2,55.33,83.7,139.05,28.65,8.07,1.67,4.14,1.14,,,,5.64,20.94,23.12,70.77,0.44,150.56,,0.0,,,
2020-01-01 21:00:00,147.0,290.53,55.56,73.83,129.4,28.61,7.2,1.84,3.71,1.23,,,,6.78,13.16,22.6,73.0,0.5,224.32,,0.0,,,
2020-01-01 22:00:00,154.95,283.09,69.48,61.59,131.06,27.46,7.0,1.73,4.18,1.36,,,,6.8,22.7,22.1,76.59,0.63,142.24,,0.0,,,
2020-01-01 23:00:00,166.5,296.85,58.4,62.57,120.98,26.89,6.25,1.77,3.9,1.4,,,,6.27,4.35,21.86,78.47,0.51,194.0,,0.0,,,
2020-01-02 00:00:00,190.54,312.78,,,,,6.13,,,,,,,,,,,,,,0.0,,,
2020-01-02 01:00:00,172.6,283.38,56.95,51.66,108.6,26.28,5.68,1.42,7.62,1.56,,,,5.5,17.66,21.24,79.21,0.48,176.87,,0.0,,,
2020-01-02 02:00:00,166.0,260.32,,,,,4.78,1.28,26.35,,,,,,,,,,,,0.0,,,
2020-01-02 03:00:00,158.9,248.12,38.23,38.81,77.05,23.74,4.17,1.26,22.89,1.55,,,,5.03,23.65,20.87,78.06,0.55,272.62,,0.0,,,
2020-01-02 04:00:00,142.9,217.33,35.91,38.61,74.51,24.81,4.46,1.19,19.47,1.48,,,,4.61,22.39,20.52,80.68,0.38,161.8,,0.0,,,
2020-01-02 05:00:00,141.47,209.09,48.93,40.34,89.26,25.7,5.42,1.33,4.14,1.47,,,,7.1,21.99,20.42,84.01,0.55,111.54,,0.0,,,
2020-01-02 06:00:00,166.29,258.3,76.76,25.11,100.92,31.51,6.12,1.44,4.37,1.55,,,,4.18,20.82,20.42,82.84,0.54,131.06,,0.0,,,
2020-01-02 07:00:00,178.67,284.71,45.04,42.54,87.56,24.92,4.69,1.33,11.52,1.6,,,,4.46,21.47,20.44,80.34,0.52,122.78,,0.0,,,
2020-01-02 08:00:00,173.38,282.03,50.08,47.87,97.96,25.56,5.81,1.38,10.99,1.64,,,,6.51,8.51,22.15,74.14,0.56,130.56,,0.0,,,
2020-01-02 09:00:00,173.22,307.64,47.55,53.62,101.18,27.59,8.74,1.59,15.34,1.66,,,,7.5,18.75,24.29,65.83,0.74,140.33,,0.0,,,
2020-01-02 10:00:00,178.5,306.08,27.77,70.02,97.78,26.47,16.08,1.19,38.19,1.64,,,,5.98,17.24,27.08,54.24,0.96,134.28,,0.0,,,
2020-01-02 11:00:00,157.8,202.17,14.84,91.5,106.37,26.62,19.66,1.29,33.02,1.22,,,,4.39,13.8,29.06,49.16,0.6,206.83,,0.0,,,
2020-01-02 12:00:00,113.56,218.75,20.8,84.34,105.14,25.74,12.36,0.99,29.84,1.17,,,,2.9,12.32,29.76,51.23,0.8,273.44,,0.0,,,
2020-01-02 13:00:00,87.88,159.83,23.8,76.02,99.82,27.39,10.28,0.96,26.11,1.11,,,,3.91,13.54,30.01,50.14,0.79,267.02,,0.0,,,
2020-01-02 14:00:00,73.5,128.43,25.01,71.64,96.66,29.58,9.52,0.92,25.98,1.03,,,,4.08,14.6,29.53,52.36,0.8,266.41,,0.0,,,
2020-01-02 15:00:00,64.09,128.99,24.57,64.86,89.41,27.61,6.6,0.78,27.64,0.91,,,,3.84,10.64,29.55,52.91,0.83,266.95,,0.0,,,
2020-01-02 16:00:00,65.89,146.8,,,,,6.63,,,,,,,,,,,,,,0.0,,,
2020-01-02 17:00:00,62.5,134.0,30.46,61.3,91.75,30.46,5.75,0.78,14.0,0.77,,,,3.5,14.23,26.64,62.08,0.78,312.09,,0.0,,,
2020-01-02 18:00:00,61.94,142.93,42.7,65.6,108.3,30.59,5.58,1.04,8.82,0.76,,,,4.18,15.24,24.61,72.1,0.67,284.71,,0.0,,,
2020-01-02 19:00:00,87.2,193.29,46.36,62.5,108.86,31.5,5.21,1.19,8.68,0.88,,,,4.74,14.57,24.13,74.7,0.59,250.57,,0.0,,,
