Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2025 00:00,46.32,247.48,29.7,33.66,63.36,7.26,16.34,0.66,7.26,0,NA,NA,NA,NA,NA,26.36,74.84,0.33,197.81,NA,0,59.96,1014.02,NA
01-01-2025 01:00,39.02,188.4,30.01,34.01,64.02,7.34,16.22,0.67,7.05,0,NA,NA,NA,NA,NA,25.92,77.26,0.35,168.47,NA,0,59.57,1013.6,NA
01-01-2025 02:00,47.56,221.89,30.4,34.45,64.85,7.43,16.32,0.67,6.94,0,NA,NA,NA,NA,NA,25.51,78.8,0.35,223.23,NA,0,59.51,1013.18,NA
01-01-2025 03:00,41.42,178.55,27.7,31.4,59.1,6.77,16.91,0.62,6.97,0,NA,NA,NA,NA,NA,25.04,80.3,0.38,175.27,NA,0,59.48,1012.83,NA
01-01-2025 04:00,38.79,173.7,27.45,31.11,58.57,6.71,16.66,0.61,7.29,0,NA,NA,NA,NA,NA,24.74,81.8,0.45,167.21,NA,0,59.57,1012.68,NA
01-01-2025 05:00,42.97,192.06,26.6,30.15,56.74,6.5,16.69,0.59,7.2,0,NA,NA,NA,NA,NA,24.75,81.1,0.46,125.84,NA,0,59.71,1012.76,NA
01-01-2025 06:00,40.12,170.03,21.02,23.82,44.84,5.14,16.61,0.46,6.93,0,NA,NA,NA,NA,NA,24.82,79.27,0.63,124.4,NA,0,59.84,1013.19,NA
01-01-2025 07:00,38.98,150.6,21.22,24.05,45.27,5.19,16.05,0.47,7.28,0,NA,NA,NA,NA,NA,24.6,79.59,0.52,171.68,NA,0,59.9,1013.8,NA
01-01-2025 08:00,38.08,152.35,17.71,20.07,37.78,4.33,15.9,0.39,7.26,0,NA,NA,NA,NA,NA,26.15,72.92,0.88,138.46,NA,0,61.12,1014.64,NA
01-01-2025 09:00,34.45,136.07,16.48,18.68,35.15,4.03,16.05,0.36,7.47,0,NA,NA,NA,NA,NA,28.11,66.13,0.87,136.15,NA,0,61.67,1015.37,NA
01-01-2025 10:00,33.01,142,16.34,18.53,34.87,4,16.53,0.36,7.52,0,NA,NA,NA,NA,NA,29.84,61.31,1.06,119.28,NA,0,62.2,1015.62,NA
01-01-2025 11:00,31.54,134.34,15.64,17.73,33.38,3.82,15.11,0.35,7.46,0,NA,NA,NA,NA,NA,32.5,54.55,0.8,191.66,NA,0,63.31,1015.19,NA
01-01-2025 12:00,30.85,130.85,13.53,15.32,28.85,3.31,14.7,0.31,7.26,0,NA,NA,NA,NA,NA,32.76,51.9,0.95,167.72,NA,0,63.59,1014,NA
01-01-2025 13:00,28.89,114.99,12.54,14.22,26.76,3.07,14.5,0.28,7.3,0,NA,NA,NA,NA,NA,34.12,48.13,0.92,200.96,NA,0,64.47,1012.82,NA
01-01-2025 14:00,26.51,100.25,13.25,15.02,28.26,3.24,14.82,0.3,7.39,0,NA,NA,NA,NA,NA,33.47,50.17,1.12,207.73,NA,0,64.05,1011.7,NA
01-01-2025 15:00,28.21,108.34,14.73,16.69,31.41,3.6,14.85,0.33,7.45,0,NA,NA,NA,NA,NA,32.32,56.85,1.13,274.78,NA,0,62.79,1010.87,NA
01-01-2025 16:00,30.31,135.4,14.1,15.98,30.08,3.45,14.65,0.31,7.46,0,NA,NA,NA,NA,NA,30.87,60.9,0.98,275.64,NA,0,62.03,1010.82,NA
01-01-2025 17:00,30.77,123.32,14.24,16.14,30.38,3.48,13.55,0.32,7.57,0,NA,NA,NA,NA,NA,29.21,65.7,0.86,273.48,NA,0,61.37,1011.04,NA
01-01-2025 18:00,29.43,124.89,16.32,18.5,34.82,3.99,13.9,0.36,7.39,0,NA,NA,NA,NA,NA,28,70.65,0.68,274.21,NA,0,60.8,1011.73,NA
01-01-2025 19:00,31.75,131.12,18.8,21.32,40.12,4.6,13.86,0.42,7.53,0,NA,NA,NA,NA,NA,27.55,68.86,0.59,238.06,NA,0,60.84,1012.32,NA
01-01-2025 20:00,32.82,133,21.44,24.29,45.73,5.24,14.56,0.48,7.6,0,NA,NA,NA,NA,NA,27.02,70.56,0.43,116.75,NA,0,60.39,1013.28,NA
01-01-2025 21:00,34.54,152.02,21.67,24.56,46.24,5.3,13.93,0.48,7.13,0,NA,NA,NA,NA,NA,26.68,71.48,0.44,135.46,NA,0,60.96,1013.95,NA
01-01-2025 22:00,35.24,155.46,25.91,29.36,55.28,6.34,14.8,0.57,6.88,0,NA,NA,NA,NA,NA,26.16,73.33,0.44,285.12,NA,0,60.3,1014.28,NA
01-01-2025 23:00,36.93,169.93,30.14,34.16,64.3,7.37,15.16,0.67,7.16,0,NA,NA,NA,NA,NA,25.69,74.14,0.43,201.15,NA,0,60.37,1013.93,NA
02-01-2025 00:00,39.55,190.49,25.92,29.38,55.3,6.34,15.46,0.58,7.26,0,NA,NA,NA,NA,NA,25.34,72.75,0.44,122.38,NA,0,60.61,1013.56,NA
02-01-2025 01:00,37.07,166.3,23.12,26.21,49.34,5.65,15.31,0.51,7.5,0,NA,NA,NA,NA,NA,24.91,73.41,0.4,128.56,NA,0,60.49,1013.31,NA
02-01-2025 02:00,34.35,147.98,22.62,25.64,48.26,5.53,15.29,0.5,7.48,0,NA,NA,NA,NA,NA,24.6,75.22,0.33,124.82,NA,0,60.86,1012.92,NA
02-01-2025 03:00,36.01,150.77,24.38,27.62,52,5.96,15.44,0.54,7.49,0,NA,NA,NA,NA,NA,24.07,80.05,0.32,188.31,NA,0,60.72,1012.54,NA
02-01-2025 04:00,37.57,152.5,24.4,27.66,52.07,5.97,15.5,0.54,7.47,0,NA,NA,NA,NA,NA,23.8,80.59,0.38,150.64,NA,0,60.74,1012.24,NA
02-01-2025 05:00,34.43,142.94,20.27,22.97,43.24,4.95,15.57,0.45,7.35,0,NA,NA,NA,NA,NA,23.91,75.71,0.56,156.6,NA,0,60.87,1012.16,NA
02-01-2025 06:00,32.19,122.29,17.32,19.63,36.95,4.23,15.58,0.38,7.41,0,NA,NA,NA,NA,NA,24.1,72.89,0.77,142.45,NA,0,60.43,1012.71,NA
02-01-2025 07:00,32.82,120.62,16.12,18.27,34.4,3.94,15.5,0.36,7.16,0,NA,NA,NA,NA,NA,24.16,73.41,0.84,160.51,NA,0,59.94,1013.42,NA
02-01-2025 08:00,31.54,122.46,17.23,19.52,36.75,4.21,15.36,0.38,7.46,0,NA,NA,NA,NA,NA,25.98,69.63,0.74,148.73,NA,0,60.94,1014.26,NA
02-01-2025 09:00,33.31,131.84,16.97,19.24,36.2,4.15,15.44,0.38,7.44,0,NA,NA,NA,NA,NA,28.29,63,1.01,140.07,NA,0,61.77,1015.07,NA
02-01-2025 10:00,33.22,136.31,16.35,18.53,34.88,4,15.97,0.36,7.02,0,NA,NA,NA,NA,NA,30.14,57.48,1.11,146.02,NA,0,62.57,1015.1,NA
02-01-2025 11:00,33.2,137.54,15.31,17.35,32.66,3.74,15.6,0.34,6.9,0,NA,NA,NA,NA,NA,31.6,52.92,1.23,142.13,NA,0,63.24,1014.68,NA
02-01-2025 12:00,30.47,139.93,14.9,16.89,31.8,3.64,15,0.33,6.82,0,NA,NA,NA,NA,NA,32.69,48.84,1.3,150.2,NA,0,63.86,1013.69,NA
02-01-2025 13:00,30.75,129.98,13.7,15.53,29.22,3.35,14.32,0.3,7.55,0,NA,NA,NA,NA,NA,34.06,45.45,1.16,215.2,NA,0,64.37,1012.54,NA
02-01-2025 14:00,29.16,124.52,15.83,17.94,33.77,3.87,14.8,0.35,7.42,0,NA,NA,NA,NA,NA,33.22,53.38,1.22,271.5,NA,0,63.46,1011.72,NA
02-01-2025 15:00,31.46,141.18,14.92,16.92,31.83,3.65,14.54,0.33,7.22,0,NA,NA,NA,NA,NA,33.05,51.95,1.23,285.61,NA,0,62.53,1011.17,NA
02-01-2025 16:00,32.79,148.62,14.39,16.3,30.7,3.51,14.38,0.32,7.02,0,NA,NA,NA,NA,NA,31.68,56.78,1.11,286.76,NA,0,60.81,1010.92,NA
02-01-2025 17:00,32.63,144.03,15.98,18.11,34.1,3.91,13.95,0.36,7.45,0,NA,NA,NA,NA,NA,29.88,61.12,0.97,263.76,NA,0,61.18,1011.21,NA
02-01-2025 18:00,35.06,167.21,18.12,20.53,38.65,4.43,13.59,0.4,7.32,0,NA,NA,NA,NA,NA,28.41,63.8,0.88,258.24,NA,0,60.76,1011.67,NA
02-01-2025 19:00,33.94,154.82,20.29,23,43.3,4.96,13.84,0.45,7.61,0,NA,NA,NA,NA,NA,27.7,69.02,0.56,225.69,NA,0,60.42,1012.32,NA
