Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2020 00:00,69.39,160.72,30.6,95.46,126.06,4.17,11.92,0.76,7.6,2.06,,,,,3.65,19.9,61.98,48.25,232.35,,0.0,,,
01-01-2020 01:00,91.59,227.92,123.42,79.85,203.29,4.24,13.03,1.12,7.54,2.04,,,,1.1,12.06,19.73,62.55,23.26,208.65,,0.0,,,
01-01-2020 02:00,119.67,245.54,124.84,77.56,202.39,3.45,15.08,1.18,6.4,1.98,,,,15.7,4.0,19.62,64.54,13.86,172.24,,0.0,,,
01-01-2020 03:00,120.67,203.58,65.5,95.7,161.2,4.57,15.38,0.8,6.16,6.32,,,,,3.2,19.7,69.33,43.89,129.05,,0.0,,,
01-01-2020 04:00,108.5,176.92,44.67,83.17,127.86,5.31,9.63,0.58,4.89,6.1,,,,3.34,7.64,19.44,73.07,27.59,145.3,,0.0,,,
01-01-2020 05:00,108.71,187.5,34.34,77.48,111.82,8.22,15.13,0.75,7.05,4.47,,,,5.8,11.91,19.34,75.23,46.43,227.94,,0.0,,,
01-01-2020 06:00,122.0,193.83,22.38,69.62,91.99,9.22,21.6,0.59,13.79,5.67,,,,0.94,16.13,19.44,75.82,40.47,212.65,,0.0,,,
01-01-2020 07:00,,,10.05,63.56,73.62,10.8,23.92,0.66,23.8,4.18,,,,,20.73,19.41,75.48,43.95,108.36,,0.0,7.88,,
01-01-2020 08:00,,,8.91,49.52,58.44,10.04,25.78,0.78,40.75,8.48,,,,,7.06,20.09,72.62,36.87,53.6,,0.0,97.06,,
01-01-2020 09:00,87.0,167.33,17.15,58.49,75.66,8.57,31.94,0.84,50.44,10.3,,,,,4.63,20.69,68.47,31.72,54.34,,0.0,266.66,,
01-01-2020 10:00,86.83,150.0,7.42,37.83,45.24,9.82,,0.67,,,,,,,,,,,,,0.0,,,
01-01-2020 11:00,87.02,138.92,6.2,41.39,47.58,9.4,46.57,0.69,132.96,23.75,,,,,6.76,24.79,53.42,26.0,233.96,,0.0,583.16,,
