Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,74.94,NA,3.80,40.50,44.31,17.46,2.83,1.73,5.72,0.07,NA,NA,NA,0.08,NA,22.92,84.63,1.94,211.94,NA,0.00,0.01,NA,NA
2021-01-01 01:00:00,83.82,NA,4.14,31.89,36.03,16.25,4.01,1.74,7.98,0.09,NA,NA,NA,NA,0.36,22.68,86.24,1.94,53.72,NA,0.00,0.01,NA,NA
2021-01-01 02:00:00,65.42,NA,4.54,36.92,41.45,14.86,1.65,1.68,5.26,0.02,NA,NA,NA,0.44,0.04,22.54,87.42,1.94,54.04,NA,0.00,0.01,NA,NA
2021-01-01 03:00:00,74.78,NA,4.78,36.93,41.70,14.78,1.55,1.66,4.03,0.00,NA,NA,NA,0.11,0.06,22.35,87.72,1.95,76.88,NA,0.00,0.01,NA,NA
2021-01-01 04:00:00,75.00,NA,3.86,28.64,32.49,13.84,1.56,1.69,3.60,0.06,NA,NA,NA,NA,0.21,22.32,88.43,1.95,219.43,NA,0.00,0.01,NA,NA
2021-01-01 05:00:00,75.98,NA,7.16,57.84,65.00,16.88,1.63,1.70,2.03,0.14,NA,NA,NA,0.20,0.18,22.50,87.06,1.91,209.76,NA,0.00,0.01,NA,NA
2021-01-01 06:00:00,82.84,NA,56.00,96.25,152.26,29.44,3.06,1.74,1.27,0.06,NA,NA,NA,0.04,0.14,22.49,82.46,1.98,55.36,NA,0.00,0.02,NA,NA
2021-01-01 07:00:00,111.44,NA,58.06,88.46,146.51,25.78,3.42,1.83,1.54,0.09,NA,NA,NA,0.44,0.05,22.28,85.16,2.03,55.86,NA,0.00,0.02,NA,NA
2021-01-01 08:00:00,118.88,NA,87.34,91.43,178.76,30.37,5.16,1.97,1.46,0.06,NA,NA,NA,0.14,NA,22.93,82.76,1.86,231.40,NA,0.00,0.01,NA,NA
2021-01-01 09:00:00,141.55,NA,65.17,100.73,165.90,30.42,4.98,2.05,1.58,0.01,NA,NA,NA,0.15,0.40,23.66,79.90,1.84,230.83,NA,0.00,0.01,NA,NA
2021-01-01 10:00:00,119.45,143.00,30.74,99.36,130.09,25.76,6.24,2.06,3.57,0.00,NA,NA,NA,0.35,NA,24.88,73.05,1.86,231.54,NA,0.00,NA,NA,NA
2021-01-01 11:00:00,104.25,135.09,17.88,98.92,116.81,24.86,8.50,1.99,6.30,0.12,NA,NA,NA,NA,0.33,25.86,67.66,1.86,231.72,NA,0.00,NA,NA,NA
2021-01-01 12:00:00,109.90,135.99,18.01,123.38,141.40,27.28,10.84,1.95,7.26,0.02,NA,NA,NA,0.24,1.00,26.26,70.09,1.87,232.08,NA,0.00,NA,NA,NA
2021-01-01 13:00:00,114.90,138.97,11.91,77.07,88.97,24.22,10.98,1.90,13.18,0.14,NA,NA,NA,0.31,0.20,28.06,60.24,1.87,232.28,NA,0.00,NA,NA,NA
2021-01-01 14:00:00,71.98,104.47,10.64,46.98,57.62,21.54,9.84,1.68,14.30,0.02,NA,NA,NA,NA,NA,30.17,54.78,1.92,212.48,NA,0.00,NA,NA,NA
2021-01-01 15:00:00,55.31,82.24,10.83,48.31,59.14,25.76,9.40,1.55,15.46,0.11,NA,NA,NA,0.18,0.21,28.75,62.94,1.95,54.82,NA,0.00,NA,NA,NA
2021-01-01 16:00:00,60.87,82.00,7.68,34.36,42.04,29.20,6.32,1.50,12.40,0.02,NA,NA,NA,1.05,0.23,27.11,72.39,1.95,100.45,NA,0.00,NA,NA,NA
2021-01-01 17:00:00,50.22,72.11,5.60,28.84,34.43,28.20,4.52,1.40,9.25,0.06,NA,NA,NA,0.09,0.33,26.12,77.37,1.94,211.57,NA,0.00,NA,NA,NA
2021-01-01 18:00:00,40.20,58.16,5.29,24.90,30.19,25.48,3.21,1.29,11.90,0.22,NA,NA,NA,0.57,0.49,25.07,83.62,1.92,52.00,NA,0.00,0.01,NA,NA
2021-01-01 19:00:00,49.78,83.64,4.77,33.44,38.20,25.05,2.87,1.34,13.58,0.00,NA,NA,NA,0.58,NA,24.14,86.54,1.92,52.16,NA,0.00,0.01,NA,NA
2021-01-01 20:00:00,76.55,109.71,4.43,34.10,38.52,24.22,1.87,1.38,12.72,0.09,NA,NA,NA,0.06,0.50,23.93,82.93,1.92,52.26,NA,0.00,NA,NA,NA
2021-01-01 21:00:00,76.02,113.96,4.69,37.00,41.70,24.34,1.20,1.44,11.68,0.22,NA,NA,NA,0.13,NA,24.08,77.71,1.95,148.62,NA,0.00,NA,NA,NA
2021-01-01 22:00:00,72.09,109.07,5.82,53.96,59.79,25.14,1.23,1.53,6.10,0.00,NA,NA,NA,0.23,0.08,23.96,78.55,1.92,234.10,NA,0.00,NA,NA,NA
2021-01-01 23:00:00,80.80,118.86,7.64,64.64,72.27,26.30,1.11,1.74,6.01,0.03,NA,NA,NA,0.15,0.16,23.69,81.43,1.92,211.05,NA,0.00,NA,NA,NA
2021-01-02 00:00:00,81.00,116.08,4.50,28.80,33.29,22.24,0.74,1.75,10.11,0.16,NA,NA,NA,NA,NA,23.59,85.03,1.94,53.82,NA,0.00,0.01,NA,NA
2021-01-02 01:00:00,79.09,104.34,4.17,23.86,28.04,21.17,0.31,1.67,10.55,0.24,NA,NA,NA,NA,NA,23.54,84.96,1.94,53.03,NA,0.00,NA,NA,NA
2021-01-02 02:00:00,77.04,106.97,4.34,21.18,25.51,20.24,0.26,1.60,9.24,0.07,NA,NA,NA,0.45,0.51,23.43,84.13,1.94,235.52,NA,0.00,NA,NA,NA
2021-01-02 03:00:00,74.12,107.00,3.60,18.55,22.14,19.94,0.03,1.58,10.56,0.04,NA,NA,NA,0.40,0.34,23.13,85.56,1.92,52.43,NA,0.00,NA,NA,NA
2021-01-02 04:00:00,64.22,106.02,3.22,17.17,20.40,18.55,0.02,1.45,10.68,0.00,NA,NA,NA,0.34,0.37,22.93,86.40,1.91,51.66,NA,0.00,0.01,NA,NA
2021-01-02 05:00:00,55.20,91.00,3.60,18.44,22.03,20.41,0.16,1.40,9.74,0.07,NA,NA,NA,0.22,NA,22.65,86.58,1.91,52.61,NA,0.00,0.01,NA,NA
2021-01-02 06:00:00,56.96,90.01,3.68,24.89,28.58,22.47,0.44,1.38,8.46,0.18,NA,NA,NA,0.58,0.07,22.68,85.41,1.92,52.69,NA,0.00,0.01,NA,NA
2021-01-02 07:00:00,63.86,97.91,4.44,35.62,40.06,24.07,0.55,1.38,5.66,0.00,NA,NA,NA,0.44,0.24,22.79,84.10,1.94,76.88,NA,0.00,0.01,NA,NA
2021-01-02 08:00:00,73.00,104.00,4.75,44.15,48.89,25.12,0.59,1.48,6.34,0.25,NA,NA,NA,0.21,0.10,23.78,78.92,1.93,234.47,NA,0.00,NA,NA,NA
2021-01-02 09:00:00,89.00,114.00,6.41,45.54,51.93,23.91,0.15,1.47,5.11,0.12,NA,NA,NA,0.02,0.77,25.10,78.40,1.90,233.12,NA,0.00,0.01,NA,NA
2021-01-02 10:00:00,72.76,104.22,5.43,34.84,40.27,24.15,0.40,1.49,4.80,0.17,NA,NA,NA,0.09,0.25,24.56,82.73,1.88,231.96,NA,0.00,NA,NA,NA
2021-01-02 11:00:00,86.67,111.91,4.89,34.89,39.77,24.98,1.22,1.52,7.10,0.22,NA,NA,NA,NA,0.08,24.85,81.20,1.90,233.17,NA,0.00,NA,NA,NA
2021-01-02 12:00:00,86.02,120.90,4.58,29.52,34.10,23.59,2.55,1.53,6.76,0.06,NA,NA,NA,0.69,0.46,28.99,68.49,1.91,234.66,NA,0.00,NA,NA,NA
2021-01-02 13:00:00,79.16,111.11,4.81,24.93,29.74,24.47,3.59,1.52,10.27,0.17,NA,NA,NA,NA,0.32,27.06,68.99,1.95,236.78,NA,0.00,NA,NA,NA
2021-01-02 14:00:00,81.87,113.94,4.41,27.04,31.44,29.84,5.24,1.52,14.34,0.06,NA,NA,NA,0.45,NA,25.12,76.78,1.87,50.12,NA,0.00,0.01,NA,NA
2021-01-02 15:00:00,79.00,133.00,5.26,27.55,32.81,34.32,4.51,1.50,16.36,0.30,NA,NA,NA,0.18,NA,24.48,77.56,1.90,74.71,NA,0.00,0.01,NA,NA
2021-01-02 16:00:00,79.00,140.82,4.94,29.32,34.25,44.46,NA,1.33,15.67,0.05,NA,NA,NA,0.38,0.14,23.96,79.26,1.98,237.84,NA,0.00,0.01,NA,NA
2021-01-02 17:00:00,NA,112.00,4.54,28.83,33.38,36.68,0.89,1.15,6.67,0.12,NA,NA,NA,0.18,0.14,23.09,81.50,1.88,50.32,NA,0.00,0.01,NA,NA
2021-01-02 18:00:00,48.00,81.34,4.16,30.27,34.43,35.63,1.03,1.03,11.88,0.02,NA,NA,NA,NA,0.64,22.64,82.25,1.90,50.45,NA,0.00,0.01,NA,NA
2021-01-02 19:00:00,50.00,84.00,2.97,30.96,33.93,39.98,1.36,1.05,11.26,0.00,NA,NA,NA,1.35,0.63,22.47,83.30,1.88,50.32,NA,0.00,0.01,NA,NA
2021-01-02 20:00:00,49.00,81.00,2.79,28.89,31.67,37.58,1.37,1.07,12.34,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-02 21:00:00,48.02,80.01,3.89,33.78,37.68,36.76,1.10,1.11,11.76,0.01,NA,NA,NA,0.08,0.04,22.89,73.57,1.95,236.48,NA,0.00,0.01,NA,NA
2021-01-02 22:00:00,62.42,95.65,4.31,32.82,37.13,34.13,1.10,1.18,11.08,0.14,NA,NA,NA,0.07,0.42,22.63,76.25,1.92,51.98,NA,0.00,0.01,NA,NA
2021-01-02 23:00:00,62.00,89.00,4.00,29.26,33.27,29.91,1.00,1.19,9.67,0.20,NA,NA,NA,0.48,0.28,22.45,77.62,1.92,52.68,NA,0.00,0.01,NA,NA
2021-01-03 00:00:00,61.02,86.03,4.58,37.46,42.04,29.84,1.14,1.23,7.09,0.29,NA,NA,NA,0.52,0.04,22.42,78.92,1.92,52.59,NA,0.00,0.01,NA,NA
2021-01-03 01:00:00,69.00,90.00,4.94,40.31,45.26,28.53,1.20,1.32,7.10,0.19,NA,NA,NA,0.06,NA,22.21,79.70,1.94,52.90,NA,0.00,NA,NA,NA
2021-01-03 02:00:00,59.00,82.00,4.31,29.27,33.58,26.25,0.89,1.31,7.20,0.00,NA,NA,NA,0.12,0.37,22.14,81.92,1.96,52.34,NA,0.00,0.01,NA,NA
2021-01-03 03:00:00,61.00,83.00,3.79,25.29,29.08,25.39,1.15,1.25,8.31,0.00,NA,NA,NA,0.20,0.02,21.98,83.56,2.30,187.13,NA,0.00,NA,NA,NA
2021-01-03 04:00:00,55.00,79.00,3.41,24.85,28.26,23.66,1.14,1.29,8.44,0.00,NA,NA,NA,NA,0.17,21.93,79.22,2.10,116.40,NA,0.00,0.01,NA,NA
2021-01-03 05:00:00,60.00,82.00,3.97,30.48,34.45,22.57,0.76,1.29,9.17,0.06,NA,NA,NA,NA,NA,21.82,76.69,2.13,52.06,NA,0.00,NA,NA,NA
2021-01-03 06:00:00,60.00,88.92,4.37,37.30,41.68,19.47,0.38,1.29,6.64,0.09,NA,NA,NA,0.08,NA,21.77,77.32,2.30,144.10,NA,0.00,NA,NA,NA
2021-01-03 07:00:00,NA,84.11,9.01,71.71,80.72,21.40,0.45,1.38,2.63,0.03,NA,NA,NA,NA,0.02,21.76,77.44,2.28,77.73,NA,0.00,0.01,NA,NA
2021-01-03 08:00:00,NA,98.83,9.10,65.56,74.64,22.62,0.60,1.49,5.22,0.22,NA,NA,NA,NA,0.17,22.78,77.22,1.92,234.18,NA,0.00,0.02,NA,NA
2021-01-03 09:00:00,NA,99.99,7.74,59.44,67.18,20.74,0.41,1.55,6.85,0.09,NA,NA,NA,0.62,0.18,23.88,73.14,1.90,233.36,NA,0.00,0.01,NA,NA
2021-01-03 10:00:00,NA,99.02,7.31,61.17,68.47,20.00,0.55,1.58,6.01,0.00,NA,NA,NA,NA,NA,25.32,68.79,1.93,234.92,NA,0.00,NA,NA,NA
2021-01-03 11:00:00,NA,103.92,4.92,36.20,41.13,18.86,1.62,1.58,8.06,0.00,NA,NA,NA,NA,NA,25.42,69.56,1.90,52.23,NA,0.00,NA,NA,NA
2021-01-03 12:00:00,NA,93.18,3.88,30.34,34.21,18.27,1.91,1.44,11.31,0.00,NA,NA,NA,0.17,NA,24.02,71.24,1.86,49.61,NA,0.00,NA,NA,NA
2021-01-03 13:00:00,NA,95.97,3.15,25.62,28.77,17.31,1.83,1.17,12.68,0.00,NA,NA,NA,0.15,NA,23.78,69.01,1.86,49.54,NA,0.00,NA,NA,NA
2021-01-03 14:00:00,NA,79.00,3.60,21.51,25.12,15.88,0.96,0.98,14.16,0.00,NA,NA,NA,NA,0.64,23.49,71.10,1.88,49.83,NA,0.00,NA,NA,NA
2021-01-03 15:00:00,NA,74.07,3.05,23.11,26.16,15.79,0.61,0.98,14.44,0.04,NA,NA,NA,0.40,NA,23.62,71.13,1.89,50.57,NA,0.00,NA,NA,NA
2021-01-03 16:00:00,NA,71.03,3.16,20.06,23.22,14.94,0.26,0.91,14.02,0.06,NA,NA,NA,0.05,0.36,23.24,72.93,1.88,50.37,NA,0.00,NA,NA,NA
