latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,8.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²),cloud_cover (%)
2020-01-01T00:00,16.9,86,14.6,0.00,1012.3,8.5,36,0.0,0
2020-01-01T01:00,16.3,89,14.5,0.00,1011.7,8.9,32,0.0,0
2020-01-01T02:00,16.3,88,14.3,0.00,1011.0,9.1,18,0.0,0
2020-01-01T03:00,17.1,85,14.6,0.00,1010.4,8.0,8,0.0,0
2020-01-01T04:00,18.1,80,14.6,0.00,1010.7,6.2,36,0.0,0
2020-01-01T05:00,17.1,93,15.9,0.00,1010.9,6.0,65,0.0,0
2020-01-01T06:00,15.8,94,14.8,0.00,1011.5,5.8,68,0.0,0
2020-01-01T07:00,15.6,94,14.6,0.00,1012.7,6.0,73,3.0,0
2020-01-01T08:00,18.8,82,15.7,0.00,1013.8,4.7,81,104.0,0
2020-01-01T09:00,21.2,66,14.6,0.00,1014.9,2.9,90,301.0,0
2020-01-01T10:00,23.3,57,14.4,0.00,1015.3,1.5,346,489.0,0
2020-01-01T11:00,25.0,51,14.3,0.00,1014.6,5.5,302,632.0,0
2020-01-01T12:00,25.8,51,14.8,0.00,1013.6,8.7,294,711.0,0
2020-01-01T13:00,25.9,55,16.3,0.00,1012.4,9.5,295,722.0,0
2020-01-01T14:00,25.8,59,17.1,0.00,1011.5,11.0,302,663.0,0
2020-01-01T15:00,25.5,60,17.2,0.00,1011.2,12.5,309,541.0,0
2020-01-01T16:00,24.8,62,17.0,0.00,1011.3,13.2,317,368.0,0
2020-01-01T17:00,23.9,67,17.3,0.00,1012.0,12.3,320,172.0,0
2020-01-01T18:00,22.7,75,18.0,0.00,1012.8,11.1,324,22.0,0
2020-01-01T19:00,22.4,77,18.2,0.00,1013.6,11.1,335,0.0,0
2020-01-01T20:00,21.9,79,18.1,0.00,1014.3,10.0,345,0.0,0
2020-01-01T21:00,21.3,83,18.2,0.00,1014.9,8.3,360,0.0,0
2020-01-01T22:00,20.5,87,18.3,0.00,1015.1,7.4,14,0.0,0
2020-01-01T23:00,19.7,91,18.2,0.00,1014.9,6.3,31,0.0,0
2020-01-02T00:00,18.9,92,17.6,0.00,1014.3,5.4,48,0.0,0
2020-01-02T01:00,18.1,94,17.1,0.00,1013.8,6.4,47,0.0,0
2020-01-02T02:00,17.8,94,16.9,0.00,1013.4,6.8,32,0.0,0
2020-01-02T03:00,17.7,95,16.8,0.00,1013.1,7.4,14,0.0,71
2020-01-02T04:00,17.7,94,16.7,0.00,1013.0,6.9,6,0.0,91
2020-01-02T05:00,19.2,89,17.4,0.00,1013.9,6.2,21,0.0,6
2020-01-02T06:00,18.2,93,17.0,0.00,1014.4,6.0,17,0.0,5
2020-01-02T07:00,18.3,93,17.1,0.00,1015.4,6.0,17,2.0,1
2020-01-02T08:00,21.0,74,16.2,0.00,1016.4,4.7,23,98.0,0
2020-01-02T09:00,23.1,57,14.2,0.00,1017.0,4.7,9,288.0,0
2020-01-02T10:00,24.8,49,13.3,0.00,1016.9,4.6,342,473.0,0
2020-01-02T11:00,26.1,45,13.2,0.00,1016.2,6.6,315,617.0,0
2020-01-02T12:00,26.7,46,14.0,0.00,1015.2,9.8,298,701.0,12
2020-01-02T13:00,26.5,51,15.4,0.00,1014.3,13.6,292,716.0,1
2020-01-02T14:00,25.9,58,16.9,0.00,1013.4,15.0,294,660.0,0
2020-01-02T15:00,25.5,64,18.1,0.00,1012.7,15.5,301,539.0,17
2020-01-02T16:00,25.0,68,18.6,0.00,1012.7,16.1,309,366.0,24
2020-01-02T17:00,24.3,70,18.5,0.00,1013.7,14.3,313,171.0,0
2020-01-02T18:00,23.4,75,18.8,0.00,1014.6,13.7,325,22.0,0
2020-01-02T19:00,22.9,79,19.1,0.00,1015.6,13.7,337,0.0,1
2020-01-02T20:00,22.3,83,19.4,0.00,1016.3,12.1,348,0.0,0
2020-01-02T21:00,21.8,87,19.5,0.00,1016.5,8.3,358,0.0,0
2020-01-02T22:00,20.8,93,19.6,0.00,1016.8,5.2,16,0.0,0
2020-01-02T23:00,20.1,94,19.2,0.00,1016.5,4.9,36,0.0,0
2020-01-03T00:00,19.7,95,18.8,0.00,1015.5,5.1,39,0.0,14
2020-01-03T01:00,19.2,94,18.3,0.00,1014.9,5.5,32,0.0,0
2020-01-03T02:00,18.8,94,17.8,0.00,1014.2,6.0,25,0.0,6
2020-01-03T03:00,18.8,94,17.7,0.00,1013.8,6.2,7,0.0,70
2020-01-03T04:00,19.2,92,17.9,0.00,1013.7,7.6,3,0.0,1
2020-01-03T05:00,19.4,90,17.8,0.00,1014.1,8.3,358,0.0,41
2020-01-03T06:00,18.9,89,17.1,0.00,1014.7,9.0,5,0.0,78
2020-01-03T07:00,18.5,89,16.7,0.00,1015.3,8.7,24,2.0,11
2020-01-03T08:00,19.4,82,16.3,0.00,1016.3,8.7,30,96.0,3
2020-01-03T09:00,21.4,71,16.0,0.00,1017.1,8.7,30,290.0,13
2020-01-03T10:00,23.6,62,16.0,0.00,1016.7,8.2,23,481.0,37
2020-01-03T11:00,25.4,55,15.7,0.00,1016.0,8.7,355,625.0,42
2020-01-03T12:00,26.3,52,15.7,0.00,1014.8,10.5,329,708.0,8
2020-01-03T13:00,26.5,55,16.7,0.00,1013.1,14.8,315,723.0,2
2020-01-03T14:00,25.9,60,17.6,0.00,1012.3,20.4,316,663.0,3
2020-01-03T15:00,25.5,59,16.8,0.00,1012.0,22.8,321,542.0,64
2020-01-03T16:00,24.9,56,15.4,0.00,1012.1,23.5,328,371.0,81
2020-01-03T17:00,23.8,62,16.0,0.00,1012.7,19.9,328,175.0,75
2020-01-03T18:00,22.8,68,16.6,0.00,1012.8,18.7,332,23.0,81
2020-01-03T19:00,22.4,72,17.0,0.00,1013.3,18.5,339,0.0,85
2020-01-03T20:00,21.9,74,17.0,0.00,1013.9,17.7,348,0.0,67
2020-01-03T21:00,21.3,74,16.5,0.00,1014.3,16.2,357,0.0,60
2020-01-03T22:00,20.7,76,16.2,0.00,1014.5,15.2,4,0.0,91
2020-01-03T23:00,20.3,76,16.0,0.00,1014.4,13.4,6,0.0,93
2020-01-04T00:00,20.0,76,15.7,0.00,1013.9,12.4,10,0.0,87
2020-01-04T01:00,19.8,75,15.3,0.00,1013.5,12.0,9,0.0,81
2020-01-04T02:00,19.6,74,14.8,0.00,1013.0,12.6,5,0.0,68
2020-01-04T03:00,19.3,72,14.1,0.00,1012.5,13.3,3,0.0,62
2020-01-04T04:00,19.2,70,13.6,0.00,1012.3,13.0,3,0.0,72
2020-01-04T05:00,18.8,72,13.6,0.00,1012.4,11.9,2,0.0,64
2020-01-04T06:00,18.4,73,13.4,0.00,1012.8,11.5,358,0.0,69
2020-01-04T07:00,18.3,73,13.3,0.00,1013.4,10.5,4,2.0,82
2020-01-04T08:00,19.5,66,13.0,0.00,1014.4,11.0,11,100.0,82
