Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,25.50,75.25,1.43,10.18,6.62,23.68,6.07,0.47,29.28,2.50,3.55,NA,NA,NA,NA,8.45,70.75,0.52,46.25,NA,0.00,8.00,742.00,NA
2025-01-01 01:00:00,24.25,70.50,1.52,6.15,4.53,23.60,5.68,0.34,35.76,2.38,3.25,NA,NA,NA,NA,7.82,71.00,1.20,20.00,NA,0.00,8.00,742.00,NA
2025-01-01 02:00:00,24.25,65.25,0.67,3.48,2.17,23.98,5.10,0.29,32.08,2.18,2.88,NA,NA,NA,NA,7.60,71.75,1.00,15.75,NA,0.00,8.00,742.00,NA
2025-01-01 03:00:00,22.75,72.00,1.23,1.68,1.88,24.28,5.95,0.28,32.28,2.22,2.62,NA,NA,NA,NA,7.30,72.75,1.15,37.75,NA,0.00,8.00,742.00,NA
2025-01-01 04:00:00,25.00,73.50,0.75,2.20,1.78,23.10,6.02,0.24,32.63,1.90,2.30,NA,NA,NA,NA,7.05,73.25,0.57,55.25,NA,0.00,8.00,742.00,NA
2025-01-01 05:00:00,25.50,80.75,1.50,4.77,3.72,21.80,7.22,0.36,29.71,1.98,2.68,NA,NA,NA,NA,7.22,74.00,0.60,43.75,NA,0.00,8.00,742.00,NA
2025-01-01 06:00:00,27.25,87.00,2.03,8.80,6.35,22.58,6.30,0.43,26.74,2.40,3.50,NA,NA,NA,NA,7.30,74.00,0.82,49.00,NA,0.00,8.00,742.00,NA
2025-01-01 07:00:00,28.50,84.00,2.20,14.48,9.48,23.08,6.98,0.51,22.23,3.42,8.78,NA,NA,NA,NA,7.35,74.00,0.78,48.75,NA,0.00,8.00,742.00,NA
2025-01-01 08:00:00,30.75,94.25,3.22,17.20,11.75,23.42,6.52,0.61,17.03,3.35,7.07,NA,NA,NA,NA,7.42,73.50,0.80,47.00,NA,0.00,11.75,742.00,NA
2025-01-01 09:00:00,35.75,108.50,7.40,16.55,14.82,25.55,6.52,0.67,12.64,3.02,7.30,NA,NA,NA,NA,7.38,72.25,1.18,28.75,NA,0.00,24.25,742.00,NA
2025-01-01 10:00:00,45.50,145.25,8.32,19.18,16.95,27.87,8.50,0.78,11.41,3.30,9.00,NA,NA,NA,NA,8.12,71.00,0.82,40.00,NA,0.00,38.00,742.00,NA
2025-01-01 11:00:00,48.50,154.25,6.28,15.20,13.20,27.33,6.82,0.75,14.70,3.15,8.07,NA,NA,NA,NA,8.95,68.75,0.98,53.75,NA,0.00,55.00,742.00,NA
2025-01-01 12:00:00,44.50,134.00,7.25,16.32,14.60,27.08,7.30,0.75,16.78,3.15,8.30,NA,NA,NA,NA,9.45,67.25,0.75,41.50,NA,0.00,59.25,742.00,NA
2025-01-01 13:00:00,43.25,130.00,6.48,16.42,14.00,25.30,7.00,0.70,21.34,2.90,7.95,NA,NA,NA,NA,10.20,66.00,0.88,49.50,NA,0.00,70.50,742.00,NA
2025-01-01 14:00:00,36.00,119.00,5.60,19.95,15.15,25.15,8.32,0.82,32.06,3.20,9.32,NA,NA,NA,NA,11.78,62.50,1.30,29.50,NA,0.00,93.25,742.00,NA
2025-01-01 15:00:00,40.75,127.75,6.02,23.45,17.38,27.62,9.48,0.90,34.44,3.58,11.78,NA,NA,NA,NA,11.50,63.25,1.23,26.75,NA,0.00,58.50,742.00,NA
2025-01-01 16:00:00,47.00,145.25,5.38,29.00,19.80,26.90,9.38,1.02,27.11,3.80,16.62,NA,NA,NA,NA,10.45,65.50,0.68,26.75,NA,0.00,23.00,741.00,NA
2025-01-01 17:00:00,50.00,146.00,7.62,25.95,20.03,29.72,8.05,1.02,21.63,4.35,13.55,NA,NA,NA,NA,8.55,69.25,1.72,19.50,NA,0.00,8.00,741.25,NA
2025-01-01 18:00:00,49.00,144.75,8.88,22.85,19.38,29.35,6.30,1.05,14.49,3.85,12.00,NA,NA,NA,NA,7.55,72.00,1.98,19.75,NA,0.00,8.00,742.00,NA
2025-01-01 19:00:00,45.50,139.25,8.78,21.38,18.48,29.95,7.28,0.96,14.03,4.03,10.60,NA,NA,NA,NA,7.20,73.00,2.10,20.50,NA,0.00,8.00,742.00,NA
2025-01-01 20:00:00,44.25,133.25,5.20,15.15,12.28,30.32,7.50,0.93,13.87,3.70,9.10,NA,NA,NA,NA,7.30,72.75,1.00,16.75,NA,0.00,8.00,742.00,NA
2025-01-01 21:00:00,45.00,135.75,5.28,13.98,11.72,29.50,9.98,0.73,16.82,3.08,7.65,NA,NA,NA,NA,7.85,72.00,2.10,18.50,NA,0.00,8.00,742.00,NA
2025-01-01 22:00:00,47.25,151.75,3.35,15.38,10.92,31.52,10.45,0.59,22.14,2.77,5.45,NA,NA,NA,NA,7.88,72.00,1.48,19.25,NA,0.00,8.00,742.00,NA
2025-01-01 23:00:00,51.75,153.75,2.60,13.05,8.95,32.70,9.87,0.49,27.55,2.65,4.62,NA,NA,NA,NA,8.00,73.00,0.80,26.75,NA,0.00,8.00,742.00,NA
2025-01-02 00:00:00,44.50,141.25,2.10,10.60,7.18,32.30,8.97,0.62,29.39,2.62,3.72,NA,NA,NA,NA,8.02,73.00,0.73,25.75,NA,0.00,8.00,742.00,NA
2025-01-02 01:00:00,44.50,135.75,1.40,9.75,6.30,33.40,7.20,0.59,27.78,2.60,3.65,NA,NA,NA,NA,7.57,74.00,1.38,33.50,NA,0.00,8.00,741.50,NA
2025-01-02 02:00:00,47.50,141.00,1.27,7.00,4.75,32.80,4.58,0.56,21.77,2.58,3.55,NA,NA,NA,NA,7.45,74.00,1.52,20.00,NA,0.00,8.00,741.00,NA
