latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.490334,77.72254,250.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,3.8,93,2.7,6.4,38,0.00,989.6,39,0.0
2020-01-01T01:00,5.2,88,3.3,4.9,54,0.00,989.5,71,0.0
2020-01-01T02:00,5.3,87,3.3,5.6,75,0.00,989.4,83,0.0
2020-01-01T03:00,3.9,91,2.6,6.6,77,0.00,989.2,90,0.0
2020-01-01T04:00,3.2,94,2.3,6.8,72,0.00,989.2,88,0.0
2020-01-01T05:00,3.6,96,3.1,4.3,42,0.00,989.6,90,0.0
2020-01-01T06:00,3.1,100,3.1,5.9,38,0.00,990.3,100,0.0
2020-01-01T07:00,3.2,100,3.2,6.5,34,0.00,991.0,100,2.0
2020-01-01T08:00,5.5,96,4.9,7.1,49,0.00,992.2,96,73.0
2020-01-01T09:00,9.6,83,6.8,6.0,65,0.00,993.3,88,229.0
2020-01-01T10:00,13.2,73,8.4,6.8,72,0.00,993.8,94,392.0
2020-01-01T11:00,15.5,62,8.2,8.7,85,0.00,993.5,93,494.0
2020-01-01T12:00,16.9,56,8.1,8.6,105,0.00,992.3,93,555.0
2020-01-01T13:00,17.9,53,8.2,8.3,124,0.00,991.7,95,546.0
2020-01-01T14:00,18.4,51,8.2,6.9,133,0.00,991.2,97,472.0
2020-01-01T15:00,18.3,52,8.4,4.6,135,0.00,990.8,96,354.0
2020-01-01T16:00,17.5,63,10.5,2.6,74,0.00,991.0,96,189.0
2020-01-01T17:00,13.4,74,8.8,6.8,25,0.00,990.9,97,46.0
2020-01-01T18:00,11.3,83,8.4,9.1,18,0.00,991.4,91,0.0
2020-01-01T19:00,10.3,84,7.7,8.4,10,0.00,991.6,94,0.0
2020-01-01T20:00,9.5,86,7.3,8.4,10,0.00,992.1,89,0.0
2020-01-01T21:00,8.6,88,6.7,8.9,14,0.00,992.1,55,0.0
2020-01-01T22:00,8.4,87,6.4,8.2,29,0.00,992.3,92,0.0
2020-01-01T23:00,7.6,88,5.8,9.4,43,0.00,992.2,95,0.0
2020-01-02T00:00,7.7,89,6.0,8.4,50,0.00,991.9,94,0.0
2020-01-02T01:00,8.2,88,6.3,6.8,58,0.00,991.7,93,0.0
2020-01-02T02:00,8.0,88,6.1,6.8,58,0.00,991.5,92,0.0
2020-01-02T03:00,7.5,90,6.0,6.2,54,0.00,990.8,90,0.0
2020-01-02T04:00,6.8,91,5.5,6.2,54,0.00,990.6,86,0.0
2020-01-02T05:00,7.2,90,5.6,7.0,55,0.00,990.6,79,0.0
2020-01-02T06:00,6.8,91,5.4,6.6,41,0.00,991.1,87,0.0
2020-01-02T07:00,7.1,90,5.5,5.2,25,0.00,991.6,85,1.0
2020-01-02T08:00,9.7,81,6.6,6.2,36,0.00,992.8,92,71.0
2020-01-02T09:00,13.0,73,8.3,2.7,67,0.00,993.8,90,208.0
2020-01-02T10:00,16.2,63,9.1,2.6,56,0.00,994.4,92,358.0
