Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,21.72,247.74,31.48,89.16,72.70,39.62,4.35,1.83,7.92,0.60,8.43,3.53,NA,1.38,0.20,12.87,85.80,0.21,125.46,0.00,0.00,6.92,757.32,NA
2021-01-01 01:00:00,17.90,240.36,24.70,75.37,60.06,39.54,4.10,1.70,7.95,0.60,7.69,3.60,NA,1.30,0.20,12.90,82.79,0.22,7.80,0.00,0.00,6.89,757.10,NA
2021-01-01 02:00:00,17.48,230.70,33.19,85.55,72.18,38.53,3.95,1.66,7.79,0.60,6.96,3.64,NA,1.20,0.20,12.04,87.11,0.13,43.49,0.00,0.00,7.01,756.92,NA
2021-01-01 03:00:00,89.15,220.74,32.89,85.34,71.84,38.05,3.68,1.63,7.97,0.59,6.47,3.67,NA,1.16,0.20,11.28,90.34,0.09,51.36,0.00,0.00,7.00,757.00,NA
2021-01-01 04:00:00,NA,214.76,36.66,89.42,76.99,39.88,3.54,1.60,6.77,0.59,6.17,3.76,NA,1.16,0.20,10.97,92.30,0.12,125.88,0.00,0.00,6.98,757.10,NA
2021-01-01 05:00:00,NA,NA,22.71,72.02,56.72,42.13,3.93,1.54,7.46,0.59,5.99,2.72,NA,1.17,0.99,11.22,91.06,0.19,201.41,0.00,0.00,6.89,757.30,NA
2021-01-01 06:00:00,107.77,207.39,26.37,79.28,63.44,42.57,3.47,1.52,7.40,0.58,5.77,1.85,NA,1.15,1.59,10.66,92.59,0.26,308.86,0.00,0.00,14.32,757.88,NA
2021-01-01 07:00:00,104.57,207.84,20.42,70.90,54.29,42.79,3.99,1.48,7.27,0.57,5.62,2.79,NA,1.09,0.78,11.59,79.05,0.66,322.25,0.00,0.00,48.02,758.75,NA
2021-01-01 08:00:00,73.40,208.30,15.33,70.11,49.80,42.05,4.13,1.40,7.28,0.56,5.34,3.36,NA,1.01,0.20,13.60,72.37,0.82,314.36,0.00,0.00,134.14,759.65,NA
2021-01-01 09:00:00,42.94,207.72,11.78,70.42,47.11,41.77,4.49,1.34,7.26,0.54,4.87,3.14,NA,0.95,0.20,16.52,65.25,0.52,328.58,0.00,0.00,354.94,759.95,NA
2021-01-01 10:00:00,33.95,203.24,8.82,71.03,45.06,42.08,5.12,1.30,7.16,0.55,4.58,3.14,NA,0.95,0.20,18.65,52.56,0.67,325.78,0.00,0.00,461.62,759.45,NA
2021-01-01 11:00:00,24.26,195.29,6.57,64.56,39.87,41.16,5.02,1.18,7.27,0.54,4.30,3.13,NA,0.95,0.20,20.31,40.66,0.74,304.99,0.00,0.00,505.71,758.70,NA
2021-01-01 12:00:00,32.11,177.63,5.48,61.90,37.61,37.73,4.77,1.14,9.24,0.54,4.05,3.08,NA,0.94,0.20,21.01,39.77,1.29,320.21,0.00,0.00,516.16,757.80,NA
2021-01-01 13:00:00,47.55,166.07,2.94,55.46,32.21,34.27,4.74,1.07,9.32,0.52,3.67,3.09,NA,0.87,0.20,21.57,37.71,1.33,317.86,0.00,0.00,449.91,757.08,NA
2021-01-01 14:00:00,25.31,153.51,1.95,51.71,29.45,32.86,4.90,1.02,9.48,0.52,3.30,3.16,NA,0.85,0.20,21.59,38.85,1.49,315.63,0.00,0.00,329.98,756.75,NA
2021-01-01 15:00:00,23.18,149.69,1.44,50.99,28.72,31.46,5.44,0.98,9.51,0.52,3.05,3.23,NA,0.84,0.20,20.96,41.73,1.34,319.33,0.00,0.00,162.86,756.45,NA
2021-01-01 16:00:00,29.59,147.48,3.34,65.86,37.97,31.34,5.00,0.94,9.20,0.52,2.90,3.32,NA,0.84,0.20,19.66,44.37,0.48,334.09,0.00,0.00,39.82,756.25,NA
2021-01-01 17:00:00,36.74,150.14,14.81,86.03,57.70,31.54,4.58,1.09,9.11,0.55,3.01,3.56,NA,0.87,0.20,17.65,50.34,0.26,197.98,0.00,0.00,7.05,756.30,NA
2021-01-01 18:00:00,64.46,235.85,87.80,148.10,148.67,33.86,4.57,1.84,9.07,0.55,3.56,3.75,NA,0.93,0.20,15.73,58.36,0.12,163.63,0.00,0.00,6.98,756.42,NA
2021-01-01 19:00:00,70.23,414.44,66.00,140.99,127.46,37.54,6.04,2.09,9.16,0.59,5.18,4.00,NA,1.12,0.20,14.66,63.66,0.11,66.10,0.00,0.00,6.98,756.70,NA
2021-01-01 20:00:00,95.06,344.44,32.29,113.26,85.94,39.09,6.15,1.94,7.27,0.62,6.80,4.18,NA,1.29,0.20,14.32,66.79,0.18,51.61,0.00,0.00,6.98,756.92,NA
2021-01-01 21:00:00,108.81,277.74,27.72,95.81,73.16,41.38,4.38,1.90,7.73,0.64,7.41,2.15,NA,1.39,1.80,13.31,78.68,0.12,36.25,0.00,0.00,6.93,757.08,NA
2021-01-01 22:00:00,83.59,196.17,23.04,89.04,65.88,41.52,3.74,1.73,7.46,0.64,7.52,3.16,NA,1.37,0.98,13.14,69.76,0.16,56.79,0.00,0.00,6.98,757.08,NA
2021-01-01 23:00:00,50.10,159.38,48.83,122.07,103.81,42.04,3.58,1.74,7.39,0.63,7.14,4.08,NA,1.33,0.20,12.10,76.24,0.05,193.60,0.00,0.00,6.99,757.02,NA
2021-01-02 00:00:00,35.78,190.18,43.49,113.72,95.16,42.13,3.57,1.64,7.40,0.61,6.90,1.10,NA,1.28,2.25,11.20,81.71,0.11,49.11,0.00,0.00,7.00,756.80,NA
2021-01-02 01:00:00,NA,204.83,45.38,107.50,93.42,44.07,3.49,1.63,7.38,0.60,6.88,3.75,NA,1.27,0.20,10.72,85.45,0.09,62.24,0.00,0.00,6.99,756.62,NA
2021-01-02 02:00:00,NA,205.12,39.01,94.23,81.39,44.93,3.20,1.62,7.28,0.60,6.98,3.64,NA,1.26,0.20,10.42,88.98,0.13,51.40,0.00,0.00,6.99,756.60,NA
2021-01-02 03:00:00,6.00,208.39,30.30,76.34,65.05,45.21,3.42,1.51,7.30,0.60,7.08,2.69,NA,1.25,0.85,10.77,90.93,0.20,137.49,0.00,0.00,6.93,756.62,NA
2021-01-02 04:00:00,6.00,207.73,41.04,93.62,82.70,44.66,3.20,1.46,8.88,0.58,6.78,2.60,NA,1.20,0.83,10.40,88.10,0.15,42.54,0.00,0.00,6.98,756.80,NA
