Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,171.02,271.94,32.24,48.05,80.3,17.92,5.5,3.11,3.19,10.58,1.52,4.94,,5.34,8.99,11.67,95.12,0.16,39.25,0.0,0.0,7.16,756.08,
2020-01-01 01:00:00,158.46,255.17,38.44,42.28,80.72,24.63,5.37,3.1,3.18,10.07,1.45,4.85,,5.2,8.72,11.33,97.69,0.18,188.0,0.0,0.0,7.31,755.98,
2020-01-01 02:00:00,149.22,249.59,37.81,45.53,83.34,26.95,5.36,3.16,3.38,9.6,1.37,4.8,,5.11,8.56,11.86,95.03,0.24,175.7,0.0,0.0,7.52,755.98,
2020-01-01 03:00:00,146.56,236.5,38.0,43.17,81.17,27.58,5.46,3.12,3.26,9.34,1.33,4.79,,5.08,8.42,11.92,95.18,0.16,164.3,0.0,0.0,7.71,755.97,
2020-01-01 04:00:00,164.62,237.94,45.17,47.64,92.82,22.41,5.55,3.12,3.29,9.12,1.3,4.8,,5.06,8.35,11.91,94.38,0.22,237.56,0.0,0.0,7.69,756.2,
2020-01-01 05:00:00,161.52,247.4,51.08,48.16,99.24,27.78,5.46,3.09,3.28,8.97,1.28,4.79,,5.03,8.27,11.73,94.21,0.43,231.45,0.0,0.0,7.8,756.75,
2020-01-01 06:00:00,156.58,248.42,57.0,44.34,101.33,27.88,5.46,3.22,3.46,8.96,1.26,4.76,,4.99,8.13,11.59,94.0,0.39,234.89,0.0,0.0,8.36,757.35,
2020-01-01 07:00:00,162.98,265.92,41.94,43.64,85.57,28.79,5.5,3.14,3.55,9.16,1.26,4.72,,4.95,8.05,11.42,93.56,0.5,247.74,0.0,0.0,31.65,757.98,
2020-01-01 08:00:00,158.97,254.54,31.91,40.48,72.68,31.28,5.62,3.13,4.96,9.26,1.27,4.81,,5.03,8.2,12.61,88.78,0.66,286.62,0.0,0.0,91.7,758.6,
2020-01-01 09:00:00,156.77,257.85,26.74,44.46,71.2,34.78,5.94,3.16,6.65,9.24,1.29,4.83,,4.95,8.07,13.8,84.41,0.59,261.44,0.0,0.0,138.89,759.3,
2020-01-01 10:00:00,175.3,280.04,23.68,42.51,66.19,32.58,5.94,3.13,8.47,9.27,1.33,4.8,,4.88,8.0,14.79,82.12,0.62,303.55,0.0,0.0,119.27,759.08,
2020-01-01 11:00:00,177.58,278.27,18.07,30.8,48.87,31.69,5.86,2.9,10.92,9.28,1.36,4.76,,4.8,7.8,15.45,83.76,0.68,321.68,0.0,0.0,158.48,758.32,
2020-01-01 12:00:00,169.18,252.3,14.15,29.62,43.96,26.54,5.99,2.78,11.52,9.05,1.36,4.64,,4.64,7.5,18.09,72.87,0.53,169.53,0.0,0.0,395.93,757.52,
2020-01-01 13:00:00,160.44,259.5,14.28,35.65,49.93,40.1,6.34,2.66,15.73,8.8,1.44,4.7,,4.58,7.48,20.83,61.32,0.43,26.2,0.0,0.0,432.6,756.82,
2020-01-01 14:00:00,150.98,238.89,14.1,35.36,49.47,38.96,6.3,2.34,16.92,8.62,1.52,4.76,,4.61,7.34,21.29,55.46,0.5,209.36,0.0,0.0,252.26,756.53,
2020-01-01 15:00:00,134.23,207.71,13.59,44.89,58.48,36.72,6.24,2.58,20.11,8.22,1.59,4.28,,4.65,7.38,20.34,59.73,0.59,295.39,0.0,0.0,130.43,756.6,
2020-01-01 16:00:00,127.32,211.82,17.91,34.75,52.93,19.66,5.9,2.6,21.3,7.86,1.56,4.73,,4.59,7.34,18.9,69.66,0.18,171.96,0.0,0.0,37.4,756.45,
2020-01-01 17:00:00,119.98,205.57,60.31,67.02,122.21,18.84,5.72,4.11,9.62,7.58,1.51,4.53,,4.5,7.02,17.48,77.44,0.12,38.89,0.0,0.0,7.99,756.72,
2020-01-01 18:00:00,123.23,250.82,65.07,79.34,144.42,19.55,5.66,5.11,5.63,8.1,1.63,4.84,,4.82,7.8,16.8,81.09,0.16,88.19,0.0,0.0,7.52,757.15,
2020-01-01 19:00:00,156.78,290.01,150.32,89.78,240.1,21.23,6.19,5.91,6.6,9.51,1.82,5.47,,5.46,9.56,16.8,81.77,0.14,181.56,0.0,0.0,7.5,757.55,
2020-01-01 20:00:00,179.48,524.45,54.9,70.52,126.08,17.2,5.85,5.53,4.59,11.7,2.0,6.51,,6.46,12.09,16.76,83.28,0.26,222.43,0.0,0.0,7.74,757.8,
2020-01-01 21:00:00,176.02,376.34,47.94,61.45,109.39,24.4,5.82,5.29,4.4,12.3,2.01,7.03,,6.95,13.18,16.16,87.98,0.36,314.15,0.0,0.0,7.46,758.08,
2020-01-01 22:00:00,193.36,293.06,35.79,50.99,86.78,26.36,5.58,4.71,5.64,12.3,2.06,7.14,,7.1,13.6,16.1,87.4,0.2,248.58,0.0,0.0,7.71,758.35,
2020-01-01 23:00:00,190.3,279.02,44.6,50.77,95.37,27.64,5.63,4.74,4.03,11.96,2.01,7.1,,7.04,13.32,15.57,89.12,0.09,233.91,0.0,0.0,7.69,757.9,
2020-01-02 00:00:00,176.78,283.33,51.34,41.89,93.23,28.22,5.72,4.84,3.82,11.57,1.97,7.05,,7.02,13.1,14.66,93.76,0.11,175.1,0.0,0.0,7.29,757.52,
2020-01-02 01:00:00,169.98,314.5,47.16,34.61,81.76,41.29,5.83,5.26,3.44,11.44,2.0,7.36,,7.22,13.39,14.0,96.78,0.3,306.95,0.0,0.0,7.18,757.55,
2020-01-02 02:00:00,153.68,261.34,48.94,27.81,76.75,36.68,5.55,5.78,3.18,11.13,1.96,7.3,,7.02,12.94,13.89,97.38,0.15,64.45,0.0,0.0,7.4,757.32,
2020-01-02 03:00:00,158.45,263.37,51.04,23.81,74.85,33.42,5.59,5.65,3.09,10.81,1.92,7.08,,6.75,12.44,13.4,98.9,0.16,128.33,0.0,0.0,7.29,756.85,
