Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,105.57,165.80,2.38,27.70,16.66,27.82,2.43,0.97,36.96,1.09,1.05,1.45,NA,0.06,0.12,12.33,99.28,0.18,195.72,0.00,0.00,7.07,752.40,NA
2022-01-01 01:00:00,123.85,172.58,1.91,23.22,13.90,27.74,3.00,0.92,39.40,1.01,0.92,1.27,NA,0.05,0.10,12.48,99.28,0.24,196.27,0.00,0.00,7.02,752.40,NA
2022-01-01 02:00:00,106.15,161.75,1.68,22.45,13.31,27.74,3.26,0.89,40.36,0.96,0.86,1.21,NA,0.05,0.09,12.37,99.29,0.25,178.94,0.00,0.00,7.18,752.40,NA
2022-01-01 03:00:00,120.65,160.10,1.55,21.82,12.86,27.74,3.08,0.86,40.97,0.92,0.85,1.06,NA,0.05,0.08,12.51,99.33,0.21,221.68,0.00,0.00,7.30,752.40,NA
2022-01-01 04:00:00,105.62,155.90,1.95,18.53,11.44,27.70,2.90,0.88,41.82,0.94,0.80,1.01,NA,0.04,0.08,12.95,99.33,0.15,241.07,0.00,0.00,7.80,752.40,NA
2022-01-01 05:00:00,115.38,152.80,2.30,18.74,11.84,27.75,3.69,0.88,41.52,0.94,0.78,0.92,NA,0.04,0.07,13.32,99.33,0.18,239.83,0.00,0.00,7.80,752.40,NA
2022-01-01 06:00:00,106.22,158.67,3.08,20.22,13.26,27.84,3.96,0.86,42.42,0.91,0.73,0.91,NA,0.04,0.07,13.61,99.33,0.20,246.07,0.00,0.00,11.38,752.40,NA
2022-01-01 07:00:00,113.57,160.30,4.06,22.45,15.24,27.88,4.35,0.89,41.00,0.90,0.79,0.98,NA,0.04,0.08,13.92,99.28,0.13,274.53,0.00,0.00,24.60,752.48,NA
2022-01-01 08:00:00,109.72,150.12,5.10,25.98,17.96,27.97,4.09,0.93,40.29,0.93,0.91,1.11,NA,0.05,0.09,14.16,99.25,0.14,291.40,0.00,0.00,59.58,752.60,NA
2022-01-01 09:00:00,108.90,147.33,6.34,24.18,18.02,27.99,4.15,0.95,36.51,1.01,1.01,1.26,NA,0.05,0.11,14.20,99.24,0.20,230.12,0.00,0.00,55.82,752.58,NA
2022-01-01 10:00:00,107.12,146.70,6.66,25.52,19.00,28.01,3.81,1.03,37.01,1.06,0.94,1.48,NA,0.05,0.10,14.28,99.24,0.20,245.72,0.00,0.00,63.72,752.62,NA
2022-01-01 11:00:00,126.85,149.10,8.54,26.77,21.19,28.04,4.09,1.02,40.37,1.08,0.85,1.40,NA,0.06,0.11,14.72,99.20,0.22,251.98,0.00,0.00,95.82,752.72,NA
2022-01-01 12:00:00,112.43,154.38,8.40,31.42,23.54,28.16,4.26,0.96,43.17,1.09,0.96,1.46,NA,0.06,0.12,14.94,99.17,0.26,250.69,0.00,0.00,101.80,752.75,NA
2022-01-01 13:00:00,118.78,153.40,8.86,41.52,29.28,28.22,4.73,1.08,42.15,1.00,0.78,1.30,NA,0.06,0.11,15.17,99.01,0.17,272.88,0.00,0.00,84.82,752.70,NA
2022-01-01 14:00:00,110.50,144.92,10.39,42.37,30.98,28.22,5.01,1.05,43.16,1.24,1.21,1.98,NA,0.07,0.16,14.84,99.15,0.18,266.23,0.00,0.00,45.62,752.55,NA
2022-01-01 15:00:00,115.98,140.33,8.32,36.66,26.27,28.14,4.34,1.05,45.70,1.11,1.11,2.16,NA,0.07,0.16,14.75,98.72,0.23,248.67,0.00,0.00,27.55,752.50,NA
2022-01-01 16:00:00,91.38,129.12,9.90,38.44,28.49,28.12,3.92,1.10,46.04,1.05,1.09,1.98,NA,0.06,0.15,14.59,96.90,0.23,244.97,0.00,0.00,13.08,752.40,NA
2022-01-01 17:00:00,98.78,123.32,8.60,40.97,28.79,28.18,4.63,1.16,45.90,1.13,1.30,2.16,NA,0.08,0.18,14.61,94.94,0.13,270.67,0.00,0.00,7.82,752.40,NA
2022-01-01 18:00:00,101.10,122.60,11.21,46.01,33.59,28.25,4.44,1.19,43.74,1.16,1.43,2.06,NA,0.08,0.18,14.57,93.97,0.12,285.99,0.00,0.00,7.78,752.40,NA
2022-01-01 19:00:00,112.07,129.67,7.10,39.66,26.86,28.14,4.71,1.13,45.58,1.13,1.39,1.98,NA,0.07,0.16,14.29,94.84,0.14,272.62,0.00,0.00,7.78,752.40,NA
2022-01-01 20:00:00,102.62,116.93,4.93,35.39,22.83,28.03,4.04,1.07,47.37,1.09,1.28,1.80,NA,0.06,0.15,14.00,95.90,0.10,200.44,0.00,0.00,7.72,752.40,NA
2022-01-01 21:00:00,102.30,125.78,4.21,31.40,20.12,27.92,3.74,0.97,50.79,1.01,1.24,1.73,NA,0.05,0.13,13.84,95.00,0.11,310.47,0.00,0.00,7.80,752.40,NA
2022-01-01 22:00:00,104.30,125.30,2.15,27.70,16.48,27.91,4.23,0.89,52.66,0.91,1.13,1.46,NA,0.05,0.11,13.74,94.28,0.11,244.05,0.00,0.00,7.80,752.40,NA
2022-01-01 23:00:00,115.60,95.10,2.11,25.44,15.25,27.89,3.81,0.80,54.12,0.84,1.08,1.44,NA,0.04,0.09,13.67,93.43,0.10,176.18,0.00,0.00,7.77,752.40,NA
2022-01-02 00:00:00,NA,NA,1.60,23.13,13.60,27.84,6.76,0.86,54.25,0.74,0.91,1.23,NA,0.04,0.07,13.47,95.60,0.07,279.20,0.00,0.00,7.75,752.40,NA
2022-01-02 01:00:00,90.48,108.42,1.84,21.18,12.76,27.84,6.36,0.81,58.35,0.70,0.85,1.14,NA,0.04,0.06,13.40,94.14,0.12,275.12,0.00,0.00,7.75,752.40,NA
2022-01-02 02:00:00,84.52,114.78,1.66,18.44,11.16,27.80,6.42,0.79,59.18,0.71,0.66,1.14,NA,0.04,0.05,13.41,93.78,0.16,249.71,0.00,0.00,7.80,752.40,NA
2022-01-02 03:00:00,90.57,119.98,1.49,19.42,11.54,27.79,5.82,0.79,61.81,0.67,0.57,0.97,NA,0.03,0.05,13.22,92.75,0.12,251.24,0.00,0.00,7.75,752.40,NA
2022-01-02 04:00:00,87.70,122.50,1.78,19.23,11.68,27.76,6.67,0.78,62.61,0.66,0.63,0.97,NA,0.03,0.05,13.16,92.73,0.16,228.66,0.00,0.00,7.78,752.40,NA
2022-01-02 05:00:00,87.30,123.40,1.46,19.41,11.51,27.79,7.11,0.80,63.92,0.65,0.60,1.00,NA,0.03,0.05,13.11,92.93,0.16,248.34,0.00,0.00,7.78,752.40,NA
2022-01-02 06:00:00,89.60,136.45,2.44,22.52,13.96,27.77,6.36,0.84,63.66,0.68,0.58,1.04,NA,0.03,0.05,13.06,93.20,0.13,255.94,0.00,0.00,11.62,752.40,NA
2022-01-02 07:00:00,101.48,144.10,2.45,25.14,15.36,27.79,6.83,0.89,64.68,0.77,0.68,1.14,NA,0.04,0.06,13.24,91.85,0.14,240.58,0.00,0.00,38.85,752.52,NA
2022-01-02 08:00:00,100.60,148.20,3.88,28.48,18.30,27.82,7.13,0.90,65.89,0.86,0.70,1.21,NA,0.04,0.06,13.81,87.13,0.18,262.60,0.00,0.00,100.65,752.75,NA
2022-01-02 09:00:00,112.98,158.78,4.51,31.27,20.30,27.89,7.54,0.93,65.14,0.83,0.65,1.14,NA,0.04,0.07,14.58,83.18,0.23,274.81,0.00,0.00,166.38,752.98,NA
2022-01-02 10:00:00,114.00,157.62,4.15,29.52,19.08,27.83,7.06,0.96,67.57,0.91,0.68,1.29,NA,0.04,0.08,15.36,79.28,0.20,246.62,0.00,0.00,267.25,753.40,NA
2022-01-02 11:00:00,127.88,161.40,4.18,31.52,20.16,27.85,7.73,0.99,68.28,0.94,0.69,1.23,NA,0.04,0.08,16.04,76.76,0.25,317.03,0.00,0.00,283.27,753.42,NA
