Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,143.12,195.54,97.24,50.69,148.01,38.73,10.67,2.74,2.96,2.46,3.31,12.33,,29.13,30.46,9.68,99.13,0.1,228.85,0.0,0.0,6.95,754.4,
2020-01-01 01:00:00,148.38,211.92,92.21,46.58,138.79,38.82,12.48,2.56,3.12,2.31,3.05,11.86,,28.39,29.02,9.52,99.13,0.16,252.42,0.0,0.0,7.05,754.4,
2020-01-01 02:00:00,137.14,234.48,80.45,45.18,125.62,37.27,12.59,2.41,3.3,2.18,2.82,11.29,,27.65,27.54,9.89,99.13,0.1,247.46,0.0,0.0,7.05,754.4,
2020-01-01 03:00:00,131.87,238.62,80.76,45.5,126.27,35.43,12.06,2.16,3.08,2.05,2.66,10.6,,26.5,25.75,10.07,99.13,0.14,251.65,0.0,0.0,7.15,754.4,
2020-01-01 04:00:00,132.26,232.22,72.05,43.25,115.3,34.67,11.35,2.02,2.91,1.91,2.45,9.76,,24.7,23.54,10.14,99.13,0.16,252.25,0.0,0.0,7.08,754.4,
2020-01-01 05:00:00,129.18,233.38,67.79,44.43,112.22,33.02,11.02,1.9,3.37,1.83,2.28,9.16,,23.5,21.9,10.22,99.12,0.11,219.06,0.0,0.0,7.25,754.4,
2020-01-01 06:00:00,128.64,242.42,59.4,48.48,107.88,32.61,10.37,1.89,3.34,1.77,2.1,8.54,,22.59,20.31,10.27,98.38,0.24,195.34,0.0,0.0,7.78,754.4,
2020-01-01 07:00:00,129.86,240.81,43.88,52.16,96.04,33.92,9.47,1.84,3.44,1.71,1.78,7.78,,21.33,18.58,10.43,97.33,0.25,223.32,0.0,0.0,30.28,754.45,
2020-01-01 08:00:00,135.42,242.06,34.51,61.41,95.92,33.63,9.46,1.81,3.7,1.69,1.51,7.28,,20.58,17.3,11.93,90.74,0.19,271.34,0.0,0.0,89.6,754.7,
2020-01-01 09:00:00,133.21,248.66,30.48,64.34,94.83,34.3,9.64,1.82,3.88,1.67,1.39,7.11,,20.99,16.99,13.27,85.42,0.4,222.3,0.0,0.0,135.43,754.85,
