latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.553602,85.01629,56.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,10.6,92,9.4,5.2,295,0.00,1012.5,66,0.0
2020-01-01T01:00,8.9,96,8.3,8.2,15,0.00,1012.1,98,0.0
2020-01-01T02:00,9.8,95,9.1,6.9,6,0.00,1012.1,99,0.0
2020-01-01T03:00,9.9,95,9.2,4.7,270,0.00,1012.5,100,0.0
2020-01-01T04:00,9.3,97,8.8,6.4,243,0.00,1012.7,100,0.0
2020-01-01T05:00,10.0,96,9.4,5.1,278,0.00,1012.8,100,0.0
2020-01-01T06:00,9.8,95,9.1,6.4,317,0.00,1013.5,99,0.0
2020-01-01T07:00,10.8,95,10.0,2.5,180,0.10,1014.5,92,11.0
2020-01-01T08:00,12.8,89,11.0,3.2,63,0.20,1015.4,86,115.0
2020-01-01T09:00,15.2,83,12.4,5.2,74,0.00,1015.9,71,216.0
2020-01-01T10:00,17.6,75,13.1,8.1,77,0.00,1015.7,72,336.0
2020-01-01T11:00,19.3,68,13.3,6.0,73,0.00,1014.8,53,427.0
2020-01-01T12:00,20.3,65,13.5,2.5,82,0.00,1013.8,54,488.0
2020-01-01T13:00,20.9,62,13.4,3.6,37,0.00,1013.1,47,482.0
2020-01-01T14:00,21.1,62,13.5,2.5,360,0.00,1012.7,23,405.0
2020-01-01T15:00,20.7,64,13.6,5.4,4,0.00,1012.5,77,280.0
2020-01-01T16:00,18.8,75,14.3,4.8,13,0.00,1012.6,86,109.0
2020-01-01T17:00,18.9,73,13.9,3.7,101,0.00,1012.7,81,15.0
2020-01-01T18:00,17.9,77,13.9,3.6,186,0.00,1013.3,94,0.0
2020-01-01T19:00,15.2,88,13.3,6.2,170,0.00,1014.1,87,0.0
2020-01-01T20:00,14.2,92,12.9,8.1,225,0.00,1014.8,96,0.0
2020-01-01T21:00,15.0,89,13.3,6.3,246,0.10,1015.2,97,0.0
2020-01-01T22:00,15.7,87,13.5,4.6,288,0.10,1015.6,93,0.0
2020-01-01T23:00,13.6,95,12.8,5.7,198,0.10,1015.4,94,0.0
2020-01-02T00:00,14.5,91,13.1,2.4,207,0.00,1015.0,97,0.0
2020-01-02T01:00,14.1,93,13.1,1.8,37,0.00,1014.7,91,0.0
2020-01-02T02:00,13.9,95,13.1,4.0,27,0.00,1014.4,95,0.0
2020-01-02T03:00,13.7,96,13.1,6.1,50,0.00,1013.9,87,0.0
2020-01-02T04:00,11.9,99,11.7,8.7,60,0.00,1013.9,74,0.0
2020-01-02T05:00,13.0,97,12.5,3.8,73,0.00,1014.0,57,0.0
2020-01-02T06:00,11.3,99,11.2,7.2,143,0.00,1014.8,24,0.0
2020-01-02T07:00,12.8,98,12.4,5.8,86,0.00,1015.3,15,29.0
2020-01-02T08:00,15.0,92,13.7,6.2,100,0.00,1016.1,34,155.0
2020-01-02T09:00,17.3,84,14.6,7.2,84,0.00,1016.6,19,304.0
2020-01-02T10:00,18.8,77,14.7,8.0,85,0.00,1016.4,37,416.0
2020-01-02T11:00,20.1,71,14.7,8.8,81,0.00,1015.4,48,505.0
2020-01-02T12:00,20.9,67,14.7,8.5,78,0.00,1013.9,27,514.0
2020-01-02T13:00,21.4,65,14.6,9.5,79,0.00,1012.6,40,494.0
2020-01-02T14:00,21.5,64,14.5,9.9,80,0.00,1012.2,60,396.0
2020-01-02T15:00,21.0,66,14.3,9.5,81,0.00,1011.9,74,237.0
2020-01-02T16:00,19.7,75,15.0,5.4,86,0.10,1012.1,64,98.0
2020-01-02T17:00,18.0,85,15.4,7.4,104,0.00,1012.4,43,10.0
2020-01-02T18:00,17.4,89,15.6,6.9,99,0.10,1013.1,64,0.0
2020-01-02T19:00,16.7,92,15.4,7.3,101,0.00,1013.7,52,0.0
2020-01-02T20:00,16.2,93,15.0,6.9,99,0.00,1013.5,34,0.0
2020-01-02T21:00,15.6,93,14.6,7.6,93,0.00,1013.5,26,0.0
2020-01-02T22:00,15.1,94,14.1,6.9,99,0.00,1013.1,41,0.0
2020-01-02T23:00,14.2,96,13.5,6.0,147,0.00,1013.2,90,0.0
2020-01-03T00:00,14.7,95,14.0,6.4,153,0.00,1012.9,67,0.0
2020-01-03T01:00,13.9,96,13.3,5.5,113,0.00,1012.5,68,0.0
2020-01-03T02:00,14.2,95,13.4,6.5,90,0.00,1011.5,38,0.0
2020-01-03T03:00,13.9,95,13.1,7.0,102,0.00,1010.9,49,0.0
2020-01-03T04:00,12.9,96,12.3,7.2,117,0.00,1010.8,91,0.0
2020-01-03T05:00,13.4,96,12.8,3.8,73,0.00,1010.5,54,0.0
2020-01-03T06:00,12.6,97,12.2,6.2,69,0.00,1010.8,55,0.0
2020-01-03T07:00,14.3,95,13.4,9.4,122,0.00,1011.5,58,26.0
2020-01-03T08:00,16.1,89,14.4,5.2,164,0.00,1012.6,39,128.0
2020-01-03T09:00,18.1,80,14.6,5.4,176,0.00,1013.1,48,272.0
2020-01-03T10:00,18.8,75,14.2,8.0,172,0.90,1012.5,72,293.0
2020-01-03T11:00,19.2,72,14.0,3.7,191,0.10,1011.6,78,319.0
2020-01-03T12:00,18.9,78,14.9,4.3,185,2.20,1010.6,63,349.0
2020-01-03T13:00,19.0,79,15.3,2.6,34,1.30,1009.5,68,362.0
2020-01-03T14:00,18.9,80,15.4,6.2,54,1.00,1008.8,99,294.0
2020-01-03T15:00,18.5,82,15.3,5.4,20,0.30,1008.6,55,202.0
