latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.6239,85.108696,56.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),precipitation (mm),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,10.6,92,9.4,5.4,274,0.00,1012.5,59,0.0
2020-01-01T01:00,10.6,94,9.7,6.4,344,0.00,1012.3,98,0.0
2020-01-01T02:00,10.2,96,9.6,6.6,338,0.00,1012.1,99,0.0
2020-01-01T03:00,11.1,94,10.2,5.1,309,0.00,1012.5,99,0.0
2020-01-01T04:00,10.1,96,9.5,5.8,248,0.00,1012.6,100,0.0
2020-01-01T05:00,10.9,95,10.2,5.1,274,0.00,1012.9,99,0.0
2020-01-01T06:00,10.8,96,10.2,5.7,305,0.20,1013.7,100,0.0
2020-01-01T07:00,11.4,96,10.8,3.9,236,0.10,1014.5,93,12.0
2020-01-01T08:00,13.2,89,11.4,2.3,51,0.00,1015.6,90,93.0
2020-01-01T09:00,15.1,85,12.6,4.6,72,0.00,1016.0,71,195.0
2020-01-01T10:00,17.4,78,13.5,7.1,66,0.00,1015.7,69,341.0
2020-01-01T11:00,18.9,71,13.6,4.7,81,0.00,1014.9,57,427.0
2020-01-01T12:00,19.9,66,13.5,2.6,74,0.00,1013.9,53,478.0
2020-01-01T13:00,20.4,64,13.3,2.7,23,0.00,1013.2,59,462.0
2020-01-01T14:00,20.6,63,13.3,2.8,310,0.00,1012.8,26,402.0
2020-01-01T15:00,20.4,64,13.3,5.2,344,0.00,1012.6,77,274.0
2020-01-01T16:00,18.4,79,14.7,4.7,351,0.00,1012.6,84,109.0
2020-01-01T17:00,18.8,72,13.6,3.4,108,0.00,1012.7,79,14.0
2020-01-01T18:00,17.2,79,13.6,4.7,176,0.00,1013.4,94,0.0
2020-01-01T19:00,15.0,88,13.0,6.9,171,0.00,1014.0,79,0.0
2020-01-01T20:00,14.6,90,13.1,7.4,194,0.00,1014.8,96,0.0
2020-01-01T21:00,16.1,85,13.6,3.7,241,0.00,1015.3,97,0.0
2020-01-01T22:00,15.9,86,13.5,3.9,338,0.20,1015.7,95,0.0
2020-01-01T23:00,15.5,88,13.5,1.8,169,0.20,1015.5,95,0.0
2020-01-02T00:00,15.1,90,13.5,1.8,127,0.00,1015.0,96,0.0
2020-01-02T01:00,14.6,93,13.4,2.6,214,0.00,1014.7,91,0.0
2020-01-02T02:00,14.6,93,13.4,1.0,315,0.00,1014.4,98,0.0
2020-01-02T03:00,13.7,95,12.9,5.4,53,0.00,1014.0,88,0.0
2020-01-02T04:00,13.4,97,12.9,6.7,54,0.00,1014.0,76,0.0
2020-01-02T05:00,14.0,95,13.2,4.8,153,0.00,1013.9,53,0.0
2020-01-02T06:00,13.9,95,13.1,5.0,150,0.00,1014.9,22,0.0
2020-01-02T07:00,13.8,97,13.3,5.2,78,0.00,1015.3,14,30.0
2020-01-02T08:00,15.4,93,14.3,6.2,100,0.00,1016.1,31,153.0
2020-01-02T09:00,17.2,86,14.8,8.5,78,0.00,1016.7,18,304.0
2020-01-02T10:00,18.5,79,14.8,8.7,85,0.00,1016.5,37,420.0
2020-01-02T11:00,19.7,72,14.6,8.8,78,0.00,1015.4,47,512.0
2020-01-02T12:00,20.6,67,14.3,8.5,78,0.00,1014.0,26,513.0
2020-01-02T13:00,21.0,65,14.1,8.8,78,0.00,1012.7,41,481.0
2020-01-02T14:00,21.2,65,14.2,9.5,81,0.00,1012.3,57,382.0
