Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,80.30,163.48,30.96,91.48,79.62,NA,NA,1.44,15.95,1.64,8.19,0.97,NA,1.53,1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:00:00,98.35,180.93,23.06,82.46,66.92,NA,NA,1.19,16.16,1.69,8.23,0.99,NA,1.57,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:00:00,104.54,169.24,14.68,75.02,54.59,NA,NA,1.02,14.01,1.71,8.02,1.00,NA,1.58,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 03:00:00,101.27,156.49,11.11,68.16,47.36,NA,NA,0.65,18.64,1.72,8.25,0.99,NA,1.57,1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 04:00:00,83.21,142.16,14.21,71.25,52.11,NA,NA,0.76,18.40,1.70,8.14,1.00,NA,1.62,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 05:00:00,78.98,137.27,15.31,63.32,48.99,NA,NA,0.56,17.26,1.74,8.40,0.97,NA,1.61,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 06:00:00,75.31,127.44,22.59,71.27,60.50,NA,NA,0.76,13.01,1.72,7.94,0.94,NA,1.58,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 07:00:00,81.56,126.43,25.30,73.46,64.38,NA,NA,0.83,13.27,1.72,7.46,0.95,NA,1.60,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 08:00:00,86.98,131.87,9.64,56.17,39.52,NA,NA,0.43,35.87,1.77,8.00,0.97,NA,1.60,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 09:00:00,82.71,121.96,6.48,41.04,28.30,NA,NA,0.37,61.34,1.75,7.70,0.95,NA,1.58,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 10:00:00,71.74,114.13,5.31,29.20,20.84,NA,NA,0.41,86.17,1.72,7.42,0.94,NA,1.58,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 11:00:00,60.15,107.75,4.93,25.53,18.52,NA,NA,0.26,103.33,1.72,7.39,0.89,NA,1.44,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 12:00:00,53.93,96.75,5.91,29.19,21.44,NA,NA,0.29,103.52,1.80,7.48,0.74,NA,1.32,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
