latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.523726,73.95691,570.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
2020-01-01T00:00,16.1,80,12.7,0.00,948.5,0,5.7,252,0.0
2020-01-01T01:00,15.6,82,12.5,0.00,947.9,0,4.8,243,0.0
2020-01-01T02:00,15.1,84,12.3,0.00,947.2,0,3.9,248,0.0
2020-01-01T03:00,14.4,86,12.2,0.00,946.6,0,3.5,246,0.0
2020-01-01T04:00,13.8,89,12.1,0.00,946.7,0,4.4,261,0.0
2020-01-01T05:00,12.9,93,11.7,0.00,946.5,0,2.1,211,0.0
2020-01-01T06:00,13.7,87,11.5,0.00,947.4,0,1.8,217,0.0
2020-01-01T07:00,12.8,93,11.6,0.00,948.8,1,3.3,139,5.0
2020-01-01T08:00,15.2,83,12.4,0.00,950.2,1,3.8,107,110.0
2020-01-01T09:00,19.8,65,13.1,0.00,951.9,0,2.4,27,321.0
2020-01-01T10:00,23.1,55,13.6,0.00,952.5,0,2.9,60,510.0
2020-01-01T11:00,25.7,46,13.4,0.00,951.9,0,3.5,156,652.0
2020-01-01T12:00,27.5,38,12.1,0.00,950.8,0,7.5,215,732.0
2020-01-01T13:00,28.6,36,11.9,0.00,949.7,18,12.3,232,741.0
2020-01-01T14:00,28.7,35,11.6,0.00,948.8,21,15.5,234,579.0
2020-01-01T15:00,28.6,34,11.0,0.00,948.5,19,19.0,237,483.0
2020-01-01T16:00,27.7,36,11.5,0.00,948.6,0,16.7,237,323.0
2020-01-01T17:00,25.9,42,12.0,0.00,949.0,0,11.4,246,169.0
2020-01-01T18:00,23.0,53,12.8,0.00,949.4,0,9.6,257,19.0
2020-01-01T19:00,21.6,58,13.0,0.00,950.3,0,9.3,257,0.0
2020-01-01T20:00,20.3,63,13.0,0.00,951.1,0,8.6,255,0.0
2020-01-01T21:00,19.1,68,13.0,0.00,951.4,0,7.1,246,0.0
2020-01-01T22:00,18.3,72,13.1,0.00,951.5,0,5.6,243,0.0
2020-01-01T23:00,17.6,75,13.1,0.00,951.0,0,4.8,243,0.0
2020-01-02T00:00,16.8,79,13.0,0.00,950.2,0,5.2,254,0.0
2020-01-02T01:00,16.1,81,12.9,0.00,949.5,0,6.6,248,0.0
2020-01-02T02:00,15.7,82,12.6,0.00,948.9,0,8.6,248,0.0
2020-01-02T03:00,15.7,80,12.3,0.00,948.6,0,8.3,252,0.0
2020-01-02T04:00,15.6,79,11.9,0.00,948.5,0,6.9,242,0.0
2020-01-02T05:00,16.7,79,13.0,0.00,949.8,1,2.5,180,0.0
