Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,71.5,,2.53,29.42,17.73,10.6,8.48,1.14,63.62,5.18,7.42,1.45,,,,17.27,75.0,2.98,252.5,0.0,0.0,7.0,762.5,
2020-01-01 01:00:00,74.0,,3.18,26.0,16.42,11.45,8.95,1.17,77.12,4.85,6.45,1.27,,,,17.2,75.0,2.35,240.75,0.0,0.0,7.0,762.0,
2020-01-01 02:00:00,66.0,,1.42,23.05,13.42,12.75,9.38,1.14,88.8,4.62,5.0,1.08,,,,16.98,75.0,2.12,201.25,0.0,0.0,7.0,761.5,
2020-01-01 03:00:00,66.25,,2.7,18.75,12.18,14.42,9.8,1.06,79.32,4.75,4.7,0.85,,,,16.98,75.75,2.17,239.5,0.0,0.0,7.0,761.0,
2020-01-01 04:00:00,65.25,,2.62,15.77,10.5,10.7,9.32,1.01,82.12,4.03,3.58,0.6,,,,16.98,75.0,2.45,220.0,0.0,0.0,7.0,761.25,
2020-01-01 05:00:00,63.5,,2.08,19.38,11.95,10.48,8.4,1.02,73.3,4.03,3.25,0.43,,,,17.02,75.5,2.72,239.0,0.0,0.0,7.0,762.0,
2020-01-01 06:00:00,73.5,,2.92,23.08,14.68,10.42,7.8,1.0,73.42,4.22,3.65,0.57,,,,16.92,76.0,2.97,223.0,0.0,0.0,9.0,762.5,
2020-01-01 07:00:00,72.75,,2.48,29.92,17.92,10.75,8.07,1.05,62.35,4.47,4.05,0.62,,,,17.58,74.75,3.25,224.5,0.0,0.0,50.75,764.5,
2020-01-01 08:00:00,73.0,,3.18,29.67,18.35,10.62,7.95,1.1,61.15,4.7,4.5,0.78,,,,19.85,71.0,3.02,224.5,0.0,0.0,171.25,765.25,
2020-01-01 09:00:00,67.0,,3.75,30.62,19.35,11.58,8.02,1.12,50.75,5.1,5.52,1.05,,,,21.88,67.75,3.32,203.75,0.0,0.0,272.0,766.0,
2020-01-01 10:00:00,68.0,129.0,4.12,36.38,22.65,14.88,8.25,1.13,50.35,5.72,7.98,1.35,,,,23.62,65.5,3.5,215.5,0.0,0.0,361.75,766.0,
2020-01-01 11:00:00,71.0,129.0,4.25,32.95,21.0,17.05,9.6,1.08,62.9,5.98,10.65,1.75,,,,24.95,64.5,3.3,159.25,0.0,0.0,315.75,765.25,
2020-01-01 12:00:00,64.5,112.0,3.45,28.17,17.77,12.1,8.18,1.17,78.7,5.18,7.05,1.6,,,,24.28,66.75,3.35,127.75,0.0,0.0,194.25,763.75,
2020-01-01 13:00:00,60.0,,3.62,29.92,18.88,10.07,7.18,1.2,80.03,4.95,6.38,1.6,,,,23.02,69.0,2.98,123.25,0.0,0.0,203.5,762.5,
2020-01-01 14:00:00,65.0,,2.38,24.3,14.9,10.95,7.25,1.16,74.1,4.97,5.5,1.48,,,,22.68,71.0,3.42,145.25,0.0,0.0,134.0,762.0,
2020-01-01 15:00:00,66.25,114.75,2.25,24.7,14.98,11.25,6.75,1.17,95.98,4.6,4.6,1.2,,,,20.9,75.0,3.78,102.5,0.0,0.0,51.75,762.0,
2020-01-01 16:00:00,69.75,119.75,2.58,24.9,15.32,11.4,7.1,1.12,89.07,4.47,5.0,1.1,,,,20.08,77.25,3.42,131.0,0.0,0.0,34.0,762.0,
2020-01-01 17:00:00,64.25,101.75,1.98,26.08,15.48,10.95,7.7,1.13,70.9,4.4,4.7,1.02,,,,19.8,79.5,3.1,140.0,0.0,0.0,8.0,763.0,
2020-01-01 18:00:00,55.0,85.25,3.32,28.05,17.62,11.15,9.2,1.24,76.18,4.8,5.68,1.45,,,,19.6,79.25,3.02,144.0,0.0,0.0,7.0,764.5,
2020-01-01 19:00:00,68.0,108.25,2.25,28.72,17.15,11.02,8.48,1.26,68.5,4.95,5.25,1.32,,,,19.7,78.0,3.25,153.5,0.0,0.0,7.0,765.75,
2020-01-01 20:00:00,62.0,103.0,3.28,37.45,22.58,11.05,7.92,1.36,70.38,5.22,6.0,1.48,,,,19.62,77.0,3.08,215.5,0.0,0.0,7.0,767.0,
2020-01-01 21:00:00,68.0,113.0,3.12,35.55,21.5,10.9,8.35,1.35,61.88,5.58,10.68,1.98,,,,19.27,77.0,2.62,209.5,0.0,0.0,7.0,768.0,
2020-01-01 22:00:00,54.0,87.0,2.55,30.9,18.53,10.58,7.5,1.22,56.85,4.8,8.62,1.6,,,,19.4,79.25,2.0,190.5,0.0,0.0,7.0,767.25,
2020-01-01 23:00:00,31.0,53.25,2.52,12.28,8.6,8.57,5.82,0.93,56.42,2.55,5.15,0.85,,,,19.88,81.0,3.18,149.25,0.0,0.0,7.0,766.5,
2020-01-02 00:00:00,19.5,37.5,2.12,12.2,8.25,10.1,7.9,0.84,75.4,2.45,1.7,0.18,,,,18.58,82.0,2.75,173.75,0.0,0.0,7.0,765.75,
2020-01-02 01:00:00,41.0,69.25,2.33,15.45,10.12,11.18,8.22,0.81,64.4,3.22,5.85,0.02,,,,17.5,80.75,2.95,233.25,0.0,0.0,7.0,765.0,
2020-01-02 02:00:00,48.0,70.5,2.68,15.48,10.4,12.45,9.43,0.83,57.75,3.6,10.48,0.22,,,,17.23,79.25,2.95,219.75,0.0,0.0,7.0,763.5,
2020-01-02 03:00:00,51.25,71.75,2.3,13.5,9.05,14.62,9.3,0.82,58.88,4.03,10.55,0.02,,,,17.05,78.0,2.95,206.5,0.0,0.0,7.0,763.25,
2020-01-02 04:00:00,51.25,71.25,1.48,14.95,9.15,10.3,9.93,0.82,61.62,4.1,9.68,0.08,,,,17.45,74.25,3.05,198.75,0.0,0.0,7.0,764.5,
2020-01-02 05:00:00,50.0,70.25,2.38,17.65,11.3,9.18,8.75,0.81,62.9,4.1,5.15,0.05,,,,17.5,74.0,3.05,224.25,0.0,0.0,7.0,764.5,
2020-01-02 06:00:00,51.25,67.5,2.0,20.45,12.48,9.45,8.17,0.88,69.82,3.45,3.0,0.2,,,,18.08,73.0,2.47,164.5,0.0,0.0,7.5,766.25,
2020-01-02 07:00:00,47.25,76.5,2.97,19.05,12.52,10.38,8.55,0.91,67.9,4.05,6.43,0.35,,,,18.32,73.25,2.85,133.5,0.0,0.0,26.5,767.5,
2020-01-02 08:00:00,50.75,83.75,2.6,22.65,14.18,10.12,8.95,0.98,60.85,4.18,5.18,0.43,,,,18.77,70.75,2.98,140.75,0.0,0.0,78.5,768.75,
2020-01-02 09:00:00,50.0,95.5,3.35,26.08,16.58,12.02,8.75,1.0,63.9,4.4,4.3,0.88,,,,20.02,67.25,2.92,154.0,0.0,0.0,138.25,769.0,
2020-01-02 10:00:00,50.25,108.75,5.3,37.47,24.2,14.97,10.15,1.19,54.0,4.92,5.92,1.32,,,,21.9,65.75,2.98,196.75,0.0,0.0,311.5,768.75,
2020-01-02 11:00:00,51.0,117.0,4.5,25.7,17.3,16.2,7.8,1.09,51.0,5.05,10.6,1.45,,,,23.55,64.5,3.4,170.5,0.0,0.0,348.0,763.5,
2020-01-02 12:00:00,48.5,102.0,3.15,28.35,17.6,10.05,10.2,1.05,58.65,4.5,6.0,1.25,,,,22.7,66.0,3.55,166.5,0.0,0.0,187.5,764.5,
2020-01-02 13:00:00,45.25,103.5,3.95,34.12,21.4,9.95,10.85,1.15,58.75,4.78,6.78,1.65,,,,22.3,68.75,2.98,187.75,0.0,0.0,166.0,763.75,
2020-01-02 14:00:00,49.0,96.0,4.12,34.62,21.75,9.85,10.75,1.18,66.28,4.65,6.72,1.8,,,,22.15,70.25,2.5,196.25,0.0,0.0,116.0,763.0,
2020-01-02 15:00:00,49.5,99.0,4.18,40.2,24.78,10.65,13.4,1.2,56.08,5.38,10.18,2.1,,,,22.12,69.5,2.7,219.5,0.0,0.0,107.0,762.5,
2020-01-02 16:00:00,52.25,103.25,2.25,30.32,17.9,10.85,13.85,1.13,71.4,5.35,12.08,2.12,,,,21.38,71.5,2.72,144.0,0.0,0.0,44.0,762.0,
2020-01-02 17:00:00,47.75,99.0,2.75,42.38,24.75,11.4,15.35,1.27,55.72,5.05,8.8,1.68,,,,20.6,73.75,2.6,167.75,0.0,0.0,8.25,762.25,
