Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,857.50,660.00,146.40,44.90,143.20,89.40,12.08,5.40,67.12,13.78,NA,NA,NA,NA,NA,7.50,93.30,0.30,57.75,NA,0.00,8.88,986.90,NA
2020-01-01 01:00:00,472.75,623.50,102.08,41.50,105.30,84.22,5.62,2.90,65.32,10.00,NA,NA,NA,NA,NA,7.28,94.88,0.30,65.75,NA,0.00,8.93,986.90,NA
2020-01-01 02:00:00,384.75,485.75,47.78,40.15,60.32,75.38,0.80,2.18,64.68,6.82,NA,NA,NA,NA,NA,7.07,93.88,0.30,68.25,NA,0.00,8.85,986.90,NA
2020-01-01 03:00:00,334.50,407.00,124.20,26.95,115.60,55.22,1.75,2.50,63.72,4.80,NA,NA,NA,NA,NA,6.85,95.57,0.30,116.00,NA,0.00,8.85,986.90,NA
2020-01-01 04:00:00,362.75,464.00,220.85,17.30,216.25,47.97,5.62,3.42,38.42,5.40,NA,NA,NA,NA,NA,6.82,97.05,0.30,176.50,NA,0.00,8.85,986.90,NA
2020-01-01 05:00:00,403.25,565.00,NA,12.10,262.95,47.05,7.65,4.12,55.58,6.75,NA,NA,NA,NA,NA,6.80,97.35,0.30,201.25,NA,0.00,9.00,986.90,NA
2020-01-01 06:00:00,396.50,530.75,NA,17.77,251.10,31.65,9.45,4.40,71.05,7.65,NA,NA,NA,NA,NA,6.72,97.48,0.30,69.75,NA,0.00,9.05,986.90,NA
2020-01-01 07:00:00,420.00,605.25,NA,32.05,NA,46.50,14.12,4.97,56.10,8.50,NA,NA,NA,NA,NA,6.80,97.45,0.30,163.25,NA,0.00,163.90,986.90,NA
2020-01-01 08:00:00,447.25,683.75,204.70,77.05,252.52,83.20,10.38,4.30,63.25,9.02,NA,NA,NA,NA,NA,7.60,93.90,0.30,144.50,NA,0.00,417.45,986.90,NA
2020-01-01 09:00:00,420.25,596.50,78.20,80.38,106.48,80.92,6.78,2.80,66.90,8.02,NA,NA,NA,NA,NA,9.02,71.32,0.78,88.25,NA,0.00,446.32,986.90,NA
2020-01-01 10:00:00,338.75,483.50,26.75,74.15,61.28,62.70,10.50,NA,63.62,5.48,NA,NA,NA,NA,NA,10.22,60.10,1.72,81.75,NA,0.00,455.15,986.90,NA
