latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.787346,77.14286,211.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,6.9,2.3,39,4.9,0.00,87,994.8,28,0.0
2020-01-01T01:00,6.1,2.7,23,4.8,0.00,92,994.5,71,0.0
2020-01-01T02:00,5.3,4.2,31,4.8,0.00,97,994.2,82,0.0
2020-01-01T03:00,4.2,5.2,25,4.1,0.00,100,994.1,100,0.0
2020-01-01T04:00,2.8,6.6,22,2.8,0.00,100,994.0,100,0.0
2020-01-01T05:00,3.2,6.9,9,2.8,0.00,97,994.2,100,0.0
2020-01-01T06:00,2.4,8.0,18,2.0,0.00,97,994.8,60,0.0
2020-01-01T07:00,2.6,7.2,37,2.2,0.00,97,995.7,40,1.0
2020-01-01T08:00,5.9,9.4,50,4.0,0.00,87,996.9,45,79.0
2020-01-01T09:00,9.3,7.7,62,5.3,0.00,76,997.8,83,241.0
2020-01-01T10:00,12.2,8.5,78,6.2,0.00,67,998.1,89,395.0
2020-01-01T11:00,14.4,9.7,105,6.4,0.00,59,997.8,91,498.0
2020-01-01T12:00,15.7,10.6,125,6.8,0.00,55,996.9,93,547.0
2020-01-01T13:00,16.8,9.2,121,7.4,0.00,54,996.0,93,553.0
2020-01-01T14:00,17.6,8.1,111,8.1,0.00,54,995.4,93,466.0
2020-01-01T15:00,17.8,7.7,101,8.6,0.00,55,995.0,96,340.0
2020-01-01T16:00,17.0,5.1,82,10.4,0.00,65,995.0,95,177.0
2020-01-01T17:00,12.5,9.8,54,9.6,0.00,83,995.0,94,48.0
2020-01-01T18:00,11.6,8.8,35,9.1,0.00,85,995.5,93,0.0
2020-01-01T19:00,10.9,8.2,41,8.7,0.00,87,996.1,90,0.0
2020-01-01T20:00,10.1,8.7,52,8.2,0.00,88,996.7,86,0.0
2020-01-01T21:00,9.8,8.7,48,7.9,0.00,88,996.7,85,0.0
2020-01-01T22:00,8.9,9.7,31,7.4,0.00,90,996.8,92,0.0
2020-01-01T23:00,8.7,8.2,41,7.1,0.00,90,996.5,85,0.0
2020-01-02T00:00,8.9,8.1,77,7.2,0.00,89,996.4,84,0.0
2020-01-02T01:00,8.6,7.8,68,6.6,0.00,88,996.0,76,0.0
2020-01-02T02:00,8.6,8.8,71,6.5,0.00,87,995.9,66,0.0
2020-01-02T03:00,8.2,8.2,75,6.2,0.00,88,995.2,61,0.0
2020-01-02T04:00,8.0,8.4,83,6.2,0.00,88,995.2,56,0.0
2020-01-02T05:00,7.0,7.5,73,5.4,0.00,90,995.0,47,0.0
2020-01-02T06:00,6.9,7.8,77,5.4,0.00,90,995.5,46,0.0
2020-01-02T07:00,7.2,7.6,87,5.7,0.00,90,996.2,48,1.0
2020-01-02T08:00,9.7,9.0,88,7.2,0.00,84,997.3,30,77.0
2020-01-02T09:00,12.5,7.6,87,8.6,0.00,77,998.3,24,235.0
2020-01-02T10:00,15.2,6.2,83,9.8,0.00,70,998.9,32,387.0
2020-01-02T11:00,17.2,8.5,78,10.4,0.00,64,998.0,17,508.0
2020-01-02T12:00,18.7,10.1,84,10.8,0.00,60,996.8,8,574.0
2020-01-02T13:00,19.4,9.4,83,10.9,0.00,58,995.6,17,548.0
2020-01-02T14:00,19.6,10.4,76,10.8,0.00,57,994.5,18,462.0
2020-01-02T15:00,19.2,11.8,70,10.7,0.00,58,993.9,23,331.0
2020-01-02T16:00,18.2,9.3,62,11.4,0.00,65,994.0,25,188.0
2020-01-02T17:00,16.2,7.4,29,11.8,0.00,75,993.8,20,49.0
2020-01-02T18:00,14.8,6.9,39,11.5,0.00,81,994.0,30,0.0
2020-01-02T19:00,13.9,6.9,51,11.3,0.00,84,994.5,26,0.0
2020-01-02T20:00,13.4,7.6,59,11.1,0.00,86,995.0,22,0.0
2020-01-02T21:00,13.2,8.3,72,10.7,0.00,85,995.3,25,0.0
2020-01-02T22:00,12.6,8.6,75,10.4,0.00,87,995.3,23,0.0
2020-01-02T23:00,12.0,9.8,82,10.0,0.00,88,995.5,19,0.0
2020-01-03T00:00,11.2,7.6,85,9.3,0.00,88,995.4,18,0.0
2020-01-03T01:00,10.5,6.8,93,8.9,0.00,90,994.9,20,0.0
2020-01-03T02:00,9.7,8.8,109,8.2,0.00,90,994.4,18,0.0
2020-01-03T03:00,9.2,7.2,53,7.9,0.00,92,993.8,13,0.0
2020-01-03T04:00,9.0,5.8,30,8.1,0.00,94,993.7,7,0.0
2020-01-03T05:00,9.4,5.6,50,8.6,0.00,95,993.4,5,0.0
2020-01-03T06:00,8.4,7.4,43,7.9,0.00,97,993.8,8,0.0
2020-01-03T07:00,8.0,8.6,57,7.6,0.00,97,994.3,11,1.0
2020-01-03T08:00,10.7,3.9,34,9.5,0.00,92,995.5,4,73.0
2020-01-03T09:00,13.5,1.4,270,10.9,0.00,85,996.0,0,234.0
2020-01-03T10:00,15.7,1.8,11,11.4,0.00,75,996.1,0,393.0
2020-01-03T11:00,17.2,5.1,39,11.7,0.00,70,995.1,0,509.0
2020-01-03T12:00,18.2,5.0,21,11.9,0.00,67,994.1,0,566.0
2020-01-03T13:00,18.9,5.8,356,11.6,0.00,63,993.0,13,561.0
2020-01-03T14:00,19.0,7.4,346,11.5,0.00,62,992.1,16,453.0
2020-01-03T15:00,18.8,7.3,349,11.6,0.00,63,992.0,8,327.0
2020-01-03T16:00,18.1,5.6,345,12.3,0.00,69,991.9,3,183.0
2020-01-03T17:00,16.7,5.2,34,12.0,0.00,74,991.5,3,54.0
2020-01-03T18:00,15.0,6.4,16,11.7,0.00,80,992.0,2,0.0
2020-01-03T19:00,15.8,5.2,344,11.4,0.00,75,992.6,4,0.0
2020-01-03T20:00,15.3,2.1,211,11.1,0.00,76,993.1,7,0.0
2020-01-03T21:00,15.1,2.8,140,10.9,0.00,76,993.5,10,0.0
2020-01-03T22:00,11.7,7.0,102,9.9,0.00,89,993.4,11,0.0
2020-01-03T23:00,11.1,6.5,90,9.8,0.00,92,993.3,6,0.0
2020-01-04T00:00,11.1,8.0,95,10.2,0.00,94,993.3,24,0.0
2020-01-04T01:00,10.0,7.7,152,9.5,0.00,96,992.8,24,0.0
2020-01-04T02:00,9.5,9.2,132,9.0,0.00,97,992.1,8,0.0
2020-01-04T03:00,10.3,8.0,80,9.7,0.00,96,992.3,20,0.0
2020-01-04T04:00,9.3,6.8,180,8.9,0.00,97,991.5,19,0.0
2020-01-04T05:00,8.5,6.4,207,8.3,0.00,99,991.7,37,0.0
2020-01-04T06:00,9.8,3.3,276,9.3,0.00,97,992.4,36,0.0
2020-01-04T07:00,9.6,3.3,276,9.2,0.00,97,992.6,37,1.0
2020-01-04T08:00,10.2,2.9,210,9.7,0.00,97,993.6,35,66.0
2020-01-04T09:00,12.4,2.9,180,10.8,0.00,90,994.6,39,194.0
2020-01-04T10:00,14.6,2.9,180,11.7,0.00,82,994.6,36,320.0
2020-01-04T11:00,16.3,2.6,214,12.1,0.00,76,993.9,23,432.0
2020-01-04T12:00,17.5,3.4,252,12.1,0.00,71,993.0,4,500.0
2020-01-04T13:00,18.4,5.2,282,11.9,0.00,66,991.9,10,533.0
2020-01-04T14:00,18.8,6.0,303,11.6,0.00,63,991.3,22,470.0
2020-01-04T15:00,18.6,8.0,324,10.6,0.00,59,991.0,41,312.0
2020-01-04T16:00,17.7,6.8,342,11.0,0.10,65,990.9,16,179.0
2020-01-04T17:00,17.1,5.4,8,10.1,0.00,63,990.7,9,54.0
2020-01-04T18:00,16.2,5.2,25,10.1,0.00,67,991.3,6,0.0
2020-01-04T19:00,14.6,5.5,23,10.2,0.00,75,991.8,17,0.0
2020-01-04T20:00,13.1,5.6,15,10.0,0.00,81,992.5,17,0.0
2020-01-04T21:00,10.5,7.8,326,9.2,0.00,92,993.1,94,0.0
2020-01-04T22:00,11.7,6.8,357,9.7,0.00,88,993.6,83,0.0
2020-01-04T23:00,11.9,7.7,11,8.8,0.00,81,993.4,0,0.0
2020-01-05T00:00,10.0,7.6,3,8.0,0.00,87,993.2,0,0.0
2020-01-05T01:00,9.0,8.4,353,7.3,0.00,89,992.6,0,0.0
2020-01-05T02:00,8.8,8.1,347,7.2,0.00,90,992.2,17,0.0
2020-01-05T03:00,8.1,10.0,334,6.7,0.00,91,991.8,33,0.0
2020-01-05T04:00,8.5,8.0,306,7.0,0.00,91,991.7,21,0.0
2020-01-05T05:00,7.4,6.6,283,6.6,0.00,94,991.7,6,0.0
2020-01-05T06:00,7.2,4.9,253,6.4,0.00,95,992.1,0,0.0
2020-01-05T07:00,7.2,8.0,252,6.5,0.00,95,992.7,0,1.0
2020-01-05T08:00,9.8,11.0,259,7.9,0.00,88,993.8,0,77.0
2020-01-05T09:00,12.8,8.6,268,9.2,0.00,79,994.7,0,240.0
2020-01-05T10:00,15.2,10.5,266,9.8,0.00,70,995.2,0,400.0
2020-01-05T11:00,17.1,10.9,278,9.5,0.00,61,994.4,31,518.0
2020-01-05T12:00,18.4,10.8,285,9.1,0.00,54,992.8,31,577.0
2020-01-05T13:00,19.1,11.8,290,8.7,0.00,51,991.7,0,580.0
2020-01-05T14:00,19.3,12.9,297,8.6,0.00,50,991.2,61,507.0
2020-01-05T15:00,18.8,13.0,304,8.5,0.00,51,991.3,89,292.0
2020-01-05T16:00,17.5,9.3,324,9.8,0.00,60,991.5,79,115.0
2020-01-05T17:00,15.6,7.1,330,10.0,0.00,69,992.4,59,31.0
2020-01-05T18:00,15.3,8.7,330,9.6,0.00,69,993.3,98,0.0
2020-01-05T19:00,14.6,6.2,339,9.6,0.00,72,993.2,65,0.0
2020-01-05T20:00,13.8,5.8,330,9.6,0.00,76,993.9,55,0.0
2020-01-05T21:00,12.1,8.3,326,9.4,0.00,84,994.1,68,0.0
2020-01-05T22:00,11.4,7.3,327,9.2,0.00,86,994.2,98,0.0
2020-01-05T23:00,11.9,5.5,328,9.4,0.00,85,994.3,79,0.0
2020-01-06T00:00,11.4,6.5,357,9.2,0.00,87,994.2,50,0.0
2020-01-06T01:00,9.8,7.5,17,8.4,0.00,91,993.6,88,0.0
2020-01-06T02:00,11.6,5.2,335,8.4,0.00,81,994.0,85,0.0
2020-01-06T03:00,10.3,3.0,256,8.5,0.00,89,993.7,80,0.0
2020-01-06T04:00,9.9,4.0,280,8.3,0.00,89,993.0,100,0.0
2020-01-06T05:00,9.8,4.2,290,8.7,0.00,93,992.7,94,0.0
2020-01-06T06:00,10.0,3.8,287,8.9,0.00,93,992.9,91,0.0
2020-01-06T07:00,10.3,4.8,283,8.8,0.00,90,993.5,99,1.0
2020-01-06T08:00,12.2,7.9,300,8.9,0.00,80,994.3,94,46.0
2020-01-06T09:00,14.1,6.6,331,8.8,0.00,70,995.4,84,140.0
2020-01-06T10:00,15.3,5.2,326,8.6,0.00,64,995.9,97,238.0
2020-01-06T11:00,15.3,5.2,348,8.5,0.00,64,995.4,100,173.0
2020-01-06T12:00,14.9,4.8,13,8.8,0.00,67,994.3,97,98.0
2020-01-06T13:00,15.8,7.3,33,9.0,0.00,64,993.3,97,257.0
2020-01-06T14:00,16.1,7.1,45,9.3,0.00,64,993.0,100,213.0
2020-01-06T15:00,16.0,7.1,49,9.4,0.00,65,993.1,100,128.0
2020-01-06T16:00,15.6,6.6,49,9.9,0.00,69,993.3,100,95.0
2020-01-06T17:00,13.6,7.4,47,10.4,0.00,81,993.5,100,22.0
2020-01-06T18:00,13.0,8.7,66,10.6,0.00,85,993.8,99,0.0
2020-01-06T19:00,12.7,10.0,60,10.6,0.00,87,994.1,100,0.0
2020-01-06T20:00,12.7,11.0,58,10.7,0.00,88,994.2,82,0.0
2020-01-06T21:00,12.1,7.7,62,10.6,0.00,91,994.3,100,0.0
2020-01-06T22:00,11.2,6.5,84,10.2,0.00,94,994.3,99,0.0
2020-01-06T23:00,11.6,6.2,100,10.2,0.00,91,994.1,100,0.0
2020-01-07T00:00,12.0,8.0,98,10.0,0.00,87,993.3,100,0.0
2020-01-07T01:00,12.1,7.4,104,9.7,0.00,86,992.8,99,0.0
2020-01-07T02:00,12.0,6.8,108,9.6,0.00,86,992.4,99,0.0
