Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,472.00,655.50,272.20,32.02,238.45,68.57,12.80,6.05,8.73,22.40,78.40,NA,NA,NA,NA,4.18,95.20,0.30,139.52,0.00,0.00,4.25,995.32,NA
2020-01-01 01:00:00,516.50,700.50,269.45,26.30,234.12,61.90,12.85,5.95,8.05,26.80,84.35,NA,NA,NA,NA,4.07,95.20,0.30,140.02,0.00,0.00,4.28,995.20,NA
2020-01-01 02:00:00,515.50,695.50,243.88,30.35,215.10,65.10,13.78,5.18,8.28,NA,NA,NA,NA,NA,NA,4.25,95.20,0.30,140.90,0.00,0.00,4.25,995.22,NA
2020-01-01 03:00:00,479.50,648.00,158.65,21.02,140.12,61.05,11.28,4.68,7.40,25.20,79.20,NA,NA,NA,NA,3.03,95.20,0.30,140.72,0.00,0.00,4.08,995.15,NA
2020-01-01 04:00:00,440.50,570.00,157.82,22.02,140.55,55.08,11.00,4.20,6.60,NA,NA,NA,NA,NA,NA,2.75,95.20,0.30,140.70,0.00,0.00,3.72,995.28,NA
2020-01-01 05:00:00,417.50,529.00,143.02,19.12,126.48,53.50,10.25,3.65,5.78,22.20,69.40,NA,NA,NA,NA,2.35,95.20,0.30,140.70,0.00,0.00,3.72,995.47,NA
2020-01-01 06:00:00,388.00,499.50,188.60,20.85,165.30,53.90,10.62,3.32,6.02,20.55,62.80,NA,NA,NA,NA,2.48,95.20,0.30,140.70,0.00,0.00,4.22,996.22,NA
2020-01-01 07:00:00,368.50,483.00,146.73,19.65,115.38,50.15,10.30,2.97,36.83,19.28,54.95,NA,NA,NA,NA,2.88,95.20,0.30,188.20,0.00,0.00,29.00,997.08,NA
2020-01-01 08:00:00,384.25,525.50,146.95,52.30,147.60,60.85,12.12,3.08,52.50,17.73,51.15,NA,NA,NA,NA,5.85,95.22,0.30,205.15,0.00,0.00,76.53,998.12,NA
2020-01-01 09:00:00,426.75,564.50,55.00,128.80,113.15,65.25,12.92,2.25,41.18,14.95,50.92,NA,NA,NA,NA,10.92,74.82,2.20,131.75,0.00,0.00,140.65,999.10,NA
2020-01-01 10:00:00,315.50,453.00,17.77,75.43,54.70,69.45,18.85,1.40,30.38,7.87,30.20,NA,NA,NA,NA,14.55,49.80,3.78,124.72,0.00,0.00,238.05,999.42,NA
2020-01-01 11:00:00,240.25,316.50,6.32,44.97,29.05,66.50,22.72,0.92,30.42,6.05,23.12,NA,NA,NA,NA,16.45,45.68,4.70,129.65,0.00,0.00,336.67,998.85,NA
2020-01-01 12:00:00,177.50,238.00,4.60,31.98,20.75,59.90,21.82,0.70,44.40,4.08,8.68,NA,NA,NA,NA,17.88,44.32,3.68,131.55,0.00,0.00,356.40,997.82,NA
2020-01-01 13:00:00,141.75,189.50,3.68,31.05,19.55,57.90,20.30,0.75,52.92,3.72,6.92,NA,NA,NA,NA,18.25,44.95,3.75,121.42,0.00,0.00,295.82,996.95,NA
2020-01-01 14:00:00,135.75,192.00,3.55,31.78,19.80,56.48,19.38,0.75,58.40,4.20,9.62,NA,NA,NA,NA,18.55,44.88,3.80,129.38,0.00,0.00,230.95,996.50,NA
2020-01-01 15:00:00,134.50,189.00,2.80,28.18,17.27,54.35,19.60,0.82,58.97,3.10,7.45,NA,NA,NA,NA,17.92,49.05,3.78,120.68,0.00,0.00,135.30,996.42,NA
