latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.576448,77.18678,207.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,7.7,3.9,158,4.1,0.00,78,995.2,34,0.0
2020-01-01T01:00,7.2,2.6,34,4.2,0.00,81,994.9,76,0.0
2020-01-01T02:00,6.5,5.0,21,4.7,0.00,89,994.7,81,0.0
2020-01-01T03:00,3.7,6.8,18,3.6,0.00,100,994.3,81,0.0
2020-01-01T04:00,2.9,8.2,29,2.9,0.00,100,994.4,100,0.0
2020-01-01T05:00,3.3,8.1,32,3.0,0.00,98,994.6,100,0.0
2020-01-01T06:00,3.1,8.0,27,2.7,0.00,98,995.2,44,0.0
2020-01-01T07:00,3.1,6.4,38,2.9,0.00,98,996.0,28,2.0
2020-01-01T08:00,6.0,9.4,50,4.3,0.00,89,997.3,47,78.0
2020-01-01T09:00,9.4,8.2,67,5.2,0.00,75,998.3,80,227.0
2020-01-01T10:00,12.1,8.7,85,5.4,0.00,64,998.6,88,363.0
2020-01-01T11:00,14.3,11.1,115,5.4,0.00,55,998.3,88,480.0
2020-01-01T12:00,15.9,9.7,117,6.1,0.00,52,997.3,91,549.0
2020-01-01T13:00,17.1,9.4,113,7.2,0.00,52,996.3,92,528.0
2020-01-01T14:00,17.6,9.2,111,7.9,0.00,53,995.7,96,431.0
2020-01-01T15:00,17.7,8.6,105,8.2,0.00,54,995.4,93,311.0
2020-01-01T16:00,17.0,5.8,86,9.2,0.00,60,995.4,92,178.0
2020-01-01T17:00,13.1,9.5,81,9.5,0.00,79,995.5,87,48.0
2020-01-01T18:00,12.4,8.9,76,9.2,0.00,81,996.1,90,0.0
2020-01-01T19:00,10.9,10.6,66,8.7,0.00,86,996.4,84,0.0
2020-01-01T20:00,10.8,8.3,56,8.7,0.00,87,997.1,81,0.0
2020-01-01T21:00,10.6,8.4,50,8.6,0.00,87,997.2,86,0.0
2020-01-01T22:00,9.3,12.0,44,7.6,0.00,89,997.2,88,0.0
2020-01-01T23:00,9.5,7.7,79,7.8,0.00,89,997.2,80,0.0
2020-01-02T00:00,9.4,8.4,70,7.6,0.00,89,996.7,65,0.0
