latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.576448,77.28929,206.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,7.3,2.6,146,6.9,0.00,97,995.4,34,0.0
2020-01-01T01:00,6.7,1.8,11,6.7,0.00,100,995.0,100,0.0
2020-01-01T02:00,5.1,4.2,20,5.2,0.00,100,994.7,100,0.0
2020-01-01T03:00,3.0,6.4,16,3.1,0.00,100,994.5,100,0.0
2020-01-01T04:00,2.4,7.4,14,2.4,0.00,100,994.5,100,0.0
2020-01-01T05:00,3.1,7.3,11,3.1,0.00,100,994.7,100,0.0
2020-01-01T06:00,2.6,7.6,8,2.6,0.00,100,995.3,98,0.0
2020-01-01T07:00,2.8,5.6,27,2.7,0.00,100,996.2,99,2.0
2020-01-01T08:00,5.7,8.7,42,4.3,0.00,91,997.4,54,78.0
2020-01-01T09:00,9.3,7.2,63,5.2,0.00,76,998.4,82,227.0
2020-01-01T10:00,12.1,7.9,87,5.6,0.00,64,998.7,91,356.0
2020-01-01T11:00,14.4,10.3,119,5.8,0.00,56,998.4,88,485.0
2020-01-01T12:00,16.0,9.0,113,6.5,0.00,53,997.3,93,556.0
2020-01-01T13:00,17.2,8.6,112,7.5,0.00,53,996.3,91,526.0
2020-01-01T14:00,17.8,8.1,111,8.1,0.00,53,995.9,94,438.0
2020-01-01T15:00,17.9,7.8,103,8.3,0.00,53,995.5,92,327.0
2020-01-01T16:00,16.9,5.4,82,9.6,0.00,62,995.5,92,181.0
2020-01-01T17:00,13.8,7.9,74,9.5,0.00,76,995.5,88,48.0
2020-01-01T18:00,13.1,7.4,61,9.2,0.00,77,996.2,92,0.0
2020-01-01T19:00,10.7,10.6,55,8.7,0.00,88,996.5,87,0.0
2020-01-01T20:00,10.4,9.2,45,8.6,0.00,89,997.2,82,0.0
2020-01-01T21:00,10.3,9.0,37,8.5,0.00,89,997.2,85,0.0
2020-01-01T22:00,9.2,11.1,36,7.7,0.00,91,997.2,89,0.0
2020-01-01T23:00,8.6,8.9,76,7.5,0.00,93,997.2,82,0.0
2020-01-02T00:00,8.2,9.2,59,7.0,0.00,92,996.7,70,0.0
2020-01-02T01:00,8.0,8.4,65,6.7,0.00,91,996.5,50,0.0
2020-01-02T02:00,7.9,8.1,69,6.5,0.00,91,996.3,36,0.0
2020-01-02T03:00,7.1,10.0,77,5.9,0.00,92,995.7,34,0.0
2020-01-02T04:00,7.1,8.7,83,6.0,0.00,93,995.7,33,0.0
2020-01-02T05:00,6.5,8.5,62,5.7,0.00,94,995.5,42,0.0
2020-01-02T06:00,6.2,9.3,77,5.4,0.00,95,996.0,26,0.0
2020-01-02T07:00,6.3,9.4,92,5.5,0.00,95,996.7,26,2.0
2020-01-02T08:00,9.6,7.6,95,7.5,0.00,87,997.8,19,78.0
2020-01-02T09:00,12.5,6.2,83,8.7,0.00,77,998.7,20,238.0
2020-01-02T10:00,15.1,6.4,74,9.6,0.00,70,999.3,13,394.0
2020-01-02T11:00,17.2,8.5,78,10.2,0.00,63,998.5,9,510.0
2020-01-02T12:00,18.6,9.4,83,10.4,0.00,59,997.3,20,553.0
2020-01-02T13:00,19.3,10.1,86,10.6,0.00,57,996.1,21,501.0
2020-01-02T14:00,19.5,10.7,76,10.6,0.00,57,994.9,24,421.0
2020-01-02T15:00,19.3,12.4,73,10.6,0.00,57,994.4,23,320.0
2020-01-02T16:00,18.4,9.7,75,11.3,0.00,63,994.4,19,180.0
2020-01-02T17:00,16.1,7.8,56,11.4,0.00,74,994.2,17,49.0
2020-01-02T18:00,15.0,7.4,61,11.6,0.00,80,994.5,22,0.0
2020-01-02T19:00,13.6,7.8,68,11.6,0.00,87,994.9,18,0.0
2020-01-02T20:00,13.1,7.1,75,11.4,0.00,89,995.5,25,0.0
2020-01-02T21:00,12.3,8.0,85,11.0,0.00,91,995.7,33,0.0
2020-01-02T22:00,12.5,7.9,74,11.0,0.00,91,995.8,41,0.0
2020-01-02T23:00,12.4,10.0,75,10.2,0.00,87,996.0,34,0.0
2020-01-03T00:00,11.6,8.8,78,9.0,0.00,84,995.8,40,0.0
2020-01-03T01:00,10.8,6.6,99,8.9,0.00,88,995.4,23,0.0
2020-01-03T02:00,9.9,8.8,102,8.7,0.00,92,994.8,16,0.0
2020-01-03T03:00,10.1,7.9,93,8.7,0.00,91,994.1,21,0.0
2020-01-03T04:00,9.1,7.9,47,8.5,0.00,96,994.3,18,0.0
2020-01-03T05:00,9.8,8.0,80,9.0,0.00,95,993.8,10,0.0
2020-01-03T06:00,8.6,8.2,41,8.2,0.00,97,994.3,4,0.0
2020-01-03T07:00,8.1,8.4,31,7.9,0.00,99,994.9,3,1.0
2020-01-03T08:00,11.0,5.8,356,9.8,0.00,92,995.9,2,76.0
2020-01-03T09:00,13.6,2.6,16,10.6,0.00,82,996.6,0,233.0
2020-01-03T10:00,15.7,4.8,63,10.9,0.00,73,996.5,0,393.0
2020-01-03T11:00,17.2,7.9,47,11.1,0.00,67,995.6,0,509.0
2020-01-03T12:00,18.3,7.1,30,11.3,0.00,64,994.5,1,567.0
2020-01-03T13:00,19.1,8.0,10,11.1,0.00,60,993.5,24,559.0
2020-01-03T14:00,19.2,8.3,355,10.7,0.10,58,992.6,27,412.0
2020-01-03T15:00,19.0,8.5,348,10.6,0.00,58,992.4,24,288.0
2020-01-03T16:00,18.3,6.5,341,11.4,0.00,64,992.4,14,172.0
2020-01-03T17:00,16.6,5.4,8,11.5,0.00,72,992.0,11,52.0
2020-01-03T18:00,16.9,4.7,4,11.3,0.00,70,992.7,4,0.0
2020-01-03T19:00,15.9,3.3,354,11.3,0.00,74,993.1,4,0.0
2020-01-03T20:00,15.0,2.2,351,11.3,0.00,79,993.7,4,0.0
2020-01-03T21:00,14.1,2.1,31,11.3,0.00,83,994.1,4,0.0
2020-01-03T22:00,13.2,4.6,141,11.1,0.00,87,994.2,5,0.0
2020-01-03T23:00,10.5,8.9,130,9.7,0.00,95,993.9,5,0.0
2020-01-04T00:00,10.1,8.6,88,9.5,0.00,96,993.8,11,0.0
2020-01-04T01:00,10.0,8.3,108,9.5,0.00,97,993.3,21,0.0
2020-01-04T02:00,10.1,7.2,153,9.6,0.00,97,992.8,16,0.0
2020-01-04T03:00,9.3,7.5,73,9.2,0.00,99,992.7,15,0.0
2020-01-04T04:00,10.1,5.6,135,9.9,0.00,99,992.4,25,0.0
2020-01-04T05:00,10.3,2.9,187,10.2,0.00,99,992.4,15,0.0
2020-01-04T06:00,9.6,4.3,204,9.6,0.00,100,992.6,100,0.0
