latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.17218,219.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,7.5,1.8,90,5.2,0.00,85,993.8,33,0.0
2020-01-01T01:00,6.9,3.1,21,5.4,0.00,90,993.6,74,0.0
2020-01-01T02:00,5.7,4.3,24,4.9,0.00,95,993.3,80,0.0
2020-01-01T03:00,4.2,5.6,27,4.0,0.00,99,993.0,85,0.0
2020-01-01T04:00,3.2,6.6,29,3.2,0.00,100,992.9,100,0.0
2020-01-01T05:00,3.3,5.6,27,3.1,0.00,99,993.2,100,0.0
2020-01-01T06:00,3.0,6.3,24,2.8,0.00,99,993.8,50,0.0
2020-01-01T07:00,3.3,7.9,39,3.1,0.00,99,994.7,34,2.0
2020-01-01T08:00,5.9,7.1,49,4.2,0.00,89,995.8,44,78.0
2020-01-01T09:00,9.2,7.4,67,5.4,0.00,77,996.8,79,233.0
2020-01-01T10:00,11.9,8.7,85,6.1,0.00,67,997.1,87,385.0
2020-01-01T11:00,14.1,10.5,112,6.2,0.00,59,996.9,90,493.0
2020-01-01T12:00,15.5,10.0,120,6.6,0.00,55,995.8,92,548.0
2020-01-01T13:00,16.9,8.6,112,7.6,0.00,54,994.9,93,544.0
2020-01-01T14:00,17.5,8.3,108,8.3,0.00,55,994.4,95,438.0
2020-01-01T15:00,17.7,8.1,103,8.7,0.00,55,994.0,95,325.0
2020-01-01T16:00,17.1,6.5,87,10.3,0.00,64,994.0,94,178.0
2020-01-01T17:00,14.0,7.4,76,10.5,0.00,79,994.1,89,48.0
2020-01-01T18:00,12.8,7.4,61,10.0,0.00,83,994.7,89,0.0
2020-01-01T19:00,12.0,8.4,59,9.6,0.00,85,995.1,84,0.0
2020-01-01T20:00,11.2,9.3,54,9.0,0.00,86,995.7,79,0.0
2020-01-01T21:00,11.2,8.7,52,8.9,0.00,86,995.8,86,0.0
2020-01-01T22:00,10.2,8.2,38,8.3,0.00,88,995.8,91,0.0
2020-01-01T23:00,9.4,9.2,69,7.8,0.00,90,995.7,80,0.0
2020-01-02T00:00,9.0,9.8,73,7.5,0.00,90,995.3,72,0.0
2020-01-02T01:00,8.8,10.5,68,7.0,0.00,88,995.0,60,0.0
2020-01-02T02:00,8.5,10.5,74,6.5,0.00,87,994.8,39,0.0
2020-01-02T03:00,8.0,9.3,77,6.2,0.00,88,994.3,43,0.0
2020-01-02T04:00,7.7,9.8,84,6.1,0.00,90,994.2,41,0.0
2020-01-02T05:00,6.7,9.1,72,5.3,0.00,91,994.0,44,0.0
2020-01-02T06:00,6.9,9.1,81,5.5,0.00,91,994.5,36,0.0
2020-01-02T07:00,7.0,9.0,90,5.7,0.00,91,995.2,23,1.0
2020-01-02T08:00,9.7,6.1,93,7.2,0.00,84,996.3,20,77.0
2020-01-02T09:00,12.5,6.9,84,8.7,0.00,78,997.3,24,236.0
2020-01-02T10:00,14.9,6.9,81,9.8,0.00,72,997.8,16,391.0
2020-01-02T11:00,16.9,8.5,78,10.6,0.00,66,996.9,1,510.0
2020-01-02T12:00,18.4,10.1,86,10.9,0.00,62,995.9,12,570.0
2020-01-02T13:00,19.3,10.4,88,11.0,0.00,59,994.6,18,532.0
2020-01-02T14:00,19.5,10.9,82,11.0,0.00,58,993.4,19,439.0
2020-01-02T15:00,19.3,12.0,74,11.0,0.00,58,992.9,24,319.0
2020-01-02T16:00,18.5,10.4,70,11.9,0.00,66,992.9,20,178.0
2020-01-02T17:00,16.7,9.3,54,12.6,0.00,77,992.7,16,48.0
2020-01-02T18:00,15.7,9.1,56,12.4,0.00,81,993.0,24,0.0
2020-01-02T19:00,14.7,9.7,68,11.8,0.00,83,993.5,17,0.0
2020-01-02T20:00,13.9,10.0,77,11.2,0.00,84,994.0,23,0.0
2020-01-02T21:00,13.1,9.0,85,11.0,0.00,87,994.3,23,0.0
2020-01-02T22:00,12.5,9.4,83,10.8,0.00,89,994.3,33,0.0
2020-01-02T23:00,12.5,11.3,81,10.5,0.00,88,994.5,23,0.0
2020-01-03T00:00,11.9,10.5,82,9.4,0.00,85,994.3,21,0.0
2020-01-03T01:00,11.2,9.1,97,9.0,0.00,87,993.9,22,0.0
2020-01-03T02:00,10.3,6.9,96,8.7,0.00,90,993.4,20,0.0
2020-01-03T03:00,10.3,5.8,97,8.6,0.00,89,992.7,19,0.0
2020-01-03T04:00,9.8,8.4,43,8.6,0.00,92,992.8,12,0.0
2020-01-03T05:00,9.9,7.2,63,8.9,0.00,93,992.4,6,0.0
2020-01-03T06:00,9.1,7.4,47,8.4,0.00,95,992.8,8,0.0
2020-01-03T07:00,8.6,6.6,49,8.1,0.00,97,993.4,7,1.0
2020-01-03T08:00,11.1,3.2,27,9.6,0.00,90,994.4,2,74.0
2020-01-03T09:00,13.6,1.8,11,10.6,0.00,82,995.1,0,231.0
2020-01-03T10:00,15.6,3.1,69,11.1,0.00,75,995.0,0,392.0
2020-01-03T11:00,17.0,6.9,47,11.5,0.00,70,994.2,0,508.0
2020-01-03T12:00,17.9,6.1,28,11.9,0.00,68,993.1,0,565.0
2020-01-03T13:00,18.6,6.1,357,11.8,0.00,64,992.1,18,559.0
2020-01-03T14:00,18.9,6.8,342,11.3,0.10,62,991.1,17,427.0
2020-01-03T15:00,18.9,7.4,346,11.2,0.00,61,990.9,19,302.0
2020-01-03T16:00,18.5,6.3,347,11.7,0.00,65,990.9,19,171.0
2020-01-03T17:00,18.2,0.8,207,10.9,0.00,62,990.7,8,53.0
2020-01-03T18:00,17.6,2.2,261,10.9,0.00,65,991.2,5,0.0
2020-01-03T19:00,15.8,4.4,305,11.3,0.00,75,991.6,4,0.0
2020-01-03T20:00,14.5,4.7,351,11.3,0.00,81,992.1,4,0.0
2020-01-03T21:00,13.5,4.8,63,11.1,0.00,85,992.4,5,0.0
2020-01-03T22:00,12.2,8.0,117,10.7,0.00,90,992.5,4,0.0
2020-01-03T23:00,11.9,9.2,129,10.6,0.00,92,992.5,3,0.0
2020-01-04T00:00,11.0,7.7,101,10.1,0.00,94,992.4,25,0.0
2020-01-04T01:00,10.4,6.0,107,9.8,0.00,96,991.8,29,0.0
2020-01-04T02:00,10.6,7.9,150,9.9,0.00,95,991.3,16,0.0
2020-01-04T03:00,10.4,9.0,85,9.9,0.00,96,991.3,17,0.0
2020-01-04T04:00,9.7,5.4,143,9.3,0.00,97,990.8,18,0.0
2020-01-04T05:00,9.6,4.6,198,9.1,0.00,97,990.8,29,0.0
2020-01-04T06:00,8.8,6.1,230,8.4,0.00,97,991.1,12,0.0
2020-01-04T07:00,9.6,2.7,293,9.0,0.00,96,991.7,15,1.0
2020-01-04T08:00,10.2,2.0,225,9.5,0.00,95,992.6,21,65.0
2020-01-04T09:00,12.4,1.5,194,10.7,0.00,89,993.7,21,190.0
2020-01-04T10:00,14.6,1.4,180,11.6,0.00,82,993.7,20,315.0
2020-01-04T11:00,16.4,2.3,231,12.1,0.00,76,992.9,11,425.0
2020-01-04T12:00,17.6,4.0,260,12.3,0.00,71,992.1,13,470.0
2020-01-04T13:00,18.4,6.1,273,12.0,0.00,66,991.0,13,505.0
2020-01-04T14:00,18.7,6.4,297,11.3,0.10,62,990.3,24,452.0
2020-01-04T15:00,18.6,6.6,319,10.7,0.00,60,989.9,32,305.0
2020-01-04T16:00,18.3,5.5,337,10.3,0.10,60,989.9,21,181.0
2020-01-04T17:00,15.7,7.4,23,11.9,0.00,78,989.7,7,53.0
2020-01-04T18:00,14.6,5.6,40,11.6,0.00,82,990.1,7,0.0
2020-01-04T19:00,14.6,4.1,38,10.9,0.00,78,990.9,12,0.0
2020-01-04T20:00,14.5,2.1,59,10.8,0.00,78,991.6,29,0.0
2020-01-04T21:00,14.0,3.3,264,10.7,0.00,81,992.4,81,0.0
2020-01-04T22:00,12.4,6.4,333,10.7,0.00,90,992.6,79,0.0
2020-01-04T23:00,12.0,7.3,9,10.3,0.00,90,992.5,0,0.0
2020-01-05T00:00,10.6,8.4,7,8.7,0.00,88,992.2,0,0.0
2020-01-05T01:00,9.9,7.9,3,7.9,0.00,87,991.6,0,0.0
2020-01-05T02:00,9.4,6.5,357,7.4,0.00,87,991.3,24,0.0
2020-01-05T03:00,9.2,6.0,343,7.3,0.00,88,991.0,50,0.0
2020-01-05T04:00,9.3,6.0,295,7.6,0.00,89,990.8,27,0.0
2020-01-05T05:00,8.3,6.5,276,7.1,0.00,92,990.9,1,0.0
2020-01-05T06:00,7.9,8.7,253,6.8,0.00,92,991.2,0,0.0
2020-01-05T07:00,7.7,9.1,252,6.6,0.00,93,991.8,0,1.0
2020-01-05T08:00,10.0,8.0,260,7.8,0.00,86,992.9,0,78.0
2020-01-05T09:00,12.8,8.3,268,9.2,0.00,78,993.6,0,240.0
2020-01-05T10:00,15.3,10.8,266,9.9,0.00,70,994.1,0,400.0
2020-01-05T11:00,17.2,11.1,283,9.5,0.00,60,993.4,9,517.0
2020-01-05T12:00,18.6,11.3,287,8.9,0.00,53,991.9,10,579.0
2020-01-05T13:00,19.3,12.4,287,8.6,0.00,50,990.7,0,575.0
2020-01-05T14:00,19.6,13.4,290,8.4,0.00,48,990.2,45,505.0
2020-01-05T15:00,19.3,13.2,296,8.5,0.00,50,990.3,71,313.0
