latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.377426,203.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,6.6,1.8,53,4.8,0.00,88,995.7,33,0.0
2020-01-01T01:00,5.4,1.8,37,4.1,0.00,91,995.4,73,0.0
2020-01-01T02:00,3.0,4.1,38,2.5,0.00,97,995.0,81,0.0
2020-01-01T03:00,1.9,5.8,30,1.8,0.00,99,994.8,83,0.0
2020-01-01T04:00,1.7,5.8,30,1.6,0.00,100,994.8,99,0.0
2020-01-01T05:00,1.8,7.4,29,1.4,0.00,97,994.9,100,0.0
2020-01-01T06:00,1.4,7.8,22,1.1,0.00,98,995.6,56,0.0
2020-01-01T07:00,2.2,6.0,33,1.8,0.00,97,996.5,44,2.0
2020-01-01T08:00,5.6,8.9,47,3.4,0.00,86,997.7,44,80.0
2020-01-01T09:00,9.7,7.2,63,5.1,0.00,73,998.8,76,242.0
2020-01-01T10:00,12.6,7.6,85,6.0,0.00,64,999.1,87,386.0
2020-01-01T11:00,14.8,10.0,120,6.3,0.00,57,998.8,88,501.0
2020-01-01T12:00,16.2,9.3,118,6.8,0.00,54,997.8,93,559.0
2020-01-01T13:00,17.5,8.6,112,7.7,0.00,53,996.8,92,543.0
2020-01-01T14:00,18.0,7.9,106,8.2,0.00,53,996.2,93,434.0
2020-01-01T15:00,18.1,7.3,101,8.4,0.00,53,995.9,94,338.0
2020-01-01T16:00,16.8,4.0,80,10.9,0.00,68,995.9,93,188.0
2020-01-01T17:00,14.7,6.8,65,9.2,0.00,70,996.0,89,48.0
2020-01-01T18:00,11.7,9.2,51,9.1,0.00,84,996.5,91,0.0
2020-01-01T19:00,11.3,7.1,49,9.1,0.00,86,997.0,88,0.0
2020-01-01T20:00,11.1,7.7,41,8.8,0.00,86,997.6,84,0.0
2020-01-01T21:00,11.0,7.5,35,8.6,0.00,85,997.6,86,0.0
2020-01-01T22:00,9.5,8.0,36,7.9,0.00,89,997.7,92,0.0
2020-01-01T23:00,9.2,7.9,66,7.6,0.00,90,997.7,83,0.0
2020-01-02T00:00,8.6,7.8,56,6.9,0.00,89,997.1,76,0.0
2020-01-02T01:00,8.6,8.2,61,6.7,0.00,88,997.0,68,0.0
2020-01-02T02:00,8.5,8.4,65,6.5,0.00,87,996.8,48,0.0
2020-01-02T03:00,8.2,7.8,68,6.4,0.00,88,996.2,41,0.0
2020-01-02T04:00,8.1,8.1,77,6.5,0.00,89,996.3,42,0.0
2020-01-02T05:00,7.3,7.7,62,5.8,0.00,90,995.9,43,0.0
2020-01-02T06:00,7.3,7.5,73,5.9,0.00,91,996.6,37,0.0
2020-01-02T07:00,7.1,7.6,82,5.8,0.00,92,997.2,34,2.0
2020-01-02T08:00,10.0,9.1,81,7.5,0.00,84,998.2,20,79.0
2020-01-02T09:00,13.1,6.2,83,8.9,0.00,76,999.2,21,239.0
2020-01-02T10:00,15.7,6.6,77,9.8,0.00,68,999.7,25,395.0
2020-01-02T11:00,17.8,8.7,83,10.3,0.00,61,998.8,10,508.0
2020-01-02T12:00,19.0,9.0,90,10.6,0.00,58,997.7,17,548.0
2020-01-02T13:00,19.5,10.2,80,10.6,0.00,56,996.5,20,510.0
2020-01-02T14:00,19.7,10.8,75,10.6,0.00,56,995.4,20,436.0
2020-01-02T15:00,19.4,12.1,78,10.8,0.00,57,994.9,23,325.0
2020-01-02T16:00,18.5,9.1,81,11.5,0.00,64,994.8,20,181.0
2020-01-02T17:00,16.0,7.7,53,11.8,0.00,76,994.6,16,49.0
2020-01-02T18:00,15.4,7.4,61,11.6,0.00,78,995.0,25,0.0
2020-01-02T19:00,14.1,7.4,67,11.3,0.00,83,995.4,25,0.0
