Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,NA,679.00,179.65,62.00,179.05,75.15,5.50,4.10,2.53,2.95,13.50,NA,NA,NA,NA,7.38,93.50,0.60,240.00,NA,0.00,6.00,740.00,NA
2020-01-01 01:00:00,NA,583.25,128.70,52.40,132.52,64.80,3.82,2.89,2.02,2.45,10.58,NA,NA,NA,NA,6.15,96.50,0.68,252.00,NA,0.00,6.00,740.00,NA
2020-01-01 02:00:00,NA,461.50,85.05,55.20,98.52,62.60,2.35,2.86,1.95,1.95,9.15,NA,NA,NA,NA,6.05,94.50,0.75,229.50,NA,0.00,6.00,740.00,NA
2020-01-01 03:00:00,NA,459.75,49.45,52.60,68.18,59.00,1.27,2.46,2.23,1.78,7.72,NA,NA,NA,NA,5.72,93.50,0.50,200.75,1.00,1.00,6.00,740.00,NA
2020-01-01 04:00:00,NA,415.50,33.65,48.90,53.35,57.70,0.55,2.22,2.31,1.50,6.25,NA,NA,NA,NA,5.70,91.75,0.62,269.75,NA,0.00,6.00,740.00,NA
2020-01-01 05:00:00,NA,395.50,28.95,50.20,50.22,60.68,NA,2.32,2.64,1.40,5.30,NA,NA,NA,NA,5.65,92.00,0.62,204.50,NA,0.00,6.00,740.00,NA
2020-01-01 06:00:00,NA,406.50,21.92,49.15,43.97,62.75,NA,2.14,2.50,1.48,5.22,NA,NA,NA,NA,5.22,94.00,0.57,222.25,NA,0.00,6.00,740.00,NA
2020-01-01 07:00:00,NA,442.00,55.80,49.30,75.80,72.40,NA,0.01,2.47,1.58,4.80,NA,NA,NA,NA,5.40,94.50,0.43,232.75,NA,0.00,14.25,740.00,NA
2020-01-01 08:00:00,NA,488.75,37.20,58.50,61.38,69.45,1.38,2.28,3.65,1.50,4.42,NA,NA,NA,NA,7.65,83.75,1.18,228.50,NA,0.00,58.50,740.50,NA
2020-01-01 09:00:00,NA,408.25,21.28,106.72,74.08,83.88,2.20,1.96,3.92,1.62,4.22,NA,NA,NA,NA,10.32,73.75,1.58,225.50,NA,0.00,122.75,741.50,NA
2020-01-01 10:00:00,NA,381.00,7.50,54.05,34.85,84.25,2.70,1.29,9.75,1.08,2.88,NA,NA,NA,NA,13.40,63.25,2.35,251.50,NA,0.00,173.50,742.00,NA
2020-01-01 11:00:00,NA,252.50,4.03,47.10,28.33,73.82,8.10,1.03,17.04,0.78,3.25,NA,NA,NA,NA,15.65,56.50,2.25,249.75,NA,0.00,173.25,742.00,NA
2020-01-01 12:00:00,NA,202.00,5.25,50.10,30.92,66.10,21.40,0.90,24.22,0.50,2.15,NA,NA,NA,NA,17.00,53.00,2.40,254.50,NA,0.00,181.25,742.00,NA
2020-01-01 13:00:00,NA,173.50,2.60,35.85,21.20,62.52,11.12,0.86,38.89,0.45,2.30,NA,NA,NA,NA,18.10,50.75,2.17,249.50,NA,0.00,179.75,742.00,NA
2020-01-01 14:00:00,NA,163.00,1.68,33.58,19.18,60.32,13.70,0.83,48.94,0.40,2.22,NA,NA,NA,NA,18.55,50.50,2.12,248.25,NA,0.00,139.00,742.00,NA
2020-01-01 15:00:00,NA,155.50,1.75,36.60,20.90,57.50,15.05,0.72,52.93,0.38,1.92,NA,NA,NA,NA,18.75,49.25,2.02,249.75,NA,0.00,95.25,742.00,NA
2020-01-01 16:00:00,NA,136.50,3.70,45.40,27.18,51.82,9.45,0.97,46.08,0.30,1.85,NA,NA,NA,NA,18.08,51.25,1.12,256.75,NA,0.00,42.75,742.00,NA
2020-01-01 17:00:00,NA,156.50,10.85,80.45,51.62,55.82,6.22,1.31,19.65,0.50,2.53,NA,NA,NA,NA,16.35,60.25,0.45,214.00,NA,0.00,11.25,741.00,NA
