latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.717047,77.46576,222.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,5.7,1.3,56,4.3,0.00,91,993.4,30,0.0
2020-01-01T01:00,4.2,2.3,39,3.5,0.00,95,992.9,69,0.0
2020-01-01T02:00,2.1,5.2,34,1.9,0.00,99,992.5,83,0.0
2020-01-01T03:00,1.8,6.5,34,1.6,0.00,99,992.4,83,0.0
2020-01-01T04:00,1.7,6.9,39,1.5,0.00,99,992.5,84,0.0
2020-01-01T05:00,1.8,6.7,36,1.5,0.00,98,992.7,99,0.0
2020-01-01T06:00,2.0,6.0,33,1.6,0.00,97,993.3,66,0.0
2020-01-01T07:00,2.5,6.7,36,1.9,0.00,96,994.2,53,2.0
2020-01-01T08:00,5.9,9.7,45,3.6,0.00,85,995.5,53,81.0
2020-01-01T09:00,9.9,7.9,60,5.5,0.00,74,996.5,74,249.0
2020-01-01T10:00,12.9,8.0,80,6.3,0.00,64,996.9,88,399.0
2020-01-01T11:00,15.1,10.0,116,6.7,0.00,57,996.6,89,506.0
2020-01-01T12:00,16.5,10.0,128,7.0,0.00,54,995.6,93,559.0
2020-01-01T13:00,17.7,9.0,119,7.7,0.00,52,994.6,93,549.0
2020-01-01T14:00,18.1,8.4,110,8.2,0.00,52,994.1,94,442.0
2020-01-01T15:00,18.2,7.4,104,8.3,0.00,52,993.8,95,335.0
2020-01-01T16:00,17.0,4.0,85,11.0,0.00,68,993.7,94,186.0
2020-01-01T17:00,13.8,7.8,56,9.3,0.00,75,993.7,91,45.0
2020-01-01T18:00,12.1,8.2,49,9.3,0.00,83,994.4,92,0.0
2020-01-01T19:00,11.4,7.4,51,9.0,0.00,85,994.8,90,0.0
2020-01-01T20:00,11.1,7.4,43,8.8,0.00,86,995.4,90,0.0
2020-01-01T21:00,10.6,7.3,33,8.6,0.00,87,995.3,87,0.0
2020-01-01T22:00,9.4,7.7,37,7.7,0.00,89,995.4,93,0.0
2020-01-01T23:00,9.5,9.0,61,7.6,0.00,88,995.5,85,0.0
2020-01-02T00:00,9.2,8.3,56,7.0,0.00,86,995.0,81,0.0
2020-01-02T01:00,8.9,9.2,59,6.7,0.00,86,994.8,76,0.0
2020-01-02T02:00,8.8,9.4,67,6.6,0.00,86,994.6,69,0.0
2020-01-02T03:00,8.7,8.9,69,6.6,0.00,87,994.1,53,0.0
2020-01-02T04:00,8.4,8.5,78,6.7,0.00,89,994.0,53,0.0
2020-01-02T05:00,7.9,8.9,63,6.1,0.00,89,993.8,45,0.0
2020-01-02T06:00,7.8,8.2,75,6.2,0.00,89,994.4,45,0.0
2020-01-02T07:00,7.5,6.9,81,6.1,0.00,91,994.9,43,2.0
2020-01-02T08:00,10.5,10.2,82,7.6,0.00,83,996.1,28,80.0
2020-01-02T09:00,13.6,6.9,84,9.0,0.00,74,996.9,24,239.0
2020-01-02T10:00,16.2,7.6,82,9.8,0.00,66,997.5,30,395.0
2020-01-02T11:00,18.0,9.4,86,10.2,0.00,60,996.7,26,499.0
2020-01-02T12:00,19.0,9.8,84,10.5,0.00,58,995.6,29,522.0
2020-01-02T13:00,19.4,10.5,74,10.4,0.00,56,994.4,27,514.0
2020-01-02T14:00,19.5,11.3,73,10.5,0.00,56,993.3,21,444.0
2020-01-02T15:00,19.3,12.4,82,10.9,0.00,58,992.8,20,324.0
2020-01-02T16:00,18.4,9.8,84,11.6,0.00,65,992.7,19,184.0
2020-01-02T17:00,16.2,7.5,55,11.8,0.00,75,992.5,16,48.0
2020-01-02T18:00,15.4,7.4,61,11.3,0.00,77,992.8,29,0.0
2020-01-02T19:00,14.4,8.0,63,11.1,0.00,81,993.3,22,0.0
2020-01-02T20:00,13.7,8.4,80,11.0,0.00,84,993.8,33,0.0
2020-01-02T21:00,13.2,9.0,67,10.8,0.00,85,994.1,35,0.0
2020-01-02T22:00,13.2,12.5,72,10.1,0.00,81,994.3,32,0.0
2020-01-02T23:00,12.6,12.4,73,9.1,0.00,79,994.2,17,0.0
2020-01-03T00:00,12.1,10.7,76,8.8,0.00,81,994.1,29,0.0
2020-01-03T01:00,11.3,6.8,87,9.0,0.00,86,993.4,33,0.0
2020-01-03T02:00,10.2,9.4,86,8.8,0.00,91,992.9,39,0.0
2020-01-03T03:00,10.2,5.7,55,8.9,0.00,92,992.4,29,0.0
2020-01-03T04:00,9.5,5.8,30,8.6,0.00,94,992.4,19,0.0
2020-01-03T05:00,10.0,5.2,34,9.0,0.00,93,992.1,10,0.0
2020-01-03T06:00,8.8,6.6,41,8.3,0.00,96,992.5,6,0.0
2020-01-03T07:00,8.5,5.9,14,8.1,0.00,97,993.0,5,2.0
2020-01-03T08:00,11.2,4.9,343,9.8,0.00,91,994.0,7,77.0
2020-01-03T09:00,14.0,1.5,45,10.8,0.00,81,994.7,3,232.0
2020-01-03T10:00,16.0,6.3,59,11.1,0.00,73,994.8,1,382.0
2020-01-03T11:00,17.4,8.2,41,10.9,0.00,66,993.9,2,506.0
2020-01-03T12:00,18.5,7.7,28,11.0,0.00,62,992.7,1,567.0
2020-01-03T13:00,19.1,7.7,11,10.9,0.00,59,991.7,20,555.0
2020-01-03T14:00,19.3,8.6,360,10.4,0.10,56,990.7,36,416.0
2020-01-03T15:00,19.1,7.6,355,10.6,0.10,58,990.5,31,280.0
2020-01-03T16:00,18.3,5.2,335,11.6,0.00,65,990.6,17,168.0
2020-01-03T17:00,17.7,3.6,127,11.7,0.00,68,990.3,13,49.0
2020-01-03T18:00,16.8,3.6,135,11.6,0.00,72,990.9,1,0.0
2020-01-03T19:00,15.9,1.5,76,11.5,0.00,75,991.3,1,0.0
2020-01-03T20:00,15.3,2.6,74,11.3,0.00,77,991.9,0,0.0
2020-01-03T21:00,13.0,5.8,86,10.6,0.00,85,992.1,1,0.0
2020-01-03T22:00,11.2,7.6,82,10.1,0.00,93,992.1,3,0.0
2020-01-03T23:00,10.5,6.7,74,9.8,0.00,95,992.2,18,0.0
2020-01-04T00:00,11.6,3.9,56,10.4,0.00,92,992.1,11,0.0
2020-01-04T01:00,10.1,6.8,115,9.4,0.00,95,991.5,5,0.0
2020-01-04T02:00,10.1,7.0,55,9.5,0.00,96,991.3,35,0.0
2020-01-04T03:00,10.0,6.6,81,9.3,0.00,95,990.9,23,0.0
2020-01-04T04:00,8.9,7.9,137,8.5,0.00,98,990.2,10,0.0
2020-01-04T05:00,8.4,4.0,85,8.1,0.00,98,990.3,13,0.0
2020-01-04T06:00,7.6,6.9,99,7.5,0.00,99,990.7,20,0.0
2020-01-04T07:00,8.5,4.3,156,8.5,0.00,100,991.2,100,1.0
2020-01-04T08:00,9.7,2.9,173,9.3,0.00,97,992.3,83,67.0
2020-01-04T09:00,12.3,1.9,202,10.8,0.00,90,993.4,14,203.0
2020-01-04T10:00,14.7,2.3,219,11.6,0.00,82,993.5,17,350.0
2020-01-04T11:00,16.4,3.4,238,11.7,0.10,74,992.6,54,462.0
2020-01-04T12:00,17.6,4.8,257,11.7,0.10,68,991.8,48,516.0
2020-01-04T13:00,18.0,5.2,286,11.5,0.00,66,990.7,31,515.0
2020-01-04T14:00,18.4,5.0,300,11.4,0.00,64,990.1,17,447.0
2020-01-04T15:00,18.6,6.3,294,11.2,0.10,62,989.7,36,341.0
2020-01-04T16:00,17.8,5.6,320,11.6,0.10,67,989.6,27,182.0
2020-01-04T17:00,16.2,4.8,27,11.4,0.10,73,989.6,17,49.0
2020-01-04T18:00,14.0,6.0,57,11.0,0.00,82,989.9,9,0.0
2020-01-04T19:00,12.7,6.6,61,10.4,0.00,86,990.3,16,0.0
2020-01-04T20:00,13.0,6.6,45,10.2,0.00,83,991.0,12,0.0
2020-01-04T21:00,13.6,6.4,317,10.4,0.00,81,991.9,38,0.0
2020-01-04T22:00,11.2,6.9,313,9.7,0.00,90,992.1,81,0.0
2020-01-04T23:00,11.8,8.0,350,9.4,0.00,85,992.1,65,0.0
2020-01-05T00:00,10.8,8.0,5,8.6,0.00,87,991.7,0,0.0
2020-01-05T01:00,9.0,8.3,360,7.4,0.00,90,991.2,0,0.0
2020-01-05T02:00,8.1,9.8,352,6.8,0.00,91,990.7,0,0.0
2020-01-05T03:00,7.5,9.7,321,6.3,0.00,92,990.3,26,0.0
2020-01-05T04:00,7.7,9.4,313,6.6,0.00,92,990.2,22,0.0
2020-01-05T05:00,7.5,7.1,300,6.7,0.00,95,990.2,21,0.0
2020-01-05T06:00,7.0,6.9,276,6.4,0.00,96,990.7,0,0.0
2020-01-05T07:00,7.4,7.2,267,6.7,0.00,95,991.2,0,2.0
2020-01-05T08:00,9.9,10.8,268,8.1,0.00,89,992.4,0,82.0
2020-01-05T09:00,12.7,8.8,279,9.3,0.00,80,993.4,0,246.0
2020-01-05T10:00,15.2,10.6,280,9.9,0.00,71,993.7,0,406.0
2020-01-05T11:00,17.2,12.8,281,9.5,0.00,60,993.1,23,523.0
2020-01-05T12:00,18.5,12.9,288,8.9,0.00,53,991.5,27,582.0
2020-01-05T13:00,19.2,12.9,293,8.7,0.00,51,990.3,0,566.0
2020-01-05T14:00,19.4,13.7,297,8.6,0.00,50,989.9,43,510.0
