Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,81.5,201.5,8.15,89.62,54.28,49.9,12.13,0.34,11.56,0.6,2.82,,,,,14.75,80.25,0.78,151.0,,0.0,12.0,733.0,
2024-01-01 01:00:00,89.5,211.0,9.1,90.45,55.52,50.18,11.77,0.34,13.8,0.6,2.9,,,,,14.62,81.0,1.1,119.0,,0.0,12.0,733.0,
2024-01-01 02:00:00,91.5,217.25,,,,,,,15.1,0.6,2.8,,,,,14.58,80.5,0.78,121.0,,0.0,12.0,733.0,
2024-01-01 03:00:00,91.0,212.5,9.33,87.82,54.25,51.2,12.85,0.29,16.14,0.6,2.95,,,,,14.52,79.75,0.92,151.25,,0.0,12.0,733.0,
2024-01-01 04:00:00,87.75,200.5,8.2,84.42,51.58,48.85,12.43,0.29,16.64,0.55,2.85,,,,,14.32,80.75,1.3,97.5,,0.0,12.0,733.0,
2024-01-01 05:00:00,92.75,206.25,6.55,80.85,48.35,47.4,10.85,0.27,13.59,0.57,2.5,,,,,14.12,81.0,1.58,98.75,,0.0,12.0,733.0,
2024-01-01 06:00:00,84.75,186.0,6.22,80.15,47.65,47.32,10.33,0.6,11.98,0.52,2.35,,,,,14.0,81.25,0.98,157.5,,0.0,12.0,733.0,
2024-01-01 07:00:00,87.75,195.0,5.88,77.4,45.95,47.0,10.95,0.62,12.23,0.5,2.17,,,,,13.82,81.75,1.62,102.75,,0.0,12.75,733.0,
2024-01-01 08:00:00,79.25,192.75,5.75,76.85,45.5,45.85,11.97,0.23,12.84,0.5,1.98,,,,,13.75,80.75,1.4,114.25,,0.0,17.25,733.0,
2024-01-01 09:00:00,73.5,181.0,5.1,76.72,45.0,46.02,12.38,0.24,12.6,0.5,1.92,,,,,13.98,78.0,1.2,122.0,,0.0,28.0,733.0,
2024-01-01 10:00:00,74.0,171.5,5.7,76.25,45.2,47.1,11.67,0.25,13.5,0.5,1.88,,,,,14.7,75.5,0.8,185.75,,0.0,35.25,733.75,
2024-01-01 11:00:00,83.5,199.25,5.45,80.8,47.42,47.35,11.05,0.29,15.22,0.5,2.05,,,,,15.58,72.25,1.3,107.25,,0.0,59.75,734.0,
2024-01-01 12:00:00,100.75,248.25,5.48,89.18,51.85,48.52,12.8,0.33,16.04,0.6,2.92,,,,,16.95,66.25,1.27,137.25,,0.0,71.0,734.0,
2024-01-01 13:00:00,123.33,302.5,3.4,96.9,54.3,50.6,13.78,0.39,17.16,0.65,4.5,,,,,17.12,66.0,1.45,98.25,,0.0,53.25,734.0,
2024-01-01 14:00:00,130.0,340.25,3.68,103.22,57.88,51.2,13.0,0.33,18.46,0.72,5.25,,,,,17.32,65.75,1.98,102.5,,0.0,41.25,734.0,
2024-01-01 15:00:00,120.0,360.25,2.9,97.65,54.3,51.2,11.95,0.23,17.52,0.82,5.22,,,,,16.92,67.75,2.25,105.5,,0.0,33.5,733.0,
2024-01-01 16:00:00,105.0,301.25,2.9,78.65,44.2,50.75,11.9,0.16,16.74,0.7,6.4,,,,,15.8,71.5,2.38,105.0,,0.0,21.75,733.0,
