Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,79.0,122.25,5.65,14.2,11.95,8.5,9.75,0.71,19.42,0.72,0.2,0.08,,,,14.52,71.5,1.23,117.25,0.0,0.0,12.0,742.0,
2024-01-01 01:00:00,76.25,120.5,4.72,14.3,11.92,8.0,10.45,0.74,17.08,0.7,0.52,0.22,,,,14.5,71.25,1.0,114.0,0.0,0.0,12.0,742.0,
2024-01-01 02:00:00,76.0,122.0,5.42,14.15,11.98,8.35,10.88,0.72,17.48,0.68,0.4,0.1,,,,14.42,71.0,1.38,179.0,0.0,0.0,12.0,742.0,
2024-01-01 03:00:00,73.33,123.25,5.75,14.02,12.0,8.52,10.0,0.74,18.05,0.7,0.1,0.08,,,,14.4,71.25,0.88,192.5,0.0,0.0,12.0,742.0,
2024-01-01 04:00:00,74.5,129.25,5.6,13.52,11.95,8.22,8.18,0.76,18.88,0.68,0.3,0.05,,,,14.3,71.75,0.98,207.75,0.0,0.0,12.0,742.0,
2024-01-01 05:00:00,76.75,137.25,5.72,13.05,11.9,8.1,7.22,0.75,19.38,0.75,0.38,0.05,,,,14.25,71.75,1.58,245.0,0.0,0.0,12.0,742.0,
2024-01-01 06:00:00,77.0,139.75,4.97,13.42,11.95,7.88,7.72,0.75,18.55,2.7,0.12,0.15,,,,14.2,72.0,1.4,253.0,0.0,0.0,12.0,742.0,
2024-01-01 07:00:00,73.5,136.25,5.18,15.92,13.3,8.85,7.65,0.76,15.8,1.68,0.3,0.15,,,,14.08,72.0,1.32,186.5,0.0,0.0,13.5,742.0,
2024-01-01 08:00:00,73.0,135.25,5.12,14.35,19.12,8.27,8.18,0.84,16.27,1.23,0.25,0.1,,,,14.1,72.0,1.6,152.5,0.0,0.0,19.25,742.0,
2024-01-01 09:00:00,67.0,128.75,5.28,14.48,29.88,8.4,8.8,0.8,16.82,0.82,0.1,0.18,,,,14.2,71.25,1.38,126.5,0.0,0.0,29.75,742.0,
2024-01-01 10:00:00,69.0,124.5,5.2,12.88,46.4,7.75,7.18,0.82,16.75,0.78,0.2,0.12,,,,14.45,71.0,1.23,114.5,0.0,0.0,46.5,742.0,
2024-01-01 11:00:00,75.5,129.0,5.55,13.7,65.78,8.28,7.55,0.82,19.27,0.6,0.22,0.18,,,,14.75,70.0,1.27,199.75,0.0,0.0,66.0,742.0,
2024-01-01 12:00:00,87.75,149.25,4.7,15.35,103.6,8.4,7.4,0.86,23.25,0.75,0.22,0.2,,,,15.12,69.25,1.65,232.5,0.0,0.0,103.25,742.0,
2024-01-01 13:00:00,100.5,158.5,4.92,15.52,140.4,8.57,8.52,0.84,37.48,0.95,0.1,0.1,,,,15.88,67.5,1.72,202.5,0.0,0.0,140.25,742.0,
2024-01-01 14:00:00,122.0,168.5,5.55,15.95,122.4,9.12,8.88,0.84,39.9,1.48,0.38,0.18,,,,15.85,67.0,2.5,251.25,0.0,0.0,122.5,742.0,
2024-01-01 15:00:00,119.0,176.0,4.8,17.15,95.7,9.4,8.5,0.81,39.8,5.2,0.7,0.2,,,,15.7,66.0,2.8,275.0,0.0,0.0,96.0,742.0,
