Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,84.50,144.50,31.22,33.60,43.25,46.60,7.07,0.55,8.42,2.55,10.65,NA,NA,NA,NA,16.12,76.00,0.30,206.00,NA,0.00,6.00,738.00,NA
2025-01-01 01:00:00,79.00,132.00,30.38,28.00,39.57,43.85,6.22,0.56,8.85,2.35,8.15,NA,NA,NA,NA,15.92,77.00,0.30,186.50,NA,0.00,6.00,738.00,NA
2025-01-01 02:00:00,72.00,120.00,4.50,28.00,18.60,42.35,9.40,1.45,4.99,2.20,6.58,NA,NA,NA,NA,16.67,75.75,0.45,203.25,NA,0.00,6.00,738.00,NA
2025-01-01 03:00:00,60.25,102.00,4.42,31.55,20.42,44.90,8.12,1.49,5.29,1.82,4.58,NA,NA,NA,NA,16.98,72.50,0.50,209.25,NA,0.00,6.00,738.00,NA
2025-01-01 04:00:00,57.25,97.50,3.28,36.88,22.28,41.48,8.00,1.24,5.05,1.72,3.98,NA,NA,NA,NA,16.98,72.00,0.70,197.25,NA,0.00,6.00,738.00,NA
2025-01-01 05:00:00,47.50,83.50,3.18,39.05,23.38,43.30,6.08,0.60,7.52,1.25,3.38,NA,NA,NA,NA,17.10,70.00,1.55,185.00,NA,0.00,6.00,738.00,NA
2025-01-01 06:00:00,54.25,84.25,3.42,29.10,18.27,45.25,5.80,0.51,8.80,1.10,3.45,NA,NA,NA,NA,17.15,69.00,1.83,187.50,NA,0.00,6.00,738.00,NA
2025-01-01 07:00:00,62.25,93.50,3.58,30.22,18.98,47.32,5.78,0.54,8.19,1.15,6.25,NA,NA,NA,NA,17.02,69.00,1.95,185.00,NA,0.00,6.75,738.00,NA
2025-01-01 08:00:00,64.75,99.25,4.28,23.95,16.20,47.62,5.98,0.50,12.26,1.08,4.85,NA,NA,NA,NA,17.15,68.00,1.92,188.50,NA,0.00,25.75,738.00,NA
2025-01-01 09:00:00,64.25,93.75,4.92,25.52,17.58,49.45,5.90,0.64,12.47,1.10,4.10,NA,NA,NA,NA,17.50,66.75,1.85,184.50,NA,0.00,45.00,738.00,NA
2025-01-01 10:00:00,72.25,94.25,5.03,25.30,17.55,51.42,6.50,0.57,13.45,1.15,4.27,NA,NA,NA,NA,18.12,64.00,1.35,219.75,NA,0.00,69.50,738.00,NA
2025-01-01 11:00:00,66.00,96.50,4.72,24.17,16.73,52.45,6.38,0.88,15.66,1.08,4.53,NA,NA,NA,NA,18.80,61.50,1.65,190.00,NA,0.00,119.00,738.00,NA
2025-01-01 12:00:00,63.00,92.00,5.68,25.35,18.10,54.60,6.92,0.87,18.96,1.13,5.20,NA,NA,NA,NA,19.97,57.75,1.42,199.00,NA,0.00,162.67,738.00,NA
2025-01-01 13:00:00,63.75,94.00,4.88,26.30,17.93,55.90,7.50,0.90,24.76,1.15,7.20,NA,NA,NA,NA,20.58,56.00,1.60,201.25,NA,0.00,150.50,738.00,NA
2025-01-01 14:00:00,66.25,101.75,3.92,27.82,18.00,57.85,7.12,0.94,29.49,1.22,10.20,NA,NA,NA,NA,21.00,55.25,1.23,210.25,NA,0.00,117.00,738.00,NA
2025-01-01 15:00:00,66.50,105.25,2.75,25.82,15.95,59.50,7.48,0.91,30.88,1.28,12.90,NA,NA,NA,NA,20.78,56.25,1.30,214.75,NA,0.00,75.25,738.00,NA
