Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,57.85,132.14,3.2024999999999997,29.96,33.165,,,0.515,3.745,,,,,,,,,,,,0.0,,,
2023-01-01 01:00:00,,117.75,2.8899999999999997,24.1675,27.0575,,,0.42000000000000004,6.845000000000001,,,,,,,,,,,,0.0,,,
2023-01-01 02:00:00,,135.065,3.365,28.665,32.0375,,,0.61,5.335,,,,,,,,,,,,0.0,,,
2023-01-01 03:00:00,,127.3075,3.1825,26.16,29.3475,,,0.46499999999999997,6.8425,,,,,,,,,,,,0.0,,,
2023-01-01 04:00:00,,115.4975,5.4375,26.9575,32.39,,,0.4325,2.2425,,,,,,,,,,,,0.0,,,
2023-01-01 05:00:00,,103.89500000000001,4.8425,29.2225,34.07,,,0.3675,1.525,,,,,,,,,,,,0.0,,,
2023-01-01 06:00:00,,95.55,4.0575,29.795,33.8575,,,0.3525,2.21,,,,,,,,,,,,0.0,,,
2023-01-01 07:00:00,,106.335,5.5675,30.5775,36.1475,,,0.385,1.5,,,,,,,,,,,,0.0,,,
2023-01-01 08:00:00,,111.7,9.9825,28.78,38.745000000000005,,,0.485,3.7600000000000002,,,,,,,,,,,,0.0,,,
2023-01-01 09:00:00,,160.745,12.265,41.81,54.085,,,0.565,10.442499999999999,,,,,,,,,,,,0.0,,,
2023-01-01 10:00:00,,169.8725,7.43,33.67,41.1,,,0.4525,36.82,,,,,,,,,,,,0.0,,,
2023-01-01 11:00:00,,144.4025,7.215,27.17,34.3825,,,0.355,57.035,,,,,,,,,,,,0.0,,,
2023-01-01 12:00:00,,108.785,7.6575,21.3075,28.9675,,,0.2525,67.605,,,,,,,,,,,,0.0,,,
2023-01-01 13:00:00,,96.11,7.1875,19.895,27.085,,,0.2025,71.7775,,,,,,,,,,,,0.0,,,
2023-01-01 14:00:00,,70.73,5.36,18.4725,23.8375,,,0.165,74.4975,,,,,,,,,,,,0.0,,,
2023-01-01 15:00:00,,83.285,4.3125,18.8075,23.12,,,0.165,81.4,,,,,,,,,,,,0.0,,,
2023-01-01 16:00:00,,83.49249999999999,3.7125000000000004,19.299999999999997,23.0125,,,0.1675,75.625,,,,,,,,,,,,0.0,,,
2023-01-01 17:00:00,,100.24000000000001,2.84,19.4975,22.3425,,,0.1775,49.675,,,,,,,,,,,,0.0,,,
2023-01-01 18:00:00,,103.85499999999999,2.4524999999999997,25.1725,27.622500000000002,,,0.215,26.625,,,,,,,,,,,,0.0,,,
2023-01-01 19:00:00,,108.2775,2.6975,32.1,34.8025,,,0.3175,8.325,,,,,,,,,,,,0.0,,,
2023-01-01 20:00:00,,147.6925,2.695,29.34,32.042500000000004,,,0.375,5.295,,,,,,,,,,,,0.0,,,
2023-01-01 21:00:00,,162.905,2.685,24.4725,27.1575,,,0.375,5.2825,,,,,,,,,,,,0.0,,,
2023-01-01 22:00:00,,166.51749999999998,3.34,23.78,27.12,,,0.5425,2.0875,,,,,,,,,,,,0.0,,,
2023-01-01 23:00:00,,175.85,3.2625,25.795,29.06,,,0.5575,1.4325,,,,,,,,,,,,0.0,,,
2023-01-02 00:00:00,,191.3025,3.4775,27.065,30.5375,,,0.64,2.4125,,,,,,,,,,,,0.0,,,
2023-01-02 01:00:00,,240.6575,5.175,25.6275,30.802500000000002,,,0.86,1.1675,,,,,,,,,,,,0.0,,,
2023-01-02 02:00:00,,223.39249999999998,9.0325,24.725,33.7425,,,0.9375,1.8150000000000002,,,,,,,,,,,,0.0,,,
2023-01-02 03:00:00,,189.52,20.2275,28.7125,48.932500000000005,,,0.985,2.5375,,,,,,,,,,,,0.0,,,
2023-01-02 04:00:00,,163.28,19.22,27.6025,46.835,,,0.9225,3.5975,,,,,,,,,,,,0.0,,,
2023-01-02 05:00:00,,169.3425,8.82,26.677500000000002,35.5,,,0.915,3.0425,,,,,,,,,,,,0.0,,,
2023-01-02 06:00:00,,206.4125,9.427499999999998,34.54,43.9625,,,1.0350000000000001,2.6999999999999997,,,,,,,,,,,,0.0,,,
2023-01-02 07:00:00,,208.86,11.8775,37.44,49.32,,,1.065,4.12,,,,,,,,,,,,0.0,,,
2023-01-02 08:00:00,,185.0525,12.6225,37.085,49.705,,,1.0875000000000001,7.4025,,,,,,,,,,,,0.0,,,
2023-01-02 09:00:00,,192.995,10.99,35.96,46.9525,,,1.06,9.8425,,,,,,,,,,,,0.0,,,
2023-01-02 10:00:00,,229.3325,7.3925,33.4375,40.835,,,0.9225,14.445,,,,,,,,,,,,0.0,,,
2023-01-02 11:00:00,,244.3525,7.2475,37.5225,44.7675,,,0.895,17.4525,,,,,,,,,,,,0.0,,,
2023-01-02 12:00:00,,317.88,8.61,37.2325,45.8425,,,0.995,20.2525,,,,,,,,,,,,0.0,,,
2023-01-02 13:00:00,474.9575,296.295,8.505,32.14,40.6425,,,0.755,50.902499999999996,,,,,,,,,,,,0.0,,,
2023-01-02 14:00:00,368.91499999999996,293.72249999999997,5.78,31.265,37.05,,,0.605,69.05250000000001,,,,,,,,,,,,0.0,,,
2023-01-02 15:00:00,325.5525,301.4975,4.15,29.0425,33.1925,,,0.51,57.865,,,,,,,,,,,,0.0,,,
2023-01-02 16:00:00,320.7375,302.125,3.6,30.21,33.8125,,,0.495,56.935,,,,,,,,,,,,0.0,,,
2023-01-02 17:00:00,249.255,264.985,3.1975,24.045,27.24,,,0.345,40.0,,,,,,,,,,,,0.0,,,
2023-01-02 18:00:00,173.065,210.0725,3.325,24.072499999999998,27.3975,,,0.3375,31.67,,,,,,,,,,,,0.0,,,
2023-01-02 19:00:00,157.45499999999998,183.785,3.41,24.78,28.19,,,0.38,18.745,,,,,,,,,,,,0.0,,,
2023-01-02 20:00:00,171.8675,173.3475,3.3575,21.7975,25.155,,,0.3625,27.6425,,,,,,,,,,,,0.0,,,
2023-01-02 21:00:00,154.435,159.69,3.3,21.0275,24.3275,,,0.3725,29.1425,,,,,,,,,,,,0.0,,,
2023-01-02 22:00:00,129.1425,153.2525,3.1475,21.3325,24.475,,,0.3875,27.805,,,,,,,,,,,,0.0,,,
2023-01-02 23:00:00,124.38,179.3175,3.2199999999999998,22.455,25.6725,,,0.435,27.2225,,,,,,,,,,,,0.0,,,
2023-01-03 00:00:00,106.0575,167.85000000000002,3.2875,25.4775,28.759999999999998,,,0.4725,22.8125,,,,,,,,,,,,0.0,,,
2023-01-03 01:00:00,120.785,197.285,3.5549999999999997,30.08,33.63,,,0.5075000000000001,17.61,,,,,,,,,,,,0.0,,,
2023-01-03 02:00:00,126.83250000000001,216.6225,5.112500000000001,32.552499999999995,37.6575,,,0.535,15.695,,,,,,,,,,,,0.0,,,
2023-01-03 03:00:00,169.5125,221.61,4.755,34.1175,38.875,,,0.5825,18.105,,,,,,,,,,,,0.0,,,
2023-01-03 04:00:00,180.5925,256.54,3.89,38.66,42.55,,,0.5625,19.494999999999997,,,,,,,,,,,,0.0,,,
2023-01-03 05:00:00,201.1875,322.53999999999996,3.8825000000000003,39.075,42.955,,,0.5475000000000001,17.259999999999998,,,,,,,,,,,,0.0,,,
2023-01-03 06:00:00,227.8425,312.155,3.7325,38.0625,41.795,,,0.48,16.7825,,,,,,,,,,,,0.0,,,
