latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.435852,77.11363,254.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,5.4,8.9,133,3.0,0.00,85,989.2,43,0.0
2020-01-01T01:00,7.9,5.5,122,4.0,0.00,77,989.2,78,0.0
2020-01-01T02:00,7.1,4.2,59,3.8,0.00,80,989.0,77,0.0
2020-01-01T03:00,3.0,6.6,29,2.3,0.00,95,988.4,76,0.0
2020-01-01T04:00,2.8,5.8,30,2.7,0.00,99,988.5,69,0.0
2020-01-01T05:00,3.5,8.7,42,2.9,0.00,96,988.8,65,0.0
2020-01-01T06:00,3.5,8.4,43,2.9,0.00,96,989.3,46,0.0
2020-01-01T07:00,4.3,6.4,47,3.5,0.00,94,990.1,44,2.0
2020-01-01T08:00,7.2,10.7,50,4.7,0.00,84,991.4,48,75.0
2020-01-01T09:00,9.9,9.0,67,5.2,0.00,73,992.6,76,219.0
2020-01-01T10:00,12.0,9.4,92,5.1,0.00,63,993.0,89,333.0
2020-01-01T11:00,13.7,10.8,116,5.1,0.00,56,992.7,83,455.0
2020-01-01T12:00,15.5,9.7,112,6.1,0.00,54,991.6,91,543.0
2020-01-01T13:00,16.5,9.8,114,7.2,0.00,54,990.7,93,491.0
2020-01-01T14:00,17.1,9.5,115,7.7,0.00,54,990.2,95,399.0
2020-01-01T15:00,16.9,8.8,109,7.9,0.00,55,989.8,90,274.0
2020-01-01T16:00,16.4,5.4,98,8.9,0.00,61,989.9,88,184.0
2020-01-01T17:00,12.9,9.0,90,9.3,0.00,79,989.8,85,50.0
2020-01-01T18:00,11.8,9.7,90,9.0,0.00,83,990.4,87,0.0
2020-01-01T19:00,10.7,11.0,71,8.3,0.00,85,990.7,84,0.0
2020-01-01T20:00,11.7,8.0,54,8.5,0.00,81,991.5,80,0.0
2020-01-01T21:00,11.0,7.7,53,8.4,0.00,84,991.5,81,0.0
2020-01-01T22:00,9.8,9.0,53,7.6,0.00,86,991.5,83,0.0
2020-01-01T23:00,10.2,9.0,67,7.9,0.00,86,991.5,73,0.0
2020-01-02T00:00,10.0,9.2,69,7.9,0.00,86,991.0,41,0.0
2020-01-02T01:00,9.3,8.8,81,7.2,0.00,87,990.8,30,0.0
2020-01-02T02:00,9.0,9.5,79,6.8,0.00,86,990.6,18,0.0
2020-01-02T03:00,8.8,9.5,79,6.7,0.00,87,990.0,3,0.0
2020-01-02T04:00,8.7,10.0,77,6.8,0.00,88,989.8,18,0.0
2020-01-02T05:00,7.9,9.5,65,6.2,0.00,89,989.7,40,0.0
2020-01-02T06:00,8.0,9.0,74,6.3,0.00,89,990.2,8,0.0
2020-01-02T07:00,8.1,9.5,81,6.5,0.00,90,990.9,15,2.0
2020-01-02T08:00,10.5,10.8,94,7.7,0.00,83,991.9,2,80.0
2020-01-02T09:00,13.5,7.6,98,9.1,0.00,75,992.9,2,241.0
2020-01-02T10:00,15.6,6.9,84,9.9,0.00,69,993.5,0,399.0
2020-01-02T11:00,17.2,7.8,77,10.3,0.00,64,992.7,5,516.0
2020-01-02T12:00,18.2,9.1,81,10.4,0.00,60,991.7,27,557.0
2020-01-02T13:00,19.0,9.4,86,10.6,0.00,58,990.4,22,535.0
2020-01-02T14:00,19.1,10.2,82,10.6,0.00,58,989.4,28,414.0
2020-01-02T15:00,19.1,11.4,77,10.6,0.00,58,988.8,25,311.0
2020-01-02T16:00,18.3,10.0,69,11.0,0.00,62,988.7,20,180.0
2020-01-02T17:00,15.6,9.0,61,11.2,0.00,75,988.5,15,51.0
