Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,129.02,204.41,15.97,14.22,16.51,56.33,2.14,1.76,34.86,1.34,4.84,,,,1.22,11.55,,0.37,238.69,0.0,0.0,6.7,,
2024-01-01 01:00:00,125.67,201.04,15.95,14.23,16.55,56.37,2.25,1.77,34.84,1.33,4.85,,,,1.21,11.54,,0.55,269.02,0.0,0.0,7.3,,
2024-01-01 02:00:00,134.67,200.45,16.43,10.54,18.16,45.18,2.33,1.75,43.64,1.33,4.95,,,,0.88,11.56,,0.58,259.46,0.0,0.0,7.35,,
2024-01-01 03:00:00,123.27,199.05,16.42,10.58,18.14,45.24,2.13,1.72,43.64,1.34,4.91,,,,0.88,11.51,,0.37,258.09,0.0,0.0,7.32,,
2024-01-01 04:00:00,128.08,197.07,14.91,11.6,19.59,39.47,2.25,1.82,27.03,1.34,4.87,,,,0.82,11.56,,0.83,228.13,0.0,0.0,7.45,,
2024-01-01 05:00:00,132.15,195.8,14.93,11.64,19.57,39.5,2.62,1.88,27.06,1.34,4.96,,,,0.92,11.49,,0.92,236.56,0.0,0.0,7.3,,
2024-01-01 06:00:00,133.5,199.24,24.73,19.68,13.65,43.21,2.44,1.87,32.87,1.35,5.05,,,,1.07,11.33,,0.7,310.95,0.0,0.0,7.22,,
2024-01-01 07:00:00,129.01,197.26,24.77,19.76,13.28,43.79,2.58,1.84,32.87,1.34,5.08,,,,1.15,11.24,,0.68,320.86,0.0,0.0,12.0,,
2024-01-01 08:00:00,125.36,192.22,10.38,12.63,24.57,35.68,2.08,1.79,67.3,1.33,5.05,,,,1.17,11.62,,0.44,116.78,0.0,0.0,32.48,,
2024-01-01 09:00:00,126.82,189.16,10.65,13.03,24.01,37.0,2.03,1.86,67.35,1.33,5.12,,,,1.12,11.86,99.99,0.64,317.83,0.0,0.0,66.9,,
2024-01-01 10:00:00,131.21,203.0,14.53,22.76,15.08,26.86,2.32,1.88,56.3,1.35,5.24,,,,0.96,12.44,99.63,1.24,315.36,0.0,0.0,111.98,,
2024-01-01 11:00:00,76.91,113.42,15.2,22.82,14.88,26.46,2.61,2.62,56.38,1.35,5.23,,,,1.15,13.24,99.34,0.62,259.66,0.0,0.0,142.28,,
2024-01-01 12:00:00,,437.35,13.0,46.27,18.42,40.6,2.14,2.51,56.32,1.37,5.32,,,,1.25,14.74,92.11,0.48,63.46,0.0,0.0,156.52,,
2024-01-01 13:00:00,108.17,389.98,8.96,78.69,22.12,57.84,2.07,2.4,56.32,1.35,5.44,,,,1.24,14.44,87.52,1.34,307.98,0.0,0.0,119.4,,
2024-01-01 14:00:00,60.82,320.6,7.74,70.93,19.1,51.03,2.3,1.85,56.32,1.38,5.99,,,,2.24,14.12,88.68,1.62,308.27,0.0,0.0,93.6,,
2024-01-01 15:00:00,25.47,25.82,10.52,74.81,21.66,58.69,2.42,2.07,56.34,1.36,5.38,,,,0.76,13.72,91.8,1.34,314.24,0.0,0.0,66.0,,
2024-01-01 16:00:00,,291.81,10.96,53.62,14.75,39.57,1.7,1.48,56.38,0.12,0.0,,,,,12.73,98.37,1.58,309.9,0.0,0.0,37.0,,
2024-01-01 17:00:00,,322.59,12.18,45.1,13.15,33.74,1.56,1.34,56.36,1.27,1.94,,,,0.76,11.56,99.55,1.61,306.96,0.0,0.0,10.48,,
2024-01-01 18:00:00,31.6,300.77,12.82,40.86,12.13,30.81,1.34,1.37,56.32,1.27,2.0,,,,1.0,10.82,,1.23,306.99,0.0,0.0,5.48,,
2024-01-01 19:00:00,101.68,292.36,14.3,41.19,12.95,32.0,1.25,1.44,56.3,1.27,2.0,,,,1.0,10.55,,1.18,306.02,0.0,0.0,6.45,,
2024-01-01 20:00:00,174.14,300.47,16.56,40.99,13.97,33.3,1.22,1.38,56.37,2.94,2.46,,,,2.74,10.52,,1.12,302.53,0.0,0.0,7.18,,
2024-01-01 21:00:00,146.69,326.87,17.38,41.68,14.59,34.4,1.3,1.38,56.32,3.86,6.71,,,,1.57,10.71,,1.07,306.25,0.0,0.0,7.85,,
2024-01-01 22:00:00,170.44,371.89,17.25,41.42,14.44,34.11,1.36,1.36,56.34,3.88,6.72,,,,1.81,10.68,,1.27,306.93,0.0,0.0,7.42,,
2024-01-01 23:00:00,162.57,323.29,18.45,24.92,17.16,33.03,1.26,1.31,56.3,5.8,3.73,,,,4.84,10.42,,0.65,126.47,0.0,0.0,7.4,,
2024-01-02 00:00:00,117.87,252.97,16.02,14.18,16.52,56.36,1.97,1.21,34.9,6.11,35.88,,,,7.12,9.74,,1.3,308.73,0.0,0.0,7.08,,
2024-01-02 01:00:00,117.75,246.51,16.04,14.2,16.51,56.32,1.88,1.11,34.92,2.92,3.84,,,,2.72,9.33,,1.18,313.01,0.0,0.0,7.32,,
2024-01-02 02:00:00,107.98,220.25,16.45,10.6,18.14,45.2,1.93,1.03,43.66,2.87,3.85,,,,2.71,9.17,,1.02,256.27,0.0,0.0,7.38,,
2024-01-02 03:00:00,87.48,180.06,16.4,10.6,18.15,45.15,1.7,0.95,43.61,4.82,4.86,,,,8.42,9.19,,0.88,320.0,0.0,0.0,7.38,,
2024-01-02 04:00:00,68.88,144.72,14.86,11.68,19.6,39.43,2.19,0.97,26.98,4.86,4.88,,,,8.62,9.09,,0.86,257.06,0.0,0.0,7.35,,
2024-01-02 05:00:00,54.22,109.71,14.9,11.66,19.56,39.38,2.25,0.93,27.02,6.94,5.82,,,,6.4,8.78,,1.26,304.81,0.0,0.0,7.28,,
2024-01-02 06:00:00,47.51,84.97,24.76,19.84,13.55,43.59,2.19,0.9,32.87,6.87,5.88,,,,6.73,8.82,,0.61,321.25,0.0,0.0,7.48,,
2024-01-02 07:00:00,46.12,80.07,24.81,19.74,13.54,44.98,2.04,0.92,32.88,6.9,5.88,,,,7.19,8.79,,0.83,253.97,0.0,0.0,12.75,,
2024-01-02 08:00:00,46.08,77.94,10.37,12.87,24.33,36.71,2.11,0.93,67.29,2.83,4.72,,,,4.74,8.9,,0.77,185.65,0.0,0.0,43.4,,
2024-01-02 09:00:00,48.64,76.97,10.52,12.79,24.36,36.51,2.18,0.96,67.32,2.86,4.73,,,,4.71,9.51,99.63,0.62,243.4,0.0,0.0,117.45,,
2024-01-02 10:00:00,102.1,126.22,15.92,29.86,12.27,27.1,2.41,1.03,56.32,3.86,2.82,,,,3.76,11.38,97.98,0.55,37.16,0.0,0.0,216.85,,
2024-01-02 11:00:00,,,,,,,2.48,1.08,56.33,3.87,2.64,,,,3.6,11.88,81.74,0.63,250.37,0.0,0.0,153.4,,
2024-01-02 12:00:00,124.68,240.44,,,,,2.57,1.14,,3.87,2.74,,,,3.74,12.77,73.41,0.69,323.27,0.0,0.0,122.82,,
2024-01-02 13:00:00,164.92,274.84,,,2.29,,2.48,1.2,56.31,3.85,2.78,,,,3.74,13.68,65.28,1.1,314.61,0.0,0.0,105.82,,
2024-01-02 14:00:00,183.09,274.16,4.2,74.09,25.26,56.75,,1.21,56.37,3.91,2.72,,,,3.74,14.0,64.89,1.45,312.29,0.0,0.0,93.48,,
2024-01-02 15:00:00,175.38,296.26,3.14,81.67,27.11,61.43,,1.25,56.27,3.81,2.75,,,,3.59,14.05,66.2,1.55,311.5,0.0,0.0,72.1,,
2024-01-02 16:00:00,174.92,264.33,7.58,90.14,28.33,65.73,2.91,1.3,56.35,3.89,2.66,,,,3.85,13.41,71.6,1.39,308.42,0.0,0.0,39.93,,
2024-01-02 17:00:00,160.54,221.29,6.09,78.21,23.6,56.02,1.43,1.38,56.37,3.91,2.68,,,,3.6,12.48,77.83,0.72,242.26,0.0,0.0,9.35,,
2024-01-02 18:00:00,174.06,242.58,5.74,71.49,21.32,50.84,1.22,1.47,56.38,3.92,2.62,,,,3.81,11.68,86.92,0.84,306.82,0.0,0.0,5.18,,
2024-01-02 19:00:00,184.15,255.92,8.46,76.39,24.17,55.97,0.98,1.63,56.27,3.81,2.76,,,,3.65,11.17,98.71,0.84,310.14,0.0,0.0,5.48,,
2024-01-02 20:00:00,182.81,256.69,9.41,75.66,24.7,56.05,0.38,1.74,56.36,3.9,2.69,,,,3.67,10.71,99.81,1.24,304.39,0.0,0.0,5.9,,
2024-01-02 21:00:00,173.54,251.35,10.01,74.53,24.34,55.5,0.74,1.81,56.31,3.85,6.74,,,,1.62,10.23,,1.16,303.68,0.0,0.0,5.82,,
2024-01-02 22:00:00,192.04,244.85,12.4,73.96,25.31,56.56,0.57,1.86,56.3,3.84,6.78,,,,1.81,9.68,,0.86,300.61,0.0,0.0,5.9,,
2024-01-02 23:00:00,195.39,249.2,15.43,76.27,27.49,59.99,0.93,1.97,56.27,5.75,3.68,,,,4.84,9.5,,1.01,295.29,0.0,0.0,6.8,,
2024-01-03 00:00:00,136.44,217.76,14.65,75.27,28.18,58.83,1.53,1.96,34.84,5.92,36.14,,,,7.12,9.44,,0.57,221.43,0.0,0.0,7.02,,
2024-01-03 01:00:00,137.52,218.46,14.09,72.19,25.57,56.2,1.72,1.97,34.88,2.88,3.9,,,,2.72,8.88,,1.18,109.29,0.0,0.0,7.38,,
2024-01-03 02:00:00,134.53,207.45,11.89,68.69,23.41,52.35,1.56,1.89,43.61,2.82,3.94,,,,2.68,8.92,,0.84,206.62,0.0,0.0,7.8,,
