Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,138.905,294.9625,1.4475,8.940000000000001,10.385,10.5725,11.6875,1.1125,25.0475,0.225,,,,0.1175,0.67,13.07,96.7675,1.5275,282.32,0.0,0.0,77.67750000000001,750.0,
2023-01-01 01:00:00,135.4425,281.42,1.4375,7.202500000000001,8.635,10.61,11.82,1.0325,27.615000000000002,0.20500000000000002,,,,0.11,0.62,13.07,96.6925,1.6425,305.53499999999997,0.0,0.0,77.6975,750.0,
2023-01-01 02:00:00,127.895,275.82,1.3825,6.3825,7.765,10.5375,11.91,0.99,27.52,0.2,,,,0.10250000000000001,0.59,13.045,96.965,1.5775000000000001,309.94,0.0,0.0,77.6775,750.0,
2023-01-01 03:00:00,116.09,258.65,1.4725,5.6925,7.1625,10.55,12.0025,0.915,28.22,0.1825,,,,0.0925,0.5475,13.125,97.0875,1.345,297.84749999999997,0.0,0.0,77.6125,750.0,
2023-01-01 04:00:00,115.37,257.9625,1.5075,5.295,6.797499999999999,10.6,11.9725,0.8275,30.974999999999998,0.165,,,,0.08499999999999999,0.495,13.0075,97.425,1.5875,301.2925,0.0,0.0,77.67750000000001,750.0,
2023-01-01 05:00:00,104.5175,236.29250000000002,1.4975,6.2375,7.735,10.622499999999999,11.83,0.7925,25.3275,0.1575,,,,0.08,0.4775,13.16,97.1225,1.0925,229.7825,0.0,0.0,77.685,750.0,
2023-01-01 06:00:00,102.19749999999999,220.3625,1.4925,5.5975,7.09,10.6225,11.835,0.7424999999999999,28.6625,0.14500000000000002,,,,0.0775,0.445,13.055,95.7875,1.085,133.6525,0.0,0.0,77.6825,750.0,
2023-01-01 07:00:00,92.9675,215.2675,1.3775,5.3325000000000005,6.7075,10.615,11.8875,0.705,28.990000000000002,0.14,,,,0.07,0.425,13.0,94.405,1.0350000000000001,169.0775,0.0,0.0,80.3725,750.0,
2023-01-01 08:00:00,93.76,196.35,1.4675,5.76,7.2225,10.6675,11.895,0.695,27.5375,0.14,,,,0.07,0.415,13.225,92.805,1.2000000000000002,278.76,0.0,0.0,90.5325,750.0,
2023-01-01 09:00:00,99.87,209.4275,1.655,6.2975,7.950000000000001,10.6475,11.875,0.6924999999999999,25.1475,0.14,,,,0.07,0.4125,13.805,90.26,1.08,231.1175,0.0,0.0,112.2175,750.0,
2023-01-01 10:00:00,100.59,200.78,1.8399999999999999,7.69,9.530000000000001,10.6325,12.23,0.72,24.8375,0.14250000000000002,,,,0.07500000000000001,0.4325,14.9925,85.1075,1.045,217.945,0.0,0.0,133.6525,750.0,
2023-01-01 11:00:00,105.0,212.5825,2.1325000000000003,9.195,11.33,10.635,12.9375,0.7775000000000001,26.1025,0.1525,,,,0.08,0.4625,15.7275,81.8125,1.1875,248.2125,0.0,0.0,187.26,750.0,
2023-01-01 12:00:00,111.4975,230.2825,2.1799999999999997,9.7575,11.935,10.64,13.379999999999999,0.7925,34.7375,0.16,,,,0.08,0.4725,18.33,72.155,1.1125,203.28,0.0,0.0,264.425,750.0,
2023-01-01 13:00:00,110.54249999999999,241.925,1.8,8.780000000000001,10.5825,10.65,13.8125,0.7675000000000001,44.072500000000005,0.15,,,,0.08,0.455,18.635,70.7225,1.4575,232.2925,0.0,0.0,264.36,750.0,
2023-01-01 14:00:00,104.82249999999999,233.675,1.6,8.03,9.629999999999999,10.59,14.6,0.7475,47.18,0.15,,,,0.08,0.445,18.445,71.5325,1.8375,273.8425,0.0,0.0,234.8425,750.0,
2023-01-01 15:00:00,105.64500000000001,234.8275,1.4725,6.83,8.305,10.575,15.0975,0.695,43.415,0.14,,,,0.07,0.4175,17.485,75.565,1.5975,277.0575,0.0,0.0,179.16750000000002,750.0,
2023-01-01 16:00:00,91.85249999999999,205.0125,1.4,7.3075,8.7075,10.665,15.3325,0.69,39.59,0.14,,,,0.07,0.41,16.175,80.2175,1.81,290.015,0.0,0.0,113.5275,750.0,
2023-01-01 17:00:00,88.9325,191.53,1.4325,9.645,11.055,10.602500000000001,15.34,0.7075,25.815,0.14250000000000002,,,,0.07250000000000001,0.425,14.32,87.21000000000001,1.4725000000000001,288.175,0.0,0.0,79.785,750.0,
2023-01-01 18:00:00,85.1275,195.0275,1.5125,11.0825,12.5975,10.675,15.1925,0.8125,17.655,0.16,,,,0.0825,0.49,12.86,93.105,1.0525,285.9375,0.0,0.0,77.55,750.0,
2023-01-01 19:00:00,101.5775,217.57,1.6075,11.5425,13.149999999999999,10.6025,14.91,0.9,16.85,0.1775,,,,0.0925,0.535,13.345,92.63499999999999,1.2825,286.2875,0.0,0.0,77.57,750.0,
2023-01-01 20:00:00,99.875,220.04250000000002,1.5525,9.1875,10.74,10.6425,14.785,0.825,17.715,0.165,,,,0.085,0.4925,13.8675,90.1525,1.1225,223.7,0.0,0.0,77.6,750.0,
2023-01-01 21:00:00,91.1375,212.37,1.49,7.835,9.325,10.620000000000001,14.6275,0.7424999999999999,19.810000000000002,0.15,,,,0.08,0.4425,13.275,90.16,1.065,182.79500000000002,0.0,0.0,77.5925,750.0,
2023-01-01 22:00:00,76.73750000000001,165.765,1.48,7.5125,8.99,10.6375,14.3625,0.71,18.9725,0.14,,,,0.07250000000000001,0.425,12.605,90.6025,1.055,183.1125,0.0,0.0,77.5525,750.0,
2023-01-01 23:00:00,72.1575,156.875,1.4475,7.702500000000001,9.15,10.662500000000001,13.4,0.6875,17.455000000000002,0.14,,,,0.07,0.4125,11.834999999999999,92.25,1.1,254.6325,0.0,0.0,77.5525,750.0,
2023-01-02 00:00:00,71.215,148.96249999999998,1.43,7.035,8.465,10.5725,12.0275,0.6425000000000001,18.127499999999998,0.13,,,,0.0675,0.3875,11.7175,91.3625,1.35,294.74,0.0,0.0,77.605,750.0,
2023-01-02 01:00:00,68.5675,146.6875,1.3624999999999998,5.41,6.7725,10.5375,11.5925,0.5825,20.6075,0.1175,,,,0.06,0.35,11.3975,91.1,1.3599999999999999,302.2875,0.0,0.0,77.59,750.0,
2023-01-02 02:00:00,65.8875,136.8175,1.34,5.185,6.5275,10.585,11.6025,0.55,20.325000000000003,0.11,,,,0.06,0.325,11.1925,91.24000000000001,1.065,250.45749999999998,0.0,0.0,77.52250000000001,750.0,
2023-01-02 03:00:00,65.84,126.945,1.34,4.7675,6.105,10.575,11.5975,0.52,21.455,0.10250000000000001,,,,0.05,0.3125,11.1775,90.4425,1.2525,276.1725,0.0,0.0,77.5125,750.0,
2023-01-02 04:00:00,68.0,135.01999999999998,1.355,4.77,6.125,10.620000000000001,11.5925,0.4925,21.555,0.1,,,,0.05,0.295,10.98,89.715,1.0075,128.32999999999998,0.0,0.0,77.5125,750.0,
2023-01-02 05:00:00,68.355,131.25,1.365,4.795,6.16,10.5475,11.605,0.46749999999999997,19.4725,0.0975,,,,0.05,0.29,10.9625,89.8825,1.0,217.44,0.0,0.0,77.505,750.0,
2023-01-02 06:00:00,66.435,134.275,1.3225,5.4675,6.79,10.6075,11.379999999999999,0.46749999999999997,18.5125,0.1,,,,0.05,0.2875,10.785,90.5325,1.0225,184.3675,0.0,0.0,77.6675,750.0,
2023-01-02 07:00:00,67.52250000000001,147.615,1.4825,6.705,8.185,10.6625,11.49,0.48,19.16,0.1,,,,0.05,0.29,10.6575,90.61500000000001,1.12,240.44,0.0,0.0,84.13499999999999,750.0,
2023-01-02 08:00:00,73.46000000000001,151.625,1.7825,7.155,8.935,10.64,11.7125,0.5,18.6225,0.1,,,,0.05,0.3,10.915,88.8325,1.2475,262.8675,0.0,0.0,105.8125,750.0,
2023-01-02 09:00:00,75.185,166.0075,1.9825,6.965,8.9475,10.6625,11.7325,0.5075000000000001,19.3025,0.1,,,,0.05,0.3075,11.657499999999999,85.985,1.2475,255.475,0.0,0.0,136.03,750.0,
2023-01-02 10:00:00,87.3,179.10500000000002,2.5275,8.2775,10.805,10.6075,11.9475,0.5700000000000001,21.919999999999998,0.1125,,,,0.057499999999999996,0.3425,13.4925,78.9225,1.2475,219.29,0.0,0.0,187.2125,750.0,
2023-01-02 11:00:00,96.33,176.51749999999998,2.6625,9.585,12.247499999999999,10.65,11.780000000000001,0.655,28.3475,0.1325,,,,0.07,0.395,15.3975,71.7975,1.4125,258.26,0.0,0.0,256.6875,750.0,
2023-01-02 12:00:00,100.5325,202.5575,2.0349999999999997,9.995,12.03,10.657499999999999,12.27,0.67,42.7975,0.1325,,,,0.07,0.4025,16.6725,66.6525,1.4025,251.975,0.0,0.0,272.2025,750.0,
2023-01-02 13:00:00,96.705,217.10999999999999,1.7175,9.5775,11.2725,10.5425,13.0075,0.66,53.692499999999995,0.13,,,,0.07,0.4,17.3025,64.6425,1.6025,268.1075,0.0,0.0,280.795,750.0,
