Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,65.0,266.0,1.4333333333333333,21.075,12.1,,7.6,0.335,17.975,0.9500000000000001,2.175,,,,,14.95,,0.5,173.25,0.0,0.0,5.0,753.75,-0.17250000000000001
2023-01-01 01:00:00,63.75,260.25,1.4,16.1,7.6499999999999995,,7.3,0.32,22.525,0.9,2.1,,,,,15.0,,0.475,172.5,0.0,0.0,5.0,754.0,-0.1775
2023-01-01 02:00:00,57.75,239.25,1.9749999999999999,9.875,6.875,,7.125,0.3125,23.75,0.9,2.025,,,,,15.0,,0.44999999999999996,191.5,0.0,0.0,5.0,754.0,-0.1775
2023-01-01 03:00:00,55.0,231.0,0.9,15.633333333333333,6.066666666666666,,7.033333333333334,0.31,23.05,0.9,2.0,,,,,15.0,,0.525,150.5,0.0,0.0,5.0,754.0,-0.175
2023-01-01 04:00:00,53.75,227.0,1.2333333333333334,11.4,7.3500000000000005,,7.05,0.31,23.225,0.9,2.025,,,,,15.0,,0.575,143.25,0.0,0.0,5.0,754.0,-0.175
2023-01-01 05:00:00,49.75,211.0,1.05,8.9,4.6,,7.033333333333334,0.31,26.125,0.9,2.0,,,,,14.925,,0.55,172.0,0.0,0.0,5.0,754.5,-0.17250000000000001
2023-01-01 06:00:00,44.0,192.25,1.425,9.166666666666666,6.133333333333333,,6.95,0.305,24.45,0.8500000000000001,2.0,,,,,14.9,,0.625,193.5,0.0,0.0,5.0,755.0,-0.175
2023-01-01 07:00:00,45.0,196.0,4.824999999999999,11.325,9.975,,6.900000000000001,0.3033333333333333,24.025,0.8333333333333334,2.0,,,,,14.9,,0.775,174.0,0.0,0.0,5.0,754.0,-0.1775
2023-01-01 08:00:00,45.0,196.25,1.5,10.75,6.5,,6.675,0.2925,25.25,0.8,1.9249999999999998,,,,,15.025,,0.75,152.0,0.0,0.0,9.0,753.5,-0.175
2023-01-01 09:00:00,44.0,192.25,2.55,17.425,11.325,,6.7,0.29666666666666663,22.45,0.8000000000000002,1.9333333333333333,,,,,15.45,,0.55,225.75,0.0,0.0,43.75,752.5,-0.175
2023-01-01 10:00:00,47.0,200.75,2.4499999999999997,14.925,9.925,,6.775,0.2975,23.8,0.8,1.975,,,,,16.125,,0.725,179.0,0.0,0.0,76.0,752.0,-0.17
2023-01-01 11:00:00,53.0,222.5,3.1333333333333333,18.3,12.5,,6.8,0.3,25.525,0.8000000000000002,2.0,,,,,16.75,,0.5,248.0,0.0,0.0,159.5,752.0,-0.175
2023-01-01 12:00:00,62.0,254.25,8.075000000000001,25.025,19.825,,7.1,0.3075,37.4,0.875,2.05,,,,,18.375,,0.525,178.0,0.0,0.0,311.75,752.0,-0.1775
2023-01-01 13:00:00,66.0,269.75,3.3666666666666667,28.46666666666667,17.900000000000002,,7.3,0.32,50.0,0.9,2.1,,,,,19.075,,0.625,209.5,0.0,0.0,253.75,752.0,-0.17250000000000001
2023-01-01 14:00:00,68.0,275.75,4.125,31.575000000000003,20.15,,7.075,0.3125,49.775,0.9,2.025,,,,,18.75,,0.45,189.0,0.0,0.0,186.75,752.0,-0.175
2023-01-01 15:00:00,71.75,287.5,4.0,33.675,21.125,,7.0,0.31,39.2,0.9,2.0,,,,,18.175,,0.475,171.0,0.0,0.0,96.25,752.0,-0.17250000000000001
2023-01-01 16:00:00,59.0,244.5,9.55,32.7,25.175,,6.975,0.305,27.125,0.8500000000000001,2.0,,,,,17.5,,0.44999999999999996,185.5,0.0,0.0,20.0,752.0,-0.17250000000000001
2023-01-01 17:00:00,49.25,210.25,4.075,22.575,15.3,,7.0,0.3033333333333333,21.55,0.8333333333333334,2.033333333333333,,,,,16.6,,0.6749999999999999,124.25,0.0,0.0,5.0,752.0,-0.17250000000000001
2023-01-01 18:00:00,55.0,230.25,2.3,37.025,21.55,,7.025,0.31,9.675,0.9,2.0,,,,,16.225,,0.6,149.75,0.0,0.0,5.0,752.0,-0.1775
2023-01-01 19:00:00,63.75,261.25,2.65,33.375,16.85,,6.966666666666666,0.31,11.4,0.9,2.0,,,,,16.15,,0.4,201.75,0.0,0.0,5.0,752.0,-0.175
2023-01-01 20:00:00,49.0,210.0,4.0,14.666666666666666,11.033333333333333,,6.7,0.2975,16.15,0.8250000000000001,1.925,,,,,15.75,,0.525,175.0,0.0,0.0,5.0,752.0,-0.1775
2023-01-01 21:00:00,40.75,179.0,6.25,22.45,17.05,,6.599999999999999,0.29,14.850000000000001,0.8000000000000002,1.8999999999999997,,,,,15.325000000000001,,0.575,183.0,0.0,0.0,5.0,752.0,-0.1775
2023-01-01 22:00:00,38.0,171.0,1.75,10.025,6.775,,6.825,0.3,17.2,0.8250000000000001,1.975,,,,,15.2,,0.525,195.0,0.0,0.0,5.0,752.0,-0.17250000000000001
2023-01-01 23:00:00,37.0,166.75,1.1333333333333333,12.1,6.975,,7.0,0.30666666666666664,19.05,0.8666666666666667,2.0,,,,,14.675,,0.6,172.5,0.0,0.0,5.0,752.0,-0.17250000000000001
2023-01-02 00:00:00,31.25,147.75,1.3333333333333333,12.075,7.225,,6.65,0.2925,16.025,0.8,1.9249999999999998,,,,,14.325000000000001,,0.575,174.25,0.0,0.0,5.0,752.0,-0.175
2023-01-02 01:00:00,31.0,145.75,2.0,12.0,7.175,,6.633333333333333,0.2933333333333333,15.425,0.8000000000000002,1.8999999999999997,,,,,14.174999999999999,,0.6,168.25,0.0,0.0,5.0,752.0,-0.1775
2023-01-02 02:00:00,32.0,148.75,1.2666666666666666,8.0,4.675,,6.85,0.3025,16.8,0.8250000000000001,1.975,,,,,14.0,,0.55,166.25,0.0,0.0,5.0,752.0,-0.17250000000000001
