Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,38.80,89.01,9.93,15.22,25.15,17.17,19.00,0.31,13.82,0.19,NA,NA,NA,0.13,0.05,9.24,94.74,0.17,189.01,0.00,0.00,NA,750.00,NA
2025-01-01 01:00:00,41.12,94.43,10.14,15.55,25.70,17.10,19.06,0.34,13.22,0.20,NA,NA,NA,0.14,0.06,8.58,98.28,0.18,172.72,0.00,0.00,NA,750.00,NA
2025-01-01 02:00:00,31.06,83.86,10.08,15.46,25.54,17.17,19.09,0.34,12.30,0.20,NA,NA,NA,0.14,0.05,8.48,99.62,0.16,200.44,0.00,0.00,NA,750.00,NA
2025-01-01 03:00:00,25.05,73.39,10.02,15.35,25.37,17.22,19.03,0.33,13.52,0.20,NA,NA,NA,0.13,0.05,9.19,100.00,0.21,221.64,0.00,0.00,NA,750.00,NA
2025-01-01 04:00:00,21.95,68.39,10.16,15.58,25.74,17.24,19.10,0.31,20.69,0.18,NA,NA,NA,0.12,0.05,10.34,96.90,0.38,187.08,0.00,0.00,NA,750.00,NA
2025-01-01 05:00:00,23.85,72.68,10.00,15.33,25.34,17.19,19.14,0.31,21.74,0.19,NA,NA,NA,0.12,0.05,11.01,87.95,0.43,216.75,0.00,0.00,NA,750.00,NA
2025-01-01 06:00:00,35.76,80.82,10.16,15.57,25.72,17.09,19.25,0.32,22.92,0.19,NA,NA,NA,0.13,0.05,11.17,86.38,0.52,237.85,0.00,0.00,NA,750.00,NA
2025-01-01 07:00:00,39.25,86.21,9.95,15.26,25.21,17.13,19.26,0.33,22.86,0.20,NA,NA,NA,0.14,0.06,11.23,85.72,0.64,277.06,0.00,0.00,3.12,750.00,NA
2025-01-01 08:00:00,43.80,89.06,10.02,15.36,25.38,17.18,19.35,0.35,23.29,0.20,NA,NA,NA,0.14,0.06,11.74,83.22,0.66,239.30,0.00,0.00,10.86,750.00,NA
2025-01-01 09:00:00,43.11,92.98,10.07,15.44,25.51,17.11,19.50,0.36,21.89,0.22,NA,NA,NA,0.15,0.06,12.58,81.07,0.50,262.72,0.00,0.00,21.33,750.00,NA
2025-01-01 10:00:00,46.63,99.77,10.04,15.38,25.42,17.19,19.34,0.38,22.58,0.23,NA,NA,NA,0.15,0.06,13.38,77.96,0.62,274.62,0.00,0.00,29.31,750.00,NA
2025-01-01 11:00:00,46.57,96.49,10.22,15.66,25.88,17.20,19.16,0.34,25.52,0.20,NA,NA,NA,0.14,0.05,14.18,75.92,0.48,253.76,0.00,0.00,35.67,750.00,NA
2025-01-01 12:00:00,44.90,94.04,10.02,15.36,25.38,17.12,18.54,0.34,31.99,0.20,NA,NA,NA,0.14,0.05,14.43,75.23,0.57,258.75,0.00,0.00,37.44,750.00,NA
2025-01-01 13:00:00,43.68,94.02,10.18,15.61,25.79,17.15,18.97,0.28,28.11,0.16,NA,NA,NA,0.11,0.05,15.52,71.67,0.60,250.99,0.00,0.00,70.22,750.00,NA
2025-01-01 14:00:00,43.22,93.04,10.07,15.43,25.50,17.24,19.20,0.26,33.04,0.16,NA,NA,NA,0.11,0.04,17.00,67.27,0.43,205.70,0.00,0.00,58.56,750.00,NA
2025-01-01 15:00:00,41.93,98.32,10.00,15.33,25.33,17.16,19.29,0.26,31.63,0.16,NA,NA,NA,0.11,0.04,15.90,72.00,0.39,198.81,0.00,0.00,24.71,750.00,NA
2025-01-01 16:00:00,44.31,101.12,10.05,15.40,25.44,17.19,19.47,0.22,22.31,0.13,NA,NA,NA,0.09,0.03,14.43,79.49,0.21,161.60,0.00,0.00,9.15,750.00,NA
2025-01-01 17:00:00,46.25,111.86,9.94,15.24,25.19,17.18,19.69,0.33,23.74,0.20,NA,NA,NA,0.14,0.06,11.60,89.44,0.14,138.11,0.00,0.00,0.34,750.00,NA
2025-01-01 18:00:00,48.86,167.22,10.03,15.38,25.41,17.08,19.61,0.41,14.16,0.25,NA,NA,NA,0.17,0.06,9.55,95.32,0.15,187.91,0.00,0.00,NA,750.00,NA
2025-01-01 19:00:00,54.59,117.94,10.16,15.57,25.73,17.18,19.25,0.44,11.77,0.27,NA,NA,NA,0.18,0.07,8.52,98.02,0.14,195.80,0.00,0.00,NA,750.00,NA
2025-01-01 20:00:00,59.20,128.36,10.09,15.48,25.57,17.11,19.10,0.52,11.66,0.32,NA,NA,NA,0.21,0.08,7.94,99.21,0.17,236.54,0.00,0.00,NA,750.00,NA
