Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:00:00,618.00,788.00,5.10,67.30,39.90,62.70,18.20,5.89,2.40,NA,NA,NA,NA,NA,NA,8.00,88.00,0.40,22.00,0.00,0.00,19.00,752.00,NA
2020-01-01 02:00:00,592.75,758.25,17.20,26.32,21.92,33.12,15.00,2.24,0.90,NA,NA,NA,NA,NA,NA,7.28,89.25,0.30,23.50,0.00,0.00,19.00,752.00,NA
2020-01-01 03:00:00,517.50,654.25,0.80,41.20,20.35,52.78,16.12,7.40,NA,NA,NA,NA,NA,NA,NA,5.92,93.75,0.30,45.75,0.00,0.00,19.00,752.00,NA
2020-01-01 04:00:00,537.50,633.00,2.42,35.65,20.92,55.65,17.05,7.26,NA,NA,NA,NA,NA,NA,NA,5.58,95.00,0.30,47.75,0.00,0.00,20.00,752.00,NA
2020-01-01 05:00:00,594.75,707.50,3.38,39.12,23.58,54.45,20.08,7.48,NA,NA,NA,NA,NA,NA,NA,5.43,96.00,0.30,16.00,0.00,0.00,21.00,752.00,NA
2020-01-01 06:00:00,589.50,707.75,3.60,31.80,19.85,52.40,17.55,7.47,NA,NA,NA,NA,NA,NA,NA,5.08,95.75,0.30,25.00,0.00,0.00,21.25,752.50,NA
2020-01-01 07:00:00,525.00,621.75,2.62,31.60,18.25,45.58,15.02,7.14,NA,NA,NA,NA,NA,NA,NA,4.82,96.00,0.30,18.50,0.00,0.00,29.00,753.25,NA
2020-01-01 08:00:00,461.00,558.00,2.70,51.70,26.88,50.75,19.32,6.95,NA,NA,NA,NA,NA,NA,NA,6.62,95.75,0.30,45.75,0.00,0.00,51.00,754.25,NA
2020-01-01 09:00:00,513.50,641.25,0.20,92.20,47.45,49.75,10.65,3.84,NA,NA,NA,NA,NA,NA,NA,10.45,79.50,0.62,33.00,0.00,0.00,77.25,755.50,NA
2020-01-01 10:00:00,327.25,423.25,1.50,35.10,19.90,45.80,21.90,2.67,1.40,NA,NA,NA,NA,NA,NA,13.45,63.75,1.32,44.50,0.00,0.00,169.00,756.00,NA
2020-01-01 11:00:00,220.25,293.50,1.23,26.52,15.10,42.42,21.80,2.42,14.50,NA,NA,NA,NA,NA,NA,15.15,62.00,1.62,41.25,0.00,0.00,205.50,755.75,NA
2020-01-01 12:00:00,153.75,221.50,1.27,21.75,12.58,40.92,22.32,2.34,NA,NA,NA,NA,NA,NA,NA,16.65,61.00,1.50,33.50,0.00,0.00,225.50,754.75,NA
2020-01-01 13:00:00,136.75,205.25,1.60,18.40,11.10,38.50,23.90,2.35,NA,NA,NA,NA,NA,NA,NA,17.70,58.50,1.60,36.50,0.00,0.00,217.75,753.75,NA
2020-01-01 14:00:00,123.75,197.50,1.23,18.20,10.65,37.88,30.17,2.28,NA,NA,NA,NA,NA,NA,NA,17.95,59.00,1.85,38.00,0.00,0.00,157.75,753.00,NA
2020-01-01 15:00:00,114.50,190.75,1.30,18.25,10.78,36.15,30.08,2.15,NA,NA,NA,NA,NA,NA,NA,18.08,57.75,1.42,37.00,0.00,0.00,101.25,753.00,NA
2020-01-01 16:00:00,92.00,169.25,1.20,22.25,12.80,34.52,22.62,2.19,NA,NA,NA,NA,NA,NA,NA,17.50,59.50,0.85,36.00,0.00,0.00,61.00,753.00,NA
2020-01-01 17:00:00,107.75,190.00,1.32,40.90,22.80,34.70,19.02,2.78,1.85,NA,NA,NA,NA,NA,NA,16.12,63.75,0.35,29.75,0.00,0.00,30.25,753.00,NA
2020-01-01 18:00:00,134.25,229.75,2.05,61.28,34.25,34.98,14.22,4.42,2.52,NA,NA,NA,NA,NA,NA,13.22,73.75,0.30,24.00,0.00,0.00,25.00,753.50,NA
2020-01-01 19:00:00,172.50,276.25,4.57,70.38,41.18,36.20,15.92,5.13,2.50,NA,NA,NA,NA,NA,NA,11.42,82.00,0.30,28.50,0.00,0.00,25.25,754.00,NA
2020-01-01 20:00:00,239.50,358.00,6.60,76.98,42.80,39.55,17.62,5.42,2.25,NA,NA,NA,NA,NA,NA,11.32,83.00,0.30,29.50,0.00,0.00,23.25,754.00,NA
2020-01-01 21:00:00,312.50,422.25,5.60,78.12,46.08,44.55,23.75,7.95,1.50,NA,NA,NA,NA,NA,NA,10.68,86.50,0.30,31.50,0.00,0.00,20.25,754.25,NA
